Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
06/01/2023,15:14:09,matic,0x01a37c7e27fd971224301e4fe50b7530dea02e09768f0c6c2cd7664b831b1cff,https://polygonscan.com/tx/0x01a37c7e27fd971224301e4fe50b7530dea02e09768f0c6c2cd7664b831b1cff,send,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,WETH,-0.02695
02/10/2022,21:41:40,matic,0xc35141b41928b1745c1004dd027eb2b3741ce478aeb7618399e80ef12918dd39,https://polygonscan.com/tx/0xc35141b41928b1745c1004dd027eb2b3741ce478aeb7618399e80ef12918dd39,send,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,USDC,-200
09/11/2022,19:47:57,matic,0x5ebf3011763d3582cc0f388991c20033b19c9827110d045b2d8706348366c509,https://polygonscan.com/tx/0x5ebf3011763d3582cc0f388991c20033b19c9827110d045b2d8706348366c509,send,0x136c2b7118beb7bd7981360d36bb5010b5608f25,WETH,-0.015
21/10/2023,12:56:57,era,0xda6a383b989559b86d34e329348a8601fce52634600f93ef32bc0f377287258d,https://era.zksync.network/tx/0xda6a383b989559b86d34e329348a8601fce52634600f93ef32bc0f377287258d,send,0x1d46196e4c1a044b6cf6738cd0e08433a0772a38,ETH,-0.0002
20/11/2022,12:28:45,matic,0x441eaae9d19bfb2188759e2ffc7ce755d55d8cc381b376b5edbef20bf21823f3,https://polygonscan.com/tx/0x441eaae9d19bfb2188759e2ffc7ce755d55d8cc381b376b5edbef20bf21823f3,send,0x26327d036cc08b93bcb9e475c8450ba8a3225daf,USDC,-15
30/10/2022,04:23:06,matic,0x4e45cdd272ab7609d16e9673eb58e72d719baf6cc65e04dce3c529461362ba28,https://polygonscan.com/tx/0x4e45cdd272ab7609d16e9673eb58e72d719baf6cc65e04dce3c529461362ba28,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,MATIC,35
28/10/2022,12:15:02,matic,0xe2673ddbea7f58aac79cd657cde99c88ad183a1e5dac3929679714cb55aba3e0,https://polygonscan.com/tx/0xe2673ddbea7f58aac79cd657cde99c88ad183a1e5dac3929679714cb55aba3e0,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,WETH,-0.1235
19/10/2022,12:04:37,matic,0x201f3c54278b90f96f49829c9dd3a1f78cf35d178da8ac31ec640b92d0dd3d50,https://polygonscan.com/tx/0x201f3c54278b90f96f49829c9dd3a1f78cf35d178da8ac31ec640b92d0dd3d50,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,MATIC,990
12/10/2022,18:27:56,arb,0xee4ea2ce2601db91807c97f6e965e62299533c27036df0f5bd635271b3c8e595,https://arbiscan.io/tx/0xee4ea2ce2601db91807c97f6e965e62299533c27036df0f5bd635271b3c8e595,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,ETH,0.01
31/05/2022,15:17:30,bsc,0xcf8f8d25ff8d8d5bd257667f862fc4b7c86c4fb1d80b077ae0ea1f3775f97224,https://bscscan.com/tx/0xcf8f8d25ff8d8d5bd257667f862fc4b7c86c4fb1d80b077ae0ea1f3775f97224,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,ETH,-0.10606925227396287
