Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
17/04/2023,18:49:52,arb,0xa0428225b4a03ee04df4707e7279741557a5af0f3cdcb963efe21d2315aec43c,https://arbiscan.io/tx/0xa0428225b4a03ee04df4707e7279741557a5af0f3cdcb963efe21d2315aec43c,send,0x0975e9898460a69f7c39be18a051f2e1f0585622,ETH,-0.001911762597320665
14/12/2022,20:00:28,bsc,0xd0a0d9373c12583fa7c27dda72f504385895e32be1effd534fc2448dec1396eb,https://bscscan.com/tx/0xd0a0d9373c12583fa7c27dda72f504385895e32be1effd534fc2448dec1396eb,send,0x0975e9898460a69f7c39be18a051f2e1f0585622,BNB,-0.004
14/12/2022,19:58:37,bsc,0x0f27271e16f917686591efb359f1efd41d9418d9c0f382ab097ee72f9523fdb9,https://bscscan.com/tx/0x0f27271e16f917686591efb359f1efd41d9418d9c0f382ab097ee72f9523fdb9,send,0x0975e9898460a69f7c39be18a051f2e1f0585622,BUSD,-120
14/12/2022,18:42:34,matic,0xb7bb7f42554cb5b53c817efcd61c1854c10b70b7c2516398dba6d7b1e011459e,https://polygonscan.com/tx/0xb7bb7f42554cb5b53c817efcd61c1854c10b70b7c2516398dba6d7b1e011459e,receive,0x0975e9898460a69f7c39be18a051f2e1f0585622,MATIC,0.1
01/12/2022,03:35:15,bsc,0x021842d5de7fe4bb80cd6f3f4874127f2926d1f7ffc97e98fd269c6142f3be19,https://bscscan.com/tx/0x021842d5de7fe4bb80cd6f3f4874127f2926d1f7ffc97e98fd269c6142f3be19,send,0x0975e9898460a69f7c39be18a051f2e1f0585622,BNB,-0.001
24/11/2022,09:19:14,op,0x13358c4f340ff72812cbe982e218d51da6dfb49e82c49fc3f58e4e5a71fec702,https://optimistic.etherscan.io/tx/0x13358c4f340ff72812cbe982e218d51da6dfb49e82c49fc3f58e4e5a71fec702,receive,0x0975e9898460a69f7c39be18a051f2e1f0585622,ETH,0.000790176629712743
24/11/2022,09:14:09,arb,0xd0f24d4e8ac38d6c56c1df559da8f62b2fb0b1dda68d983e36893b23f2a5929e,https://arbiscan.io/tx/0xd0f24d4e8ac38d6c56c1df559da8f62b2fb0b1dda68d983e36893b23f2a5929e,receive,0x0975e9898460a69f7c39be18a051f2e1f0585622,ETH,0.003945396785
15/11/2022,01:25:36,arb,0xc661f2aaa7a979174188d99967299a901b5ae4ff10aa7de1b91b1b1d9bf7f20f,https://arbiscan.io/tx/0xc661f2aaa7a979174188d99967299a901b5ae4ff10aa7de1b91b1b1d9bf7f20f,send,0x0975e9898460a69f7c39be18a051f2e1f0585622,ETH,-0.0001
27/10/2022,22:58:23,eth,0xe08963b47514d66b2971d554514da820625e8d74079c4ef0265c4e6dbf4a8f71,https://etherscan.io/tx/0xe08963b47514d66b2971d554514da820625e8d74079c4ef0265c4e6dbf4a8f71,send,0x0975e9898460a69f7c39be18a051f2e1f0585622,ETH,-0.081
01/09/2022,19:46:42,eth,0x91879d49b719a8083ec941be6996a8e0309edd430c06578618904d74c9b7f37e,https://etherscan.io/tx/0x91879d49b719a8083ec941be6996a8e0309edd430c06578618904d74c9b7f37e,receive,0x0975e9898460a69f7c39be18a051f2e1f0585622,ETH,0.050576688649167
04/08/2022,18:28:42,eth,0x3d26567bd9f3c34cb8816cc66b0b6a47e9821e4d7b152943da0ecef7d58b3249,https://etherscan.io/tx/0x3d26567bd9f3c34cb8816cc66b0b6a47e9821e4d7b152943da0ecef7d58b3249,send,0x0975e9898460a69f7c39be18a051f2e1f0585622,ETH,-0.051
20/03/2023,17:04:42,arb,0x9b4c19a7da11886081b27b582a701158a926c68d5abf6cae73ecd0e9d74c22d3,https://arbiscan.io/tx/0x9b4c19a7da11886081b27b582a701158a926c68d5abf6cae73ecd0e9d74c22d3,send,0x14f386d25ef71704ea05bb96c7749199f80a5303,USDC,-52
28/12/2022,06:39:35,eth,0x22a5a29ef70edbc140c3e305f3c646e467ee062d9fc4ec55ab4eb3574c24e359,https://etherscan.io/tx/0x22a5a29ef70edbc140c3e305f3c646e467ee062d9fc4ec55ab4eb3574c24e359,receive,0x14f386d25ef71704ea05bb96c7749199f80a5303,ETH,0.000098140228146
28/12/2022,06:39:11,eth,0x90b544039c46fc9a39f1d35f6af8dd915f5394be7bc23d4d942fa96b57ceefe7,https://etherscan.io/tx/0x90b544039c46fc9a39f1d35f6af8dd915f5394be7bc23d4d942fa96b57ceefe7,send,0x14f386d25ef71704ea05bb96c7749199f80a5303,ETH,-0.0006
28/12/2022,06:38:21,nova,0x63aea07a8c8ae0cc6ee7dc8c9fdc14771a55ff210155dcdfd796df421bfe5126,https://nova.arbiscan.io/tx/0x63aea07a8c8ae0cc6ee7dc8c9fdc14771a55ff210155dcdfd796df421bfe5126,send,0x14f386d25ef71704ea05bb96c7749199f80a5303,ETH,-0.0006
29/11/2022,01:56:28,bsc,0xd8524fa20d4fa4266d29a91a655eaacd6c5c308758948fdbef1ee8f2cec45fa9,https://bscscan.com/tx/0xd8524fa20d4fa4266d29a91a655eaacd6c5c308758948fdbef1ee8f2cec45fa9,receive,0x14f386d25ef71704ea05bb96c7749199f80a5303,BNB,0.017822184187561967
24/11/2022,09:18:44,op,0xa4e2a865a4a21004d14916b05f22c27ba097e6251a0b181129525b3593268752,https://optimistic.etherscan.io/tx/0xa4e2a865a4a21004d14916b05f22c27ba097e6251a0b181129525b3593268752,receive,0x14f386d25ef71704ea05bb96c7749199f80a5303,ETH,0.000718363442644858
24/11/2022,09:15:05,arb,0x6cacd66af0c35299443172b6e891222f1816d2c0e62dfe3fbeb701020674161d,https://arbiscan.io/tx/0x6cacd66af0c35299443172b6e891222f1816d2c0e62dfe3fbeb701020674161d,receive,0x14f386d25ef71704ea05bb96c7749199f80a5303,ETH,0.003945396785
15/11/2022,02:19:13,arb,0x688119ca3621c2a7efc422289a45de9f23312884e0c84053c7ba7ed42393e42c,https://arbiscan.io/tx/0x688119ca3621c2a7efc422289a45de9f23312884e0c84053c7ba7ed42393e42c,send,0x14f386d25ef71704ea05bb96c7749199f80a5303,ETH,-0.0001
09/09/2021,00:17:57,bsc,0xb17d55ed63fe9f3a6cd3d3efdbedb0f17ea0cf2093d71acb211d455cced8ed89,https://bscscan.com/tx/0xb17d55ed63fe9f3a6cd3d3efdbedb0f17ea0cf2093d71acb211d455cced8ed89,send,0x14f386d25ef71704ea05bb96c7749199f80a5303,BUSD,-10
08/09/2021,23:40:02,bsc,0x3e13da03cbc5481d516d7cae4a0cbe206ddb6532f96f9eaf2902212fba823806,https://bscscan.com/tx/0x3e13da03cbc5481d516d7cae4a0cbe206ddb6532f96f9eaf2902212fba823806,receive,0x14f386d25ef71704ea05bb96c7749199f80a5303,PVU,8.85
06/09/2021,21:09:10,bsc,0x797c0f56bbceb6d65ee66ab4453f828a5ae2166854ec04b2698f6838e66c9440,https://bscscan.com/tx/0x797c0f56bbceb6d65ee66ab4453f828a5ae2166854ec04b2698f6838e66c9440,receive,0x14f386d25ef71704ea05bb96c7749199f80a5303,BUSD,197
