Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
10/05/2023,15:41:25,ftm,0xb62ae08dc42c3c2a6fa8f711753eeb007d838c9b731bbacc4b7c3bcfc38a9f36,https://ftmscan.com/tx/0xb62ae08dc42c3c2a6fa8f711753eeb007d838c9b731bbacc4b7c3bcfc38a9f36,receive,0x023a9e71848964720aa938d50f1232d34f46b470,FTM,8
23/03/2023,22:43:22,arb,0x1ced3c21cd6fc35ffabbee51e338c0e6b6bc36b599a34f796e33853f1e5fdd0c,https://arbiscan.io/tx/0x1ced3c21cd6fc35ffabbee51e338c0e6b6bc36b599a34f796e33853f1e5fdd0c,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-875
11/03/2018,01:26:01,eth,0x26850dca8609e96063fc0fdcf9f849f7a65aa15319473f05c88b918dfd8a2e5e,https://etherscan.io/tx/0x26850dca8609e96063fc0fdcf9f849f7a65aa15319473f05c88b918dfd8a2e5e,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,BEE,-890
11/03/2018,01:24:55,eth,0xe9b025f0c6f943f27dc99983928d17c649986eee086eb4de076acf0a28c92df3,https://etherscan.io/tx/0xe9b025f0c6f943f27dc99983928d17c649986eee086eb4de076acf0a28c92df3,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,0.01
05/02/2018,17:12:45,eth,0x63d94e3fcb73d39410138352bf1735c226fcb388ec3091be1f7755dfe11fdb4f,https://etherscan.io/tx/0x63d94e3fcb73d39410138352bf1735c226fcb388ec3091be1f7755dfe11fdb4f,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-0.241881924
04/02/2018,10:46:02,eth,0x07fc8c1dc0c37db8d117db1dd0f63dfc58b773055885b5762cae484a8156c44c,https://etherscan.io/tx/0x07fc8c1dc0c37db8d117db1dd0f63dfc58b773055885b5762cae484a8156c44c,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,CMT,-7500
04/02/2018,07:41:42,eth,0xc6e9b501831e5986ddb37c0247915b9aa2b4d13ac77f930f13fd777077e7a446,https://etherscan.io/tx/0xc6e9b501831e5986ddb37c0247915b9aa2b4d13ac77f930f13fd777077e7a446,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,CMT,7500
04/02/2018,05:53:43,eth,0x5bc6c91563f57c160ceb4cf25f34d9c42f10c89a54cfae34a66dcedaf1bbbe95,https://etherscan.io/tx/0x5bc6c91563f57c160ceb4cf25f34d9c42f10c89a54cfae34a66dcedaf1bbbe95,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,3.1
29/01/2018,23:58:07,eth,0x9f0f8012900c22b577b9658a09e31af9d95ee1a09a4c4e225a6699042f84e8e2,https://etherscan.io/tx/0x9f0f8012900c22b577b9658a09e31af9d95ee1a09a4c4e225a6699042f84e8e2,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-4.21
29/01/2018,03:34:16,eth,0x58023414cde67a141cb348b86fa1cf8e50232d0c65ff2c3dfe335093e9756b9f,https://etherscan.io/tx/0x58023414cde67a141cb348b86fa1cf8e50232d0c65ff2c3dfe335093e9756b9f,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,4.2
15/01/2018,21:03:46,eth,0xb1542d94d6c0e5e7a4682d131d40f47316fbc6f69ee6ba1a36add2a02146c5e7,https://etherscan.io/tx/0xb1542d94d6c0e5e7a4682d131d40f47316fbc6f69ee6ba1a36add2a02146c5e7,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-2.07
14/01/2018,05:56:27,eth,0x3f7bf0a0a792b17a010e357fdb9879cb7531f799075a1fa9dc1949e5d2e37a44,https://etherscan.io/tx/0x3f7bf0a0a792b17a010e357fdb9879cb7531f799075a1fa9dc1949e5d2e37a44,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,2.1
23/12/2017,04:40:05,eth,0x5af7d1f02b85f6a78fb57b45365015e92e9672d076b823e35d1d15a3b8342d7d,https://etherscan.io/tx/0x5af7d1f02b85f6a78fb57b45365015e92e9672d076b823e35d1d15a3b8342d7d,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-5
23/12/2017,02:49:25,eth,0x8c18d277784d4b338132a5dd0d869a21ee5bd458e9951c2707c10e37811721b0,https://etherscan.io/tx/0x8c18d277784d4b338132a5dd0d869a21ee5bd458e9951c2707c10e37811721b0,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,5.05
