Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
01/03/2023,23:05:06,bsc,0xce1f46e6a536bb0cbb74513c9753cea11d4825178d41573bf4b636171360e01b,https://bscscan.com/tx/0xce1f46e6a536bb0cbb74513c9753cea11d4825178d41573bf4b636171360e01b,send,0x0da157cbea3f40fdb7d8c1f813fa9dc3f3078e48,BUSD,-10
23/03/2023,23:31:40,bsc,0x76dd283af4c2a7e136c05a812e0af753139fc6886823a4cf90220474de7c0904,https://bscscan.com/tx/0x76dd283af4c2a7e136c05a812e0af753139fc6886823a4cf90220474de7c0904,receive,0x129b72758d421c36682da113cb3a7f180231059c,BUSD,10
05/11/2022,04:35:34,bsc,0xc3a1299dfe7eb2ae945dd19c9c2d9f4a22d7f293827b3503258d16ae43934c97,https://bscscan.com/tx/0xc3a1299dfe7eb2ae945dd19c9c2d9f4a22d7f293827b3503258d16ae43934c97,send,0x16a3ff34c0224a819241f184affb20e16de161ae,BUSD,-20
29/05/2022,01:54:39,bsc,0xa03646ae9ba42c46bfd282babb2e7282e8d40345d2a0e8a7c91d61cc5c0f6eb4,https://bscscan.com/tx/0xa03646ae9ba42c46bfd282babb2e7282e8d40345d2a0e8a7c91d61cc5c0f6eb4,receive,0x16a3ff34c0224a819241f184affb20e16de161ae,BNB,0.005
12/05/2022,20:31:52,bsc,0x8e1ad481d1225c6f1504b91caa89f434b0fb66324eff44c3e8e1635d20aacf31,https://bscscan.com/tx/0x8e1ad481d1225c6f1504b91caa89f434b0fb66324eff44c3e8e1635d20aacf31,send,0x16a3ff34c0224a819241f184affb20e16de161ae,BNB,-0.03
12/05/2022,20:30:16,bsc,0xb5d17a72944c3ea3b4c5620ecbf6787818b72d1a5e390e97b5f63d7faf92f02b,https://bscscan.com/tx/0xb5d17a72944c3ea3b4c5620ecbf6787818b72d1a5e390e97b5f63d7faf92f02b,receive,0x16a3ff34c0224a819241f184affb20e16de161ae,BNB,0.03
05/12/2022,02:22:43,matic,0xde2a729638c3c538274f03009e23212cf1c8c56a53f110db4d5f8312f4bf82c4,https://polygonscan.com/tx/0xde2a729638c3c538274f03009e23212cf1c8c56a53f110db4d5f8312f4bf82c4,send,0x3adfca96b859c9fe77e96cb2d63bae1b7dd76299,MATIC,-0.1
24/11/2022,20:06:44,arb,0xa0c6cb95996fc4c7f8af628317be30e0357df1f20ecd7c19f29fa44c476e0f4f,https://arbiscan.io/tx/0xa0c6cb95996fc4c7f8af628317be30e0357df1f20ecd7c19f29fa44c476e0f4f,send,0x3adfca96b859c9fe77e96cb2d63bae1b7dd76299,ETH,-0.001
28/05/2022,23:48:35,bsc,0xdb151559d01367f911c29c677a7e048860fe2c54f9855f63211b69f2d016fa92,https://bscscan.com/tx/0xdb151559d01367f911c29c677a7e048860fe2c54f9855f63211b69f2d016fa92,receive,0x3bfbaf197495362c31126ab2bc51a8eb1a7d9f4b,USDT,5
28/05/2022,23:40:44,bsc,0x6e46d8002ff0476dcc4c49a388812efb4194cb4c09a38397cd88108b6f0fb038,https://bscscan.com/tx/0x6e46d8002ff0476dcc4c49a388812efb4194cb4c09a38397cd88108b6f0fb038,send,0x3bfbaf197495362c31126ab2bc51a8eb1a7d9f4b,BNB,-0.005
28/05/2022,23:38:02,bsc,0x21f34dee4fc0f7d6484274cd6a3e6202c5e83a18f1bf8694b07b53fbe5c1e435,https://bscscan.com/tx/0x21f34dee4fc0f7d6484274cd6a3e6202c5e83a18f1bf8694b07b53fbe5c1e435,send,0x3bfbaf197495362c31126ab2bc51a8eb1a7d9f4b,BNB,-0.001
27/05/2022,18:07:46,bsc,0x5062572eb0526005dadba92508338ec11d8814d02f4e53b44e7761f7a988c4ff,https://bscscan.com/tx/0x5062572eb0526005dadba92508338ec11d8814d02f4e53b44e7761f7a988c4ff,send,0x3c7b8c495c40f815ec455cf30351cf5267646454,LUNA,-20
27/05/2022,18:02:19,bsc,0x3270aee300d50083e32f08cb8b3dc8c9022a98b75c5e76e0b0f106bf8ccb46e7,https://bscscan.com/tx/0x3270aee300d50083e32f08cb8b3dc8c9022a98b75c5e76e0b0f106bf8ccb46e7,send,0x3c7b8c495c40f815ec455cf30351cf5267646454,LUNA,-10
22/12/2021,17:54:22,bsc,0x16eaa90105c1464447fa4e3f14a893e7ed7dfe7aec0fd66330a52e3227a4a9d3,https://bscscan.com/tx/0x16eaa90105c1464447fa4e3f14a893e7ed7dfe7aec0fd66330a52e3227a4a9d3,receive,0x3d9c4678940c39019664025cc778d5aa7fc7f431,BUSD,140
05/11/2022,03:37:28,bsc,0x3795c6b6d3e617a16071eef3b0bfa12608e699b2f8e714d6101674a75d7c2766,https://bscscan.com/tx/0x3795c6b6d3e617a16071eef3b0bfa12608e699b2f8e714d6101674a75d7c2766,send,0x5ee02abe98295af10d6f3a93d1933456940ccec3,BUSD,-20
05/12/2022,02:23:11,matic,0xbb1876e48ba9e62466670f1ea5462571f8471f3c733f87036ce8b7fe0a7ab033,https://polygonscan.com/tx/0xbb1876e48ba9e62466670f1ea5462571f8471f3c733f87036ce8b7fe0a7ab033,send,0x74ebd7378455e868fcf6c8d0a278e1d7b04db6d1,MATIC,-0.1
24/11/2022,20:07:24,arb,0x3322d13362697fb8cbebe7c9518eb8a96ef98d804725511b5025cb33c84bca27,https://arbiscan.io/tx/0x3322d13362697fb8cbebe7c9518eb8a96ef98d804725511b5025cb33c84bca27,send,0x74ebd7378455e868fcf6c8d0a278e1d7b04db6d1,ETH,-0.001
28/10/2022,01:53:23,eth,0x050a5bcbc2df114e4f601326ca4eab9018ed6fefa7771b79ec4d8555cfa7cca9,https://etherscan.io/tx/0x050a5bcbc2df114e4f601326ca4eab9018ed6fefa7771b79ec4d8555cfa7cca9,receive,0x74ebd7378455e868fcf6c8d0a278e1d7b04db6d1,,1
17/12/2022,04:34:59,arb,0xf33bd9bb045954f841e01a2da7a8c378d99d3222e37d19232833f8d56f7abeaa,https://arbiscan.io/tx/0xf33bd9bb045954f841e01a2da7a8c378d99d3222e37d19232833f8d56f7abeaa,receive,0x791b45d07cf0d2132e539322f816778e2b627262,ETH,0.00098346266
17/12/2022,04:34:14,arb,0x357ee2d4f8d1939777025f2da420e2bd50ee40e12e4ab7afb7448987e3e293ed,https://arbiscan.io/tx/0x357ee2d4f8d1939777025f2da420e2bd50ee40e12e4ab7afb7448987e3e293ed,send,0x791b45d07cf0d2132e539322f816778e2b627262,ETH,-0.001
05/11/2022,03:01:48,bsc,0xed07a7b9498af2af3be8db65ec646a9a25657f81caaf3e1babeb55676c5f90c1,https://bscscan.com/tx/0xed07a7b9498af2af3be8db65ec646a9a25657f81caaf3e1babeb55676c5f90c1,send,0x791b45d07cf0d2132e539322f816778e2b627262,BUSD,-20
18/08/2022,01:32:41,eth,0xc1ef8c348562d273909aa954ef9656db17bbda1f76f81b1a6975993f7188f3d0,https://etherscan.io/tx/0xc1ef8c348562d273909aa954ef9656db17bbda1f76f81b1a6975993f7188f3d0,send,0x791b45d07cf0d2132e539322f816778e2b627262,ETH,-0.008
12/05/2022,21:57:34,bsc,0xf5dcc014560c1ae58a8fc8bb60a983cce5a72a77f21d6e43b17bc71720757631,https://bscscan.com/tx/0xf5dcc014560c1ae58a8fc8bb60a983cce5a72a77f21d6e43b17bc71720757631,receive,0x791b45d07cf0d2132e539322f816778e2b627262,BNB,0.01
12/05/2022,18:09:56,bsc,0xe3e910f185e2f19e29278b0c5885455073421ab08bac266260959f0215626d17,https://bscscan.com/tx/0xe3e910f185e2f19e29278b0c5885455073421ab08bac266260959f0215626d17,send,0x791b45d07cf0d2132e539322f816778e2b627262,BNB,-0.01
04/12/2021,06:54:51,bsc,0xb1442cbecf15515b5b3c8dad52f2a413a58ea9e1b10dd414456b1a39cd5aff3d,https://bscscan.com/tx/0xb1442cbecf15515b5b3c8dad52f2a413a58ea9e1b10dd414456b1a39cd5aff3d,receive,0x791b45d07cf0d2132e539322f816778e2b627262,BNB,0.002
04/12/2021,06:53:12,bsc,0x5321a76c4093452ac002459b423180f109d6005703efb628dd090a70957456ed,https://bscscan.com/tx/0x5321a76c4093452ac002459b423180f109d6005703efb628dd090a70957456ed,send,0x791b45d07cf0d2132e539322f816778e2b627262,BNB,-0.002
08/06/2022,02:36:56,bsc,0x00f28985816431d492dc22b80dbea34175912439994ed4e76d9b3a9a6de9a2f9,https://bscscan.com/tx/0x00f28985816431d492dc22b80dbea34175912439994ed4e76d9b3a9a6de9a2f9,send,0x8584232ede7070cbd1b09ab9188c39406c8cf25b,BUSD,-8
05/11/2022,03:03:24,bsc,0x5a14e8c60fe82c98355ba3aa878c672ca0e7da2b64d8f4e0e6ab956e8e067935,https://bscscan.com/tx/0x5a14e8c60fe82c98355ba3aa878c672ca0e7da2b64d8f4e0e6ab956e8e067935,send,0x9d9328cc31fc3b98eeafaea0fc4df57a1fcaea09,BUSD,-20
10/02/2023,20:02:26,bsc,0x58d290d07d562c201279ef4fd6fe808de1a5998fc9ec7380008f7c436fb99b56,https://bscscan.com/tx/0x58d290d07d562c201279ef4fd6fe808de1a5998fc9ec7380008f7c436fb99b56,receive,0xa3b32f471825784efa3d2c359ebe341ead3285e2,BNB,0.6783757505859948
05/12/2022,02:22:29,matic,0x5915555263c3eb2edf0e2ca6de0f97d7910eb1d29c4d55cbff8f5f3fa8275253,https://polygonscan.com/tx/0x5915555263c3eb2edf0e2ca6de0f97d7910eb1d29c4d55cbff8f5f3fa8275253,send,0xa3b32f471825784efa3d2c359ebe341ead3285e2,MATIC,-0.1
24/11/2022,20:06:16,arb,0x9b5f58d4fa78942a3c3a2f2f02b956dfe6bd808d52bb787af69f385abf4555c2,https://arbiscan.io/tx/0x9b5f58d4fa78942a3c3a2f2f02b956dfe6bd808d52bb787af69f385abf4555c2,send,0xa3b32f471825784efa3d2c359ebe341ead3285e2,ETH,-0.001
01/10/2022,16:48:52,op,0x2e3a7196d0136a76ed07f2d51d82cd9776623388ee3b6b0880067ee64f1fe825,https://optimistic.etherscan.io/tx/0x2e3a7196d0136a76ed07f2d51d82cd9776623388ee3b6b0880067ee64f1fe825,send,0xa3b32f471825784efa3d2c359ebe341ead3285e2,ETH,-0.02945034003063179
03/09/2021,02:49:46,bsc,0x707093aeb6d0367538c5f369c5ac3f585a552330796a4f07a5ecde3f3c46e926,https://bscscan.com/tx/0x707093aeb6d0367538c5f369c5ac3f585a552330796a4f07a5ecde3f3c46e926,receive,0xab4fa35b93156b9e492635ae149886026d315855,USDT,10
05/12/2022,02:22:59,matic,0x439c35f6dc0d4486eba138f848101529da120f86b308243ea3b38efe6300c722,https://polygonscan.com/tx/0x439c35f6dc0d4486eba138f848101529da120f86b308243ea3b38efe6300c722,send,0xae04b0ba2242eb4900d5978e3cfac10dcff6c5c0,MATIC,-0.1
24/11/2022,20:07:05,arb,0xabdc547b48ed227c142797b398e83b63a817ba61fccb9685ca2139ec0b2adcf3,https://arbiscan.io/tx/0xabdc547b48ed227c142797b398e83b63a817ba61fccb9685ca2139ec0b2adcf3,send,0xae04b0ba2242eb4900d5978e3cfac10dcff6c5c0,ETH,-0.001
05/11/2022,03:02:12,bsc,0x9a73296b3a8e926c63eb86c17f971a460a003fe1e6bc1b510023e310fe862faf,https://bscscan.com/tx/0x9a73296b3a8e926c63eb86c17f971a460a003fe1e6bc1b510023e310fe862faf,send,0xb0b3b6f1ee807a52442f8bc71cc1c9242ceebb4d,BUSD,-20
20/06/2022,01:11:39,bsc,0x23ef980549e3e6c9edb209c41d522e4914e29fc94a0d2dbc9dc278cdfa353719,https://bscscan.com/tx/0x23ef980549e3e6c9edb209c41d522e4914e29fc94a0d2dbc9dc278cdfa353719,receive,0xb0b3b6f1ee807a52442f8bc71cc1c9242ceebb4d,BNB,0.0025
20/06/2022,01:09:24,bsc,0x45c0f520684744ac801b5bb5b2a951af07fba68b832b0c05f26a7439e9eb933c,https://bscscan.com/tx/0x45c0f520684744ac801b5bb5b2a951af07fba68b832b0c05f26a7439e9eb933c,send,0xb0b3b6f1ee807a52442f8bc71cc1c9242ceebb4d,BNB,-0.002
18/03/2022,22:59:39,matic,0x9ac77626be5573b815c6f44bd75af179e792409cc960574762eb526d6c38c39e,https://polygonscan.com/tx/0x9ac77626be5573b815c6f44bd75af179e792409cc960574762eb526d6c38c39e,send,0xb0b3b6f1ee807a52442f8bc71cc1c9242ceebb4d,MATIC,-0.5
18/03/2022,17:25:39,matic,0x4f95b7b7b4f1d2a91e8072ff71e63e8a6929f7a23b90436ed2c5e4423aef1a6b,https://polygonscan.com/tx/0x4f95b7b7b4f1d2a91e8072ff71e63e8a6929f7a23b90436ed2c5e4423aef1a6b,receive,0xb0b3b6f1ee807a52442f8bc71cc1c9242ceebb4d,MATIC,0.5
18/08/2022,01:54:48,eth,0x372f9b2291892663f77b76fb9c875037b705b28f4baa5db5637b7900ba7fdc1a,https://etherscan.io/tx/0x372f9b2291892663f77b76fb9c875037b705b28f4baa5db5637b7900ba7fdc1a,receive,0xb5017c6cd09e55fd8461ed10b6b03da67798e99d,ETH,0.0065
18/08/2022,01:23:35,eth,0x1be563506ebd250f69f0df66e2946749c33d3d7face3dcaed76d068d2c88f28e,https://etherscan.io/tx/0x1be563506ebd250f69f0df66e2946749c33d3d7face3dcaed76d068d2c88f28e,send,0xb5017c6cd09e55fd8461ed10b6b03da67798e99d,ETH,-0.006
14/05/2022,00:32:13,bsc,0xb4e352d6b4b30ddb3dd5b307906b25d7676c2c08d817c7563d218fbac8423b25,https://bscscan.com/tx/0xb4e352d6b4b30ddb3dd5b307906b25d7676c2c08d817c7563d218fbac8423b25,receive,0xb9ab15a30db93404d62a8ab8be4ab35474094568,BUSD,50
21/10/2021,16:29:09,bsc,0x9e1ecfba7c5912d0bee836db7363c666b99540c9ded514899580e707a35dd4b4,https://bscscan.com/tx/0x9e1ecfba7c5912d0bee836db7363c666b99540c9ded514899580e707a35dd4b4,send,0xc1fb79e8c5b317b4fd62b47295902d88a6fa0da3,BNB,-0.0004
11/09/2022,03:32:11,eth,0x42331d26b2b7772506c4cea684977495573719551904f0f20dc8b164be45680e,https://etherscan.io/tx/0x42331d26b2b7772506c4cea684977495573719551904f0f20dc8b164be45680e,receive,0xce7619427fa1bcb1f1b70eb160116410ad6e2f58,CATS,1
05/11/2022,03:01:12,bsc,0x9abc0fe93a5fe690baa7fc698ec4cbc8be6d023c492ce96ffb6aadae0422ff70,https://bscscan.com/tx/0x9abc0fe93a5fe690baa7fc698ec4cbc8be6d023c492ce96ffb6aadae0422ff70,send,0xfd4fa5fb43048c65d2e4108466986983559a4128,BUSD,-20
22/12/2021,17:59:25,bsc,0xf289aff56d44fd35a8720f006e9ab003e5ad3bd388b3fd6f41b3ee0e6391fb05,https://bscscan.com/tx/0xf289aff56d44fd35a8720f006e9ab003e5ad3bd388b3fd6f41b3ee0e6391fb05,receive,0xff0a5e6b499a067de28c6180c1adec76c4b8a377,BUSD,20
