Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
01/09/2021,20:20:15,bsc,0x68d7d262d9688a508dcde3199b16d1ee60b47489c793d24ff41301902be12e82,https://bscscan.com/tx/0x68d7d262d9688a508dcde3199b16d1ee60b47489c793d24ff41301902be12e82,receive,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,BNB,0.26613142343126683
23/06/2021,22:34:28,bsc,0xb735386937ede832508bb1a144c5abe5ccf86b1eb5d80c1649aeb8a1f8ddff52,https://bscscan.com/tx/0xb735386937ede832508bb1a144c5abe5ccf86b1eb5d80c1649aeb8a1f8ddff52,receive,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,BUSD,20.600151417496047
23/06/2021,22:30:25,bsc,0xce9b1b77562e1764186908f2f244c60d65d02b5afbb7c8ccf92b54634a6179a4,https://bscscan.com/tx/0xce9b1b77562e1764186908f2f244c60d65d02b5afbb7c8ccf92b54634a6179a4,receive,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,BUSD,10.004431736905884
11/04/2021,14:40:28,bsc,0x83c817a6a086886be8eecbfc5f9d303d410a53519dc6f00c3bea944ac60cadba,https://bscscan.com/tx/0x83c817a6a086886be8eecbfc5f9d303d410a53519dc6f00c3bea944ac60cadba,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,BNB,-0.01
01/03/2022,22:36:53,matic,0xd32715525d6039ad3f18c456de6810554260794b467d598ba3b9c4ab245fabde,https://polygonscan.com/tx/0xd32715525d6039ad3f18c456de6810554260794b467d598ba3b9c4ab245fabde,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,RBW,18
28/02/2022,04:08:00,matic,0x687dc24bf2f189b9a586a0a726411548f5cddc13e89b6fa2abbb1f946beba251,https://polygonscan.com/tx/0x687dc24bf2f189b9a586a0a726411548f5cddc13e89b6fa2abbb1f946beba251,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,MATIC,2
02/01/2022,00:33:41,matic,0x3aab8e0bb71d097b59ff3c7ae58a8579a14149e0c99e337eb6303edab19653ee,https://polygonscan.com/tx/0x3aab8e0bb71d097b59ff3c7ae58a8579a14149e0c99e337eb6303edab19653ee,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,MATIC,7.39446990994813
01/12/2021,23:52:54,matic,0xcd8cb0d5d0181af9c67179afe51d2263b5705579f96f1047e3573f43a5e3e031,https://polygonscan.com/tx/0xcd8cb0d5d0181af9c67179afe51d2263b5705579f96f1047e3573f43a5e3e031,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,MATIC,-7.583562687160673
17/10/2021,11:54:09,eth,0x1d6b0936b57cdd1b21d234c330a59247b56508f319f474003241782e4df9035a,https://etherscan.io/tx/0x1d6b0936b57cdd1b21d234c330a59247b56508f319f474003241782e4df9035a,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,ETH,-0.02
16/10/2021,14:34:37,matic,0x605c749a8816227c1d8fb16b0d4a7b8cb6b9696e6687589f244aee8b2254a3e7,https://polygonscan.com/tx/0x605c749a8816227c1d8fb16b0d4a7b8cb6b9696e6687589f244aee8b2254a3e7,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,USDT,-58.293935
