Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
26/03/2024,17:01:29,op,0x46049570eb4be3b56d972f1e0ac9b3a4c3a6c1fe18cb378a424824d00d71f088,https://optimistic.etherscan.io/tx/0x46049570eb4be3b56d972f1e0ac9b3a4c3a6c1fe18cb378a424824d00d71f088,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,6.86e-12
26/03/2024,15:16:53,op,0xdb611fa27dbd4fe3db911e2ca83ffa6636145cfa6324e66beea350c3259e3290,https://optimistic.etherscan.io/tx/0xdb611fa27dbd4fe3db911e2ca83ffa6636145cfa6324e66beea350c3259e3290,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1.59e-12
18/02/2024,04:09:19,base,0x0930277e5bcbfcf83b0ce24cd48ef49d7e2ca831e1f2cd169824a2b7bb3301a5,https://www.basescan.org/tx/0x0930277e5bcbfcf83b0ce24cd48ef49d7e2ca831e1f2cd169824a2b7bb3301a5,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,3.96e-12
31/12/2023,01:40:30,nova,0x9447cc9052d0fa47b227a89f5b9139bd61461c13c338ece4f5a92aafb8f6a259,https://nova.arbiscan.io/tx/0x9447cc9052d0fa47b227a89f5b9139bd61461c13c338ece4f5a92aafb8f6a259,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,2.8e-13
30/12/2023,05:38:51,opbnb,0x934e5fb0bb13fbc3c75f869227ea936a947a84d58838ea9c85bde81880ff6b55,https://mainnet.opbnbscan.com/tx/0x934e5fb0bb13fbc3c75f869227ea936a947a84d58838ea9c85bde81880ff6b55,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,BNB,7.14e-12
28/12/2023,05:19:35,opbnb,0x47742f75eb984fdffbe7769ee20a6e54f8b348e5837a520b464f8697bf5b27bc,https://mainnet.opbnbscan.com/tx/0x47742f75eb984fdffbe7769ee20a6e54f8b348e5837a520b464f8697bf5b27bc,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,BNB,7.35e-12
09/07/2023,21:59:12,nova,0xbc5d1d1589bd513fe26846d4daf425c7280550cdacc4a1af3f4da2fdf93cf753,https://nova.arbiscan.io/tx/0xbc5d1d1589bd513fe26846d4daf425c7280550cdacc4a1af3f4da2fdf93cf753,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1e-10
15/02/2024,10:16:52,opbnb,0x31ba4b00b98c6579af972c602557cfb39a837e06040fcae4d90eaa5c78dfccb3,https://mainnet.opbnbscan.com/tx/0x31ba4b00b98c6579af972c602557cfb39a837e06040fcae4d90eaa5c78dfccb3,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,BNB,3.65e-11
31/12/2023,07:18:20,opbnb,0x65eb28479eaf0583e0000af6f1b038d6056f76617824369ce43348b742b6c96b,https://mainnet.opbnbscan.com/tx/0x65eb28479eaf0583e0000af6f1b038d6056f76617824369ce43348b742b6c96b,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,BNB,4.9e-11
30/12/2023,05:24:05,base,0xb337e3b1fbf41128d3c939510e338b24742660deda6d39d5818e40bf75b39f83,https://www.basescan.org/tx/0xb337e3b1fbf41128d3c939510e338b24742660deda6d39d5818e40bf75b39f83,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,3.67e-11
29/12/2023,06:38:21,nova,0xad0b8bc0fbb5375e531193d3c0e4562513e4bfe18b9af4055b0758601b4a56d0,https://nova.arbiscan.io/tx/0xad0b8bc0fbb5375e531193d3c0e4562513e4bfe18b9af4055b0758601b4a56d0,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,4.69e-11
18/11/2023,16:49:11,pze,0x7e344672a2793737495da32e1dc6e6b368275b7eb6f35bcd90e0dda504b9cd05,https://zkevm.polygonscan.com/tx/0x7e344672a2793737495da32e1dc6e6b368275b7eb6f35bcd90e0dda504b9cd05,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,4.15e-11
19/10/2023,22:45:02,arb,0x3bb28304dae6188ecced3fc99969e1e73f59c4e72800359738e36212fa644b99,https://arbiscan.io/tx/0x3bb28304dae6188ecced3fc99969e1e73f59c4e72800359738e36212fa644b99,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,4.86e-11
