Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
27/07/2023,02:57:48,dfk,0x128ffb6f96656017b50b00d8c41be32ce9694727ad074052c1e4435bc523f6a5,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x128ffb6f96656017b50b00d8c41be32ce9694727ad074052c1e4435bc523f6a5,send,0x04c5b00702a584b793238546243d15f6edb61527,JEWEL,-1
25/07/2023,22:54:50,dfk,0x4fa8f04c14e691b6fa5a8a3afee86f88dfe7b76dfbb6233f4b1737c61beded08,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x4fa8f04c14e691b6fa5a8a3afee86f88dfe7b76dfbb6233f4b1737c61beded08,send,0x04c5b00702a584b793238546243d15f6edb61527,DFKGOLD,-10
21/12/2023,18:24:21,linea,0xd1ff97f60ef87490c22286305439b687703622c9a760da2ddc5c93b5e98d4fbf,https://lineascan.build/tx/0xd1ff97f60ef87490c22286305439b687703622c9a760da2ddc5c93b5e98d4fbf,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x72583127c49c5bba5e9d75197b1d06c3e3db66d70107f5d7c5c4d30588976bdf,https://lineascan.build/tx/0x72583127c49c5bba5e9d75197b1d06c3e3db66d70107f5d7c5c4d30588976bdf,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:52,nova,0xa4261a7cb5eb41e5ac252d56f1a60ec367aac4b4e2a9195f4d87084e825e9199,https://nova.arbiscan.io/tx/0xa4261a7cb5eb41e5ac252d56f1a60ec367aac4b4e2a9195f4d87084e825e9199,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003974882553496199
09/12/2023,13:00:49,linea,0x72ca83f499a27e28031dd1adfb5ec9ba2e25be17b0baab21d17b864b448856fe,https://lineascan.build/tx/0x72ca83f499a27e28031dd1adfb5ec9ba2e25be17b0baab21d17b864b448856fe,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.011305125330479152
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0xfecfa355deb94ec68c2f373d6849678b29e07e8137fb25b1154d473f32a8843a,https://polygonscan.com/tx/0xfecfa355deb94ec68c2f373d6849678b29e07e8137fb25b1154d473f32a8843a,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
05/01/2023,02:55:15,op,0xcf8297b0c8b59bacd9ce1396c17d71b728a7ada7ca5571e4edb50e6926aff3bf,https://optimistic.etherscan.io/tx/0xcf8297b0c8b59bacd9ce1396c17d71b728a7ada7ca5571e4edb50e6926aff3bf,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.001
