Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
27/05/2023,04:46:07,era,0xf7dfa2c8f640d00b502a402854ee3730142cfd2078dcdfa938c4438d87580f1d,https://era.zksync.network/tx/0xf7dfa2c8f640d00b502a402854ee3730142cfd2078dcdfa938c4438d87580f1d,send,0x005e4899a8b467d9cb8606a2c033375eb009883e,MINTSQ,-1
28/05/2023,23:12:08,era,0x2e5ce460c2c19fe60973a42fac8a12037c849df9ea0a382aa3ca8bd9c0756d66,https://era.zksync.network/tx/0x2e5ce460c2c19fe60973a42fac8a12037c849df9ea0a382aa3ca8bd9c0756d66,send,0x007e8f967a67d28b1b12bd0af4298e336e8f01af,MINTSQ,-1
05/04/2023,18:21:00,era,0xd55634852762f443242830df879e1f2e6394bba4a346c199e963307953709a96,https://era.zksync.network/tx/0xd55634852762f443242830df879e1f2e6394bba4a346c199e963307953709a96,send,0x008993e6d85dc421d2d62d3cabcff12661a37891,MINTSQ,-1
16/05/2023,03:33:53,era,0x4749e62c48158ef3add8b646bad22c9c9c7b0bd1a4ade7568bcc92c8b74dec42,https://era.zksync.network/tx/0x4749e62c48158ef3add8b646bad22c9c9c7b0bd1a4ade7568bcc92c8b74dec42,send,0x02a9fd9c2d7fd21b64ff0491b1cd549b60c7369d,MINTSQ,-1
06/06/2023,16:17:32,era,0xf04507adbf4d97741c7029c4a4c8a1b252d1fa241849cee13a990354ed7ac85e,https://era.zksync.network/tx/0xf04507adbf4d97741c7029c4a4c8a1b252d1fa241849cee13a990354ed7ac85e,send,0x030395e15777c721e9737009fa12ec0166586fb5,MINTSQ,-1
28/04/2023,03:14:20,era,0xcc5169f5aaf49b4db7ed070ec7c853353abe07eda3216af0205b74e5fc38ca7c,https://era.zksync.network/tx/0xcc5169f5aaf49b4db7ed070ec7c853353abe07eda3216af0205b74e5fc38ca7c,send,0x03e7ab483ea1d177e4be2472bf16ca17b8cf280d,MINTSQ,-1
02/06/2023,03:01:17,era,0xf84c5dad2906d7e6599e094710700a86713b62c6af67ca663a68426a381cb015,https://era.zksync.network/tx/0xf84c5dad2906d7e6599e094710700a86713b62c6af67ca663a68426a381cb015,send,0x04cdbf3007b42a104193a0f930359bcde50062a2,MINTSQ,-1
07/04/2023,03:44:41,era,0x7ab78d136933669f25747d5facd7fa3c874963175c7a580e546e83dea9abd558,https://era.zksync.network/tx/0x7ab78d136933669f25747d5facd7fa3c874963175c7a580e546e83dea9abd558,send,0x05129cba46f206ccabeb1b3298b90529930c700b,MINTSQ,-1
17/06/2023,22:32:41,era,0x97a4bb49fadb98470965ea0b949813fb3e3f75868c82a687f81cd6fa65ebd1b2,https://era.zksync.network/tx/0x97a4bb49fadb98470965ea0b949813fb3e3f75868c82a687f81cd6fa65ebd1b2,send,0x06a6ce20a1fa07868df4b88054d446d365cb8c04,MINTSQ,-1
02/06/2023,03:00:29,era,0x5904001b7e90cb67c45f70b3da131e0a48aef99077473e343d68c47e5f2cc03c,https://era.zksync.network/tx/0x5904001b7e90cb67c45f70b3da131e0a48aef99077473e343d68c47e5f2cc03c,send,0x06b4f02100e6757bb3d21291b541bbaa80f6ec90,MINTSQ,-1
31/05/2023,06:25:44,era,0x5061b7e27cfcb4a11784d741a236d93ab72de39055a936b135fad971c9641e46,https://era.zksync.network/tx/0x5061b7e27cfcb4a11784d741a236d93ab72de39055a936b135fad971c9641e46,send,0x06d69e57e29f90525238e8ab44250aba2e7644c7,MINTSQ,-1
31/05/2023,04:04:15,era,0x5ee6bda4453ba81718101befe9f80ad0f19f6233e7b8c6a23487c55866ad0b06,https://era.zksync.network/tx/0x5ee6bda4453ba81718101befe9f80ad0f19f6233e7b8c6a23487c55866ad0b06,send,0x070c8d9999a92f40686080b0647b46e4af4b833a,MINTSQ,-1
28/06/2023,22:43:49,era,0x1b41515e7711ee368343b74adc8233d759b68c754bc29247df4e077a12a75877,https://era.zksync.network/tx/0x1b41515e7711ee368343b74adc8233d759b68c754bc29247df4e077a12a75877,send,0x0765704786f33ae66651ea33919b77f887eeb551,MINTSQ,-1
