Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
31/01/2023,16:44:47,eth,0x67a9c2030c3ad07a0e52750ab35fb3fb0bde15af2b821a9d629a9810621a4559,https://etherscan.io/tx/0x67a9c2030c3ad07a0e52750ab35fb3fb0bde15af2b821a9d629a9810621a4559,receive,0x048428338774b8e2621ccf12137efb4cd8d350bf,ETH,0.0044
17/01/2023,15:42:11,arb,0x098de4f4de5b7ed0ecfc65d2b0f3c0d95f5ad79bc600a021d6ea9468bf5c3dad,https://arbiscan.io/tx/0x098de4f4de5b7ed0ecfc65d2b0f3c0d95f5ad79bc600a021d6ea9468bf5c3dad,send,0x0fa3b932be2e87170a71da4ca41ccfae821d063b,ETH,-0.0032
17/01/2023,17:18:04,arb,0xa481e2924b306c9c97511763babd02bd0597cb2b0e81370b81a06500a3f1974d,https://arbiscan.io/tx/0xa481e2924b306c9c97511763babd02bd0597cb2b0e81370b81a06500a3f1974d,send,0x12b695e19bde9e0fecec5feed75a4b37bb61ebc7,ETH,-0.0032
17/01/2023,15:47:43,arb,0xc5afa0551aa5a47027032901712d0dcc9192ad18fdb13e3fdfa4422334ec3fb4,https://arbiscan.io/tx/0xc5afa0551aa5a47027032901712d0dcc9192ad18fdb13e3fdfa4422334ec3fb4,send,0x134167a22c327e6badc29d3e230bcc08634f65dc,ETH,-0.0032
17/01/2023,15:56:19,arb,0x0522687ba07513ea0190e7df368e2a7f1ef9792e1174d9a900e9f2435df69933,https://arbiscan.io/tx/0x0522687ba07513ea0190e7df368e2a7f1ef9792e1174d9a900e9f2435df69933,send,0x134a5da7388f93c254d4d6aac2fa424523d5910c,ETH,-0.0032
04/02/2023,14:44:35,arb,0xc78f9607ae60a0a2d8d35891134636368301e01dfc8c5cddb71f94594ea119f3,https://arbiscan.io/tx/0xc78f9607ae60a0a2d8d35891134636368301e01dfc8c5cddb71f94594ea119f3,send,0x1bc808f2fca91fc48a0e8b7eeb4b68d61db32874,ETH,-0.0061
31/01/2023,18:09:46,arb,0xd2857f2aaef740388d5d9fbddb8a58d8d73350c5519c0b031d6f699e554e0ebb,https://arbiscan.io/tx/0xd2857f2aaef740388d5d9fbddb8a58d8d73350c5519c0b031d6f699e554e0ebb,send,0x1bc808f2fca91fc48a0e8b7eeb4b68d61db32874,ETH,-0.0064
17/01/2023,17:17:42,arb,0xac6cfd64c76d9dfcee71a73693da690ae4a665be1e4aa950f4630a7bbbd05956,https://arbiscan.io/tx/0xac6cfd64c76d9dfcee71a73693da690ae4a665be1e4aa950f4630a7bbbd05956,send,0x2093d1d590ac0c23c9049a9284fa117ee8ce4864,ETH,-0.0032
16/03/2024,10:01:14,linea,0xc78ff1ccdfc84aa833373d8819afd9d96ecc5d2167135b1fc4689782a245b146,https://lineascan.build/tx/0xc78ff1ccdfc84aa833373d8819afd9d96ecc5d2167135b1fc4689782a245b146,send,0x2930388b0b1616f7d7a300daedaa06a41bfc8d34,WETH,-0.0001
16/03/2024,09:27:08,era,0xa317c598cce281bafba051a58f64f45d82f25ea6f18646c25486dfd92f00ddea,https://era.zksync.network/tx/0xa317c598cce281bafba051a58f64f45d82f25ea6f18646c25486dfd92f00ddea,send,0x2930388b0b1616f7d7a300daedaa06a41bfc8d34,ETH,-0.0001
