Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
03/05/2024,18:33:00,era,0x56a1398086e37b88c6a39a84f9f59b2c56b555b1a45c51e0d29a2bd24a60f3b9,https://era.zksync.network/tx/0x56a1398086e37b88c6a39a84f9f59b2c56b555b1a45c51e0d29a2bd24a60f3b9,receive,0x12aff9b5c168fb1fa9a9ac28518bdd492d7c08ca,ETH,0.000032631695655181
04/05/2024,02:06:43,op,0x84eb16143898a689b212c842a4a99d2f49dfa7dc02ce718224b3f83229153393,https://optimistic.etherscan.io/tx/0x84eb16143898a689b212c842a4a99d2f49dfa7dc02ce718224b3f83229153393,receive,0x41705349a0f2b4f6ecdf0ffff128fcc4b9fc1a73,ETH,0.000003
02/05/2024,17:53:44,era,0x6a8c0cc3145a33622ee945eff4d25d3eef629a3e4bc6e7f3a13909bf195e44b1,https://era.zksync.network/tx/0x6a8c0cc3145a33622ee945eff4d25d3eef629a3e4bc6e7f3a13909bf195e44b1,receive,0x4abf7c9a316e3f2e0a692124d7135384c22b5d1f,ETH,0.000475830054997397
15/05/2024,22:32:49,op,0x1cd779101e9861cad39a61c24ede603d78bda7b88164544d30e46abdc051816d,https://optimistic.etherscan.io/tx/0x1cd779101e9861cad39a61c24ede603d78bda7b88164544d30e46abdc051816d,receive,0x5b44680901ba6b5988b7feada7123b8cfd6a1451,ETH,0.000007
06/05/2024,06:26:06,nova,0xdd517e7472bff6931a105597dc82988b5dbcbc3a3a909d3e157b6118c4bc6b2b,https://nova.arbiscan.io/tx/0xdd517e7472bff6931a105597dc82988b5dbcbc3a3a909d3e157b6118c4bc6b2b,send,0x60e47184fd5d3cb52ca8572255a16b405100f0b5,ETH,-0.000001721174370622
03/05/2024,19:23:16,matic,0x564f81f9ef10186c243c81e6ed4191b9008655e693b896f13a4daf048bb74182,https://polygonscan.com/tx/0x564f81f9ef10186c243c81e6ed4191b9008655e693b896f13a4daf048bb74182,receive,0x60e47184fd5d3cb52ca8572255a16b405100f0b5,MATIC,0.009263391402855464
03/05/2024,15:31:27,nova,0x408fd6049f4a4fdba22a751a517f5cf602fc3849bfeca2755a45eed7eb671479,https://nova.arbiscan.io/tx/0x408fd6049f4a4fdba22a751a517f5cf602fc3849bfeca2755a45eed7eb671479,send,0x60e47184fd5d3cb52ca8572255a16b405100f0b5,ETH,-0.000017
03/05/2024,13:38:14,scrl,0x96a067275da99f5cc8dbb998381d328926b2e6b0b45e1b28057214053ce62857,https://scrollscan.com/tx/0x96a067275da99f5cc8dbb998381d328926b2e6b0b45e1b28057214053ce62857,receive,0x60e47184fd5d3cb52ca8572255a16b405100f0b5,ETH,0.00015
03/05/2024,06:54:33,zora,0x99c171a1bc154fdb3a454d442345c1539eb80f938569edb454ad552803950e57,https://explorer.zora.energy/tx/0x99c171a1bc154fdb3a454d442345c1539eb80f938569edb454ad552803950e57,receive,0x60e47184fd5d3cb52ca8572255a16b405100f0b5,ETH,0.000367
04/05/2024,02:05:59,op,0x0dc46a8ed3da505c924f3bb42d020b471c3150937f1a2e0a7138b57cd2382b1b,https://optimistic.etherscan.io/tx/0x0dc46a8ed3da505c924f3bb42d020b471c3150937f1a2e0a7138b57cd2382b1b,receive,0x63a24855ae3c748ef4465c044e74be33335a2166,ETH,0.000003
15/05/2024,09:50:29,op,0xd32e570950afe5198a69ad1327231cc20d012fb6d4d101516991780d54ffa996,https://optimistic.etherscan.io/tx/0xd32e570950afe5198a69ad1327231cc20d012fb6d4d101516991780d54ffa996,receive,0x79498b1f26a8cdb4dd251d0932198700177e06df,ETH,0.000007
03/05/2024,10:35:59,manta,0xd71ad0f96b6b2d99b1563fb3307f814ef4c026f20a4007d49f4de0767f848dca,https://pacific-explorer.manta.network/tx/0xd71ad0f96b6b2d99b1563fb3307f814ef4c026f20a4007d49f4de0767f848dca,receive,0x7d64e59464430bff5ca2d2d4a9643ca59e66bda9,ETH,0.000066
15/05/2024,22:33:01,op,0x07afdd62cee110d2f95fc02e2acc908dafd7329e835c4a3dae1bfd29b73d7174,https://optimistic.etherscan.io/tx/0x07afdd62cee110d2f95fc02e2acc908dafd7329e835c4a3dae1bfd29b73d7174,receive,0x7ead8fd517aac7b96325fbd7c0586ed2e3f64962,ETH,0.00001
04/05/2024,02:06:25,op,0x24beef8d1e24154ed93c3082165f92caf51233fcb93af648450d8728cea1b353,https://optimistic.etherscan.io/tx/0x24beef8d1e24154ed93c3082165f92caf51233fcb93af648450d8728cea1b353,receive,0x85e0a06b27bccab49bd80220532552c008656b20,ETH,0.00001
15/05/2024,22:40:23,op,0xcc555019a97c0eb5d34f768416a1286d2c4b1426a2a49c4fc5163e93eb21299d,https://optimistic.etherscan.io/tx/0xcc555019a97c0eb5d34f768416a1286d2c4b1426a2a49c4fc5163e93eb21299d,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.000050460366
15/05/2024,22:39:55,op,0x9f3923e6cde26ae589ac1973199bf61143ce194d33a13c7a157b6a8d7dbceae7,https://optimistic.etherscan.io/tx/0x9f3923e6cde26ae589ac1973199bf61143ce194d33a13c7a157b6a8d7dbceae7,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,HL2,-1
15/05/2024,22:39:03,op,0xca7124bb52b49c4946b1c237fde6c3d2a9ba09cb1a199c6c63d3db65683fdc5f,https://optimistic.etherscan.io/tx/0xca7124bb52b49c4946b1c237fde6c3d2a9ba09cb1a199c6c63d3db65683fdc5f,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,HL2,-1
15/05/2024,22:37:59,op,0x5f3c3e127dad50cdcbbe22951cd31423f34eeb0308176b0102adfd4e6166e31e,https://optimistic.etherscan.io/tx/0x5f3c3e127dad50cdcbbe22951cd31423f34eeb0308176b0102adfd4e6166e31e,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,DIVEWITHTHEMERMAIDS,-1
15/05/2024,22:37:37,op,0x33d5d6fc05a81da354df987d2124d3d97c545d4ed6146744b4387b121353fb7c,https://optimistic.etherscan.io/tx/0x33d5d6fc05a81da354df987d2124d3d97c545d4ed6146744b4387b121353fb7c,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,LINEAVOYAGEUPDATEEXPLOREDEFIWITHLAYER2S,-1
15/05/2024,22:36:27,op,0x6eca0e356aa91453ddaf8b6e25fb8a0ea8d1330463f62ee0773c60c818aea573,https://optimistic.etherscan.io/tx/0x6eca0e356aa91453ddaf8b6e25fb8a0ea8d1330463f62ee0773c60c818aea573,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,Optimism quest,-1
15/05/2024,09:49:47,op,0x1d372d55e1ee4eb079b8361fa030677ae11c79d3cd77f65f98fb3a7a4df3a39e,https://optimistic.etherscan.io/tx/0x1d372d55e1ee4eb079b8361fa030677ae11c79d3cd77f65f98fb3a7a4df3a39e,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000003
15/05/2024,09:39:03,op,0x7ade6c6c1bf3c640e5f9fab01d9eed3702713fc9b04eb9ca695892d8db9e82f6,https://optimistic.etherscan.io/tx/0x7ade6c6c1bf3c640e5f9fab01d9eed3702713fc9b04eb9ca695892d8db9e82f6,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.000191
10/05/2024,16:55:08,linea,0xd0be8d6a4a043e4cd60afbef88733af11339d8693060c4cfe9b0707fe5355dd6,https://lineascan.build/tx/0xd0be8d6a4a043e4cd60afbef88733af11339d8693060c4cfe9b0707fe5355dd6,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.00002446434572475
10/05/2024,16:53:46,pze,0x07fa02b7ea9cdef264274af8e5965d9e702de06f238714b2ec9ada1ce90dc18d,https://zkevm.polygonscan.com/tx/0x07fa02b7ea9cdef264274af8e5965d9e702de06f238714b2ec9ada1ce90dc18d,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.00006100615578552
10/05/2024,16:47:14,linea,0xffb44de0075ad76c23a8eeb86abb328dbb5ce9cd58ebc149d3003133427ed125,https://lineascan.build/tx/0xffb44de0075ad76c23a8eeb86abb328dbb5ce9cd58ebc149d3003133427ed125,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ZEROv,-1
10/05/2024,16:40:07,pze,0xf9cf835c8148933e518e8b2d2c47094046a57b4cf59da7e655b216760305305c,https://zkevm.polygonscan.com/tx/0xf9cf835c8148933e518e8b2d2c47094046a57b4cf59da7e655b216760305305c,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,USDC,-0.940831
10/05/2024,16:39:45,pze,0x2d7c6adea4f660dd921fa4cb00cfd4076b2912d03e9a2ecd63e125b37aa65f1d,https://zkevm.polygonscan.com/tx/0x2d7c6adea4f660dd921fa4cb00cfd4076b2912d03e9a2ecd63e125b37aa65f1d,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000065897641
10/05/2024,00:46:14,era,0x4346074d2f47c2325f9dc62e49d7915c9b0daca724876e79506f0a32f2c4cbfd,https://era.zksync.network/tx/0x4346074d2f47c2325f9dc62e49d7915c9b0daca724876e79506f0a32f2c4cbfd,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.0000504294017
10/05/2024,00:45:27,era,0x358a6b44b3b44c3d8e4f747810abb9ebe1251c37813d5c4a2a7de8404e1f5633,https://era.zksync.network/tx/0x358a6b44b3b44c3d8e4f747810abb9ebe1251c37813d5c4a2a7de8404e1f5633,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000053
09/05/2024,13:16:41,era,0xd661e4fed69168d4817692e7583a43425d361f84bc9a135e49117e0c5ef835ff,https://era.zksync.network/tx/0xd661e4fed69168d4817692e7583a43425d361f84bc9a135e49117e0c5ef835ff,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.000164197568190602
09/05/2024,13:14:57,era,0x75fe266d6321cc851a9a42fe92829964cded130984c636a61ebf5ab59343272b,https://era.zksync.network/tx/0x75fe266d6321cc851a9a42fe92829964cded130984c636a61ebf5ab59343272b,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000083
09/05/2024,13:06:41,linea,0x9831bedf039c95b8eb24ec52f47ef0776b6d76aac9099fd5d782ac7610f08d1c,https://lineascan.build/tx/0x9831bedf039c95b8eb24ec52f47ef0776b6d76aac9099fd5d782ac7610f08d1c,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.000129012232511621
09/05/2024,13:05:23,linea,0x339ad13e7186efe152490b09d1dbd3b0a152c2d009b30a042e35e82d32f3c632,https://lineascan.build/tx/0x339ad13e7186efe152490b09d1dbd3b0a152c2d009b30a042e35e82d32f3c632,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000037
09/05/2024,04:23:17,hmy,0x11cf476b21a65e345dfd85ac39b10698e617f0201dab1e1a17bcd62ed8959736,https://explorer.harmony.one/tx/0x11cf476b21a65e345dfd85ac39b10698e617f0201dab1e1a17bcd62ed8959736,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ONE,-19.691622875142794
15/05/2024,19:30:45,matic,0x85508a7724b747ddab585adcaf7bc711314b6056ffb98689176fdc8852f51ea3,https://polygonscan.com/tx/0x85508a7724b747ddab585adcaf7bc711314b6056ffb98689176fdc8852f51ea3,send,0x9bf912ead53e84f0c72b1d73aa6fb4503189acbf,MATIC,-0.076127
25/04/2024,13:56:59,eth,0xc0a499a0de7cf75b4c43ea176852c4f2b2177c6ea0a73215c7233ec2ba3caebc,https://etherscan.io/tx/0xc0a499a0de7cf75b4c43ea176852c4f2b2177c6ea0a73215c7233ec2ba3caebc,send,0xa67072c48b0f0f51285e5b836ab668ba1b89d119,ALT,-1277.2105000000001
25/04/2024,13:56:57,arb,0x2b5d82f5c59feb4213cb4ae71867d8d0334850ac6d63d48bc1dda6cc1712d21b,https://arbiscan.io/tx/0x2b5d82f5c59feb4213cb4ae71867d8d0334850ac6d63d48bc1dda6cc1712d21b,send,0xa67072c48b0f0f51285e5b836ab668ba1b89d119,ARB,-302.9908102495478
25/04/2024,13:56:46,linea,0x9528806f8cc416395209bc65e3bbe376e96f9434c83fd5b94c0f30d0b22ac63e,https://lineascan.build/tx/0x9528806f8cc416395209bc65e3bbe376e96f9434c83fd5b94c0f30d0b22ac63e,send,0xa67072c48b0f0f51285e5b836ab668ba1b89d119,z0WETH,-0.10161718291161206
25/04/2024,13:56:43,linea,0x0a5b6b1ceb8f46c6cb3f448ca936b88fbd157b0cf636ca077056a55db29f1401,https://lineascan.build/tx/0x0a5b6b1ceb8f46c6cb3f448ca936b88fbd157b0cf636ca077056a55db29f1401,send,0xa67072c48b0f0f51285e5b836ab668ba1b89d119,z0ezETH,-0.2888194394310083
04/05/2024,02:07:01,op,0x443f6b475eac01711531fe43f71a948ed2af62779cda3ecce2d63db55ec51648,https://optimistic.etherscan.io/tx/0x443f6b475eac01711531fe43f71a948ed2af62779cda3ecce2d63db55ec51648,receive,0xb76a18305b685ea74b601b31b1ac99e13347122c,ETH,0.000006
03/05/2024,10:35:29,manta,0x524ee5d1c57cbd5ad813d0017ee205b34f8209959b6b50cae9fc449d597eea0e,https://pacific-explorer.manta.network/tx/0x524ee5d1c57cbd5ad813d0017ee205b34f8209959b6b50cae9fc449d597eea0e,receive,0xb76a18305b685ea74b601b31b1ac99e13347122c,ETH,0.000132
09/05/2024,13:09:56,era,0x03948f7aa3c143bc1fc4fc2f73e63e63cf765c60ac782c8709f45eb5b3cd467c,https://era.zksync.network/tx/0x03948f7aa3c143bc1fc4fc2f73e63e63cf765c60ac782c8709f45eb5b3cd467c,receive,0xc6f8388d70ab3dc6c645c8793b622e0819b93ba7,ETH,0.000005759200690602
06/05/2024,12:04:57,base,0xc0decb5e4a7f425c85d2123ad2124a136781b9e06cb4a37a22548a8009b700e9,https://www.basescan.org/tx/0xc0decb5e4a7f425c85d2123ad2124a136781b9e06cb4a37a22548a8009b700e9,send,0xc6f8388d70ab3dc6c645c8793b622e0819b93ba7,ETH,-0.000004032149303885
