Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
12/04/2023,16:57:52,bsc,0x8f58d34ee425b717605fbee5ab8ce0f31c548ce393b26520a6349589e7596d7e,https://bscscan.com/tx/0x8f58d34ee425b717605fbee5ab8ce0f31c548ce393b26520a6349589e7596d7e,receive,0x0075c169d8887f902cf881fedc26ad0ebc7c8c19,USDT,200
17/08/2022,17:31:04,bsc,0x22a684add777caebe4323ed862a47d840f0d1209542ca61cf04c327d3b120779,https://bscscan.com/tx/0x22a684add777caebe4323ed862a47d840f0d1209542ca61cf04c327d3b120779,receive,0x0e01536c59ac4c883c12f80e3225029c8d69ce17,BUSD,250
11/09/2023,14:36:35,eth,0x85a958b1e2b7d03b8aabbbaebe79fef3d5ddd361235a7589eb2939b0cd5fe2cb,https://etherscan.io/tx/0x85a958b1e2b7d03b8aabbbaebe79fef3d5ddd361235a7589eb2939b0cd5fe2cb,receive,0x123de709a16611f696f7d7b5227c99a6ff57a5ba,USDC,75
30/08/2023,16:09:59,eth,0xf48e3e7ce88353fcbab1c54885623cd3b93d7343d6be666f3d7049814e24650d,https://etherscan.io/tx/0xf48e3e7ce88353fcbab1c54885623cd3b93d7343d6be666f3d7049814e24650d,receive,0x42b0a3c7f94a9ee4ac3e2242ec8031f45df7f589,WETH,0.030153846986301372
01/08/2022,17:24:24,bsc,0x0ddd35a81d3cf9a0597e6346a400408d7ca4886c01690b9c24eae1c44f3bd87e,https://bscscan.com/tx/0x0ddd35a81d3cf9a0597e6346a400408d7ca4886c01690b9c24eae1c44f3bd87e,send,0x49b3db0fd5b98924d42dfad18a11c08f7d7a3e5f,BNB,-0.3
17/03/2022,22:26:01,ftm,0x35c95fca81a1e9d10bc6a93ba4d2125af0c72665cf83df663be3d18a617f092a,https://ftmscan.com/tx/0x35c95fca81a1e9d10bc6a93ba4d2125af0c72665cf83df663be3d18a617f092a,receive,0x49b3db0fd5b98924d42dfad18a11c08f7d7a3e5f,FTM,1
21/02/2022,19:06:55,eth,0x56bb8cba935db7ad081fc647dcc2f1a4083769fb99be055f20d199a238ed6b50,https://etherscan.io/tx/0x56bb8cba935db7ad081fc647dcc2f1a4083769fb99be055f20d199a238ed6b50,receive,0x56c372522c5f82bb9e4934541f0cc8efb61f543d,USDT,1400
19/12/2021,17:00:29,bsc,0x223bbc8fb0e7df4e9e577ab7ea4904b88dcaff933fa0252ceff9b772bd323bba,https://bscscan.com/tx/0x223bbc8fb0e7df4e9e577ab7ea4904b88dcaff933fa0252ceff9b772bd323bba,send,0x593cb13b5bbcb2ba8456aa15cda4c96418373faa,USDT,-250
28/08/2023,21:23:11,eth,0x480b6f5c9f38c5b125dbe912eb1f7a2c1e559704e14538cc82cbf26a7baf9ffc,https://etherscan.io/tx/0x480b6f5c9f38c5b125dbe912eb1f7a2c1e559704e14538cc82cbf26a7baf9ffc,send,0x611fa2cd83b61840f4a7229566bf988adfefbfb7,WETH,-0.03006682191780822
15/03/2024,12:02:32,era,0x82e34fb79660a43d59ac16b98e5ffd796ddfba23a61b6607f48c253bc35745b7,https://era.zksync.network/tx/0x82e34fb79660a43d59ac16b98e5ffd796ddfba23a61b6607f48c253bc35745b7,receive,0x95205e1fba8dee07dd457558c83a6d395910570c,community,1
23/01/2024,19:47:13,matic,0x4e52f0deb179b8b1da77ee4b78b9261abbe8fa3b7bc27c94137b49df40a214eb,https://polygonscan.com/tx/0x4e52f0deb179b8b1da77ee4b78b9261abbe8fa3b7bc27c94137b49df40a214eb,send,0x9b012d84b5533262401372c5b5df12b756a717de,GOD,-300
04/01/2022,15:39:35,bsc,0x585f13bdd2285a94cb6475d4fbdca95e02d8ae6599a6d00c864005623c99c76a,https://bscscan.com/tx/0x585f13bdd2285a94cb6475d4fbdca95e02d8ae6599a6d00c864005623c99c76a,send,0x9f45f7f50e90337fa50c625db98ae584bc1dc48c,USDT,-16
04/01/2022,15:38:31,avax,0x5c32b7a015f5ffb39bdb43e94527ce17d1fffdaec0fbdb0236db93552faedeed,https://snowscan.xyz/tx/0x5c32b7a015f5ffb39bdb43e94527ce17d1fffdaec0fbdb0236db93552faedeed,receive,0x9f45f7f50e90337fa50c625db98ae584bc1dc48c,AVAX,0.1
27/12/2021,15:41:36,eth,0x0e50ca92a3537f7f78a6eafa5c77665948878821a01a1b4e0b32ec4e14aa36ca,https://etherscan.io/tx/0x0e50ca92a3537f7f78a6eafa5c77665948878821a01a1b4e0b32ec4e14aa36ca,receive,0xc2831db0e59fe85c626310fd425b67d6cadbcac5,ETH,0.24644685250402323
29/10/2022,23:15:47,eth,0x25d8f0fbb03850d4dd11a74fed2effda3fc93826e27d14f8aae3cf679df03f00,https://etherscan.io/tx/0x25d8f0fbb03850d4dd11a74fed2effda3fc93826e27d14f8aae3cf679df03f00,receive,0xcbacfd488370d9a611b3584070b98ad0c5597250,USDT,250
28/10/2022,13:21:23,eth,0x7f37f66bb060ec79e31762370d9def7987b10331c496808d47c44d446b5bb6c6,https://etherscan.io/tx/0x7f37f66bb060ec79e31762370d9def7987b10331c496808d47c44d446b5bb6c6,receive,0xcbacfd488370d9a611b3584070b98ad0c5597250,USDT,250
13/12/2021,18:51:43,bsc,0x1b398aa8396b875f47a3244e317730c11b14bdf9b5559de24a45ec21db741f4f,https://bscscan.com/tx/0x1b398aa8396b875f47a3244e317730c11b14bdf9b5559de24a45ec21db741f4f,send,0xe158aa3e8520c9ecb258501d4604d3233c889a98,USDT,-10
14/03/2023,11:07:07,bsc,0xb929d32ca35eed6f817c54ed3195de4d8824909bc6e4d77364732a0d5ddb706f,https://bscscan.com/tx/0xb929d32ca35eed6f817c54ed3195de4d8824909bc6e4d77364732a0d5ddb706f,receive,0xe707a03e3eeb2b6e614055fa059ed1b918e78b5c,USDT,100
10/03/2023,20:12:21,bsc,0xe6fbe0d4ba470a6826fdfddf15c318751465d8cdaa103aac44e6c67788e6c9ed,https://bscscan.com/tx/0xe6fbe0d4ba470a6826fdfddf15c318751465d8cdaa103aac44e6c67788e6c9ed,receive,0xe707a03e3eeb2b6e614055fa059ed1b918e78b5c,USDT,100
09/01/2022,01:44:20,matic,0xb0de5f1dcb24a35e597e6966778cf99242095a250847056e0fc54171c97eaa4c,https://polygonscan.com/tx/0xb0de5f1dcb24a35e597e6966778cf99242095a250847056e0fc54171c97eaa4c,send,0xf04a9bb6a074b004b9996cee64b0c5c7d815f32d,MATIC,-1
15/11/2023,12:50:18,bsc,0x8a162a42765cc47c07e97e007abc5c9e33ffa64802ae67ccb01d64b52a312e4e,https://bscscan.com/tx/0x8a162a42765cc47c07e97e007abc5c9e33ffa64802ae67ccb01d64b52a312e4e,receive,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,ETH,0.7184473560770178
14/11/2023,15:35:04,bsc,0x1b35add8e59e9cb5f2c752f12ac34b9c30231f88ae6a4d443edab91c9778c32e,https://bscscan.com/tx/0x1b35add8e59e9cb5f2c752f12ac34b9c30231f88ae6a4d443edab91c9778c32e,send,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,BNB,-0.005
14/11/2023,15:34:40,bsc,0x3f6faa79091b90726ee197b3784c327ff8253d99db3abea8284b1072c269521b,https://bscscan.com/tx/0x3f6faa79091b90726ee197b3784c327ff8253d99db3abea8284b1072c269521b,send,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,ETH,-0.7184473560770178
14/11/2023,15:34:25,bsc,0xc1f8b60d4416739bcb35816abde03585a5a5b0853897148b3a883b8f21679b73,https://bscscan.com/tx/0xc1f8b60d4416739bcb35816abde03585a5a5b0853897148b3a883b8f21679b73,send,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,BTCB,-0.04810279489053202
23/06/2023,21:24:38,bsc,0x9df616bc50603c05e60c9ae6d32161e801c72e7924d157ffea6cf0dcec9a3cf4,https://bscscan.com/tx/0x9df616bc50603c05e60c9ae6d32161e801c72e7924d157ffea6cf0dcec9a3cf4,send,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,USDT,-800
15/06/2023,01:40:53,bsc,0xb243229ea271d1d5cd64bc5c9ddaf573034546a7d9321901ffb998a546ea6a5f,https://bscscan.com/tx/0xb243229ea271d1d5cd64bc5c9ddaf573034546a7d9321901ffb998a546ea6a5f,send,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,USDT,-199.95939036103331
15/06/2023,01:38:41,bsc,0x6322390f8e1119e973d1e7d233542fd89397fefaa0a53d633cd379d02cb568be,https://bscscan.com/tx/0x6322390f8e1119e973d1e7d233542fd89397fefaa0a53d633cd379d02cb568be,send,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,USDT,-233.031959735776
14/05/2023,16:07:49,bsc,0x80f8a3638b65eec33e58e54c6e3b73ee58bc132961dbad2070b194b3893e64e5,https://bscscan.com/tx/0x80f8a3638b65eec33e58e54c6e3b73ee58bc132961dbad2070b194b3893e64e5,receive,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,BTCB,0.01908878
07/05/2023,15:07:33,bsc,0x68798592852828e58247a81cde13e3c7ea5a9ffb973064cd2f89230e2f9be074,https://bscscan.com/tx/0x68798592852828e58247a81cde13e3c7ea5a9ffb973064cd2f89230e2f9be074,send,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,BNB,-0.005
07/05/2023,15:04:54,bsc,0xbc099e89dc7024f908f2a7ac5d51d4227a13f95d68caff38e1c9cf8de823e377,https://bscscan.com/tx/0xbc099e89dc7024f908f2a7ac5d51d4227a13f95d68caff38e1c9cf8de823e377,receive,0xf0adec4f0c2955c56a3243f30392e54ac39ef931,BNB,0.03447508576010779
15/05/2023,00:15:31,bsc,0xc7658f54a7566ee63425985a7c4eb07e4d6e5454810a41490dce96c694ea2fa9,https://bscscan.com/tx/0xc7658f54a7566ee63425985a7c4eb07e4d6e5454810a41490dce96c694ea2fa9,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,BNB,0.02
09/05/2023,18:26:33,bsc,0x94e8f0271b722c3110df11ffc153b7147a6f91e3eb6d7943d9d803f244cd1225,https://bscscan.com/tx/0x94e8f0271b722c3110df11ffc153b7147a6f91e3eb6d7943d9d803f244cd1225,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,BNB,0.006
20/04/2023,00:04:15,arb,0xd9a391df5e173e7b51e96c41520b0311350ce82804dec06390ea58163f27d0e7,https://arbiscan.io/tx/0xd9a391df5e173e7b51e96c41520b0311350ce82804dec06390ea58163f27d0e7,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,ETH,0.005084897692913403
19/04/2023,18:28:13,bsc,0xf4b67db52dcb961720b93fca1eed414af2106a971aaecb2e3e2fb5f555907fcb,https://bscscan.com/tx/0xf4b67db52dcb961720b93fca1eed414af2106a971aaecb2e3e2fb5f555907fcb,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,USDT,1.5
19/04/2023,18:26:37,bsc,0x470a9d4b7d7b556993f1a8fb601f1a62da268b12fdbb065b3e7a7816e77a9d26,https://bscscan.com/tx/0x470a9d4b7d7b556993f1a8fb601f1a62da268b12fdbb065b3e7a7816e77a9d26,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,USDT,1.259381
12/04/2023,12:43:47,eth,0x31135b5d81b1816e0f09789ba2d83ecf62d90803df801faf653f6d35c4e1d47f,https://etherscan.io/tx/0x31135b5d81b1816e0f09789ba2d83ecf62d90803df801faf653f6d35c4e1d47f,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,ETH,0.1
09/04/2023,13:42:23,eth,0x31437b5acda05254a396881920da086e902216b161f832034684671b91030f55,https://etherscan.io/tx/0x31437b5acda05254a396881920da086e902216b161f832034684671b91030f55,send,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,ETH,-0.5676774995485713
02/04/2023,16:07:23,eth,0x7e931728546197ea7d4e7c27b5db1d964217b37c22593a6d76832e384759a96b,https://etherscan.io/tx/0x7e931728546197ea7d4e7c27b5db1d964217b37c22593a6d76832e384759a96b,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,ETH,0.1005091045331419
22/02/2023,21:03:59,eth,0xc093f0bbd24c53f5b3b6599eb7a4593e1819b6023c641c11ca9998f95bc0327a,https://etherscan.io/tx/0xc093f0bbd24c53f5b3b6599eb7a4593e1819b6023c641c11ca9998f95bc0327a,send,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,ETH,-0.013
14/01/2023,20:33:20,matic,0x096f5a170b967907ab964b26fb0fbabb8cc86730b4858ad304035eabe2f11162,https://polygonscan.com/tx/0x096f5a170b967907ab964b26fb0fbabb8cc86730b4858ad304035eabe2f11162,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,MATIC,0.085615276107865
12/01/2023,23:49:11,eth,0x6d525f9a510bc467ef70294cd0f62927be8d1d1a433e8e2bb8858cbb555d7b69,https://etherscan.io/tx/0x6d525f9a510bc467ef70294cd0f62927be8d1d1a433e8e2bb8858cbb555d7b69,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,ETH,0.015091163231306317
07/12/2022,01:01:00,bsc,0x176539c80ffae8fc6f0e9901d792f3b86095d12511a9a76d47e2d9ff847af7c8,https://bscscan.com/tx/0x176539c80ffae8fc6f0e9901d792f3b86095d12511a9a76d47e2d9ff847af7c8,receive,0xffe1ce2814116b47b5f4d20a208b773dcc1fef20,BNB,0.000562245185409565
