Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
18/12/2022,23:51:57,op,0x62fd57ef2b181ec1d17fb2f53c9c49db6436ff6af686dfa6e57c950d6caed5ba,https://optimistic.etherscan.io/tx/0x62fd57ef2b181ec1d17fb2f53c9c49db6436ff6af686dfa6e57c950d6caed5ba,receive,0x07361753e6dfd882965d9028567776d7b2873204,USDC,55
08/01/2023,16:08:23,eth,0x4242b93073de777a6f7f58a1b227ad99ac593c07e977112d0b8c724f7980ad14,https://etherscan.io/tx/0x4242b93073de777a6f7f58a1b227ad99ac593c07e977112d0b8c724f7980ad14,receive,0x17f6db1eb580da119ec06fb4972a805f4d78d984,BOOK,1
06/01/2023,01:01:23,eth,0x857b1108a2b6b711908c245f8e2c14183f5b94864fb0e72a8b412e1ef35d0a9c,https://etherscan.io/tx/0x857b1108a2b6b711908c245f8e2c14183f5b94864fb0e72a8b412e1ef35d0a9c,receive,0x17f6db1eb580da119ec06fb4972a805f4d78d984,ETH,0.32
06/01/2023,19:28:25,matic,0xdd551fb144bac4f8a6219d7f370fa5ba19d4db7244493889ce565f7107be301a,https://polygonscan.com/tx/0xdd551fb144bac4f8a6219d7f370fa5ba19d4db7244493889ce565f7107be301a,receive,0x229e85f66d63088fdc9e29e70a1c5d93e80ffaaa,MATIC,0.28
30/09/2022,03:07:11,eth,0x3df1bfdb4e50353f113552175c3a59fddb3abc86e0cefa4de82dc15b649df89b,https://etherscan.io/tx/0x3df1bfdb4e50353f113552175c3a59fddb3abc86e0cefa4de82dc15b649df89b,receive,0x229e85f66d63088fdc9e29e70a1c5d93e80ffaaa,ETH,0.0013
19/08/2022,04:29:50,op,0xe16b52628200a3d8ae90549e88259c4608156dea2114264d313ac46e7f7bcf4d,https://optimistic.etherscan.io/tx/0xe16b52628200a3d8ae90549e88259c4608156dea2114264d313ac46e7f7bcf4d,receive,0x229e85f66d63088fdc9e29e70a1c5d93e80ffaaa,ETH,0.00336
04/07/2022,05:47:59,arb,0xdc0b0d5ee81fff6360861d8f3617ca742b03a39a6400f3753b8eff5613c77943,https://arbiscan.io/tx/0xdc0b0d5ee81fff6360861d8f3617ca742b03a39a6400f3753b8eff5613c77943,receive,0x229e85f66d63088fdc9e29e70a1c5d93e80ffaaa,ETH,0.002957953359115454
27/06/2022,08:34:04,arb,0x3497ccf792654eef4795541159c46839bddd33f1d5e3951bd85c30442febff50,https://arbiscan.io/tx/0x3497ccf792654eef4795541159c46839bddd33f1d5e3951bd85c30442febff50,send,0x229e85f66d63088fdc9e29e70a1c5d93e80ffaaa,ETH,-0.001
27/06/2022,08:34:00,xdai,0x70035f7162422f328a2a848afacf254380472cf08241625a28f833fba321a3c5,https://gnosisscan.io/tx/0x70035f7162422f328a2a848afacf254380472cf08241625a28f833fba321a3c5,send,0x229e85f66d63088fdc9e29e70a1c5d93e80ffaaa,xDai,-1
26/06/2022,10:48:28,matic,0xdcb7be809866310b386abc96d2f8e0831bb5a5a6f15d6c426054a19d2addfa3b,https://polygonscan.com/tx/0xdcb7be809866310b386abc96d2f8e0831bb5a5a6f15d6c426054a19d2addfa3b,send,0x229e85f66d63088fdc9e29e70a1c5d93e80ffaaa,MATIC,-3.3
