Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
25/08/2022,04:38:25,eth,0x54a62f608915458beae4dbb35a4fdf888e41c6ac917d5811bb2b3110dccfa122,https://etherscan.io/tx/0x54a62f608915458beae4dbb35a4fdf888e41c6ac917d5811bb2b3110dccfa122,receive,0x0a1bdaee6e05f5f02f3885f3e25927256f5e46a7,POC,1
25/08/2022,03:54:13,eth,0x6bb1c448ce593e5eb81d624d3dc40abded4f49b7e42be307d8020f22ad515313,https://etherscan.io/tx/0x6bb1c448ce593e5eb81d624d3dc40abded4f49b7e42be307d8020f22ad515313,send,0x0a1bdaee6e05f5f02f3885f3e25927256f5e46a7,POC,-1
28/04/2022,02:22:51,eth,0xf945019a126f1e61a275b71e71dd2dcbad36e7da3ac99f5d648e7b6b29f14b15,https://etherscan.io/tx/0xf945019a126f1e61a275b71e71dd2dcbad36e7da3ac99f5d648e7b6b29f14b15,send,0x0a1bdaee6e05f5f02f3885f3e25927256f5e46a7,ETH,-0.1
27/04/2022,22:01:31,bsc,0x4460c8630b00af909a080ce5951e85f407af8750ec02b07a6db1a294fbd86d12,https://bscscan.com/tx/0x4460c8630b00af909a080ce5951e85f407af8750ec02b07a6db1a294fbd86d12,send,0x0a1bdaee6e05f5f02f3885f3e25927256f5e46a7,BUSD,-2925
06/07/2023,02:52:23,eth,0x8ec065c83122ed792155e2a557a8e10f1360b523e47cbe832e73f38fb8803110,https://etherscan.io/tx/0x8ec065c83122ed792155e2a557a8e10f1360b523e47cbe832e73f38fb8803110,receive,0x0ffe8cb0025142bfad0cb4d1be0c82d8a757ef7e,ETH,0.018332676299086213
24/01/2023,22:10:35,eth,0x8a2f952b30e79e7937e76db5cce4ebce206c8feca911d07b159b154f095690f2,https://etherscan.io/tx/0x8a2f952b30e79e7937e76db5cce4ebce206c8feca911d07b159b154f095690f2,send,0x0ffe8cb0025142bfad0cb4d1be0c82d8a757ef7e,ETH,-0.05
21/11/2022,04:27:47,eth,0x7c4d887e2cd884a50bb471ee6e7a052c0a360c75154cdc6c1c04aa9c158b918b,https://etherscan.io/tx/0x7c4d887e2cd884a50bb471ee6e7a052c0a360c75154cdc6c1c04aa9c158b918b,receive,0x19a468c55a3e2270dbad401daf5ee2d6218dafd8,ETH,6.4
21/11/2022,03:08:59,eth,0xd9c00d7027f7abd1b5d9962f78cb9147c11ffe057488764084f2645d8e671950,https://etherscan.io/tx/0xd9c00d7027f7abd1b5d9962f78cb9147c11ffe057488764084f2645d8e671950,receive,0x19a468c55a3e2270dbad401daf5ee2d6218dafd8,ETH,2
14/08/2023,22:57:06,arb,0x208477b4a84dba554060cfe8e728436cf714e8a645e2156b601471ea21ac9e87,https://arbiscan.io/tx/0x208477b4a84dba554060cfe8e728436cf714e8a645e2156b601471ea21ac9e87,receive,0x1a2f1bbd9e26fd50c4f4ba7bee7aedff5b0c190c,ETH,0.5
14/08/2023,04:23:47,base,0xed11fa518a9ed103f77065af08c646f7508890a0e02eb4f7fa2683d6caecb434,https://www.basescan.org/tx/0xed11fa518a9ed103f77065af08c646f7508890a0e02eb4f7fa2683d6caecb434,receive,0x1a2f1bbd9e26fd50c4f4ba7bee7aedff5b0c190c,ETH,1.641
09/08/2023,06:02:23,mnt,0x52acc09bcfa0a6b2f3528b4b6ed491d611a40e0bce817d5d9fc26207b2ad766e,https://mantlescan.xyz/tx/0x52acc09bcfa0a6b2f3528b4b6ed491d611a40e0bce817d5d9fc26207b2ad766e,receive,0x1a2f1bbd9e26fd50c4f4ba7bee7aedff5b0c190c,MNT,1301
09/08/2023,02:49:07,mnt,0xc1aee6f530e130838542ae94809fe425dcaf32b97611d48d261d9033590e3fc6,https://mantlescan.xyz/tx/0xc1aee6f530e130838542ae94809fe425dcaf32b97611d48d261d9033590e3fc6,send,0x1a2f1bbd9e26fd50c4f4ba7bee7aedff5b0c190c,MNT,-100
09/08/2023,02:25:04,mnt,0x8c8e2d60d72644e4bb2954947c49ae18ec6e043608937263e64b404f38228132,https://mantlescan.xyz/tx/0x8c8e2d60d72644e4bb2954947c49ae18ec6e043608937263e64b404f38228132,receive,0x1a2f1bbd9e26fd50c4f4ba7bee7aedff5b0c190c,MOGE,6000000
09/08/2023,02:20:01,mnt,0x757a6604f506f5a958def3abe1d81369513e492b7f463dc743ed5a6577b06c8a,https://mantlescan.xyz/tx/0x757a6604f506f5a958def3abe1d81369513e492b7f463dc743ed5a6577b06c8a,receive,0x1a2f1bbd9e26fd50c4f4ba7bee7aedff5b0c190c,MNT,100
05/08/2023,17:24:11,eth,0x6180da8199ebab050cd80260bb862e89f73085fa46fb803c19cb366eea90f285,https://etherscan.io/tx/0x6180da8199ebab050cd80260bb862e89f73085fa46fb803c19cb366eea90f285,receive,0x1a2f1bbd9e26fd50c4f4ba7bee7aedff5b0c190c,ETH,0.0275
05/08/2023,17:21:57,base,0x86912d29001a45bd2f446c4c3b9979e5fa22933e8b1df57245faa3c1e74ca8da,https://www.basescan.org/tx/0x86912d29001a45bd2f446c4c3b9979e5fa22933e8b1df57245faa3c1e74ca8da,receive,0x1a2f1bbd9e26fd50c4f4ba7bee7aedff5b0c190c,ETH,1.917
05/10/2021,13:13:18,bsc,0x042339e7d1af4919a7c0b96aedb41ad4fbd8c7dea2af793b9362b7f6365be672,https://bscscan.com/tx/0x042339e7d1af4919a7c0b96aedb41ad4fbd8c7dea2af793b9362b7f6365be672,receive,0x1a97a59674dff69d3202970762ce3562f885b944,LPOOL,105.21
21/09/2021,14:48:23,bsc,0x71f77f9be5651139bece83a6b3a98c4014d1e994510111cb2e95172133bd0873,https://bscscan.com/tx/0x71f77f9be5651139bece83a6b3a98c4014d1e994510111cb2e95172133bd0873,send,0x1a97a59674dff69d3202970762ce3562f885b944,BUSD,-2
