Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
27/04/2022,17:50:53,bsc,0x302c98318e94cf28e68269bba7a921fbcf943d545a8ddb4948302dd157aee3d7,https://bscscan.com/tx/0x302c98318e94cf28e68269bba7a921fbcf943d545a8ddb4948302dd157aee3d7,send,0x02b5720f49258b347b2c4b4fa8e93a25b26adc6e,USDT,-5
29/10/2022,17:20:47,eth,0x9672c869c6d3416bfcb412964e08a4f312ce92279d2a1c7400780b55c9210608,https://etherscan.io/tx/0x9672c869c6d3416bfcb412964e08a4f312ce92279d2a1c7400780b55c9210608,send,0x049d0bd599051d6356cfc8533acee912243786a3,ETH,-0.034
28/10/2022,02:05:59,eth,0xcb3ec78f05fd959d7bf282dc4c1325ffa22ad19affa94041e43d62a1fd0f264f,https://etherscan.io/tx/0xcb3ec78f05fd959d7bf282dc4c1325ffa22ad19affa94041e43d62a1fd0f264f,receive,0x049d0bd599051d6356cfc8533acee912243786a3,ETH,0.08034288216806637
27/10/2022,20:04:59,eth,0x6a28f7ca5ec21d56b260ebd2521d2cd1753e0bdb4d80fcead3b29277207db104,https://etherscan.io/tx/0x6a28f7ca5ec21d56b260ebd2521d2cd1753e0bdb4d80fcead3b29277207db104,send,0x049d0bd599051d6356cfc8533acee912243786a3,ETH,-0.087
16/09/2022,16:04:33,bsc,0x7f88a78d73e6c354297f3cd74564fad9dfbae30b433090c1d3c991b8a286b151,https://bscscan.com/tx/0x7f88a78d73e6c354297f3cd74564fad9dfbae30b433090c1d3c991b8a286b151,receive,0x049d0bd599051d6356cfc8533acee912243786a3,BNB,0.063
16/09/2022,16:01:09,bsc,0xbe6333b50cd3b45121df3c8af2d3c3b4491cd7b4eced77ce4d999c4e6bb6910a,https://bscscan.com/tx/0xbe6333b50cd3b45121df3c8af2d3c3b4491cd7b4eced77ce4d999c4e6bb6910a,send,0x049d0bd599051d6356cfc8533acee912243786a3,BNB,-0.06
16/09/2022,14:54:28,bsc,0x995ea3481ad45c054c260ba2b39ec1f5a1c27a8c0e8d8d47299e6229a9bfcb9f,https://bscscan.com/tx/0x995ea3481ad45c054c260ba2b39ec1f5a1c27a8c0e8d8d47299e6229a9bfcb9f,receive,0x049d0bd599051d6356cfc8533acee912243786a3,BNB,0.72
16/09/2022,12:57:44,bsc,0x1a7469ab1e13e400ca5a9305382d7f5ed787d4f4e6dc2b5b39539baca0e1e4e7,https://bscscan.com/tx/0x1a7469ab1e13e400ca5a9305382d7f5ed787d4f4e6dc2b5b39539baca0e1e4e7,send,0x049d0bd599051d6356cfc8533acee912243786a3,BNB,-0.6
13/09/2022,00:03:11,eth,0xce5a29bd7c6e902ceb3aa9ac72be4f22b24df32b1363fe95ecd8fb14956e6c94,https://etherscan.io/tx/0xce5a29bd7c6e902ceb3aa9ac72be4f22b24df32b1363fe95ecd8fb14956e6c94,receive,0x049d0bd599051d6356cfc8533acee912243786a3,ETH,0.02
07/09/2022,19:00:52,bsc,0x6f2ee97a78cb3da09a69cc6308dcb6315454d3c55901c958a5edd86c82c7db5f,https://bscscan.com/tx/0x6f2ee97a78cb3da09a69cc6308dcb6315454d3c55901c958a5edd86c82c7db5f,send,0x049d0bd599051d6356cfc8533acee912243786a3,BNB,-0.01
