Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
16/03/2024,10:10:15,arb,0x8a6f5ac41c658952861d7c8c190882017ec6c81f673179506d7d64fd19474eb0,https://arbiscan.io/tx/0x8a6f5ac41c658952861d7c8c190882017ec6c81f673179506d7d64fd19474eb0,receive,0x0435864965e4197588e7aa9f9c03822aad603dde,ETH,0.00003662228
06/04/2024,08:40:19,base,0x9d6bb05ada96623bf7ac13ce5d4c7bb89f5a18f77ad310589273250174b8279d,https://www.basescan.org/tx/0x9d6bb05ada96623bf7ac13ce5d4c7bb89f5a18f77ad310589273250174b8279d,receive,0x084bad79444a43af08c5d8f2bb3b428b689ab746,ETH,0.000029978984731703
16/03/2024,20:19:38,linea,0x07509fdd042d0b9d4218ffcde23e1338b09d7cd0c398894c6489936e3cfe337b,https://lineascan.build/tx/0x07509fdd042d0b9d4218ffcde23e1338b09d7cd0c398894c6489936e3cfe337b,receive,0x0b04bc27c60dd2b6f98de87d78fd5c6271084f12,ETH,0.000017191991602719
16/03/2024,20:20:10,linea,0xcc86b9f654fbcc56a13eefc41863856a9f5b6beba4bf3d34a0992db5110145de,https://lineascan.build/tx/0xcc86b9f654fbcc56a13eefc41863856a9f5b6beba4bf3d34a0992db5110145de,receive,0x113a5eaeac308bc348189dfcecacd99b9f73bcfd,ETH,0.00000556567454057
16/03/2024,06:55:47,era,0xc5addd81a43947539ee04ac6806ed50d303fa242a5b8321304dae671d70f96e7,https://era.zksync.network/tx/0xc5addd81a43947539ee04ac6806ed50d303fa242a5b8321304dae671d70f96e7,receive,0x113a5eaeac308bc348189dfcecacd99b9f73bcfd,ETH,0.000053819430428968
20/03/2024,10:09:46,arb,0x20673451778eab2de8aadf0eb4191e580f3c973477b83745a03ff9d5a9f17e63,https://arbiscan.io/tx/0x20673451778eab2de8aadf0eb4191e580f3c973477b83745a03ff9d5a9f17e63,receive,0x16032e45e1fb7002d0b77651e74708bece2890ea,ETH,0.000008779465
21/03/2024,15:13:33,arb,0x478a064e7c93db9ad34bce45b81176c3519d6e6d52e3a3d9fdfccda193cd0acf,https://arbiscan.io/tx/0x478a064e7c93db9ad34bce45b81176c3519d6e6d52e3a3d9fdfccda193cd0acf,send,0x1d7d6719382edbbabd3497d8a382599b4e021a34,,-1
21/03/2024,15:11:56,arb,0xadcd4ea09cc7e1518e0c7f6f544e8fe7f84655894aebb504045f999ad5bff9a7,https://arbiscan.io/tx/0xadcd4ea09cc7e1518e0c7f6f544e8fe7f84655894aebb504045f999ad5bff9a7,send,0x1d7d6719382edbbabd3497d8a382599b4e021a34,zkLightClient,-1
21/03/2024,15:10:16,arb,0x76ff37c4a36a1327e19e79bba0591085220ef5710beee7769746b8405d62875b,https://arbiscan.io/tx/0x76ff37c4a36a1327e19e79bba0591085220ef5710beee7769746b8405d62875b,send,0x1d7d6719382edbbabd3497d8a382599b4e021a34,SIDARB ,-1
21/03/2024,15:05:49,arb,0xfae638c0f35735b491a1d78d83cc52b4c188d9ec6cbfb0031f8ef862e6955690,https://arbiscan.io/tx/0xfae638c0f35735b491a1d78d83cc52b4c188d9ec6cbfb0031f8ef862e6955690,send,0x1d7d6719382edbbabd3497d8a382599b4e021a34,SUPER,-1
25/03/2024,12:04:23,eth,0xafbe64bde8018ac5ecacb45d834aedc9e2cbc239d2c7b2ed2eb87383e568bcc1,https://etherscan.io/tx/0xafbe64bde8018ac5ecacb45d834aedc9e2cbc239d2c7b2ed2eb87383e568bcc1,send,0x1f7f53a1d5985d7f72d0cd77690283e16cf96289,ETH,-0.002171194525517147
16/03/2024,06:57:10,era,0x3ed9edb80c3ee336f2288391d97652b5dbc1d9a0b319f3fd4f9d5638fc3e76b5,https://era.zksync.network/tx/0x3ed9edb80c3ee336f2288391d97652b5dbc1d9a0b319f3fd4f9d5638fc3e76b5,receive,0x3ada4824683d508151b2db6798d8b9cb54d7091c,ETH,0.000029600686735932
11/03/2024,00:57:55,zora,0x892e140e2875a2f476f2425b309d7c09ea06498b7fb93ed90c0d178e5448c2fb,https://explorer.zora.energy/tx/0x892e140e2875a2f476f2425b309d7c09ea06498b7fb93ed90c0d178e5448c2fb,send,0x3e0fa47650004e6fb0ad4e22e9aaa724d36bcd19,,-1
30/03/2024,12:09:53,base,0x9c724a0abfc6b03f149b3114df00089dd46ca576a7ba449e648fa73ef3bb63fa,https://www.basescan.org/tx/0x9c724a0abfc6b03f149b3114df00089dd46ca576a7ba449e648fa73ef3bb63fa,send,0x3e5555ac01800aa95e45471f56700b5a347ed8c9,ETH,-0.00002860501903664
17/03/2024,11:43:27,base,0xe7e9ea7e74dfbfcc0f741d4aa764c2e6d7feea9ed93e2f4549848a3698096e22,https://www.basescan.org/tx/0xe7e9ea7e74dfbfcc0f741d4aa764c2e6d7feea9ed93e2f4549848a3698096e22,send,0x41705349a0f2b4f6ecdf0ffff128fcc4b9fc1a73,ETH,-0.000134685803274549
06/04/2024,05:31:36,arb,0xc378a13497ebebae5dee934b4b7c1f95f311204f87e117bbc9e8d9a00f51de30,https://arbiscan.io/tx/0xc378a13497ebebae5dee934b4b7c1f95f311204f87e117bbc9e8d9a00f51de30,receive,0x48417cadc0761a2262118317588f7a48c091dba0,ETH,0.000011797839102225
16/03/2024,10:10:41,arb,0x189716e00acfe4b9db0419bab3d8c6acf9530acc6e667e70f7bde90585aa8676,https://arbiscan.io/tx/0x189716e00acfe4b9db0419bab3d8c6acf9530acc6e667e70f7bde90585aa8676,receive,0x5d13f6cee6776aff3d9529920b0b6fc5e040efaf,ETH,0.000034463936681624
16/03/2024,06:56:18,era,0xdec47d21468eac6395c62045569268f7482140f1dc44c4d20bfcead00857980d,https://era.zksync.network/tx/0xdec47d21468eac6395c62045569268f7482140f1dc44c4d20bfcead00857980d,receive,0x5d13f6cee6776aff3d9529920b0b6fc5e040efaf,ETH,0.000026909715214484
10/04/2023,03:35:23,era,0xfc57128e18180c541c5daac46a104cb7e03af54a4d4bfbd2a0597aea10836f4f,https://era.zksync.network/tx/0xfc57128e18180c541c5daac46a104cb7e03af54a4d4bfbd2a0597aea10836f4f,send,0x5f3d6141b371e1d3fda66171640374211024b6a0,MINTSQ,-1
16/03/2024,10:10:24,arb,0x910d2492eb2d2b6b0a82f5147d0d747fea7e44b614b813c72df6d2c3ba19245c,https://arbiscan.io/tx/0x910d2492eb2d2b6b0a82f5147d0d747fea7e44b614b813c72df6d2c3ba19245c,receive,0x65c33e9a681d2d84573e22325dde49f4fc9cf639,ETH,0.00004095921841655
