Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/12/2022,13:30:22,op,0xecd2c2472f833bb877f9ef4cdfebc17d118fe01c5736631444d250bf00bfc1f2,https://optimistic.etherscan.io/tx/0xecd2c2472f833bb877f9ef4cdfebc17d118fe01c5736631444d250bf00bfc1f2,send,0x004665cdbdb7d74f7d8549a7bdea811ad9da8c59,USDC,-15
24/03/2023,00:05:42,arb,0xc4de08171985e6669edcaf53bbbf693ebdeeb2bb22df204f3540cc9b89eea9e7,https://arbiscan.io/tx/0xc4de08171985e6669edcaf53bbbf693ebdeeb2bb22df204f3540cc9b89eea9e7,receive,0x008c2b09d2505b6090e907ccb3e3f2dd7ba96c40,ARB,875
24/03/2023,00:47:47,arb,0x8951bce18228fe43aa7d24fdb5abf0e3d16193899ce5f1daf07ee6a31ecce75d,https://arbiscan.io/tx/0x8951bce18228fe43aa7d24fdb5abf0e3d16193899ce5f1daf07ee6a31ecce75d,receive,0x00a5ea51fad7f6b99d7e7c114887a9e028043355,ARB,875
24/03/2023,00:42:31,arb,0x6b6ff4601aeaf1b46fb221efaf9cdc595bc542b79805651a6146fe7efb6467bc,https://arbiscan.io/tx/0x6b6ff4601aeaf1b46fb221efaf9cdc595bc542b79805651a6146fe7efb6467bc,receive,0x00b107f3b76a30417c294e930ee097fe08857940,ARB,625
24/03/2023,01:24:05,arb,0x568ce25ced4cc6d777eaec5efcbe891699d98523ae48f36069c2e6578b912a22,https://arbiscan.io/tx/0x568ce25ced4cc6d777eaec5efcbe891699d98523ae48f36069c2e6578b912a22,receive,0x00fce1f2304d10c3b84c6b26fe878ed12602b99a,ARB,625
24/03/2023,00:41:10,arb,0xa668c8897eea1106eddefa6235ff984f32a17f6e01233f6b86dabf1e59188396,https://arbiscan.io/tx/0xa668c8897eea1106eddefa6235ff984f32a17f6e01233f6b86dabf1e59188396,receive,0x01e9a07ffcc98a932aa57fa57407833ec0adc6bb,ARB,875
24/03/2023,00:39:16,arb,0x404e0cfe4b2b182aa53595134f83e9783cf5cc5cd7d25f4445fd15289d9305f1,https://arbiscan.io/tx/0x404e0cfe4b2b182aa53595134f83e9783cf5cc5cd7d25f4445fd15289d9305f1,receive,0x022bca9278ec141001922c588aba7b06e852e269,ARB,875
24/03/2023,00:06:38,arb,0x790d20de61890cbbdf9fa64db34858ac11db60f49efa0df80fe49ec6fa0e61a1,https://arbiscan.io/tx/0x790d20de61890cbbdf9fa64db34858ac11db60f49efa0df80fe49ec6fa0e61a1,receive,0x02a422f8feecd9645ad6b6d4112af0ce95cd1dbc,ARB,875
24/03/2023,00:08:35,arb,0x5eb6a6b8f0b0b1d60b95ffed37cf41ba82708353e243b6b77d17aad2a702a875,https://arbiscan.io/tx/0x5eb6a6b8f0b0b1d60b95ffed37cf41ba82708353e243b6b77d17aad2a702a875,receive,0x02fadd08e99bb22626cb9e6dbbb56023f7a6733c,ARB,875
24/03/2023,00:08:48,arb,0x92aba841f2b1aa1b676a424b9f2522d00e4f3e6f99053a931cf4ed0c6ea30bd9,https://arbiscan.io/tx/0x92aba841f2b1aa1b676a424b9f2522d00e4f3e6f99053a931cf4ed0c6ea30bd9,receive,0x034a90008b7e669c14500a862d6b9abc0ec1e164,ARB,875
