Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
26/03/2024,16:42:03,op,0xcddbedcf178e918fbe05bab43908d4325347a6acd341bc80d40929cb09cda284,https://optimistic.etherscan.io/tx/0xcddbedcf178e918fbe05bab43908d4325347a6acd341bc80d40929cb09cda284,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,6.18e-12
20/01/2024,23:40:03,op,0x98c4266fb173e94bb1435aaf59a9eae225259ec68aca8b0bcefb1cce9f64706d,https://optimistic.etherscan.io/tx/0x98c4266fb173e94bb1435aaf59a9eae225259ec68aca8b0bcefb1cce9f64706d,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1.86e-12
25/04/2024,05:44:23,mode,0x057aa76862d876c16d34ff493e2817a4073fd971ba8dd43c678b225b62836f3b,https://explorer.mode.network/tx/0x057aa76862d876c16d34ff493e2817a4073fd971ba8dd43c678b225b62836f3b,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,ETH,4.69e-11
12/04/2024,11:18:12,arb,0xfd0c494b8eb774a6985975da78d2467bdf619caaa3e6a805f8b26dc33c89033f,https://arbiscan.io/tx/0xfd0c494b8eb774a6985975da78d2467bdf619caaa3e6a805f8b26dc33c89033f,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,ETH,4.43e-11
20/03/2024,00:03:19,base,0x691611d8f2ecffba5ed69e53873752acf3f94b6df76534142db78b349338d861,https://www.basescan.org/tx/0x691611d8f2ecffba5ed69e53873752acf3f94b6df76534142db78b349338d861,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,ETH,4.42e-11
15/02/2024,08:59:18,opbnb,0x4d6e1b10219baa2666dff5f975f8127c24564f7d57d0589fc9af10ceec752ddd,https://mainnet.opbnbscan.com/tx/0x4d6e1b10219baa2666dff5f975f8127c24564f7d57d0589fc9af10ceec752ddd,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,BNB,2.98e-11
12/02/2024,21:40:02,era,0x5172e2e59c105afac2794eb91654a09bca23966c4be507f56265f39198d7e4cb,https://era.zksync.network/tx/0x5172e2e59c105afac2794eb91654a09bca23966c4be507f56265f39198d7e4cb,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,ETH,1.75e-11
09/02/2024,22:50:08,opbnb,0x487d7759a01e8be25253195891993dcf5e79cf6d5d81cee72ed96c272b22af3c,https://mainnet.opbnbscan.com/tx/0x487d7759a01e8be25253195891993dcf5e79cf6d5d81cee72ed96c272b22af3c,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,BNB,4.77e-11
09/02/2024,21:02:43,opbnb,0x4ce15b0d5624a4dca14707ea5e2f13ebe99ab4c443f2eefb7589444c049a797e,https://mainnet.opbnbscan.com/tx/0x4ce15b0d5624a4dca14707ea5e2f13ebe99ab4c443f2eefb7589444c049a797e,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,BNB,3.33e-11
31/12/2023,07:22:36,opbnb,0xcb4227caed6f89f5cbd8398ad3ef01cedb853db381b5c32eedcec428ef8dadfd,https://mainnet.opbnbscan.com/tx/0xcb4227caed6f89f5cbd8398ad3ef01cedb853db381b5c32eedcec428ef8dadfd,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,BNB,1.72e-11
31/12/2023,06:26:35,opbnb,0x729e6b7589adb7881522b8ce9f15ad7105d5c80c3ac99390d144e9db5f54bf80,https://mainnet.opbnbscan.com/tx/0x729e6b7589adb7881522b8ce9f15ad7105d5c80c3ac99390d144e9db5f54bf80,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,BNB,4.5e-11
20/03/2024,01:04:01,base,0xe403d94c89cdd9fbf1227ac49d934cfb0c482e4e048931ce83bc6b8e34006263,https://www.basescan.org/tx/0xe403d94c89cdd9fbf1227ac49d934cfb0c482e4e048931ce83bc6b8e34006263,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,1.44e-11
09/02/2024,22:46:27,opbnb,0xc974d9df6f945df09405aa656eadb91ae3684a0b2557d3d71a734845f6bbd7d6,https://mainnet.opbnbscan.com/tx/0xc974d9df6f945df09405aa656eadb91ae3684a0b2557d3d71a734845f6bbd7d6,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,BNB,2.79e-11
