Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/10/2022,16:01:36,matic,0x33bd20d8251f5c1a2a0f138d8d854fd78349cad6e9ff91ec6bfa736bcf00b3d5,https://polygonscan.com/tx/0x33bd20d8251f5c1a2a0f138d8d854fd78349cad6e9ff91ec6bfa736bcf00b3d5,receive,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,USDC,110
25/06/2022,20:45:35,matic,0xc0495c42547f99a0b82c8a76c3ff476c370cb106b22fb61c39c3b8d8dc33c662,https://polygonscan.com/tx/0xc0495c42547f99a0b82c8a76c3ff476c370cb106b22fb61c39c3b8d8dc33c662,send,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,WETH,-0.05
23/06/2022,02:10:34,matic,0x8475b017e4ef9f9db04b2e874cde870d55ee8a3cf8d6283311310bb84efb5840,https://polygonscan.com/tx/0x8475b017e4ef9f9db04b2e874cde870d55ee8a3cf8d6283311310bb84efb5840,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,WETH,-0.05
10/05/2022,15:26:19,matic,0x1e462c129c051e66ffe506c80b271112ad15bbdcf591aed58a8faf3fae33e2ef,https://polygonscan.com/tx/0x1e462c129c051e66ffe506c80b271112ad15bbdcf591aed58a8faf3fae33e2ef,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,USDC,-75.386872
12/12/2021,18:46:30,xdai,0x4b10f0c06afbead06199ea937ea50ccb88c0ffb01c9997bac0cebc6cb4d3b0c0,https://gnosisscan.io/tx/0x4b10f0c06afbead06199ea937ea50ccb88c0ffb01c9997bac0cebc6cb4d3b0c0,receive,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,xDai,7.829609488164006
12/12/2021,18:44:50,xdai,0xa950cb57fd9e2a70f82a7c8d73bdf2d865fa6a8aa7d3fa1ab02142b90d04e4be,https://gnosisscan.io/tx/0xa950cb57fd9e2a70f82a7c8d73bdf2d865fa6a8aa7d3fa1ab02142b90d04e4be,receive,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,USDC,192.495625
27/08/2021,00:10:31,bsc,0x9dd7fc06ca30c6490b4d5fea189a1dc5dcf6be731481aa66c0d9dd1ee5ef53ac,https://bscscan.com/tx/0x9dd7fc06ca30c6490b4d5fea189a1dc5dcf6be731481aa66c0d9dd1ee5ef53ac,receive,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,BNB,0.14365474505219245
19/10/2021,03:12:05,matic,0x09f0f224507058b5b106ca3b5f6e2f260b7110fd3141f6650c324ef1e56f917e,https://polygonscan.com/tx/0x09f0f224507058b5b106ca3b5f6e2f260b7110fd3141f6650c324ef1e56f917e,receive,0x136c2b7118beb7bd7981360d36bb5010b5608f25,MATIC,41.22318220495994
19/10/2021,03:11:31,matic,0xb7c11ddc2b54c530fba1afb513d9a2463119a84140e2d1b54bb0b8ad020f2635,https://polygonscan.com/tx/0xb7c11ddc2b54c530fba1afb513d9a2463119a84140e2d1b54bb0b8ad020f2635,receive,0x136c2b7118beb7bd7981360d36bb5010b5608f25,USDC,104.683598
19/10/2021,03:11:25,matic,0xdf72cce6cf068c7d15712ea0bdea11fa392161daed26010865da8958b7b967de,https://polygonscan.com/tx/0xdf72cce6cf068c7d15712ea0bdea11fa392161daed26010865da8958b7b967de,receive,0x136c2b7118beb7bd7981360d36bb5010b5608f25,WETH,0.013607146395166443
23/06/2021,12:05:11,bsc,0x7b62ac96fe5fcaa9a5dccf1997294311613e3c8718938bf38fa8de26efe2173e,https://bscscan.com/tx/0x7b62ac96fe5fcaa9a5dccf1997294311613e3c8718938bf38fa8de26efe2173e,send,0x26327d036cc08b93bcb9e475c8450ba8a3225daf,Cake-LP,-7.222386453499432
30/10/2022,16:06:30,matic,0x2f3d92eab3aa1cc1662555b2c7e4e20021ce471877071d6b493a87abfb7ef0ab,https://polygonscan.com/tx/0x2f3d92eab3aa1cc1662555b2c7e4e20021ce471877071d6b493a87abfb7ef0ab,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,MATIC,4
03/04/2022,19:59:07,matic,0x069957175e874fe07684fd2d6bc246e915472aaef3d026e6f9ac4194a6960aa0,https://polygonscan.com/tx/0x069957175e874fe07684fd2d6bc246e915472aaef3d026e6f9ac4194a6960aa0,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,RBW,5.298673981455212
01/03/2022,22:31:56,matic,0xdf7367ed51b0e7777c9c2e19659e0e4eacfd0845e731c5f63e4c54a7fea53b95,https://polygonscan.com/tx/0xdf7367ed51b0e7777c9c2e19659e0e4eacfd0845e731c5f63e4c54a7fea53b95,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,RBW,18
14/01/2022,22:22:26,bsc,0x4121395e59d8fea95b512bed39c9abd2f4d450927146acbb00002ed4838ce527,https://bscscan.com/tx/0x4121395e59d8fea95b512bed39c9abd2f4d450927146acbb00002ed4838ce527,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,BNB,-0.03
27/12/2021,01:52:19,eth,0xb2eb5756072f43330876e938d05a096510e38fda672a507afe5f65a11b2cb73d,https://etherscan.io/tx/0xb2eb5756072f43330876e938d05a096510e38fda672a507afe5f65a11b2cb73d,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,ETH,-0.11111578492882024
27/07/2021,11:50:41,eth,0xb10a7cd1a2b312dbd1244f0b99a3a36f21a91c2b2a04365bd37d233015c2046e,https://etherscan.io/tx/0xb10a7cd1a2b312dbd1244f0b99a3a36f21a91c2b2a04365bd37d233015c2046e,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,ETH,0.01
17/07/2021,23:25:04,bsc,0x92ac8a3f2a5cd32b33edcae3db5121144945b16a8b497b18b787ddf6b46bbe62,https://bscscan.com/tx/0x92ac8a3f2a5cd32b33edcae3db5121144945b16a8b497b18b787ddf6b46bbe62,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,BNB,-0.4
23/06/2021,22:27:58,bsc,0x7ebd346dea2668aeb135f2c3f153cad1e020569b9b4feda28fca3fe4ea0188f6,https://bscscan.com/tx/0x7ebd346dea2668aeb135f2c3f153cad1e020569b9b4feda28fca3fe4ea0188f6,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,BUSD,9.975079802964837
23/06/2022,09:43:54,matic,0xa27d6939e0d981c2336abe2385c30167add8dd40b5ee46898abb8408f4cc5f19,https://polygonscan.com/tx/0xa27d6939e0d981c2336abe2385c30167add8dd40b5ee46898abb8408f4cc5f19,send,0x38c192d6056e8a7b1b91176435eb9b8657689ab8,WETH,-0.04
02/03/2022,00:36:16,matic,0xc3e12ea6b22243b398a71be88e12d8c1a74f451b472c98f2a34af7219ed699cc,https://polygonscan.com/tx/0xc3e12ea6b22243b398a71be88e12d8c1a74f451b472c98f2a34af7219ed699cc,send,0x38c192d6056e8a7b1b91176435eb9b8657689ab8,MATIC,-1
19/06/2021,12:13:10,bsc,0x84e4ae43ed31fae34474d8e30cb69574e10bd3bd24a55f52a20fd77cb0941709,https://bscscan.com/tx/0x84e4ae43ed31fae34474d8e30cb69574e10bd3bd24a55f52a20fd77cb0941709,send,0x38c192d6056e8a7b1b91176435eb9b8657689ab8,O3,-1.33
23/06/2022,09:44:12,matic,0x8d8b3ae3674c50ad50e683ec47a63d3c772c6bed7b91016e0e8e6c0c914fb1c9,https://polygonscan.com/tx/0x8d8b3ae3674c50ad50e683ec47a63d3c772c6bed7b91016e0e8e6c0c914fb1c9,send,0x3dc75d5e1693a3c27ba9a54a7de67d34c6694f8c,WETH,-0.04
02/03/2022,00:36:28,matic,0xa2d645fb7c2fac17bdc849e209048f2a9c0c2e74c4d980273fd1b32beb554cbe,https://polygonscan.com/tx/0xa2d645fb7c2fac17bdc849e209048f2a9c0c2e74c4d980273fd1b32beb554cbe,send,0x3dc75d5e1693a3c27ba9a54a7de67d34c6694f8c,MATIC,-1
02/01/2022,03:30:12,matic,0x53ffc4f1de45565f68080dca4205e1d38e1b959517828d0ebbb8e5e27047ba38,https://polygonscan.com/tx/0x53ffc4f1de45565f68080dca4205e1d38e1b959517828d0ebbb8e5e27047ba38,receive,0x3dc75d5e1693a3c27ba9a54a7de67d34c6694f8c,MATIC,19.66341012950607
16/12/2021,03:10:52,matic,0xf5ef31a1b589d39114194243118daca307f9e69990ceeb5ffc0738ba1c1b42e5,https://polygonscan.com/tx/0xf5ef31a1b589d39114194243118daca307f9e69990ceeb5ffc0738ba1c1b42e5,receive,0x3dc75d5e1693a3c27ba9a54a7de67d34c6694f8c,MATIC,0.962523173366213
03/12/2021,17:43:53,matic,0xb6a84b816edd3788216b36626ffb7bd9592a84517ff5d7cbe41cc897645b4641,https://polygonscan.com/tx/0xb6a84b816edd3788216b36626ffb7bd9592a84517ff5d7cbe41cc897645b4641,send,0x3dc75d5e1693a3c27ba9a54a7de67d34c6694f8c,UNI-V2,-6e-7
11/02/2022,18:43:53,matic,0x976f6de004934cf123644cbc4e52b74d6ffb1b27f477d5cfa109113b104042a4,https://polygonscan.com/tx/0x976f6de004934cf123644cbc4e52b74d6ffb1b27f477d5cfa109113b104042a4,send,0x5d7adb0d79846fcc2b6ffbda98f33adb4b00f2e7,MATIC,-2
25/12/2021,17:36:02,eth,0xe894d24d96559b44d30d46935f5f94cc32bae5ab7399143ced46f36aae933895,https://etherscan.io/tx/0xe894d24d96559b44d30d46935f5f94cc32bae5ab7399143ced46f36aae933895,send,0x5d7adb0d79846fcc2b6ffbda98f33adb4b00f2e7,,-1
27/08/2021,00:13:22,bsc,0x798a1e48250040531f72dbe31766b4a803c7e563a843c33fea5c394411250f17,https://bscscan.com/tx/0x798a1e48250040531f72dbe31766b4a803c7e563a843c33fea5c394411250f17,send,0x5d7adb0d79846fcc2b6ffbda98f33adb4b00f2e7,BNB,-0.15572604065677564
21/12/2022,16:52:28,matic,0x9d051e8d8eb5f161fdb7b9d35b077c1b0a0062e99f26db9d04a13b1a7a1a784a,https://polygonscan.com/tx/0x9d051e8d8eb5f161fdb7b9d35b077c1b0a0062e99f26db9d04a13b1a7a1a784a,receive,0x65b740a41dba844e4de430095da76972e16f1602,WETH,0.11225
25/06/2022,20:43:03,matic,0x11a41d8b50d6440bce339188992e087fa4baac4f23645db0e427a0236ebb127a,https://polygonscan.com/tx/0x11a41d8b50d6440bce339188992e087fa4baac4f23645db0e427a0236ebb127a,receive,0x65b740a41dba844e4de430095da76972e16f1602,WETH,0.2
23/06/2022,14:42:58,matic,0xa3fd62f3a370d13a0fc839449dfccee6de90043a5bf96139c1656adef9014218,https://polygonscan.com/tx/0xa3fd62f3a370d13a0fc839449dfccee6de90043a5bf96139c1656adef9014218,receive,0x65b740a41dba844e4de430095da76972e16f1602,WETH,0.05
23/06/2022,09:42:48,matic,0x17632ec645e41bbacff90191915c6ba3a7a14349d9d35da76688fa6391d6ca29,https://polygonscan.com/tx/0x17632ec645e41bbacff90191915c6ba3a7a14349d9d35da76688fa6391d6ca29,receive,0x65b740a41dba844e4de430095da76972e16f1602,WETH,0.08
23/06/2022,02:59:18,matic,0x4806004ab3b96b8842cbe2a80d541fc1c3d5b15952be1f3aebc3a6f2d78409b5,https://polygonscan.com/tx/0x4806004ab3b96b8842cbe2a80d541fc1c3d5b15952be1f3aebc3a6f2d78409b5,receive,0x65b740a41dba844e4de430095da76972e16f1602,WETH,0.05
23/06/2022,01:57:21,matic,0xb2f23ae26f7ed291101d836dc64f0f79f0ff1112fcc5a31fa3d9cbce1649c2b2,https://polygonscan.com/tx/0xb2f23ae26f7ed291101d836dc64f0f79f0ff1112fcc5a31fa3d9cbce1649c2b2,receive,0x65b740a41dba844e4de430095da76972e16f1602,WETH,0.2
16/06/2022,14:40:51,matic,0x5319d225f527c87c03487c8f27cffb0267e0d0ec22077386ab4b63c9a5c56579,https://polygonscan.com/tx/0x5319d225f527c87c03487c8f27cffb0267e0d0ec22077386ab4b63c9a5c56579,send,0x65b740a41dba844e4de430095da76972e16f1602,MATIC,-44
03/12/2021,17:38:55,matic,0x40d5c386f9e280bb74dbefbc3a7e91cf7665a3a07cd9df04a7cf85c52fb7a607,https://polygonscan.com/tx/0x40d5c386f9e280bb74dbefbc3a7e91cf7665a3a07cd9df04a7cf85c52fb7a607,receive,0x65b740a41dba844e4de430095da76972e16f1602,USDC,1276.993503
03/11/2021,03:46:52,bsc,0xf3a2e1e3b09ae4b238c32c65c7e8b7edf77baba93df33209ecb7d8abf33a3279,https://bscscan.com/tx/0xf3a2e1e3b09ae4b238c32c65c7e8b7edf77baba93df33209ecb7d8abf33a3279,receive,0x65b740a41dba844e4de430095da76972e16f1602,BUSD,200
03/11/2021,03:14:03,bsc,0x42af946ea6ff083aa0632801b24d1c84a30d8136b0b50e8a20401e4482b7e5cc,https://bscscan.com/tx/0x42af946ea6ff083aa0632801b24d1c84a30d8136b0b50e8a20401e4482b7e5cc,receive,0x65b740a41dba844e4de430095da76972e16f1602,BUSD,127.33094457643246
23/06/2022,14:45:32,matic,0x90cbdfbb2e1f648a75e2fdf6b4ab46fce25d691466065e101efeb6d568b8858f,https://polygonscan.com/tx/0x90cbdfbb2e1f648a75e2fdf6b4ab46fce25d691466065e101efeb6d568b8858f,send,0x65fc291a2252199a6dfac06fed2e5246db341ac0,WETH,-0.05
02/03/2022,00:36:40,matic,0xc99ced50468b47e42f1a0c4ac985596e189115a2c95c1c699f982e7a2a5ca587,https://polygonscan.com/tx/0xc99ced50468b47e42f1a0c4ac985596e189115a2c95c1c699f982e7a2a5ca587,send,0x65fc291a2252199a6dfac06fed2e5246db341ac0,MATIC,-1
23/12/2021,03:33:12,matic,0xde8d027e5b12e1237bf324491f836e43e02514bba38ce3bc6ff2958bf7a09bab,https://polygonscan.com/tx/0xde8d027e5b12e1237bf324491f836e43e02514bba38ce3bc6ff2958bf7a09bab,send,0x65fc291a2252199a6dfac06fed2e5246db341ac0,MATIC,-5
25/09/2021,18:49:55,matic,0x1ed98d3d34c084c862ede631c5546712c2bcf173b5971edd53504a90c96d0d50,https://polygonscan.com/tx/0x1ed98d3d34c084c862ede631c5546712c2bcf173b5971edd53504a90c96d0d50,send,0x65fc291a2252199a6dfac06fed2e5246db341ac0,MATIC,-18
23/06/2022,02:09:44,matic,0x6dd2d968729f99a79f3dcfda78c0acb7f9351c04c97650c98626cedac88d59db,https://polygonscan.com/tx/0x6dd2d968729f99a79f3dcfda78c0acb7f9351c04c97650c98626cedac88d59db,send,0x67b98d282aec23fc4d52b41c755f22b31081ffa4,WETH,-0.05
01/06/2022,23:59:26,eth,0x086483faf5c9bbb19e2ca6119c204af0ecaef40d15be96749167d8a92d5c2de0,https://etherscan.io/tx/0x086483faf5c9bbb19e2ca6119c204af0ecaef40d15be96749167d8a92d5c2de0,send,0x67b98d282aec23fc4d52b41c755f22b31081ffa4,ETH,-0.6256502363030101
29/05/2022,19:25:26,matic,0x9849c5f36794aafab4200cd75813bed20b50c4186fb9791cfaf036218940c59b,https://polygonscan.com/tx/0x9849c5f36794aafab4200cd75813bed20b50c4186fb9791cfaf036218940c59b,receive,0x67b98d282aec23fc4d52b41c755f22b31081ffa4,MATIC,5
