Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
04/11/2022,15:11:30,mobm,0xcd420d6612fe01b95f46d4c8cbdeb0198e33af1a8d604f33e886535d893d40a5,https://moonscan.io/tx/0xcd420d6612fe01b95f46d4c8cbdeb0198e33af1a8d604f33e886535d893d40a5,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,WELL,3600
26/09/2022,17:00:06,mobm,0x9f4749d4c73eccaf04c60bfbffe6071dfd37718e080e0172e79d9a3cc9b81698,https://moonscan.io/tx/0x9f4749d4c73eccaf04c60bfbffe6071dfd37718e080e0172e79d9a3cc9b81698,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,WELL,14378.16530775
02/08/2022,15:39:54,mobm,0xfc43014f706d95072440dffe48652a051d58ab700bfe9cba49e0b8613069ed71,https://moonscan.io/tx/0xfc43014f706d95072440dffe48652a051d58ab700bfe9cba49e0b8613069ed71,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,WELL,3613
20/07/2022,02:57:09,eth,0x50e091b6e2779ab3e4966a66d3e512000a68416e6a977fae9b0f512a4453b448,https://etherscan.io/tx/0x50e091b6e2779ab3e4966a66d3e512000a68416e6a977fae9b0f512a4453b448,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,-0.14
21/02/2022,19:48:56,bsc,0x4ccca55d7a3a66bb2e2dd11a1d69afec72e12e0d385219059c41103ccb5c062b,https://bscscan.com/tx/0x4ccca55d7a3a66bb2e2dd11a1d69afec72e12e0d385219059c41103ccb5c062b,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,BNB,0.01
10/02/2022,04:48:05,bsc,0xfafc89654d9679d330cd8155cf9ebf1a33e077bf41f191fffc778f769e930500,https://bscscan.com/tx/0xfafc89654d9679d330cd8155cf9ebf1a33e077bf41f191fffc778f769e930500,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,BNB,0.04
06/02/2022,18:51:51,matic,0x93535bed6c358d822332498c721a9cb18725f2067aba82528d40a8767da65779,https://polygonscan.com/tx/0x93535bed6c358d822332498c721a9cb18725f2067aba82528d40a8767da65779,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,FT,-1
06/02/2022,18:39:31,matic,0xa73cf242adf600d5e2bebf430b831303257071865dfa7d75a9461a0152582e55,https://polygonscan.com/tx/0xa73cf242adf600d5e2bebf430b831303257071865dfa7d75a9461a0152582e55,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,FT,-1
06/02/2022,18:13:43,matic,0x8da0d32bd7bcc46f145d5d674966a837a5afcf46ec5c6fddacf6a114a8612849,https://polygonscan.com/tx/0x8da0d32bd7bcc46f145d5d674966a837a5afcf46ec5c6fddacf6a114a8612849,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,FT,-1
06/02/2022,18:13:17,matic,0x61c4cc382bbc3aa0e2c5d03c628a8b9a4f58e3d237208560cecd0d9c21d72a68,https://polygonscan.com/tx/0x61c4cc382bbc3aa0e2c5d03c628a8b9a4f58e3d237208560cecd0d9c21d72a68,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,FT,-1
01/01/2022,23:33:52,op,0x3d01c32d26a217e19eab6012b7f23aaa08b093536f67d7e33d69fe08c5886181,https://optimistic.etherscan.io/tx/0x3d01c32d26a217e19eab6012b7f23aaa08b093536f67d7e33d69fe08c5886181,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,0.004
27/12/2021,15:18:27,eth,0x1670442cc46a3cd2028ba1a562d3ac7f19293a2cdc629a4d3129767cde79bf43,https://etherscan.io/tx/0x1670442cc46a3cd2028ba1a562d3ac7f19293a2cdc629a4d3129767cde79bf43,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,0.004
17/12/2021,14:43:37,op,0x0c08954e48f65e8deaf47d44e66a588548770f2f157682228cb026397b79d9df,https://optimistic.etherscan.io/tx/0x0c08954e48f65e8deaf47d44e66a588548770f2f157682228cb026397b79d9df,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,0.001
14/09/2021,12:52:36,eth,0xcaed64930a48597b9f132c4ea6633c42297cc8c070173e6a0655243194b74edd,https://etherscan.io/tx/0xcaed64930a48597b9f132c4ea6633c42297cc8c070173e6a0655243194b74edd,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,CQT,25
30/07/2021,18:00:46,eth,0xfb252e452a5e64033926258a77071b4cdf018bc9fed0954560c7c503376ab9d0,https://etherscan.io/tx/0xfb252e452a5e64033926258a77071b4cdf018bc9fed0954560c7c503376ab9d0,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,-0.007
30/06/2021,20:55:12,eth,0x5bf0aa848ee9635449d8e211c0871b1f15b2e8daba793fdf93e368ee32b3d951,https://etherscan.io/tx/0x5bf0aa848ee9635449d8e211c0871b1f15b2e8daba793fdf93e368ee32b3d951,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,0.007
16/02/2021,17:34:37,eth,0xf2323b161d02e68e88899fee9a32974e40438971235e494f9845acdfaff2c76d,https://etherscan.io/tx/0xf2323b161d02e68e88899fee9a32974e40438971235e494f9845acdfaff2c76d,receive,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,0.010978558
05/02/2021,20:14:34,eth,0xcecdc1da0b2a4ca2a30fe8302292bd0ed5a81b64183cc07ff723b2a4fc4ff258,https://etherscan.io/tx/0xcecdc1da0b2a4ca2a30fe8302292bd0ed5a81b64183cc07ff723b2a4fc4ff258,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,-0.013
29/01/2021,13:31:03,eth,0x716986b49b3322ba8cd683d088ded53986c6e5f2421e53515fe519854e0620da,https://etherscan.io/tx/0x716986b49b3322ba8cd683d088ded53986c6e5f2421e53515fe519854e0620da,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,-0.02
29/01/2021,13:30:46,eth,0xffd30ab98754ce757963b844c3cc76d77ff6b7b3d8bb29a0aa0c055f0d65bc03,https://etherscan.io/tx/0xffd30ab98754ce757963b844c3cc76d77ff6b7b3d8bb29a0aa0c055f0d65bc03,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,DAI,-261.15392347640284
25/12/2020,03:43:30,eth,0x33d2b00b4de582fb8c226e23649eedcb77e9efef0a559b0e9167adca14e73d0c,https://etherscan.io/tx/0x33d2b00b4de582fb8c226e23649eedcb77e9efef0a559b0e9167adca14e73d0c,send,0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5,ETH,-0.01
24/08/2023,19:00:37,base,0xdaaae2f2993d8fad8bf9ca194d90bea5b194247e28b03177461f92c5b0329352,https://www.basescan.org/tx/0xdaaae2f2993d8fad8bf9ca194d90bea5b194247e28b03177461f92c5b0329352,send,0x0793946d8d729c95e63c6fb40dbd6a1702187c51,ETH,-0.0002
19/04/2022,18:13:32,eth,0xbfee561dd49f40440a62cf494399ce4788d6adf8601f7372d0b9b2650ac41f3d,https://etherscan.io/tx/0xbfee561dd49f40440a62cf494399ce4788d6adf8601f7372d0b9b2650ac41f3d,receive,0x0793946d8d729c95e63c6fb40dbd6a1702187c51,ETH,0.10788375903514383
19/04/2022,14:25:33,eth,0xbaa7a1509b4e97c5f29efbef83a33241bd6fbc589b2a65d21523f8984e8c017b,https://etherscan.io/tx/0xbaa7a1509b4e97c5f29efbef83a33241bd6fbc589b2a65d21523f8984e8c017b,send,0x0793946d8d729c95e63c6fb40dbd6a1702187c51,NFTI,-0.5
19/04/2022,14:22:56,eth,0x47a52b3bbecc6b31b8a96fdbc40eb82e78ab9cc9e1ebae4f5c1f7429a7ef0df1,https://etherscan.io/tx/0x47a52b3bbecc6b31b8a96fdbc40eb82e78ab9cc9e1ebae4f5c1f7429a7ef0df1,send,0x0793946d8d729c95e63c6fb40dbd6a1702187c51,BTC++,-0.0001
