Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
09/05/2024,19:09:13,arb,0x5e6cd6fb506ebd060aba398979193899adbecfe68cba13218f06c7a525b212fa,https://arbiscan.io/tx/0x5e6cd6fb506ebd060aba398979193899adbecfe68cba13218f06c7a525b212fa,receive,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,ETH,0.0000199111255
16/03/2024,10:27:38,arb,0xe483cee21ea341e286c8cf3f86bf6ea61a4dce12d5b3f570c394e1d0ccaafb2d,https://arbiscan.io/tx/0xe483cee21ea341e286c8cf3f86bf6ea61a4dce12d5b3f570c394e1d0ccaafb2d,receive,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,ETH,0.000105464882118412
13/01/2024,15:00:22,matic,0x4f50abe10838cd9ea772decf409a973c897eef995d85825e8131019aca22072c,https://polygonscan.com/tx/0x4f50abe10838cd9ea772decf409a973c897eef995d85825e8131019aca22072c,send,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,MATIC,-0.006423849705077702
10/01/2024,15:11:00,matic,0x7f450756d990230507e20df744407cbece22393b0b78b9edb3ef995077d966c7,https://polygonscan.com/tx/0x7f450756d990230507e20df744407cbece22393b0b78b9edb3ef995077d966c7,receive,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,MATIC,0.23030303030303031
01/04/2024,16:04:59,op,0x83ef7614202c4fbdf9325817ffd9442b999725698f0f52989a8e21ea907fe911,https://optimistic.etherscan.io/tx/0x83ef7614202c4fbdf9325817ffd9442b999725698f0f52989a8e21ea907fe911,send,0x0f9cc1b913a5faf1ddb4d32a4b399a313d926ec9,ETH,-0.000008462957634434
25/03/2024,14:27:59,eth,0xe67ceb35a0beca6c0da8eb1329f1e22605cf96bdad458a4326fe2ef2ae99a41b,https://etherscan.io/tx/0xe67ceb35a0beca6c0da8eb1329f1e22605cf96bdad458a4326fe2ef2ae99a41b,receive,0x113a5eaeac308bc348189dfcecacd99b9f73bcfd,ETH,0.000280042331676571
24/06/2023,18:36:24,bsc,0x4bf4f4ec2385986c422305bff6ad6fa36d586cdb1c492d3d79d29b98979237fa,https://bscscan.com/tx/0x4bf4f4ec2385986c422305bff6ad6fa36d586cdb1c492d3d79d29b98979237fa,send,0x12c321697142f498310401ce419e3856d2852f39,BNB,-0.000042183
10/04/2024,09:02:27,arb,0x2ccf5d08caec3d4e0f113ecf815a1d5149f33d60895144d8e21af14c90cb502f,https://arbiscan.io/tx/0x2ccf5d08caec3d4e0f113ecf815a1d5149f33d60895144d8e21af14c90cb502f,receive,0x2251fa87fac5ccb3a5831323c2a647eafc34fda3,ETH,0.00000121088
20/05/2023,12:50:48,era,0x2d6f90c7ade6adac775f1b218a5752809d4d66636158cfbc3a122474ee6e257a,https://era.zksync.network/tx/0x2d6f90c7ade6adac775f1b218a5752809d4d66636158cfbc3a122474ee6e257a,send,0x27f8b7179e8f3dd225f0180fa4582e3fe2733d29,MINTSQ,-1
11/12/2023,23:35:06,linea,0xc51fd2b727ca022cd6a29284ca4d30a6536da3d53b56c0f113010e827e8da7e7,https://lineascan.build/tx/0xc51fd2b727ca022cd6a29284ca4d30a6536da3d53b56c0f113010e827e8da7e7,send,0x2af790e0778860ed39345a62df3a15c820582e42,ETH,-0.000071986790423957
27/09/2023,05:15:07,op,0xec9167c82311d781ff8abd273a0d9e69f1f851041e5666ba087ddb8ca875506b,https://optimistic.etherscan.io/tx/0xec9167c82311d781ff8abd273a0d9e69f1f851041e5666ba087ddb8ca875506b,receive,0x2cbe198f1e39c75da6216352d2603db5d4af4f3d,ETH,0.000012599298219089
13/09/2023,04:50:43,op,0x00971ed90c53bf4507274c2309bc816a1fa34f67836023ed07178278632030ef,https://optimistic.etherscan.io/tx/0x00971ed90c53bf4507274c2309bc816a1fa34f67836023ed07178278632030ef,send,0x2cbe198f1e39c75da6216352d2603db5d4af4f3d,ETH,-0.000037499765626465
17/08/2023,13:36:54,bsc,0xb1280931d9518ebf631c1cfa77b986ac4170fc86811b7302c0c6bb4c91b93d1c,https://bscscan.com/tx/0xb1280931d9518ebf631c1cfa77b986ac4170fc86811b7302c0c6bb4c91b93d1c,send,0x2cbe198f1e39c75da6216352d2603db5d4af4f3d,BNB,-0.000125096
12/12/2023,10:04:32,matic,0x39d9be357c1ece94770ac9549029d0f1312aa7730c8c9526dd3d6b7bc5dd09e8,https://polygonscan.com/tx/0x39d9be357c1ece94770ac9549029d0f1312aa7730c8c9526dd3d6b7bc5dd09e8,receive,0x32287caf3773d05813b1572268a576560a553af7,MATIC,0.001470927507244056
16/03/2024,22:53:11,op,0xec6bec8dfc93a1d1a46c9a5044b33f2c4950dc72a1fa03d2172ee96a935f2a2c,https://optimistic.etherscan.io/tx/0xec6bec8dfc93a1d1a46c9a5044b33f2c4950dc72a1fa03d2172ee96a935f2a2c,send,0x420c491056f9fcf79b8da2f947314ae8b719bc70,ETH,-0.000049291300633119
10/03/2024,07:38:08,matic,0x5c398f4ff3bb9d144abe06ce0d857f0027e74be48de1d0e652fc6242dbe02846,https://polygonscan.com/tx/0x5c398f4ff3bb9d144abe06ce0d857f0027e74be48de1d0e652fc6242dbe02846,send,0x45a5f5cd685f746584a75606f24bf08abe1e6920,MATIC,-0.02592912705272256
