Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
23/07/2023,22:33:47,op,0x4bc70d80f9b15cec9e80888933a72d170711f6c21ae2fcac7fba35694b0f492d,https://optimistic.etherscan.io/tx/0x4bc70d80f9b15cec9e80888933a72d170711f6c21ae2fcac7fba35694b0f492d,receive,0x00d0a494798ed7a771a78e0b8b277b76df11a3b1,USDC,555.18126
23/07/2023,22:26:13,op,0x1d39b365069614ad0aee5e0404efa67fc98d9485bd9b09db8088883680bdb31c,https://optimistic.etherscan.io/tx/0x1d39b365069614ad0aee5e0404efa67fc98d9485bd9b09db8088883680bdb31c,receive,0x00d0a494798ed7a771a78e0b8b277b76df11a3b1,USDC,215.601897
15/02/2024,03:14:46,avax,0xbd2b0dc0ff70d4a5c21c7efc268990153749b731fdbcbd02fab33f977698c4b7,https://snowtrace.io/tx/0xbd2b0dc0ff70d4a5c21c7efc268990153749b731fdbcbd02fab33f977698c4b7,receive,0x1119fbb02f38764cd90f2d9fb35fedcd8378ac2a,SHOE,0.5
26/07/2023,23:04:55,op,0x9b7999df3ab029e2dfae075d483a3947fe4e7ff38ed5d85279aaeaefe69e36bc,https://optimistic.etherscan.io/tx/0x9b7999df3ab029e2dfae075d483a3947fe4e7ff38ed5d85279aaeaefe69e36bc,receive,0x1ef7a5f484d412aca11d34ce7230cec10f15ba6c,USDC,39.841899000000005
26/07/2023,22:59:31,op,0x99ba4399e8d568af101e993bf12bc82516b241036f3ab7d30a9d85030a0728ca,https://optimistic.etherscan.io/tx/0x99ba4399e8d568af101e993bf12bc82516b241036f3ab7d30a9d85030a0728ca,receive,0x1ef7a5f484d412aca11d34ce7230cec10f15ba6c,USDC,83.768609
29/07/2023,00:58:53,op,0xd4746621e890e360890eaed41bc50c639076bd74f7cea42bb78e694a7da39357,https://optimistic.etherscan.io/tx/0xd4746621e890e360890eaed41bc50c639076bd74f7cea42bb78e694a7da39357,receive,0x23f8c125c07c3e81f0f8b4cb56da82109ae48fe0,USDC,787.79925
01/02/2023,02:23:44,matic,0x850c0fc18e542772f2c10bf29665f88c2553a04daf609705b1ddcb9d9ca334e1,https://polygonscan.com/tx/0x850c0fc18e542772f2c10bf29665f88c2553a04daf609705b1ddcb9d9ca334e1,receive,0x41ee28ee05341e7fdddc8d433ba66054cd302ca1,USDC,1.967285
09/08/2023,05:17:11,op,0x30b99f4fe0564c9bbb7af590df071cd30fc361ad77a3cc369d21f6cbcfb1d867,https://optimistic.etherscan.io/tx/0x30b99f4fe0564c9bbb7af590df071cd30fc361ad77a3cc369d21f6cbcfb1d867,receive,0x54233c8d1528f94ef4ee616281e9fc9dcff08270,USDC,102.609441
25/07/2023,02:21:39,op,0x33558c08ee32fed157a43813e0235eca5fdbd8a56d1adf4bb7be43b49cdf18cf,https://optimistic.etherscan.io/tx/0x33558c08ee32fed157a43813e0235eca5fdbd8a56d1adf4bb7be43b49cdf18cf,receive,0x5e0cc9572cca8f1cb0ab67f153d30c447453542e,USDC,430.534722
23/07/2023,16:06:09,op,0xae5028c362baf24069a8df7ca7c4b641a76fe02497e25305e111b1a837bb8aa0,https://optimistic.etherscan.io/tx/0xae5028c362baf24069a8df7ca7c4b641a76fe02497e25305e111b1a837bb8aa0,receive,0x5e0cc9572cca8f1cb0ab67f153d30c447453542e,USDC,571.150454
24/07/2023,04:19:05,op,0x9a740bbe61c3ac9686415dedb3283f14702f8c994db507a5b74c5c2f58bc85bf,https://optimistic.etherscan.io/tx/0x9a740bbe61c3ac9686415dedb3283f14702f8c994db507a5b74c5c2f58bc85bf,receive,0x649566f664d0f7fe4104b5e7ada2de5e62f1b8c6,USDC,5.634511
23/07/2023,21:32:17,op,0xfd57e119bc529c8c460c2dfa4df52e2c18e5741e733e74bbaabe87f4fd99b6bb,https://optimistic.etherscan.io/tx/0xfd57e119bc529c8c460c2dfa4df52e2c18e5741e733e74bbaabe87f4fd99b6bb,receive,0x649566f664d0f7fe4104b5e7ada2de5e62f1b8c6,USDC,103.938671
24/07/2023,05:26:25,op,0x15106c794d135c6b8b90cc3b94e862c457d5c6838460189678b15794b79da685,https://optimistic.etherscan.io/tx/0x15106c794d135c6b8b90cc3b94e862c457d5c6838460189678b15794b79da685,receive,0x69d925eeaeee4c74408ee8c55c0605d0f1e0acd0,USDC,37.804985
25/01/2022,22:16:21,bsc,0x9496a5cfb5e3bc7536f6f2025202e9ae1197c40bea0f01ec76a20632f3dd08f4,https://bscscan.com/tx/0x9496a5cfb5e3bc7536f6f2025202e9ae1197c40bea0f01ec76a20632f3dd08f4,receive,0x901cf75febf5babfe93fcee4b5b0df6209f52ef6,BUSD,60
18/01/2022,22:16:57,bsc,0x7091a7034762ebe0c24343d41c9f909a712e6ff22c0f1d08f314ec888deacf85,https://bscscan.com/tx/0x7091a7034762ebe0c24343d41c9f909a712e6ff22c0f1d08f314ec888deacf85,receive,0x901cf75febf5babfe93fcee4b5b0df6209f52ef6,BUSD,55
26/07/2023,18:26:19,op,0x8b5abe1c7720da60df68bc17a6c6041e79ce8c819c49f11f94bc3e72a7ce1583,https://optimistic.etherscan.io/tx/0x8b5abe1c7720da60df68bc17a6c6041e79ce8c819c49f11f94bc3e72a7ce1583,receive,0x9a78217014f8ef68fb626e3ebb1f6a5e1584c9e9,USDC,8.175843
26/07/2023,18:18:41,op,0xd23aba93ddd26a26fb6720fdfd469bf30a9a363b1844d616cb53608b95388ae0,https://optimistic.etherscan.io/tx/0xd23aba93ddd26a26fb6720fdfd469bf30a9a363b1844d616cb53608b95388ae0,receive,0x9a78217014f8ef68fb626e3ebb1f6a5e1584c9e9,USDC,296.27254000000005
25/07/2023,18:26:41,op,0x65bbd0ae8afc4133377fd41893c81cd7e057de31c675e4df12fc7e4162d4f63b,https://optimistic.etherscan.io/tx/0x65bbd0ae8afc4133377fd41893c81cd7e057de31c675e4df12fc7e4162d4f63b,receive,0x9a78217014f8ef68fb626e3ebb1f6a5e1584c9e9,USDC,202.739237
27/07/2023,08:20:19,op,0xc8bd2431ad64c79cafff01eb556f7e4a1edc14338a910197cca72b4ee6d72ae0,https://optimistic.etherscan.io/tx/0xc8bd2431ad64c79cafff01eb556f7e4a1edc14338a910197cca72b4ee6d72ae0,receive,0xb1ed705c7c83de9baa7a1194c6d0cf106187fe73,USDC,25.529559
27/07/2023,07:44:59,op,0x04e2c8adcfa8394c5649aee9d2d1c86d75abe538a7cee0b273923f00e7adc2f9,https://optimistic.etherscan.io/tx/0x04e2c8adcfa8394c5649aee9d2d1c86d75abe538a7cee0b273923f00e7adc2f9,receive,0xb1ed705c7c83de9baa7a1194c6d0cf106187fe73,USDC,88.86941999999999
01/02/2024,01:49:01,op,0x24aac2f41e5f6bb4da4ec71d3899100a5466a7e26741c38183ac501554756a4c,https://optimistic.etherscan.io/tx/0x24aac2f41e5f6bb4da4ec71d3899100a5466a7e26741c38183ac501554756a4c,send,0xc48f0a509f8d7ef050022a78df5fefa0fc3a2feb,USDC,-50
30/11/2023,21:33:18,arb,0x9b08071aa02424169acf7eac52d2067d12814c82e7500311b95057ff3f3b2aaa,https://arbiscan.io/tx/0x9b08071aa02424169acf7eac52d2067d12814c82e7500311b95057ff3f3b2aaa,send,0xc48f0a509f8d7ef050022a78df5fefa0fc3a2feb,USDC,-50
01/11/2023,01:47:16,bsc,0x2c68f59f6c9b91cffaffd9f17709cce2726e059760b03f0fc204400f997a539e,https://bscscan.com/tx/0x2c68f59f6c9b91cffaffd9f17709cce2726e059760b03f0fc204400f997a539e,send,0xc48f0a509f8d7ef050022a78df5fefa0fc3a2feb,USDT,-50
31/08/2023,21:37:29,op,0x9ef466725422b033d7899b71449fd65bc4b3c05aa298f212d1c88b7e0b3fade6,https://optimistic.etherscan.io/tx/0x9ef466725422b033d7899b71449fd65bc4b3c05aa298f212d1c88b7e0b3fade6,send,0xc48f0a509f8d7ef050022a78df5fefa0fc3a2feb,USDC,-50
28/07/2023,22:18:39,op,0xcb8412155d21372d0bdf7ccf9b6387d83e84ccbeb49f7310ec2eab95de02d892,https://optimistic.etherscan.io/tx/0xcb8412155d21372d0bdf7ccf9b6387d83e84ccbeb49f7310ec2eab95de02d892,send,0xc48f0a509f8d7ef050022a78df5fefa0fc3a2feb,USDC,-50
13/06/2022,17:07:34,matic,0x808a115cf2baebe887ffe37556d21c743b0274c1e5ad7ca6bc8463de9811f63f,https://polygonscan.com/tx/0x808a115cf2baebe887ffe37556d21c743b0274c1e5ad7ca6bc8463de9811f63f,send,0xc7a014d9526115d7fea8ef7d2912acc8ea6e49d0,MATIC,-1
27/04/2022,04:45:02,matic,0x3e71c682869161078196770b984c06ae4d1c5e76d8d7134cc7e706d351a81413,https://polygonscan.com/tx/0x3e71c682869161078196770b984c06ae4d1c5e76d8d7134cc7e706d351a81413,send,0xc7a014d9526115d7fea8ef7d2912acc8ea6e49d0,MATIC,-1
12/04/2022,18:49:23,matic,0x220f8f05c041e6c6aaf30e9045e5db130ae5582f3940bbede589364b07d553ac,https://polygonscan.com/tx/0x220f8f05c041e6c6aaf30e9045e5db130ae5582f3940bbede589364b07d553ac,send,0xc7a014d9526115d7fea8ef7d2912acc8ea6e49d0,MATIC,-0.2
