Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
22/11/2023,07:18:33,op,0x42f021ae97fb4396033337e0f9021ee722271ffac497f3862b4b1c20253530ef,https://optimistic.etherscan.io/tx/0x42f021ae97fb4396033337e0f9021ee722271ffac497f3862b4b1c20253530ef,receive,0x00980decdab20f78ab79dc28171b68ce238ec327,ETH,0.538
07/08/2023,02:14:04,avax,0x375ba7d8b70e02c53fd9e9530ae21daf3f589c500289fc4304293ba2c5e2653c,https://snowtrace.io/tx/0x375ba7d8b70e02c53fd9e9530ae21daf3f589c500289fc4304293ba2c5e2653c,send,0x00980decdab20f78ab79dc28171b68ce238ec327,AVAX,-0.01
05/08/2023,00:22:30,xdai,0xb701a9d53059509f55b929f0cc41233517bd5317ab0f5ba3961ece16f0bd4509,https://gnosisscan.io/tx/0xb701a9d53059509f55b929f0cc41233517bd5317ab0f5ba3961ece16f0bd4509,receive,0x00980decdab20f78ab79dc28171b68ce238ec327,EURA,2000.26
02/08/2023,01:14:34,bsc,0xb382abfee81a529a0a66903baf7226e029420159c2e6eb3e3d7d290597985997,https://bscscan.com/tx/0xb382abfee81a529a0a66903baf7226e029420159c2e6eb3e3d7d290597985997,send,0x00980decdab20f78ab79dc28171b68ce238ec327,BNB,-0.0045
30/07/2023,12:05:30,xdai,0x4b9c7de47028aeafcd59beb70ee5ee1bd153501d73ee2f601d02d17f788bd1b0,https://gnosisscan.io/tx/0x4b9c7de47028aeafcd59beb70ee5ee1bd153501d73ee2f601d02d17f788bd1b0,send,0x00980decdab20f78ab79dc28171b68ce238ec327,xDai,-0.1
30/07/2023,12:04:40,celo,0xd008854f6193242a3b6049ea9fe41e7a5353ca3615f6cd31f2e712877e048e41,https://celoscan.io/tx/0xd008854f6193242a3b6049ea9fe41e7a5353ca3615f6cd31f2e712877e048e41,send,0x00980decdab20f78ab79dc28171b68ce238ec327,CELO,-0.2
07/12/2023,14:00:03,bsc,0x729298c8533beb3c6712c932982bc44252c461ef9861bd74be1bdc9b3fe86cb4,https://bscscan.com/tx/0x729298c8533beb3c6712c932982bc44252c461ef9861bd74be1bdc9b3fe86cb4,send,0x00e9ba3dc1ebd6f585b9f5bf8a33a975b5f8a7de,BNB,-0.1
27/11/2023,13:58:44,bsc,0xabfdac442637c31ab3220c7dc811a6345f14848ae122cc90a595436398c7d8f0,https://bscscan.com/tx/0xabfdac442637c31ab3220c7dc811a6345f14848ae122cc90a595436398c7d8f0,send,0x00e9ba3dc1ebd6f585b9f5bf8a33a975b5f8a7de,BNB,-0.15
19/11/2023,16:12:31,bsc,0xa6d1aedeb2661048c6cc127ef7c7f01a97aeb02cb9070fd216dc3888ab184f1e,https://bscscan.com/tx/0xa6d1aedeb2661048c6cc127ef7c7f01a97aeb02cb9070fd216dc3888ab184f1e,send,0x00e9ba3dc1ebd6f585b9f5bf8a33a975b5f8a7de,BNB,-0.15
19/11/2023,14:05:42,bsc,0xd3a3430dfc808d62b282d98db7e9e3dc76e8839aebf1e9070cc15e0235c6ddff,https://bscscan.com/tx/0xd3a3430dfc808d62b282d98db7e9e3dc76e8839aebf1e9070cc15e0235c6ddff,send,0x00e9ba3dc1ebd6f585b9f5bf8a33a975b5f8a7de,BNB,-0.01
