Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
09/12/2022,21:39:45,matic,0x06792abb28861f57e7eda5945045d1721d6980047a5be72be13f42229df10122,https://polygonscan.com/tx/0x06792abb28861f57e7eda5945045d1721d6980047a5be72be13f42229df10122,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,WMATIC,0.01
23/11/2022,19:58:35,eth,0xf029a5daca250b2f2ddafadcff987bcf98cd13b8d446a6a0c8b8e9abd2f4a342,https://etherscan.io/tx/0xf029a5daca250b2f2ddafadcff987bcf98cd13b8d446a6a0c8b8e9abd2f4a342,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,ETH,0.025
08/11/2022,23:47:06,op,0xd10e73cb8d6f94847ffa393ee59e02ef267069be47bc53f1ab8db382bfd1f1c4,https://optimistic.etherscan.io/tx/0xd10e73cb8d6f94847ffa393ee59e02ef267069be47bc53f1ab8db382bfd1f1c4,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,ETH,-0.371
06/11/2022,07:36:59,eth,0xce3dd5c4ecb971b28d21a0817505c02dd856cf17ca927f6b9f10653d921e2917,https://etherscan.io/tx/0xce3dd5c4ecb971b28d21a0817505c02dd856cf17ca927f6b9f10653d921e2917,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,FOG,-1
30/10/2022,01:07:35,eth,0x3c79587a31451a992233334fc550032e929546fb866e1d97504edb9b9ec68139,https://etherscan.io/tx/0x3c79587a31451a992233334fc550032e929546fb866e1d97504edb9b9ec68139,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,ETH,-0.01
25/05/2022,14:21:18,eth,0xdb547114f61befa546128ec861a8d3b7d759ac19535226940a47847b05c477f0,https://etherscan.io/tx/0xdb547114f61befa546128ec861a8d3b7d759ac19535226940a47847b05c477f0,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,ETH,0.1
23/05/2022,20:29:20,matic,0xb04eeb3819cb9124d7120f50d99bf743856d90af46b5f9829f83201650e8bcc7,https://polygonscan.com/tx/0xb04eeb3819cb9124d7120f50d99bf743856d90af46b5f9829f83201650e8bcc7,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,Reel8,-1
23/05/2022,20:28:50,matic,0x3a31b462b4d57db1f49833a02b3b88fc8da3d9145d906e852b328853812e9543,https://polygonscan.com/tx/0x3a31b462b4d57db1f49833a02b3b88fc8da3d9145d906e852b328853812e9543,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,Reel8,-1
23/05/2022,20:26:34,matic,0x8223a6b09977fc4b8d3af891f261820cf6d4cbb141514d8d12f02d2e077a59f6,https://polygonscan.com/tx/0x8223a6b09977fc4b8d3af891f261820cf6d4cbb141514d8d12f02d2e077a59f6,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,Reel8,-1
23/05/2022,20:24:24,matic,0x6b5cea4b892f2306c748e6223f2e831329ffc71d9a8e7f34f2d204fb2269ce48,https://polygonscan.com/tx/0x6b5cea4b892f2306c748e6223f2e831329ffc71d9a8e7f34f2d204fb2269ce48,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,Reel8,-1
23/05/2022,20:24:04,matic,0xa59dabef44cf8ee35b6935cbf4d9cf09f0d3479031f57b776436cf53d8fa28fb,https://polygonscan.com/tx/0xa59dabef44cf8ee35b6935cbf4d9cf09f0d3479031f57b776436cf53d8fa28fb,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,Reel8,-1
22/05/2022,18:16:15,arb,0xb38a3e0eeb810fc1f8d54e4ed6734181e53077255adc79f2095c228bda30f55b,https://arbiscan.io/tx/0xb38a3e0eeb810fc1f8d54e4ed6734181e53077255adc79f2095c228bda30f55b,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,USDC,214
13/05/2022,15:11:07,bsc,0x6bb710195588164286961a58b9236d68efc3221abcd4288e2b73f1511a461fa7,https://bscscan.com/tx/0x6bb710195588164286961a58b9236d68efc3221abcd4288e2b73f1511a461fa7,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BNB,-0.02
07/05/2022,16:05:47,eth,0xd5e7074e0855c23fa1a2da54e435abf9df4b4605e5e9bfdc4e252b6c78d15a6a,https://etherscan.io/tx/0xd5e7074e0855c23fa1a2da54e435abf9df4b4605e5e9bfdc4e252b6c78d15a6a,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,,-1
03/05/2022,10:27:28,bsc,0x29bf04f2155e09d4222e2a2eac555f651e996f161ea21814edfa8c824aa7901f,https://bscscan.com/tx/0x29bf04f2155e09d4222e2a2eac555f651e996f161ea21814edfa8c824aa7901f,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BEAN,520
30/04/2022,21:50:22,bsc,0x528d7374b17cb93e6bfa2deae4c2207635fd9e2a4dac4435c6082645f27bd800,https://bscscan.com/tx/0x528d7374b17cb93e6bfa2deae4c2207635fd9e2a4dac4435c6082645f27bd800,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BNB,-0.02
19/04/2022,20:38:24,ftm,0x8ce3c8bd7b56c93ac7e7c29c2f92407a36db418dcaaabce2bd8d9f5814170d4d,https://ftmscan.com/tx/0x8ce3c8bd7b56c93ac7e7c29c2f92407a36db418dcaaabce2bd8d9f5814170d4d,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,FTM,-0.1
19/04/2022,20:35:01,ftm,0x9150925bf69954c809dda9c38719c3d0cbe69c49892acf89f40c77c925ed3e12,https://ftmscan.com/tx/0x9150925bf69954c809dda9c38719c3d0cbe69c49892acf89f40c77c925ed3e12,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,FTM,-0.1
13/04/2022,21:51:36,bsc,0xeb695fb70f02ba87aea6157de1b489b9bc84bc5d54bddb8223d62de8e54229fe,https://bscscan.com/tx/0xeb695fb70f02ba87aea6157de1b489b9bc84bc5d54bddb8223d62de8e54229fe,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BNB,-0.01
12/04/2022,18:41:00,platon,0x2cea8679a89511d538ab3af4de2686836cdb144ab1f73dd0bd5d0775444ada19,https://scan.platon.network/tx/0x2cea8679a89511d538ab3af4de2686836cdb144ab1f73dd0bd5d0775444ada19,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,LAT,-1
11/04/2022,23:57:06,bsc,0x634bfd36323b4209e0103eb75541c1d6141b933b3dfd98966b31836a075067b2,https://bscscan.com/tx/0x634bfd36323b4209e0103eb75541c1d6141b933b3dfd98966b31836a075067b2,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BEAN,268
09/04/2022,09:34:01,matic,0xdfdfc7fb9c79a10958b998789fac2722002fdf62ee0d516869ebd0a6bb242ad9,https://polygonscan.com/tx/0xdfdfc7fb9c79a10958b998789fac2722002fdf62ee0d516869ebd0a6bb242ad9,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,Project Galaxy Space Expedition,1
04/04/2022,21:50:14,bsc,0x155c88f0676eb12eb34f88a6f889f0fc66f84012a8238f8a5435875c6b0c60f8,https://bscscan.com/tx/0x155c88f0676eb12eb34f88a6f889f0fc66f84012a8238f8a5435875c6b0c60f8,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BEAN,269
28/03/2022,22:06:02,bsc,0x1b57389621517db13dbf0142fc3461dee676d001e92719c98dc0752581eb673c,https://bscscan.com/tx/0x1b57389621517db13dbf0142fc3461dee676d001e92719c98dc0752581eb673c,receive,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BEAN,268
21/03/2022,22:32:18,bsc,0x342ffe0b0640854a525ad5ab6a9bacd47f65554189ccd5fc3d2279d2cfb178fc,https://bscscan.com/tx/0x342ffe0b0640854a525ad5ab6a9bacd47f65554189ccd5fc3d2279d2cfb178fc,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BNB,-0.01
20/03/2022,15:10:51,matic,0x6288cb59434eb5b6771da365e621644fe920faced5400c9e34e8bc94f0c9095e,https://polygonscan.com/tx/0x6288cb59434eb5b6771da365e621644fe920faced5400c9e34e8bc94f0c9095e,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,MATIC,-2
15/03/2022,20:45:37,bsc,0xe008ae6e697af14ba7a0afe93b7a4231c25fbc8d24c521893441827997088afb,https://bscscan.com/tx/0xe008ae6e697af14ba7a0afe93b7a4231c25fbc8d24c521893441827997088afb,send,0x024214fbc5f2b5b9b33edbcfe224cfe31de15c56,BNB,-0.01
24/05/2022,10:30:32,matic,0xd846eb94aa73409e483ee132d9f23c500b3c8b354fe0f884be39e0e3fb19bee9,https://polygonscan.com/tx/0xd846eb94aa73409e483ee132d9f23c500b3c8b354fe0f884be39e0e3fb19bee9,send,0x03b40776af5a364ffbaea3d2e293df4cceab4f98,Reel8,-1
28/09/2022,17:03:12,matic,0x7f5f81e98624d90b80f5f57bd874929e5b034a48623d263a7cf87455a08e77bf,https://polygonscan.com/tx/0x7f5f81e98624d90b80f5f57bd874929e5b034a48623d263a7cf87455a08e77bf,send,0x0b43055e9a2d32cc8f2707549f8848cb744bc795,MATIC,-1
