Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
31/03/2024,06:24:14,era,0x7fc111152729e32792c2631c2a67459eb153156a507485dda74ee541089b05ea,https://era.zksync.network/tx/0x7fc111152729e32792c2631c2a67459eb153156a507485dda74ee541089b05ea,receive,0x113a5eaeac308bc348189dfcecacd99b9f73bcfd,ETH,0.000004744434571032
27/04/2023,04:13:11,matic,0x6aea0571ccf9513cb65c23da54264cc0687898612c171b7f18de0b3309fcaf87,https://polygonscan.com/tx/0x6aea0571ccf9513cb65c23da54264cc0687898612c171b7f18de0b3309fcaf87,send,0x19789135a6ced5d272a3f965f45a304fed01d780,MATIC,-0.55
31/03/2024,06:22:06,era,0x2946c29bb6499f167b31dc5b2416851ae8b5cb325681af3676da6b969fb2023d,https://era.zksync.network/tx/0x2946c29bb6499f167b31dc5b2416851ae8b5cb325681af3676da6b969fb2023d,receive,0x1c7e294e6ace20ece17fb276c12781167d4db0af,ETH,0.00001095502975477
25/12/2023,10:14:19,matic,0xbe2dfa0c16e94085ff503292a8f419729ae07e9c92079ee9f851cf7b06e19a03,https://polygonscan.com/tx/0xbe2dfa0c16e94085ff503292a8f419729ae07e9c92079ee9f851cf7b06e19a03,receive,0x216a325e759869c4678b9138dc1b5f05dc3c2cac,MATIC,0.04004147274504146
10/04/2024,08:51:15,arb,0xb2ea03a50bf74bd56773cdc7d8b42d4d725d4fb91e029ddae8f41bf342f840df,https://arbiscan.io/tx/0xb2ea03a50bf74bd56773cdc7d8b42d4d725d4fb91e029ddae8f41bf342f840df,receive,0x218a0b60d31805ae6ce0838d1c5e88416a761a52,ETH,9.6949e-7
03/12/2023,18:12:44,linea,0x491893ca669fdc87493a93cd0228c958339233127befe3c019cae566a823d5aa,https://lineascan.build/tx/0x491893ca669fdc87493a93cd0228c958339233127befe3c019cae566a823d5aa,receive,0x2af790e0778860ed39345a62df3a15c820582e42,ETH,0.000056551463389627
10/04/2024,08:49:36,arb,0xd090306549637fbbb89e1a9a887657d7cfc03401dbfc2ccf47c39dbb3fd495d5,https://arbiscan.io/tx/0xd090306549637fbbb89e1a9a887657d7cfc03401dbfc2ccf47c39dbb3fd495d5,receive,0x2f4f30ea069ead5707768e9557293339fafab6f1,ETH,0.00000160296
10/04/2024,08:50:56,arb,0x4cf6b2105b79a276986bb0eb9e21c1d7f25c4f2536d1fdffdc4913e0c58eb777,https://arbiscan.io/tx/0x4cf6b2105b79a276986bb0eb9e21c1d7f25c4f2536d1fdffdc4913e0c58eb777,receive,0x3c5f03760790b309e04f579ddd26371a2af1c49f,ETH,0.00000140376
09/02/2024,04:17:43,base,0x572d5c41a0897c5fb7dd71f2fa3ad4d36e1a67fcb52682cf88121a2582ecf84f,https://www.basescan.org/tx/0x572d5c41a0897c5fb7dd71f2fa3ad4d36e1a67fcb52682cf88121a2582ecf84f,receive,0x400fa45f264f14c06f6fc54961c77e805fa720e2,ETH,0.00041
09/02/2024,04:12:11,base,0x8b69ac7ccb97d163c0de0fad287c3351c104da92f7a888d86bc5c33d42dfa172,https://www.basescan.org/tx/0x8b69ac7ccb97d163c0de0fad287c3351c104da92f7a888d86bc5c33d42dfa172,receive,0x400fa45f264f14c06f6fc54961c77e805fa720e2,ETH,0.00015
