Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/08/2023,02:15:10,xdai,0x8dcccac2371659cc1d6e859fcde6ae3533ec528cb6a082bfaec15552185c22c2,https://gnosisscan.io/tx/0x8dcccac2371659cc1d6e859fcde6ae3533ec528cb6a082bfaec15552185c22c2,send,0x0134600e06c4176fd44a5557d124f5d684e75b28,xDai,-0.07
21/02/2024,17:00:09,matic,0xd19ff808285ff21c36118ce87f944d4524c081dfc1a3f7c74302b786e5b4bfe6,https://polygonscan.com/tx/0xd19ff808285ff21c36118ce87f944d4524c081dfc1a3f7c74302b786e5b4bfe6,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-7.479399
19/12/2023,13:49:43,linea,0x8581d89c8043f08903c210254a9c5e0983ee569f3dc5e183db06fe534eb6e79a,https://lineascan.build/tx/0x8581d89c8043f08903c210254a9c5e0983ee569f3dc5e183db06fe534eb6e79a,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,15:53:01,linea,0x9ffccd479ed2a318205521981770ab839214a93de4acc03a83c5872fd2dd16b0,https://lineascan.build/tx/0x9ffccd479ed2a318205521981770ab839214a93de4acc03a83c5872fd2dd16b0,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:48:51,nova,0x608088a48d947059e2110f0cb13baeef3dde76ef2d3d22477d7f062f4fb1bbe2,https://nova.arbiscan.io/tx/0x608088a48d947059e2110f0cb13baeef3dde76ef2d3d22477d7f062f4fb1bbe2,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003973144158480926
25/08/2023,21:32:30,ftm,0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,https://ftmscan.com/tx/0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:25:15,matic,0x745d41379d6572502b86428ea0b1d2b0d3ff439cc751090b43521ad403cf31f4,https://polygonscan.com/tx/0x745d41379d6572502b86428ea0b1d2b0d3ff439cc751090b43521ad403cf31f4,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
22/09/2021,22:36:52,matic,0xf3731054feb01dc2f6a5d9b8b8ad4186fcb26197bbc63205d754d4c348465530,https://polygonscan.com/tx/0xf3731054feb01dc2f6a5d9b8b8ad4186fcb26197bbc63205d754d4c348465530,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,MATIC,-1500
20/09/2021,00:21:24,matic,0x16dbab400078a50fc0739d64001f74008f3f766aa7830cd9baf4e5d210c0a32c,https://polygonscan.com/tx/0x16dbab400078a50fc0739d64001f74008f3f766aa7830cd9baf4e5d210c0a32c,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,MATIC,-1000
05/09/2021,22:42:54,matic,0xbff03b5478b028b990491afc2d36772e5b92aaa64f5a0f5a6bbcbce4b2ca5497,https://polygonscan.com/tx/0xbff03b5478b028b990491afc2d36772e5b92aaa64f5a0f5a6bbcbce4b2ca5497,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,MATIC,-3500
05/09/2021,02:02:52,matic,0x2ffd69176af570e1661ec370b7327a4449d8ca1e48bdc1bb6e06b94dc95505e1,https://polygonscan.com/tx/0x2ffd69176af570e1661ec370b7327a4449d8ca1e48bdc1bb6e06b94dc95505e1,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,MATIC,-100
05/09/2021,01:32:54,matic,0xfca66de846027a37f7e679a9033f4ac3e82a367a9afdca7729a725f89b76b19a,https://polygonscan.com/tx/0xfca66de846027a37f7e679a9033f4ac3e82a367a9afdca7729a725f89b76b19a,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,MATIC,-100
04/09/2021,22:38:33,matic,0x7b0d7e6c90b3aa3c7787737cbc1346ae28877ad46d1191a246602f6872bb09a0,https://polygonscan.com/tx/0x7b0d7e6c90b3aa3c7787737cbc1346ae28877ad46d1191a246602f6872bb09a0,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,MATIC,-10
04/09/2021,21:40:07,matic,0x9c517f67070671da7bbe169f1ab8959a9f96b72c7132a9ec82e2e5f7ee78001d,https://polygonscan.com/tx/0x9c517f67070671da7bbe169f1ab8959a9f96b72c7132a9ec82e2e5f7ee78001d,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,MATIC,-10
17/08/2021,23:13:25,matic,0x2f2d178557a900cb384c88ad7d05fd4eb59be607116c6135378ecd95875473b2,https://polygonscan.com/tx/0x2f2d178557a900cb384c88ad7d05fd4eb59be607116c6135378ecd95875473b2,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-6011
17/08/2021,13:43:14,matic,0x1e3c6ab2b696bd8d57409edfb4234b8837d0f9b55215884a0f7871268b7c9d12,https://polygonscan.com/tx/0x1e3c6ab2b696bd8d57409edfb4234b8837d0f9b55215884a0f7871268b7c9d12,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-6000
17/08/2021,12:27:17,matic,0xe1ac05c0dd85ce8567289dd76db4a0f384a22106c88e147d0c8075d49c067fcd,https://polygonscan.com/tx/0xe1ac05c0dd85ce8567289dd76db4a0f384a22106c88e147d0c8075d49c067fcd,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-1000
16/08/2021,20:27:42,matic,0x3d71d548145db72c80b5116aecc0a448337a9d1888c057a79239575bac4cd530,https://polygonscan.com/tx/0x3d71d548145db72c80b5116aecc0a448337a9d1888c057a79239575bac4cd530,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-2000
16/08/2021,20:17:02,matic,0x65bee9d16dd5509c0fe9bf8ec7d10b7f101ff94e4f4fc838d2f182119479dc0d,https://polygonscan.com/tx/0x65bee9d16dd5509c0fe9bf8ec7d10b7f101ff94e4f4fc838d2f182119479dc0d,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-1010
15/08/2021,23:42:55,matic,0xa7bf89f2e124265804691d9327a850791e1b83fcd97731781470ed35901893c4,https://polygonscan.com/tx/0xa7bf89f2e124265804691d9327a850791e1b83fcd97731781470ed35901893c4,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-2000
15/08/2021,23:14:45,matic,0x0adc7b827c19981223f9a7c9dbffb79324f931690aff1a37db7e28cfa033bcb0,https://polygonscan.com/tx/0x0adc7b827c19981223f9a7c9dbffb79324f931690aff1a37db7e28cfa033bcb0,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-210
15/08/2021,23:06:57,matic,0xaa787537ed8f1c3957f6e911be636db9b9d736d94e08c2698d7187c8d4853c26,https://polygonscan.com/tx/0xaa787537ed8f1c3957f6e911be636db9b9d736d94e08c2698d7187c8d4853c26,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-210
15/08/2021,22:43:21,matic,0x0d72984a7a569399b5b6173b3f1e033946a5d3b967b2adb2c61865fcea1c3373,https://polygonscan.com/tx/0x0d72984a7a569399b5b6173b3f1e033946a5d3b967b2adb2c61865fcea1c3373,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-210
15/08/2021,22:32:21,matic,0xe1236977d2911cf69e886d6eb0316885cc1b7c58b12a879326b649efac50dfba,https://polygonscan.com/tx/0xe1236977d2911cf69e886d6eb0316885cc1b7c58b12a879326b649efac50dfba,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-210
14/08/2021,06:50:39,matic,0x995d42de2277a27a078bd347db4d0cd7f2a6463622003d1c8f12cd69141cd809,https://polygonscan.com/tx/0x995d42de2277a27a078bd347db4d0cd7f2a6463622003d1c8f12cd69141cd809,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-10500
13/08/2021,16:47:12,matic,0x244b80f34f597b9379ba9cf1071eaa1979dd64ad9e35c8e4e647a1868f13c8e2,https://polygonscan.com/tx/0x244b80f34f597b9379ba9cf1071eaa1979dd64ad9e35c8e4e647a1868f13c8e2,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-21000
13/08/2021,13:57:17,matic,0xabada576d07ddf91943b4cbffc53f3ee36f2f56b662c1f6ec5c65f6385e40c84,https://polygonscan.com/tx/0xabada576d07ddf91943b4cbffc53f3ee36f2f56b662c1f6ec5c65f6385e40c84,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDC,-1011
23/04/2021,21:36:48,bsc,0x5f4b51ea8c212ff7a40b4f0b2c76e11e8874bbcca2afc7a2242df19f710157a4,https://bscscan.com/tx/0x5f4b51ea8c212ff7a40b4f0b2c76e11e8874bbcca2afc7a2242df19f710157a4,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,USDT,-3.37
30/01/2023,10:53:11,eth,0x8c9ac8e492151d9586f2aa57d4f95ad0658b166192256d0feb31e0f2ab2b4f73,https://etherscan.io/tx/0x8c9ac8e492151d9586f2aa57d4f95ad0658b166192256d0feb31e0f2ab2b4f73,receive,0x09001ab3fb9f9722691a73704c143a80a2cf6bd9,ETH,0.001746604106427
30/01/2023,10:53:47,eth,0x69180c7d0b5f86c53baa8977b66a416ab23b04a02d670072595aa375d138bfda,https://etherscan.io/tx/0x69180c7d0b5f86c53baa8977b66a416ab23b04a02d670072595aa375d138bfda,receive,0x0dd256aec2bc702ba1823aedd5625b7ab9f26dc5,ETH,0.001766598340329
03/12/2023,13:07:00,linea,0xe382625db233fd9159d5f8257b0282497708f72222ecef6739c8d84a2c8c8061,https://lineascan.build/tx/0xe382625db233fd9159d5f8257b0282497708f72222ecef6739c8d84a2c8c8061,send,0x677343007b4e6bbfb592d0d97ff14f9ac9449069,lETH,-0.02180980334121995
19/06/2023,01:57:40,bsc,0xfa292f81ea1ab820e63447f5eb948625e07310362790fc94b1c7340a2965f476,https://bscscan.com/tx/0xfa292f81ea1ab820e63447f5eb948625e07310362790fc94b1c7340a2965f476,send,0x677343007b4e6bbfb592d0d97ff14f9ac9449069,BNB,-0.03
12/12/2021,18:07:16,eth,0x8480113599d48cc64452e7a8b3c07c1251f53e575e12c5c3152f960a86d9c2e8,https://etherscan.io/tx/0x8480113599d48cc64452e7a8b3c07c1251f53e575e12c5c3152f960a86d9c2e8,send,0x677956f353e5653f7443ad9b924cebc9f6620e7c,ETH,-0.0072
22/06/2023,21:03:41,op,0x6a8b60baaf28abc5c9a9fb61801a61b25974a294a2305f2c5e0ccf3cbfe7b52d,https://optimistic.etherscan.io/tx/0x6a8b60baaf28abc5c9a9fb61801a61b25974a294a2305f2c5e0ccf3cbfe7b52d,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,COLLAB,-10
