Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/12/2023,18:25:45,linea,0x50c29eb8bd5b4f4ce9a2af4943c3a41b47b9824fca70d7b83be1903df7f2607f,https://lineascan.build/tx/0x50c29eb8bd5b4f4ce9a2af4943c3a41b47b9824fca70d7b83be1903df7f2607f,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x0ad23be7950669c4ba0cc4a2bf16b1d5716bbd51b81df5114d9b51c7e40a14d9,https://lineascan.build/tx/0x0ad23be7950669c4ba0cc4a2bf16b1d5716bbd51b81df5114d9b51c7e40a14d9,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:51,nova,0xd5988afd027b43b1554e67f81b903af39528211b08c7cecccaafde420c57484a,https://nova.arbiscan.io/tx/0xd5988afd027b43b1554e67f81b903af39528211b08c7cecccaafde420c57484a,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003969027404095654
09/12/2023,13:00:49,linea,0x0a095af3133e04a4756b44ecd783d589b3f4e1655cb693298dc05a1b1ca9561e,https://lineascan.build/tx/0x0a095af3133e04a4756b44ecd783d589b3f4e1655cb693298dc05a1b1ca9561e,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.011301734471074494
25/08/2023,21:27:00,ftm,0x1f8a2eba4e0a4779e24efc8321fd7a60659cc7facac593010bd23d264bf3ee25,https://ftmscan.com/tx/0x1f8a2eba4e0a4779e24efc8321fd7a60659cc7facac593010bd23d264bf3ee25,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0x5ee04ccd775258e840f041ae87a30cd5612a815f3c80c86dea5c87512eae5ae1,https://polygonscan.com/tx/0x5ee04ccd775258e840f041ae87a30cd5612a815f3c80c86dea5c87512eae5ae1,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
04/01/2023,19:06:32,op,0x529791dbbb5258491b5ad5776052288dee46fd17d630a18ea90d183b56a9f4e2,https://optimistic.etherscan.io/tx/0x529791dbbb5258491b5ad5776052288dee46fd17d630a18ea90d183b56a9f4e2,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,18
30/12/2022,06:53:35,eth,0xc20d8af84db92448cdb6fae2b1be5612ec59b078e06927fca3b5c4dcfbe8f4d8,https://etherscan.io/tx/0xc20d8af84db92448cdb6fae2b1be5612ec59b078e06927fca3b5c4dcfbe8f4d8,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.08
27/07/2023,02:54:37,dfk,0x884791cdd99cf3f60e8189a3858b61b26b16207ad78a9c0926e1337bb467c9c2,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x884791cdd99cf3f60e8189a3858b61b26b16207ad78a9c0926e1337bb467c9c2,send,0x095e3bd89f7dd4b7701284d94aa538f9d21cbb7f,JEWEL,-1
25/07/2023,22:50:35,dfk,0x59eb4438d3f5b7d55b67a9e13abe8651639c0421eab34063f115d2b25a069372,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x59eb4438d3f5b7d55b67a9e13abe8651639c0421eab34063f115d2b25a069372,send,0x095e3bd89f7dd4b7701284d94aa538f9d21cbb7f,DFKGOLD,-10
27/07/2023,02:57:50,dfk,0x1cdad2cdb1ad212eb783e9f61c2e64b380178a73505c0cc5ec94ded56c4e4cf8,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x1cdad2cdb1ad212eb783e9f61c2e64b380178a73505c0cc5ec94ded56c4e4cf8,send,0x27ba71ed3248c0a71c100f4411db09a55b88200c,JEWEL,-1
25/07/2023,22:54:50,dfk,0xb70ab9a43e24cead2fa0aa4c97031b1f0df4ec324cb17cb1b72df42b26282f25,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xb70ab9a43e24cead2fa0aa4c97031b1f0df4ec324cb17cb1b72df42b26282f25,send,0x27ba71ed3248c0a71c100f4411db09a55b88200c,DFKGOLD,-10
01/01/2023,23:29:24,bsc,0xe5c51853b72c92c3dba1ec58d3dc14ef4faa0b65331727f8135ad14311a7958a,https://bscscan.com/tx/0xe5c51853b72c92c3dba1ec58d3dc14ef4faa0b65331727f8135ad14311a7958a,send,0x30951bb12ae672843777af91446395152e23b5fd,BNB,-0.05
18/12/2022,19:12:35,eth,0x18cc8dff84ebd7e06b75c444b32bf55abfbb0a5d066c58673ff7c6f9c96a9ac2,https://etherscan.io/tx/0x18cc8dff84ebd7e06b75c444b32bf55abfbb0a5d066c58673ff7c6f9c96a9ac2,receive,0x30951bb12ae672843777af91446395152e23b5fd,ETH,0.0883
