Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
13/03/2024,18:36:54,bsc,0x033cb85d361d1240bb93c163b9c7d110f3d7eb45df28396fb6db4cdd3d89cc13,https://bscscan.com/tx/0x033cb85d361d1240bb93c163b9c7d110f3d7eb45df28396fb6db4cdd3d89cc13,send,0x0253950e42d913a723ad75e56cea3197f8d258c6,USDT,-1000
14/05/2024,02:04:12,bsc,0xa7725853887f08abf9b294fe07e6c729531dbfebb24130c3c2fdf8e02738b5cf,https://bscscan.com/tx/0xa7725853887f08abf9b294fe07e6c729531dbfebb24130c3c2fdf8e02738b5cf,receive,0x111b46246ba9bf46ef15dca39ab7775897271951,NFE,3674
16/03/2024,07:18:09,manta,0x6abed9e4d021ad4c1200dcb6e7a4aa217c0c90bdf9aea85ec44b8384a34c474f,https://pacific-explorer.manta.network/tx/0x6abed9e4d021ad4c1200dcb6e7a4aa217c0c90bdf9aea85ec44b8384a34c474f,send,0x111b46246ba9bf46ef15dca39ab7775897271951,MANTA,-750
08/03/2024,03:25:53,bsc,0x3167583c84f39590a6630c703d39ff2459e52087ceb460fdcf51160e5c0cb84d,https://bscscan.com/tx/0x3167583c84f39590a6630c703d39ff2459e52087ceb460fdcf51160e5c0cb84d,receive,0x111b46246ba9bf46ef15dca39ab7775897271951,NFE,2625
08/03/2024,00:36:39,manta,0xbd3534a7bd0c98655098ff7bc9972b7bc71c166ae74aaa86242e240e4f71374b,https://pacific-explorer.manta.network/tx/0xbd3534a7bd0c98655098ff7bc9972b7bc71c166ae74aaa86242e240e4f71374b,receive,0x111b46246ba9bf46ef15dca39ab7775897271951,MANTA,1000
20/01/2024,22:58:39,manta,0x653adf390ef599407154531e85b90b606e08f7d8d871c8f106ab7daa7490bb29,https://pacific-explorer.manta.network/tx/0x653adf390ef599407154531e85b90b606e08f7d8d871c8f106ab7daa7490bb29,send,0x111b46246ba9bf46ef15dca39ab7775897271951,MANTA,-1000
20/01/2024,22:45:16,bsc,0x08cce4a1847afc3fd1229e48a30cd97158dcaba4d7bcae04ac8176ef8cd8f3d3,https://bscscan.com/tx/0x08cce4a1847afc3fd1229e48a30cd97158dcaba4d7bcae04ac8176ef8cd8f3d3,receive,0x111b46246ba9bf46ef15dca39ab7775897271951,CGPT,2598
19/01/2024,18:07:09,manta,0x950cc6cce1a9c237584601a39a79a8b580501811cd07c7b3a949b29106621ef3,https://pacific-explorer.manta.network/tx/0x950cc6cce1a9c237584601a39a79a8b580501811cd07c7b3a949b29106621ef3,receive,0x111b46246ba9bf46ef15dca39ab7775897271951,MANTA,1000
19/01/2024,05:44:09,manta,0xed55fd818a7bae2e910fd3ce7ca4716bb95490f5b1d91db3a0dc59de0574ca86,https://pacific-explorer.manta.network/tx/0xed55fd818a7bae2e910fd3ce7ca4716bb95490f5b1d91db3a0dc59de0574ca86,receive,0x111b46246ba9bf46ef15dca39ab7775897271951,MANTA,1000
28/07/2023,05:00:55,bsc,0x35f5736e344793aebb7b22331beddb23388ac02e57332fca2cb0b163be1eee97,https://bscscan.com/tx/0x35f5736e344793aebb7b22331beddb23388ac02e57332fca2cb0b163be1eee97,send,0x111b46246ba9bf46ef15dca39ab7775897271951,USDT,-667
07/03/2024,18:49:38,bsc,0x8701f3920004b1001e1e61e6d18d361a4e64cd9f7d39487315ab55648ce76fc3,https://bscscan.com/tx/0x8701f3920004b1001e1e61e6d18d361a4e64cd9f7d39487315ab55648ce76fc3,receive,0x1920b396867915c7763a9860875d971f81eac9ac,NFE,4375
27/02/2024,18:08:27,matic,0xa394b0ca761f0d821256bdb2d063dff79700947badb3ba1f517cdd6851d99027,https://polygonscan.com/tx/0xa394b0ca761f0d821256bdb2d063dff79700947badb3ba1f517cdd6851d99027,receive,0x1920b396867915c7763a9860875d971f81eac9ac,USDC,2500
16/01/2024,09:34:21,bsc,0x46015df16c82883bfeb4d84b61fc708974825c600fd00a92010b5f85f09da57a,https://bscscan.com/tx/0x46015df16c82883bfeb4d84b61fc708974825c600fd00a92010b5f85f09da57a,receive,0x1af39fb2578c1fe55439840f586f7bed40e8126c,RITE,3500
16/11/2023,09:50:03,bsc,0x3d454894bb40b2b6d1a4f453e545e913cd40d79bc2f8e636d9c3277ce010f393,https://bscscan.com/tx/0x3d454894bb40b2b6d1a4f453e545e913cd40d79bc2f8e636d9c3277ce010f393,receive,0x1af39fb2578c1fe55439840f586f7bed40e8126c,GPT,661.941
11/01/2024,03:45:14,bsc,0x78ae03dad64cf8f522736a55bd45b55014ab4287cf37f6b21fbb933c9678c129,https://bscscan.com/tx/0x78ae03dad64cf8f522736a55bd45b55014ab4287cf37f6b21fbb933c9678c129,receive,0x22b1726b3336bdcc01ab7caffb7fda662d0da002,USDT,9009
07/02/2024,16:20:30,bsc,0xf38ead877d836d390a36890ffd4d93655e4082c0efa93d08ef9fcca7778b04b1,https://bscscan.com/tx/0xf38ead877d836d390a36890ffd4d93655e4082c0efa93d08ef9fcca7778b04b1,send,0x324768c81f1d580225dec690f5389cef9358a904,PAID,-52000
