Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
03/03/2023,22:16:09,arb,0xe8f3988d6c67cdb0a5ec890bd5c8fae8883e1e2bc2cf66cd3aebf233a9236348,https://arbiscan.io/tx/0xe8f3988d6c67cdb0a5ec890bd5c8fae8883e1e2bc2cf66cd3aebf233a9236348,send,0x043deaaaf0cf4547895e8161094975e371dccfcb,ETH,-0.00057613899373166
03/03/2023,21:05:05,arb,0x951eb33c922d942b95436084b10ed19ea51a4691ecabfeeea2267e1a69c20774,https://arbiscan.io/tx/0x951eb33c922d942b95436084b10ed19ea51a4691ecabfeeea2267e1a69c20774,receive,0x043deaaaf0cf4547895e8161094975e371dccfcb,ETH,0.001917153410615918
28/11/2022,20:15:16,op,0x2596d50adb9d2d645eb7714ae56c85410177c82945d3c15729b3a7537768f9ef,https://optimistic.etherscan.io/tx/0x2596d50adb9d2d645eb7714ae56c85410177c82945d3c15729b3a7537768f9ef,receive,0x072c8fe700da44026852b076f14b7c9e9d2b433b,USDC,52.064078
20/11/2022,20:09:03,op,0xdeab744c1fd68217bbbe23dfd51370b78e59c9bc365f0b463885459b64835736,https://optimistic.etherscan.io/tx/0xdeab744c1fd68217bbbe23dfd51370b78e59c9bc365f0b463885459b64835736,receive,0x072c8fe700da44026852b076f14b7c9e9d2b433b,sUSD,114.24100213506216
10/10/2022,21:07:09,arb,0xb2a1b2379db3891b989a24bda9fbb9d7ec183424f046578d045aa0bb233b2e3e,https://arbiscan.io/tx/0xb2a1b2379db3891b989a24bda9fbb9d7ec183424f046578d045aa0bb233b2e3e,receive,0x072c8fe700da44026852b076f14b7c9e9d2b433b,ETH,0.07694227416
18/09/2022,18:18:23,eth,0x90f8fd98cfd6aa1f0e4c85c1e0f7073278f2b81ebfcf9b8c50f6d5ffb88dcfcf,https://etherscan.io/tx/0x90f8fd98cfd6aa1f0e4c85c1e0f7073278f2b81ebfcf9b8c50f6d5ffb88dcfcf,receive,0x072c8fe700da44026852b076f14b7c9e9d2b433b,ETH,0.003820068980783514
15/09/2022,13:41:13,eth,0xc7e7637254a90e826f28e3a3a9d563c13f087eccb34659587822a583545f4794,https://etherscan.io/tx/0xc7e7637254a90e826f28e3a3a9d563c13f087eccb34659587822a583545f4794,receive,0x072c8fe700da44026852b076f14b7c9e9d2b433b,USDC,10
28/11/2022,19:56:15,op,0x17baf12be7477980c7a5c0755a899a07669540ec66ceb5d9508dc616502d21e4,https://optimistic.etherscan.io/tx/0x17baf12be7477980c7a5c0755a899a07669540ec66ceb5d9508dc616502d21e4,receive,0x08adc87755e6e3e45cbccae25e65db1a9e911c9b,USDC,52.064226
20/11/2022,06:38:20,op,0x51f1ea1f307a6ebc63186672bc4c43dda711ec55c7dc2247d166eb304b21828b,https://optimistic.etherscan.io/tx/0x51f1ea1f307a6ebc63186672bc4c43dda711ec55c7dc2247d166eb304b21828b,receive,0x08adc87755e6e3e45cbccae25e65db1a9e911c9b,sUSD,114.24100774320605
10/10/2022,21:04:33,arb,0xc009612d3d232937a61c501ffa1739adaa368e2589a5132603e77cb16c7f1a6c,https://arbiscan.io/tx/0xc009612d3d232937a61c501ffa1739adaa368e2589a5132603e77cb16c7f1a6c,receive,0x08adc87755e6e3e45cbccae25e65db1a9e911c9b,ETH,0.075343050175
