Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
11/08/2023,03:17:14,linea,0x55af4bd71c01832191e65557056d30532e8ca49f2637a82a3b7974fdb8700cd3,https://lineascan.build/tx/0x55af4bd71c01832191e65557056d30532e8ca49f2637a82a3b7974fdb8700cd3,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1.111e-10
09/07/2023,21:59:30,nova,0xdbfe75286368d282a63bd5398ea051ad827072bfb9f92587592f7fd19c6721e5,https://nova.arbiscan.io/tx/0xdbfe75286368d282a63bd5398ea051ad827072bfb9f92587592f7fd19c6721e5,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1e-10
29/04/2024,04:00:53,mode,0xdf98a20cd844225b99f125101fe7cf4cb131fee37c9e559cd9bca0b3adaa0397,https://explorer.mode.network/tx/0xdf98a20cd844225b99f125101fe7cf4cb131fee37c9e559cd9bca0b3adaa0397,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,3.08e-11
25/04/2024,11:03:21,mode,0xf6e304db133fe15bb2e2f0f8116b0d90b08103c506d0e04b6e5edbd861f588ab,https://explorer.mode.network/tx/0xf6e304db133fe15bb2e2f0f8116b0d90b08103c506d0e04b6e5edbd861f588ab,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,2.35e-11
16/04/2024,17:51:29,op,0xa37fe2f586e557820f2d10e119baf1e87eb583f3936d0618e3e3e69a46f70d41,https://optimistic.etherscan.io/tx/0xa37fe2f586e557820f2d10e119baf1e87eb583f3936d0618e3e3e69a46f70d41,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,3.54e-11
16/04/2024,17:42:13,op,0xab6a0423f6aaf39daa4c82a61446a3f54d723485d005b2bbbfdcddc348963c44,https://optimistic.etherscan.io/tx/0xab6a0423f6aaf39daa4c82a61446a3f54d723485d005b2bbbfdcddc348963c44,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,2.9e-12
16/04/2024,12:31:30,arb,0x3ad42432602951e372f6abe286a5bdc4e58072a02b8ba5b7205beee8cc1c8501,https://arbiscan.io/tx/0x3ad42432602951e372f6abe286a5bdc4e58072a02b8ba5b7205beee8cc1c8501,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,1.95e-11
16/04/2024,11:04:07,arb,0x1f9618e90c6f04f6c9e995e24bd930a376a6e6904e340f09f912ab0a4efc6baa,https://arbiscan.io/tx/0x1f9618e90c6f04f6c9e995e24bd930a376a6e6904e340f09f912ab0a4efc6baa,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,8.1e-12
16/04/2024,04:01:45,op,0x0c8a5348e9b29268ee4d9faebea2ab6f881a3f49f113a7b7efc772a5c8a8980f,https://optimistic.etherscan.io/tx/0x0c8a5348e9b29268ee4d9faebea2ab6f881a3f49f113a7b7efc772a5c8a8980f,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,4.05e-11
16/04/2024,03:18:31,op,0x1030f57ca5ceeba402d4b9e75ac5e37af02095f7320b1838c705882fbef45606,https://optimistic.etherscan.io/tx/0x1030f57ca5ceeba402d4b9e75ac5e37af02095f7320b1838c705882fbef45606,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,1.98e-11
