Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
22/03/2023,19:49:02,bsc,0x70cf3305acd1e885756f9c3c47699a582df59533d09004255e66ba2a067de561,https://bscscan.com/tx/0x70cf3305acd1e885756f9c3c47699a582df59533d09004255e66ba2a067de561,receive,0x040e52fadd77299fad31ac12a755d12a15426b50,ID,82.0592239058551
22/03/2023,19:47:14,bsc,0x21a22e69176f201eb7df2ebe42fdab86c4278a08c990c37b63f915e1be6b48ac,https://bscscan.com/tx/0x21a22e69176f201eb7df2ebe42fdab86c4278a08c990c37b63f915e1be6b48ac,send,0x040e52fadd77299fad31ac12a755d12a15426b50,BNB,-0.003
03/11/2022,07:15:11,eth,0x281f057d4acad40dc555fe0f8efeb9402c89bc4764964ef08917dbbcd19efa32,https://etherscan.io/tx/0x281f057d4acad40dc555fe0f8efeb9402c89bc4764964ef08917dbbcd19efa32,receive,0x040e52fadd77299fad31ac12a755d12a15426b50,ETH,0.006122760029534994
31/10/2022,23:44:29,matic,0xf916549bc8e657186641e326715d7d5503cce3b8af69dad271cd3a9185299294,https://polygonscan.com/tx/0xf916549bc8e657186641e326715d7d5503cce3b8af69dad271cd3a9185299294,receive,0x040e52fadd77299fad31ac12a755d12a15426b50,MATIC,6.506321577206937
24/10/2022,21:24:31,matic,0xb27868af3ff3208c5976999792b2c4236b28e41baee630b6a578d0f93cfa3602,https://polygonscan.com/tx/0xb27868af3ff3208c5976999792b2c4236b28e41baee630b6a578d0f93cfa3602,receive,0x040e52fadd77299fad31ac12a755d12a15426b50,CASLA Genesis,1
20/09/2022,18:09:24,bsc,0x9b2615b4cf41426e43fe16f9653f197beb4477a5466e362cec7f66ba70658e5b,https://bscscan.com/tx/0x9b2615b4cf41426e43fe16f9653f197beb4477a5466e362cec7f66ba70658e5b,receive,0x040e52fadd77299fad31ac12a755d12a15426b50,BNB,0.029714305
26/02/2022,00:11:03,bsc,0x33e8f5c2f7b6890e3e96acddad8dfc8bc6df7f9b905f17427474d14dfa6cca08,https://bscscan.com/tx/0x33e8f5c2f7b6890e3e96acddad8dfc8bc6df7f9b905f17427474d14dfa6cca08,send,0x040e52fadd77299fad31ac12a755d12a15426b50,BNB,-0.03
26/02/2022,00:10:00,bsc,0xe0260a2035f092b1bc6becfe043db778b7b921e3ba14fd7f011623dc12f9243a,https://bscscan.com/tx/0xe0260a2035f092b1bc6becfe043db778b7b921e3ba14fd7f011623dc12f9243a,send,0x040e52fadd77299fad31ac12a755d12a15426b50,USDT,-2135.2
25/02/2022,23:59:03,bsc,0x0b808cdfd93d1f42b0818e72b9c13502c09781f86e5503168f8934c074e05dd4,https://bscscan.com/tx/0x0b808cdfd93d1f42b0818e72b9c13502c09781f86e5503168f8934c074e05dd4,send,0x040e52fadd77299fad31ac12a755d12a15426b50,USDT,-794.3692653960468
25/02/2022,23:50:29,matic,0x903388517540000352e5fb10d58076ef5d6c964719d346dd0f055164218789f9,https://polygonscan.com/tx/0x903388517540000352e5fb10d58076ef5d6c964719d346dd0f055164218789f9,receive,0x040e52fadd77299fad31ac12a755d12a15426b50,USDT,628.452779
