Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2023,18:38:09,matic,0x384330c530e20fe89ea199e8986c1c773a3b983d07a48c2cde943253567c917c,https://polygonscan.com/tx/0x384330c530e20fe89ea199e8986c1c773a3b983d07a48c2cde943253567c917c,receive,0x049d0bd599051d6356cfc8533acee912243786a3,WMATIC,1
27/04/2022,17:19:53,bsc,0x67b51818c4b9042249794b68ea39394cdd74d715cd160696ecdb2f7b478c26c1,https://bscscan.com/tx/0x67b51818c4b9042249794b68ea39394cdd74d715cd160696ecdb2f7b478c26c1,send,0x049d0bd599051d6356cfc8533acee912243786a3,BNB,-0.001281348846475403
10/11/2022,18:57:36,arb,0xfe8b771e6ea51cbcc85d5f28dab55cbb08c94c2a9a35941c783f66100e8ae40b,https://arbiscan.io/tx/0xfe8b771e6ea51cbcc85d5f28dab55cbb08c94c2a9a35941c783f66100e8ae40b,send,0x0b06bd319b6b5c46fce9218ad72490ed259921ea,ETH,-0.0001
21/02/2023,04:38:43,matic,0x4f588734a93986ed3992c942f563dfdd79119ff1c995bd3b902768210b348ca5,https://polygonscan.com/tx/0x4f588734a93986ed3992c942f563dfdd79119ff1c995bd3b902768210b348ca5,receive,0x0ef85224522f5ebdd6bf39817a8d9efc07012418,WMATIC,1
21/02/2023,18:51:03,matic,0xf3e678c7facde027abb26f7f01bf5daa9af85957d24b9387e6822e5a48b06f02,https://polygonscan.com/tx/0xf3e678c7facde027abb26f7f01bf5daa9af85957d24b9387e6822e5a48b06f02,receive,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,WMATIC,1
13/11/2022,23:15:03,matic,0x11722251aa6e88486915bae0f699442e7cd15c8e23a70f88d97bbbfbbeab1ddb,https://polygonscan.com/tx/0x11722251aa6e88486915bae0f699442e7cd15c8e23a70f88d97bbbfbbeab1ddb,receive,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,MATIC,0.7
10/11/2022,14:07:11,bsc,0xce860e4590ed5b73a5a4d5c16f062c72e69a6a2669c65e29a04cfa6253110f68,https://bscscan.com/tx/0xce860e4590ed5b73a5a4d5c16f062c72e69a6a2669c65e29a04cfa6253110f68,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,BNB,-0.003525092030538367
20/06/2022,14:34:29,bsc,0xfedbde4dcdd002a5fd215b6ca89609de7ad45337795653b28b950f218934d7e0,https://bscscan.com/tx/0xfedbde4dcdd002a5fd215b6ca89609de7ad45337795653b28b950f218934d7e0,receive,0x129b72758d421c36682da113cb3a7f180231059c,BUSD,10
21/02/2023,18:54:49,matic,0x1ea4900a15f94906d570b2d1fa8ed190d986bb01067e555b83152f887bea4994,https://polygonscan.com/tx/0x1ea4900a15f94906d570b2d1fa8ed190d986bb01067e555b83152f887bea4994,receive,0x2329566915ed91c7d24e40918249be0918850ebf,WMATIC,0.333
10/11/2022,14:07:29,bsc,0xfad2d1fee75b85e3e472dbd138fb451ed02e3404010af7cda257afc8fadbbbbc,https://bscscan.com/tx/0xfad2d1fee75b85e3e472dbd138fb451ed02e3404010af7cda257afc8fadbbbbc,send,0x2329566915ed91c7d24e40918249be0918850ebf,BNB,-0.003537558853595902
14/01/2022,04:05:32,matic,0xcce57cc80390a490ec204bca89770c5ea2a7278b31bd66698abd759e6f82edbe,https://polygonscan.com/tx/0xcce57cc80390a490ec204bca89770c5ea2a7278b31bd66698abd759e6f82edbe,receive,0x2e7f3969f894ec4e7a1293bc2588e5ba7da4606e,MATIC,0.15
14/01/2022,04:02:50,matic,0xb72cfad987631ce20c6e44a7274ff8a1d3b5392a62d8d68a1ee14cfb2ab289ae,https://polygonscan.com/tx/0xb72cfad987631ce20c6e44a7274ff8a1d3b5392a62d8d68a1ee14cfb2ab289ae,send,0x2e7f3969f894ec4e7a1293bc2588e5ba7da4606e,MATIC,-0.1
01/12/2021,04:31:06,bsc,0x12f9aa533d11141612a2a06ce3b1c1ad67b7d95d2d4c5fb7a84210d1ad7e7057,https://bscscan.com/tx/0x12f9aa533d11141612a2a06ce3b1c1ad67b7d95d2d4c5fb7a84210d1ad7e7057,receive,0x2e7f3969f894ec4e7a1293bc2588e5ba7da4606e,BNB,0.006
30/11/2021,20:42:55,bsc,0x9d89ede64118c31fbcc8240ea376926faebb8a08bc115c6acccfceb64b5dc613,https://bscscan.com/tx/0x9d89ede64118c31fbcc8240ea376926faebb8a08bc115c6acccfceb64b5dc613,send,0x2e7f3969f894ec4e7a1293bc2588e5ba7da4606e,BNB,-0.005
10/11/2022,20:06:14,arb,0x365ecebacc76c9357df263d8ba37698da95ccedf410f830663dd3af56d0af3a4,https://arbiscan.io/tx/0x365ecebacc76c9357df263d8ba37698da95ccedf410f830663dd3af56d0af3a4,receive,0x3121993d68fdaee2f6da8a7320f7be3beddc6ed9,Arbitrum,1
10/11/2022,18:56:46,arb,0x0a0f06f2eb7aadf2026c42ab07e0c6d205125196431265e9f6eeba5d0ff1117f,https://arbiscan.io/tx/0x0a0f06f2eb7aadf2026c42ab07e0c6d205125196431265e9f6eeba5d0ff1117f,send,0x3121993d68fdaee2f6da8a7320f7be3beddc6ed9,ETH,-0.0001
