Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
13/12/2023,14:47:33,op,0x0aa8b0d6030ef469c3d7ecb6437b8e1f46facfa5a81f6d18ab9f70ba40f6f372,https://optimistic.etherscan.io/tx/0x0aa8b0d6030ef469c3d7ecb6437b8e1f46facfa5a81f6d18ab9f70ba40f6f372,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.00091
13/12/2023,14:46:11,matic,0x6c0d9ff3b3a0a1a6f83c7be037a9298098c004744114a1c50fd3c44de7646c4d,https://polygonscan.com/tx/0x6c0d9ff3b3a0a1a6f83c7be037a9298098c004744114a1c50fd3c44de7646c4d,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-3.506542
13/12/2023,14:44:37,bsc,0x3b6bd1df1ff0cd17e90545f814cf0b91f564a62ae28d9020ef26659b991dd649,https://bscscan.com/tx/0x3b6bd1df1ff0cd17e90545f814cf0b91f564a62ae28d9020ef26659b991dd649,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,BNB,-0.020894834483268086
13/12/2023,14:43:50,dfk,0x2bb4c059ecfdee79505dc47444925daf58b772f1ab1f8e498ced9a61a6b1e24f,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x2bb4c059ecfdee79505dc47444925daf58b772f1ab1f8e498ced9a61a6b1e24f,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,JEWEL,-21.17013412247947
13/12/2023,00:52:36,nova,0x81934beb498ef31f529319293c38d2e3a68d0b8ee31618dc6f043a515d5507b4,https://nova.arbiscan.io/tx/0x81934beb498ef31f529319293c38d2e3a68d0b8ee31618dc6f043a515d5507b4,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.001975703817083679
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0x7757ba3021084e9d7c186bd514d3633e77bd42353fd059b6f4eecadba519736e,https://polygonscan.com/tx/0x7757ba3021084e9d7c186bd514d3633e77bd42353fd059b6f4eecadba519736e,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
14/07/2023,20:27:55,op,0xf003cd2fe0233e5a262a3c01a3ae255b04ec8210fd12b4ccf7b8bab4cd7a2a59,https://optimistic.etherscan.io/tx/0xf003cd2fe0233e5a262a3c01a3ae255b04ec8210fd12b4ccf7b8bab4cd7a2a59,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.005
30/12/2022,06:53:35,eth,0x476a33108aeffe2dec1f3435a402ee89b040dec90bd1c3e3295c16f2017c896b,https://etherscan.io/tx/0x476a33108aeffe2dec1f3435a402ee89b040dec90bd1c3e3295c16f2017c896b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.08
31/01/2023,00:25:11,eth,0x443816fd89b0958e9bde165d7cb4c0e699cae0f712e0b0f0ce962b1ab98ac721,https://etherscan.io/tx/0x443816fd89b0958e9bde165d7cb4c0e699cae0f712e0b0f0ce962b1ab98ac721,send,0x088106bc7b413759fc01879d6cc07d670bcca27d,ETH,-0.205546805677514
27/07/2023,02:59:22,dfk,0x6f73b769f7015525d6d5de5a2e3105c0c4486f31375c850b78d7846fce851cfc,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x6f73b769f7015525d6d5de5a2e3105c0c4486f31375c850b78d7846fce851cfc,send,0x0c4e8a58c77bf161bbcfc325f6aa4973e4c9d624,JEWEL,-1
25/07/2023,22:57:01,dfk,0xbdd2a0a11d1806f568a134141757a1989066e90be39740adf63be9f8a13155bc,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xbdd2a0a11d1806f568a134141757a1989066e90be39740adf63be9f8a13155bc,send,0x0c4e8a58c77bf161bbcfc325f6aa4973e4c9d624,DFKGOLD,-10
27/07/2023,02:48:20,dfk,0x51607481d11bb2762fa793072f3fd101cc489a8201faa83bd890b5a921c8d1e8,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x51607481d11bb2762fa793072f3fd101cc489a8201faa83bd890b5a921c8d1e8,send,0x2f0e84ccbc5e2c8dc37c23c28e06088910402dd6,JEWEL,-9
25/07/2023,22:48:30,dfk,0xc5639d786684889c80d431b5d1281ee906772305928cff04d03ca023e4d38e22,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xc5639d786684889c80d431b5d1281ee906772305928cff04d03ca023e4d38e22,send,0x2f0e84ccbc5e2c8dc37c23c28e06088910402dd6,JEWEL,-1
24/07/2023,04:07:58,dfk,0x50d20b27637037b755e08ed52a51ea9050eeda5705117548e4a9639c81fe012a,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x50d20b27637037b755e08ed52a51ea9050eeda5705117548e4a9639c81fe012a,send,0x2f0e84ccbc5e2c8dc37c23c28e06088910402dd6,DFKGOLD,-200
24/07/2023,04:02:27,dfk,0xfb2d2e147384465409dd6123d5cef299ca0a7c1705b16f750defe9384289198e,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xfb2d2e147384465409dd6123d5cef299ca0a7c1705b16f750defe9384289198e,send,0x2f0e84ccbc5e2c8dc37c23c28e06088910402dd6,DFKGOLD,-200
24/07/2023,03:42:27,dfk,0xedea4300f0fc242412f2088a0390aa87cc91ef756ea76e857d8bd7c915aecb63,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xedea4300f0fc242412f2088a0390aa87cc91ef756ea76e857d8bd7c915aecb63,send,0x2f0e84ccbc5e2c8dc37c23c28e06088910402dd6,JEWEL,-2
27/07/2023,02:54:37,dfk,0x9afe2cb54ab0e9510dccc668399cd33c2d649475f448b5d706b4250385c24ea6,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x9afe2cb54ab0e9510dccc668399cd33c2d649475f448b5d706b4250385c24ea6,send,0x38b71db2327c7956d51f372a2d0a9bd32e9eeacf,JEWEL,-1
25/07/2023,22:50:33,dfk,0xb62c9df64fe0901daee4fddced9ef47b2c9df161bb6919ce8c846658e63dc8af,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xb62c9df64fe0901daee4fddced9ef47b2c9df161bb6919ce8c846658e63dc8af,send,0x38b71db2327c7956d51f372a2d0a9bd32e9eeacf,DFKGOLD,-10
27/07/2023,02:52:47,dfk,0x7125b075fd9235ca21bfb5e9c9edf3e1d408e8b3037be69daf38b8a38de0fbe7,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x7125b075fd9235ca21bfb5e9c9edf3e1d408e8b3037be69daf38b8a38de0fbe7,send,0x3a691f67442905a2ba9ed0b1d226c7e24f124557,JEWEL,-1
25/07/2023,20:47:55,dfk,0x858bb176dc260000999758cda19450430dd7e37497460587240678109247b89b,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x858bb176dc260000999758cda19450430dd7e37497460587240678109247b89b,send,0x3a691f67442905a2ba9ed0b1d226c7e24f124557,DFKGOLD,-10
12/04/2023,18:08:03,bsc,0x5c03f29b18780eec153a912dc00fc4a10c67e48926504e8d166cf20b0dcc6bff,https://bscscan.com/tx/0x5c03f29b18780eec153a912dc00fc4a10c67e48926504e8d166cf20b0dcc6bff,send,0x3a691f67442905a2ba9ed0b1d226c7e24f124557,BNB,-0.02656
27/07/2023,02:58:35,dfk,0x5f4378da485f929660c2c0851b93b29d3a9a3094fe1342b901e19e75fe3fed1a,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x5f4378da485f929660c2c0851b93b29d3a9a3094fe1342b901e19e75fe3fed1a,send,0x44bf676d67961f49e304e1531ffc1242208e7d7c,JEWEL,-1
25/07/2023,22:55:56,dfk,0x3173e1d2b99b031015c1f2f50dfb2eab5bcc90f5754877f73482517a457b0159,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x3173e1d2b99b031015c1f2f50dfb2eab5bcc90f5754877f73482517a457b0159,send,0x44bf676d67961f49e304e1531ffc1242208e7d7c,DFKGOLD,-10
25/12/2023,23:35:41,linea,0x5428b5604266260a54e720bb81c2392901711353311327bdc20dba0e560fb588,https://lineascan.build/tx/0x5428b5604266260a54e720bb81c2392901711353311327bdc20dba0e560fb588,send,0x4f94f9b357f82c1800e5430ecad507cf2d9a37a1,ETH,-0.000133548703960044
25/12/2023,23:32:47,linea,0xa3a522f2ac7d8f06010c32a8a8d1c412abcd1cffecc824fc5294e23c8a10dca9,https://lineascan.build/tx/0xa3a522f2ac7d8f06010c32a8a8d1c412abcd1cffecc824fc5294e23c8a10dca9,send,0x50f4ff0e54f5f41d74a82f9f429ce978d362b7f7,VOYAGE,-1
25/12/2023,23:28:17,linea,0xb2ab4221680eae5b05da0d3fee73c12a74f1e3c05b149f0e1d4090f966817b2d,https://lineascan.build/tx/0xb2ab4221680eae5b05da0d3fee73c12a74f1e3c05b149f0e1d4090f966817b2d,receive,0x56cac292b7cce243ec7067430048160214d093e2,ETH,0.000285087023460204
13/01/2023,04:01:50,op,0x8d9ab7eaee919919b6fc04649422929b3c57b95c16bd31f6a83c919285e3b1a7,https://optimistic.etherscan.io/tx/0x8d9ab7eaee919919b6fc04649422929b3c57b95c16bd31f6a83c919285e3b1a7,receive,0x56cac292b7cce243ec7067430048160214d093e2,USDC,140
07/01/2023,22:34:05,arb,0xe7e738f77ef5dcc9812f4933bec36136b0cb062887523ac9ceaecea676216705,https://arbiscan.io/tx/0xe7e738f77ef5dcc9812f4933bec36136b0cb062887523ac9ceaecea676216705,receive,0x56cac292b7cce243ec7067430048160214d093e2,USDC,105
07/01/2023,21:18:57,op,0xd332365a6007ba1eb3e9a3642327681e91ae545c4194bf174692f575d420e5d3,https://optimistic.etherscan.io/tx/0xd332365a6007ba1eb3e9a3642327681e91ae545c4194bf174692f575d420e5d3,receive,0x56cac292b7cce243ec7067430048160214d093e2,ETH,0.02
