Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
13/10/2023,00:42:47,eth,0xd9fe540b06055b0b973f9ff544e4a2c61324a727035fbd707a164a761a097b5b,https://etherscan.io/tx/0xd9fe540b06055b0b973f9ff544e4a2c61324a727035fbd707a164a761a097b5b,send,0x017e1f81b2e17bd02c4cd337fcbeabe01a0b4bf0,ETH,-0.005
20/08/2023,23:37:35,eth,0xf006b01b0c451b17e0a7a51b5c66ee6feed23e0e2c5543cc9bb9e3e21b5e328d,https://etherscan.io/tx/0xf006b01b0c451b17e0a7a51b5c66ee6feed23e0e2c5543cc9bb9e3e21b5e328d,send,0x0e9dd25adcfacc0729b8fc37b9e6938287d811c2,ETH,-0.018
19/08/2023,05:03:07,base,0xc604d31d10ea9ef4056bfc1a7479ebcd67b82eef2adfac6282d579159c3eff28,https://www.basescan.org/tx/0xc604d31d10ea9ef4056bfc1a7479ebcd67b82eef2adfac6282d579159c3eff28,send,0x0e9dd25adcfacc0729b8fc37b9e6938287d811c2,ETH,-0.001
27/01/2024,04:56:23,eth,0x63e441b1b5f9881ec129a32cd07bbfa14382af9a7852209e24d655f7dc3e9af5,https://etherscan.io/tx/0x63e441b1b5f9881ec129a32cd07bbfa14382af9a7852209e24d655f7dc3e9af5,send,0x1b8728944db698f8bc48d376d64b9720665894df,NFDKEYS,-1
24/10/2023,07:49:47,eth,0x3de26d00da2287cc09c742c126ad8ab9e89abcd8fe182d3af8d9dec328bd42d1,https://etherscan.io/tx/0x3de26d00da2287cc09c742c126ad8ab9e89abcd8fe182d3af8d9dec328bd42d1,send,0x1b8728944db698f8bc48d376d64b9720665894df,ETH,-0.142
17/10/2023,20:07:35,eth,0xef2117354b82dd30c1754f0e533afca12179553a4c57c668ccd00afc8b43752e,https://etherscan.io/tx/0xef2117354b82dd30c1754f0e533afca12179553a4c57c668ccd00afc8b43752e,send,0x1b8728944db698f8bc48d376d64b9720665894df,ETH,-0.158
11/10/2023,06:33:11,eth,0x7ccdc538622760cf1089b640456b247795f236aaf167945cfa3158b510ef6602,https://etherscan.io/tx/0x7ccdc538622760cf1089b640456b247795f236aaf167945cfa3158b510ef6602,send,0x1b8728944db698f8bc48d376d64b9720665894df,ETH,-0.16
16/04/2024,22:31:23,eth,0x734182776020a74b8b0de8b652ea95f7a76d8b425d28a1526b09b415f4272d29,https://etherscan.io/tx/0x734182776020a74b8b0de8b652ea95f7a76d8b425d28a1526b09b415f4272d29,send,0x1c33ba52a048f672b34f813ea26ff4f07ef6fb47,ETH,-0.04
16/01/2024,04:01:23,eth,0x6112d4783b1101aeea370447f015d249047cd7ea0ddb7cd87deba67350648989,https://etherscan.io/tx/0x6112d4783b1101aeea370447f015d249047cd7ea0ddb7cd87deba67350648989,send,0x1c33ba52a048f672b34f813ea26ff4f07ef6fb47,ETH,-0.16
26/09/2023,05:22:35,eth,0xe9d5b49697ebe7510bbab968f87a55b956761b3c174726601f34b7cdfc24edee,https://etherscan.io/tx/0xe9d5b49697ebe7510bbab968f87a55b956761b3c174726601f34b7cdfc24edee,send,0x281545148fe2eb44c23df4b0923700d107d85266,ETH,-0.635
14/09/2023,18:13:23,eth,0x33df64c8f17654dd38084378d767c2697cf5875c8ddf5d3f25d94300ebf870dd,https://etherscan.io/tx/0x33df64c8f17654dd38084378d767c2697cf5875c8ddf5d3f25d94300ebf870dd,send,0x281545148fe2eb44c23df4b0923700d107d85266,ETH,-0.31
14/05/2023,22:26:35,eth,0x9273402df5a8024bc5ecb60fb8c83c0864d9ba11b4b0b831116de6dec4d20cc8,https://etherscan.io/tx/0x9273402df5a8024bc5ecb60fb8c83c0864d9ba11b4b0b831116de6dec4d20cc8,send,0x281545148fe2eb44c23df4b0923700d107d85266,USDT,-2000
09/03/2024,18:06:11,eth,0x76d84e5893de47899a3a40a3991c7a1510489d1b533ffef36fcc34946699f366,https://etherscan.io/tx/0x76d84e5893de47899a3a40a3991c7a1510489d1b533ffef36fcc34946699f366,send,0x4ae4df5d4095021c70368c984f9e52566f78a9c7,BG Dice,-1
09/03/2024,17:53:35,eth,0x2e49e9417cb7486458d4fa3edf3a90d0a419928a7031c7ea023832687b84d4dd,https://etherscan.io/tx/0x2e49e9417cb7486458d4fa3edf3a90d0a419928a7031c7ea023832687b84d4dd,receive,0x4ae4df5d4095021c70368c984f9e52566f78a9c7,ETH,0.43
03/03/2024,18:21:27,bsc,0x0059ea501af0cb73c6a310ca9fd66108c12daac091983266743b8fd52d3763bb,https://bscscan.com/tx/0x0059ea501af0cb73c6a310ca9fd66108c12daac091983266743b8fd52d3763bb,receive,0x4ae4df5d4095021c70368c984f9e52566f78a9c7,BNB,0.05
03/03/2024,18:17:54,bsc,0x87b12d95d626a27b58e8f81dfee4f06b696dd9f7c308d9b5dd7dce6c3bc46b90,https://bscscan.com/tx/0x87b12d95d626a27b58e8f81dfee4f06b696dd9f7c308d9b5dd7dce6c3bc46b90,send,0x4ae4df5d4095021c70368c984f9e52566f78a9c7,BNB,-0.05
08/11/2023,00:58:23,eth,0x97cac7f4a17a7ae428ce181a8fd49c0636477d34fe8760cdc47eb480c76bfeb4,https://etherscan.io/tx/0x97cac7f4a17a7ae428ce181a8fd49c0636477d34fe8760cdc47eb480c76bfeb4,send,0x4ae4df5d4095021c70368c984f9e52566f78a9c7,ETH,-0.1
07/11/2023,23:06:25,arb,0x8999eaee3f7e900c69af5f83a46daef90d960234ae8a248719709aa574548d32,https://arbiscan.io/tx/0x8999eaee3f7e900c69af5f83a46daef90d960234ae8a248719709aa574548d32,send,0x4ae4df5d4095021c70368c984f9e52566f78a9c7,USDC,-0.1
03/10/2023,00:38:59,eth,0xe9741345c28c28ac89f7ebc1c1dde0718b6edad3943ba3e930a71c1f3aee997a,https://etherscan.io/tx/0xe9741345c28c28ac89f7ebc1c1dde0718b6edad3943ba3e930a71c1f3aee997a,send,0x4d0453f779862dffdda3d67a22e2ce08a4ce9b4f,ETH,-0.24
19/04/2023,23:32:23,eth,0x3cf2b1522b15c158bd41d7acbd290feaf08a0d0c0a2409a3f43db1a11c359dc9,https://etherscan.io/tx/0x3cf2b1522b15c158bd41d7acbd290feaf08a0d0c0a2409a3f43db1a11c359dc9,send,0x5354ce23c5f6b178870b667b133584b47074daad,NFDKEYS,-1
08/09/2023,21:18:23,eth,0x831d89ff00900e6a9eddb0530fc9657d0aa33cb6a7ea7bb43442b39f09ab6804,https://etherscan.io/tx/0x831d89ff00900e6a9eddb0530fc9657d0aa33cb6a7ea7bb43442b39f09ab6804,send,0x59d898d5db5364cd83f09a3d7dfdb78f1a5d347e,ETH,-0.16
