Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,16:52:21,matic,0x086c690194028ca023ca731ea187ef383096c56e905f6afb6049330f24f1c22e,https://polygonscan.com/tx/0x086c690194028ca023ca731ea187ef383096c56e905f6afb6049330f24f1c22e,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-2.170918
21/12/2023,18:30:57,linea,0xef8cae13086b1dc2570ea8965b18834cf5a0baf5273c770a2b91c7f2329facef,https://lineascan.build/tx/0xef8cae13086b1dc2570ea8965b18834cf5a0baf5273c770a2b91c7f2329facef,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x572f33898201886e8ead219a74b6f4dfd7b0cd8b6c77bab9d0f97f120e5d47ca,https://lineascan.build/tx/0x572f33898201886e8ead219a74b6f4dfd7b0cd8b6c77bab9d0f97f120e5d47ca,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:51,nova,0xa82fa279cc71e6fb9bbdd892f0c7adb4f8dffee1539c81bc24019db5414526d3,https://nova.arbiscan.io/tx/0xa82fa279cc71e6fb9bbdd892f0c7adb4f8dffee1539c81bc24019db5414526d3,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003970715062965863
09/12/2023,13:00:49,linea,0x23732e636326c582891d94e20700f7c29d6d9218ebd23d67bc0b1616909731cd,https://lineascan.build/tx/0x23732e636326c582891d94e20700f7c29d6d9218ebd23d67bc0b1616909731cd,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.01130060441063343
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0x482b86c73890e5f583083e8ffe8d566623759713ea97e9560f88f6b6a1eaa6f3,https://polygonscan.com/tx/0x482b86c73890e5f583083e8ffe8d566623759713ea97e9560f88f6b6a1eaa6f3,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
21/08/2023,01:33:30,xdai,0x46484fe32e779fe2302c30c093479fc82e9cf8e8e570b9b072038eccc10badf7,https://gnosisscan.io/tx/0x46484fe32e779fe2302c30c093479fc82e9cf8e8e570b9b072038eccc10badf7,send,0x25d4f8114312f4675f31673c868dc81801fe5f5f,xDai,-0.08
21/08/2023,00:59:58,celo,0x0141f72e56c4a61ce91bdb913a333ec8fc86bb214c1b853ac51d83f895f002a8,https://celoscan.io/tx/0x0141f72e56c4a61ce91bdb913a333ec8fc86bb214c1b853ac51d83f895f002a8,send,0x25d4f8114312f4675f31673c868dc81801fe5f5f,CELO,-0.15
