Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
25/02/2023,11:26:15,arb,0x74790fb8d98a2eee0291a986b67ec8c824be4e01a0736fc4ecff057e9d6f2904,https://arbiscan.io/tx/0x74790fb8d98a2eee0291a986b67ec8c824be4e01a0736fc4ecff057e9d6f2904,receive,0x020d923ed87180b21c8c4b7395706dad2c13b59b,ETH,0.013
25/02/2023,12:14:18,arb,0xaeec2a026fed5a12c2f94b11cc41066a535459cba082d5f9346e1c438728aaaf,https://arbiscan.io/tx/0xaeec2a026fed5a12c2f94b11cc41066a535459cba082d5f9346e1c438728aaaf,receive,0x026598fc8f1c7fbfad86d7c89aae2cac7c98a949,ETH,0.004
22/02/2023,17:38:49,arb,0x9c81d673fc7a31d1095685f895738637ebf03cf0493350b750287e630a529f0b,https://arbiscan.io/tx/0x9c81d673fc7a31d1095685f895738637ebf03cf0493350b750287e630a529f0b,receive,0x026598fc8f1c7fbfad86d7c89aae2cac7c98a949,ETH,0.0058
15/01/2023,12:26:20,arb,0x7b43bcdcf183b50d192b67d3b9849312f21e45407e3686c3bf9cc64171285fa1,https://arbiscan.io/tx/0x7b43bcdcf183b50d192b67d3b9849312f21e45407e3686c3bf9cc64171285fa1,send,0x026598fc8f1c7fbfad86d7c89aae2cac7c98a949,ETH,-0.002
25/02/2023,14:31:45,arb,0x91c24867b1314e5d90b9c572a4f8980b01b5850d5f3769f215c250e660f07c4c,https://arbiscan.io/tx/0x91c24867b1314e5d90b9c572a4f8980b01b5850d5f3769f215c250e660f07c4c,send,0x048428338774b8e2621ccf12137efb4cd8d350bf,USDC,-90
25/02/2023,14:21:03,op,0xa260ff7959ecc8743afa6c1d7ebe5f58ee466933f06b1d2279ae1a172294f70e,https://optimistic.etherscan.io/tx/0xa260ff7959ecc8743afa6c1d7ebe5f58ee466933f06b1d2279ae1a172294f70e,send,0x048428338774b8e2621ccf12137efb4cd8d350bf,USDC,-5
25/02/2023,11:05:08,arb,0x6a4f4f688862541b992aa6b838259223e3190053881ec9393ab78bf23ab46979,https://arbiscan.io/tx/0x6a4f4f688862541b992aa6b838259223e3190053881ec9393ab78bf23ab46979,receive,0x048428338774b8e2621ccf12137efb4cd8d350bf,ETH,0.0019
25/02/2023,11:04:31,op,0x9f36c41dceb9ca4a8fccddc5f286c99731aed082a4901ecaa7e031fb812d7771,https://optimistic.etherscan.io/tx/0x9f36c41dceb9ca4a8fccddc5f286c99731aed082a4901ecaa7e031fb812d7771,receive,0x048428338774b8e2621ccf12137efb4cd8d350bf,ETH,0.00087
25/02/2023,10:47:14,op,0x94d63f16f0086c523b0f475054e386be434879116059d4eade27a68a6644a472,https://optimistic.etherscan.io/tx/0x94d63f16f0086c523b0f475054e386be434879116059d4eade27a68a6644a472,receive,0x048428338774b8e2621ccf12137efb4cd8d350bf,OP,9.58883355847652
25/02/2023,12:12:38,arb,0x1595449700bd6786b6d4fbc411f772e0bb1dc5c18ba1c1028bf8b3889a8ce89e,https://arbiscan.io/tx/0x1595449700bd6786b6d4fbc411f772e0bb1dc5c18ba1c1028bf8b3889a8ce89e,receive,0x06e9c679727ad44438bb84f9a1cd832b1895c0e9,ETH,0.0014
