Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
04/03/2023,16:35:33,op,0x11e2f650b7097bb39b9714e9e016e0bf0bd33babc73b28496d404c0b938236a5,https://optimistic.etherscan.io/tx/0x11e2f650b7097bb39b9714e9e016e0bf0bd33babc73b28496d404c0b938236a5,send,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,OP,-4.359
16/02/2023,18:26:50,op,0xcf94b8218174a884834bcfce7ae898ef7fcb2ac3355672ec927b69e311320b92,https://optimistic.etherscan.io/tx/0xcf94b8218174a884834bcfce7ae898ef7fcb2ac3355672ec927b69e311320b92,send,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,ETH,-0.0051165
18/10/2022,21:01:47,op,0xf943c2271d4d28425ff283c205e45fa85115ffe8cb5718ce95d0fc6de0e62762,https://optimistic.etherscan.io/tx/0xf943c2271d4d28425ff283c205e45fa85115ffe8cb5718ce95d0fc6de0e62762,receive,0x19c2241587fc070d911017a6ae23a73eca2036b7,ETH,0.01944058791300063
18/10/2022,21:06:49,op,0xbbc3dc689d0d53ca2c9b482ed15df91d79325576d7073a804b680a83bd7941b6,https://optimistic.etherscan.io/tx/0xbbc3dc689d0d53ca2c9b482ed15df91d79325576d7073a804b680a83bd7941b6,receive,0x21c1ca88fda24e02c5705c4e51a38e94add36b26,ETH,0.07792366786163633
18/10/2022,20:58:16,op,0x04dfed6a48b3a1a8b6259e13e4126191f032747b9cb8f69c3d4e4e97ca8d305f,https://optimistic.etherscan.io/tx/0x04dfed6a48b3a1a8b6259e13e4126191f032747b9cb8f69c3d4e4e97ca8d305f,receive,0x254348d2923de1ecf4ee3aef46f26db8b939de64,ETH,0.026547874615230616
18/10/2022,21:01:17,op,0x9cb4648e144234d8f1a4e78181e40778dce388fe9785e96cb2e0b8467f8517dd,https://optimistic.etherscan.io/tx/0x9cb4648e144234d8f1a4e78181e40778dce388fe9785e96cb2e0b8467f8517dd,receive,0x2e3d0fa13d3b619a2160c967a663584e7005e3f8,ETH,0.019440165162009172
22/03/2023,20:12:19,bsc,0x645d9b3da46301baeaa528bfe1f96c2bb9b13dd42ac02ff8580f54e288336060,https://bscscan.com/tx/0x645d9b3da46301baeaa528bfe1f96c2bb9b13dd42ac02ff8580f54e288336060,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-83.11099999999999
14/09/2022,21:26:34,arb,0x4992b950fc733610cb7aa48937b1458545219f7429dcd611086a3e66282fa157,https://arbiscan.io/tx/0x4992b950fc733610cb7aa48937b1458545219f7429dcd611086a3e66282fa157,send,0x39d3cb1e9734abde9759b0cfdf2dbf7516f055f6,ETH,-0.08550161091846684
18/10/2022,20:59:16,op,0xf2c4fa79ea6d4c3501bfa4be8e80832bd37bb67831c3dd2c5e271f0b751cc2b9,https://optimistic.etherscan.io/tx/0xf2c4fa79ea6d4c3501bfa4be8e80832bd37bb67831c3dd2c5e271f0b751cc2b9,receive,0x3e66ec63a9ace25dfab932db09bb05f12d6c5d5e,ETH,0.02712316382377994
18/10/2022,21:04:49,op,0xccebc9fab208ee5760b0239e6da26ba0b1daded54e9fb92dc0b1506ab3e5ad84,https://optimistic.etherscan.io/tx/0xccebc9fab208ee5760b0239e6da26ba0b1daded54e9fb92dc0b1506ab3e5ad84,receive,0x44d3e9efc8a771c3073e79225cddaa3e495a7720,ETH,0.07794532521892428
