Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
09/05/2024,20:40:20,arb,0xaf11b5859c824663099ccd4cc17ba14a8e384f8b0880dddd612fdf9b5ea65f26,https://arbiscan.io/tx/0xaf11b5859c824663099ccd4cc17ba14a8e384f8b0880dddd612fdf9b5ea65f26,send,0x084bad79444a43af08c5d8f2bb3b428b689ab746,ETH,-0.0000040757591
16/05/2023,00:15:54,arb,0x481db23b5f08773237e8f5eb54545c1bd7a53d8aa27c5735fc7b097289ce0070,https://arbiscan.io/tx/0x481db23b5f08773237e8f5eb54545c1bd7a53d8aa27c5735fc7b097289ce0070,send,0x2d9850478599c305427ea0726d20c65d3b002db9,ETH,-0.005500000000009016
14/10/2023,06:17:38,arb,0x4976401e29ec1880304428475905ca1e0a54377f22034b70e4da55e24041429b,https://arbiscan.io/tx/0x4976401e29ec1880304428475905ca1e0a54377f22034b70e4da55e24041429b,send,0x4ec11eaf315fc2eb0df7f37f07b8c12bab485e3a,ETH,-0.000166565232710849
02/10/2023,07:19:27,hmy,0x6c234901f18b830f41b8c440b21329d2d749f7713f232feadd582a00d6866fe8,https://explorer.harmony.one/tx/0x6c234901f18b830f41b8c440b21329d2d749f7713f232feadd582a00d6866fe8,send,0x54af2c90cfdbfac2e09cc4c7d7bc6184cf1e344c,ONE,-1.502094657885573
18/09/2023,03:39:24,arb,0x927f4f5796260ea9694d39aad9e85c3ff5fcd58c0d11e722ace394b1bd1fb59b,https://arbiscan.io/tx/0x927f4f5796260ea9694d39aad9e85c3ff5fcd58c0d11e722ace394b1bd1fb59b,receive,0x5b5a5e427f9310fc6d672d1eb1b5c75743b64945,ETH,0.000056599202643315
09/05/2024,20:38:20,arb,0x5d6862170247499ee6903c78db58d328ae2c48f36aef706fbf524b1526e908f9,https://arbiscan.io/tx/0x5d6862170247499ee6903c78db58d328ae2c48f36aef706fbf524b1526e908f9,receive,0x60e47184fd5d3cb52ca8572255a16b405100f0b5,ETH,0.00000494997
26/09/2023,00:25:13,arb,0xb1b7f2c4cbae68207fb352f150242ae532bed8f0b508154461d85fc2c6b49e44,https://arbiscan.io/tx/0xb1b7f2c4cbae68207fb352f150242ae532bed8f0b508154461d85fc2c6b49e44,receive,0x61c4dca5c72fe13e0f34f400476f1004d01d251e,ETH,0.000056515268541718
27/09/2023,05:14:01,op,0x6d9ecdb9bf92dad8090deeadd56d0eaefc8412c5e3e3b921464bf3b983d9d161,https://optimistic.etherscan.io/tx/0x6d9ecdb9bf92dad8090deeadd56d0eaefc8412c5e3e3b921464bf3b983d9d161,send,0x7d64e59464430bff5ca2d2d4a9643ca59e66bda9,ETH,-0.000050397192876357
26/12/2023,10:31:01,arb,0xa59b6db4659cd5cb6642b01f521add878a27b7075506af3d3644416f10ca55a2,https://arbiscan.io/tx/0xa59b6db4659cd5cb6642b01f521add878a27b7075506af3d3644416f10ca55a2,send,0x7f5f51af71d3fdbcbbd7e9fcbd81260c3aa50e0c,ETH,-0.000039611281292912
05/04/2024,22:11:46,arb,0x584aea75fb2d1eda6767e5a47b93db0addb8804e28ba9dc781b4486fd850b080,https://arbiscan.io/tx/0x584aea75fb2d1eda6767e5a47b93db0addb8804e28ba9dc781b4486fd850b080,receive,0x8c47b237da18662bfa6fb3f10a06e5776e96cb62,ETH,0.000009601196357371
09/05/2024,20:39:10,arb,0x064b6e504ab8baccd67fbaa1c88b51ec786db66bbc0ec65f521840e1ac99e0f9,https://arbiscan.io/tx/0x064b6e504ab8baccd67fbaa1c88b51ec786db66bbc0ec65f521840e1ac99e0f9,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,USDC,-0.373659
26/04/2024,10:52:07,op,0x4c1bbd413c612931e0512682ff6e0b30e625c505ed558bb417dc79128ff2f817,https://optimistic.etherscan.io/tx/0x4c1bbd413c612931e0512682ff6e0b30e625c505ed558bb417dc79128ff2f817,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,Optimism quest,-1
26/04/2024,10:50:37,op,0x6aa7ddbb42f9d187e836dcaa8730f8e1be89b61f8f5571084f9ef2e9df3f5172,https://optimistic.etherscan.io/tx/0x6aa7ddbb42f9d187e836dcaa8730f8e1be89b61f8f5571084f9ef2e9df3f5172,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,Optimism quest,-1
26/04/2024,10:49:03,op,0x2080888e4f90a09f99b4e4bdc0a85306171841e7b3dfb5603f81c62a55613719,https://optimistic.etherscan.io/tx/0x2080888e4f90a09f99b4e4bdc0a85306171841e7b3dfb5603f81c62a55613719,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,Optimism quest,-1
26/04/2024,10:46:09,op,0x869e7a9f9eb25ba148996daf120ab17ac1fffef12ff120cf0bdb59e3f0e95d48,https://optimistic.etherscan.io/tx/0x869e7a9f9eb25ba148996daf120ab17ac1fffef12ff120cf0bdb59e3f0e95d48,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000022217919704438
19/04/2024,05:11:37,base,0xc123cc2431f187113e6669731a3da4f09dd6e549352abfe345d8271eb04ded68,https://www.basescan.org/tx/0xc123cc2431f187113e6669731a3da4f09dd6e549352abfe345d8271eb04ded68,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BENTO,-8880888
19/04/2024,05:11:03,base,0xc2de66d423a83ee0a803b563101c145139a11dd4d808915bb0de8873dab93488,https://www.basescan.org/tx/0xc2de66d423a83ee0a803b563101c145139a11dd4d808915bb0de8873dab93488,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000013028934005192
11/04/2024,07:17:09,op,0x99620f8af317a3c4085a9c03a6056933a238250d2d75e52a388072f0035025c4,https://optimistic.etherscan.io/tx/0x99620f8af317a3c4085a9c03a6056933a238250d2d75e52a388072f0035025c4,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.00051971088257641
11/04/2024,07:15:47,op,0x57b29f4d7d6010126d749ab9b57300f5e21dc8cfbdbabca98311d3ed1a2c18b0,https://optimistic.etherscan.io/tx/0x57b29f4d7d6010126d749ab9b57300f5e21dc8cfbdbabca98311d3ed1a2c18b0,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000155363720593885
10/04/2024,17:51:55,op,0x521069bd543a6d4c7a9c4101f9fc7e374b1afe8dd87585c19d921dd497629559,https://optimistic.etherscan.io/tx/0x521069bd543a6d4c7a9c4101f9fc7e374b1afe8dd87585c19d921dd497629559,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.000002841086658825
05/04/2024,22:12:04,arb,0x0025fccc627de8e74e65dea23bfd33b46d3dee5a7f9839969a3ac1ea40ebff40,https://arbiscan.io/tx/0x0025fccc627de8e74e65dea23bfd33b46d3dee5a7f9839969a3ac1ea40ebff40,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,USDC,-0.385605
30/03/2024,00:40:31,base,0x7dc95a35260b0b11fb279cfc068b995192f348e7c20943d37fab91ec76db6991,https://www.basescan.org/tx/0x7dc95a35260b0b11fb279cfc068b995192f348e7c20943d37fab91ec76db6991,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.000060062121394128
30/03/2024,00:40:09,base,0xdf1d1ff3d33689886bed82140158793b6d4a26499749843de7a4194b5151b5ab,https://www.basescan.org/tx/0xdf1d1ff3d33689886bed82140158793b6d4a26499749843de7a4194b5151b5ab,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,toby,-295774647
30/03/2024,00:39:51,base,0x514232d24402a2b6f1088c69727c3023d89ce84efec87daa4d17d11a43075b36,https://www.basescan.org/tx/0x514232d24402a2b6f1088c69727c3023d89ce84efec87daa4d17d11a43075b36,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,DOG,-56.3084199857352
30/03/2024,00:39:33,base,0xbb55b1857f67f9f0e892a1ada413fd1882b1c2ca8fb0541e9982729dfd333c6c,https://www.basescan.org/tx/0xbb55b1857f67f9f0e892a1ada413fd1882b1c2ca8fb0541e9982729dfd333c6c,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000157305556032239
25/03/2024,06:41:31,era,0xb6e66bf5e193f1c6c05922926a4f15e0ec2750f49abdadb51a3f8f6f93856c97,https://era.zksync.network/tx/0xb6e66bf5e193f1c6c05922926a4f15e0ec2750f49abdadb51a3f8f6f93856c97,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.000087680135
20/03/2024,05:47:07,arb,0xa5e5c542e9841ecf65c9b9c67e4bf6f3da4a584170e5ee70fe0ae56654061f98,https://arbiscan.io/tx/0xa5e5c542e9841ecf65c9b9c67e4bf6f3da4a584170e5ee70fe0ae56654061f98,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,USDC,-0.852674
26/12/2023,10:29:38,arb,0xe9dce3cbb040f158072e5b919e883a21aa259613453e3811c4c4097ce776c7df,https://arbiscan.io/tx/0xe9dce3cbb040f158072e5b919e883a21aa259613453e3811c4c4097ce776c7df,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000022003749438904
19/11/2023,00:24:51,matic,0x67689e8eb7d3c0b54af2dbde396e02400673d5fdb131b5ae8060791484d5c9b4,https://polygonscan.com/tx/0x67689e8eb7d3c0b54af2dbde396e02400673d5fdb131b5ae8060791484d5c9b4,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,HLZ,-1
19/11/2023,00:24:11,matic,0x9d0a4af9a3f9bd4e828875e031c8e25982ce3e2ac4b95dc7dc820d6c5dfc2065,https://polygonscan.com/tx/0x9d0a4af9a3f9bd4e828875e031c8e25982ce3e2ac4b95dc7dc820d6c5dfc2065,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,zkLightClient,-1
19/11/2023,00:23:41,matic,0xd52edc9a2bcc9d7df712d2ca15cf291adc8b3dd77eaa501d1988d7be62fb7651,https://polygonscan.com/tx/0xd52edc9a2bcc9d7df712d2ca15cf291adc8b3dd77eaa501d1988d7be62fb7651,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,zkLightClient,-1
19/11/2023,00:22:39,matic,0xcea22280af77e3a95456c1f90ab4112a6a4d6670a14564a08c5f876c206c63ae,https://polygonscan.com/tx/0xcea22280af77e3a95456c1f90ab4112a6a4d6670a14564a08c5f876c206c63ae,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,OrbiterNFT,-1
04/11/2023,22:56:02,matic,0xff26f51c984eb97a4669decffd3af32933c590c08174618b803a05064167d1d5,https://polygonscan.com/tx/0xff26f51c984eb97a4669decffd3af32933c590c08174618b803a05064167d1d5,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,MATIC,-0.004956663949126964
26/10/2023,18:47:15,bsc,0xb22d7a8ec1a2b860cce5775e8a1894160577169cd09da9652888af39b05998f6,https://bscscan.com/tx/0xb22d7a8ec1a2b860cce5775e8a1894160577169cd09da9652888af39b05998f6,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,zkBridge on opBNB,-1
