Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
04/03/2023,16:40:19,op,0xb0c93e5fc3c5864e413c1c3796079952b7e5cc576048f4651724fec1e97eedec,https://optimistic.etherscan.io/tx/0xb0c93e5fc3c5864e413c1c3796079952b7e5cc576048f4651724fec1e97eedec,send,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,OP,-4.896
16/02/2023,18:29:21,op,0xffeacd83165602815dc4e9cc2755ab36a37ef7d1c1d17ebeb9ce259910762697,https://optimistic.etherscan.io/tx/0xffeacd83165602815dc4e9cc2755ab36a37ef7d1c1d17ebeb9ce259910762697,send,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,ETH,-0.0029007
09/11/2022,01:56:47,eth,0x628f90327279bc6abaca79550762781db93daffb4f831a8e7238acad15a9105f,https://etherscan.io/tx/0x628f90327279bc6abaca79550762781db93daffb4f831a8e7238acad15a9105f,send,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,ETH,-4.976897962519518
02/12/2022,16:28:46,op,0x75cef108cb1cad48c647f47f7b5111907cc9a65f4532d8c55777c5cbf635de90,https://optimistic.etherscan.io/tx/0x75cef108cb1cad48c647f47f7b5111907cc9a65f4532d8c55777c5cbf635de90,receive,0x034719c9ed27d01d5ec0e383bebba0694a861f09,USDC,52.013738
28/11/2022,00:52:00,op,0xd3d94cf4689ac68d153c83838251c4acd1dc16d073f7b6a77c42abb235830284,https://optimistic.etherscan.io/tx/0xd3d94cf4689ac68d153c83838251c4acd1dc16d073f7b6a77c42abb235830284,receive,0x034719c9ed27d01d5ec0e383bebba0694a861f09,ETH,0.02
08/11/2022,17:51:57,arb,0x3d0db918755b89b6f66744df6951f4c9a16e6dc43c4bc74d1a0ff3497bdfb576,https://arbiscan.io/tx/0x3d0db918755b89b6f66744df6951f4c9a16e6dc43c4bc74d1a0ff3497bdfb576,receive,0x034719c9ed27d01d5ec0e383bebba0694a861f09,ETH,0.02425774165836369
16/09/2022,05:41:35,eth,0x5f06d69a6b916250130a82d2d1b69e6e451199aa98567fcb3d0fc10c5b75250b,https://etherscan.io/tx/0x5f06d69a6b916250130a82d2d1b69e6e451199aa98567fcb3d0fc10c5b75250b,receive,0x034719c9ed27d01d5ec0e383bebba0694a861f09,USDC,10
03/03/2023,22:28:33,arb,0x5142665be017f3062c24ef3e5bf254b03704bb7414f37df494e3b94ec86ea247,https://arbiscan.io/tx/0x5142665be017f3062c24ef3e5bf254b03704bb7414f37df494e3b94ec86ea247,receive,0x043deaaaf0cf4547895e8161094975e371dccfcb,ETH,0.07410833168528462
02/12/2022,19:50:07,op,0x5ee19d64816617d1e42889fb0604c69f38341befa18004bac61c3e3112db45cd,https://optimistic.etherscan.io/tx/0x5ee19d64816617d1e42889fb0604c69f38341befa18004bac61c3e3112db45cd,receive,0x152ebc6a2db4082d056264154bcaf96d1653984e,USDC,52.00122
28/11/2022,01:18:31,op,0xa6ca3ee0538519149e33869b967eaec38a417374d56eb5c2eb944124e0de7e88,https://optimistic.etherscan.io/tx/0xa6ca3ee0538519149e33869b967eaec38a417374d56eb5c2eb944124e0de7e88,receive,0x152ebc6a2db4082d056264154bcaf96d1653984e,ETH,0.02
08/11/2022,17:52:43,arb,0x96339fd23f344661e83af3df84da5bbe259634a0621bedc2cdae2c8999681a93,https://arbiscan.io/tx/0x96339fd23f344661e83af3df84da5bbe259634a0621bedc2cdae2c8999681a93,receive,0x152ebc6a2db4082d056264154bcaf96d1653984e,ETH,0.09629596606337844
16/09/2022,05:42:59,eth,0x37696053895649eb78e6f0a44bc07c72e2e760f1f684beac21a2ac8f339c2080,https://etherscan.io/tx/0x37696053895649eb78e6f0a44bc07c72e2e760f1f684beac21a2ac8f339c2080,receive,0x152ebc6a2db4082d056264154bcaf96d1653984e,USDC,10
03/03/2023,22:35:33,arb,0xbb69a98441ff879957f6f8cb9994fae2a3659759c55cb5f3156835216c9a16ef,https://arbiscan.io/tx/0xbb69a98441ff879957f6f8cb9994fae2a3659759c55cb5f3156835216c9a16ef,send,0x19c2241587fc070d911017a6ae23a73eca2036b7,ETH,-0.000635356307817424
02/12/2022,07:37:19,op,0xfb1f7beca961244d97f59462068bc0533de4a0e6959a199607a0dbb259a11beb,https://optimistic.etherscan.io/tx/0xfb1f7beca961244d97f59462068bc0533de4a0e6959a199607a0dbb259a11beb,receive,0x19c2241587fc070d911017a6ae23a73eca2036b7,USDC,51.968691
27/11/2022,18:59:50,op,0x5d60ba8e61c13e569e42dc5c6460dfbdb2bfb8f51f4048e9e369cd34afb9148e,https://optimistic.etherscan.io/tx/0x5d60ba8e61c13e569e42dc5c6460dfbdb2bfb8f51f4048e9e369cd34afb9148e,receive,0x19c2241587fc070d911017a6ae23a73eca2036b7,ETH,0.02
