Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/03/2024,16:22:51,op,0x74cc57e1237888941865bff9d32cd57bcf70a2530619d671f8afb6b7ba943a31,https://optimistic.etherscan.io/tx/0x74cc57e1237888941865bff9d32cd57bcf70a2530619d671f8afb6b7ba943a31,send,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,ETH,-0.00000570242467097
29/03/2024,20:10:11,eth,0xb9fa02367baf32a7981c86204d15091fcf0698dcc78453f9c57faa0c718dfe31,https://etherscan.io/tx/0xb9fa02367baf32a7981c86204d15091fcf0698dcc78453f9c57faa0c718dfe31,send,0x0ce41395389fbe8dcd44eab5f4df1ccb6cf5881f,ETH,-0.000366601994314849
06/04/2024,02:07:45,ftm,0x44ac48bb52ac7924a70c6c87e53a53d8ee18cfd360bc96596adbd2a0421196e1,https://ftmscan.com/tx/0x44ac48bb52ac7924a70c6c87e53a53d8ee18cfd360bc96596adbd2a0421196e1,receive,0x12aff9b5c168fb1fa9a9ac28518bdd492d7c08ca,FTM,0.001921210475186132
25/04/2024,19:30:59,era,0xcd0df6cf7529ac33403328cf44725797683f416aa7565748d3106400d2e2cbe7,https://era.zksync.network/tx/0xcd0df6cf7529ac33403328cf44725797683f416aa7565748d3106400d2e2cbe7,send,0x3e5555ac01800aa95e45471f56700b5a347ed8c9,ETH,-0.000003220954239903
05/10/2023,08:27:59,op,0xe911bb1a24bfcb0df96d89757a054444c2ada832ce956cf6a6f2dc954fc94ea6,https://optimistic.etherscan.io/tx/0xe911bb1a24bfcb0df96d89757a054444c2ada832ce956cf6a6f2dc954fc94ea6,send,0x41705349a0f2b4f6ecdf0ffff128fcc4b9fc1a73,ETH,-0.000006076552407226
26/09/2023,02:56:11,nova,0xe984b6d8063740c9fdbba95f461d33383b08c206d26685911afc71488ea5f533,https://nova.arbiscan.io/tx/0xe984b6d8063740c9fdbba95f461d33383b08c206d26685911afc71488ea5f533,send,0x4882656754ff50f5b125ad9a83d57dc236c9dff1,ETH,-0.000006937131885581
18/09/2023,04:58:11,op,0x2e6456898ec4a221f9064a6807680a099ef1ee232d399f07fab0aad9d591e39b,https://optimistic.etherscan.io/tx/0x2e6456898ec4a221f9064a6807680a099ef1ee232d399f07fab0aad9d591e39b,receive,0x519e4e5077d69fdf5c6e3862f92e1d41311de053,ETH,0.000018497280899708
31/03/2024,08:52:30,arb,0xb9abecbe3fc0ee9c0a23e526f25cd5f3ccaf0e59d33d70697f218e207e4b3e67,https://arbiscan.io/tx/0xb9abecbe3fc0ee9c0a23e526f25cd5f3ccaf0e59d33d70697f218e207e4b3e67,receive,0x53d38a7cf9fdd75ae19eeb1f004e344bae710477,ETH,0.000010442489453991
31/03/2024,08:52:17,arb,0x32df457110869ca6f553d5610f932a180e528e747d484060861b58776e2666da,https://arbiscan.io/tx/0x32df457110869ca6f553d5610f932a180e528e747d484060861b58776e2666da,receive,0x546a48ec1eabb9e5f3fb615f63761afa1debd3f4,ETH,0.000007788649
06/04/2024,02:09:58,ftm,0x62171a750e7c7cd0c9b6e135d0562ebdad9f67b96f514c86c7f007d95e61d1c8,https://ftmscan.com/tx/0x62171a750e7c7cd0c9b6e135d0562ebdad9f67b96f514c86c7f007d95e61d1c8,receive,0x5939c098468983694fec5591db3c26e988a7c325,FTM,0.006546736104445794
18/09/2023,04:58:33,op,0xd548f2faa835e43c7ac0c8e7c87fe29d6053ac70d3f17ba9afde44a6d14f97ff,https://optimistic.etherscan.io/tx/0xd548f2faa835e43c7ac0c8e7c87fe29d6053ac70d3f17ba9afde44a6d14f97ff,receive,0x5b5a5e427f9310fc6d672d1eb1b5c75743b64945,ETH,0.000018497280899708
24/09/2023,06:03:40,arb,0xff6c5fec0854fb1050e1cbdc2be2bd8968f16ed31073aba51d813d063c57f145,https://arbiscan.io/tx/0xff6c5fec0854fb1050e1cbdc2be2bd8968f16ed31073aba51d813d063c57f145,send,0x61c4dca5c72fe13e0f34f400476f1004d01d251e,ETH,-0.000158361655778461
06/04/2024,02:07:30,ftm,0x05ce9a5ccf23e7e030cf63c81aae47f170180c9c39790819cc14d1cf9551c9cc,https://ftmscan.com/tx/0x05ce9a5ccf23e7e030cf63c81aae47f170180c9c39790819cc14d1cf9551c9cc,receive,0x73e62dd6f19dd75543ec6f372385b71ce855cb3a,FTM,0.001674019672334333
31/03/2024,08:52:08,arb,0x1f3f66ec7638afb95d325bc143a397e8611caf2a06e3786825eb9b8c43301173,https://arbiscan.io/tx/0x1f3f66ec7638afb95d325bc143a397e8611caf2a06e3786825eb9b8c43301173,receive,0x7f5f51af71d3fdbcbbd7e9fcbd81260c3aa50e0c,ETH,0.000004608703012329
06/01/2024,03:16:36,ftm,0xe694dbe408433964771ad9f1759f2d1222e16d4a6e824710a1e51e40db9c5a73,https://ftmscan.com/tx/0xe694dbe408433964771ad9f1759f2d1222e16d4a6e824710a1e51e40db9c5a73,send,0x7f5f51af71d3fdbcbbd7e9fcbd81260c3aa50e0c,FTM,-1.0481742768982347
26/10/2023,19:01:33,bsc,0x70d70e9ea611e376e50327cff4977d432a1fd16e5c09fafa1c9d373e97a1485e,https://bscscan.com/tx/0x70d70e9ea611e376e50327cff4977d432a1fd16e5c09fafa1c9d373e97a1485e,send,0x7f5f51af71d3fdbcbbd7e9fcbd81260c3aa50e0c,BNB,-0.001281746011167944
14/10/2023,14:44:07,ftm,0x1045ddf4de1c36e97f58d3a88283c1bdaa2095ea2a63870507cf761a3d44c9b9,https://ftmscan.com/tx/0x1045ddf4de1c36e97f58d3a88283c1bdaa2095ea2a63870507cf761a3d44c9b9,receive,0x7f5f51af71d3fdbcbbd7e9fcbd81260c3aa50e0c,FTM,0.458322134223045
