Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
27/07/2023,02:59:22,dfk,0x12762b0f4523962876e901e008cd55e05f31631fbd8ecbb3fc9bb0e3e84dadf6,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x12762b0f4523962876e901e008cd55e05f31631fbd8ecbb3fc9bb0e3e84dadf6,send,0x00980decdab20f78ab79dc28171b68ce238ec327,JEWEL,-1
25/07/2023,22:57:03,dfk,0xaa7470b94cfb2e2f468245c80dc104bc07273f22610642148d7dadec4998add7,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xaa7470b94cfb2e2f468245c80dc104bc07273f22610642148d7dadec4998add7,send,0x00980decdab20f78ab79dc28171b68ce238ec327,DFKGOLD,-10
21/02/2024,16:52:21,matic,0x793d86a41b5f86c51428df0710653dda542735d5bc9294ec678ab9830c807443,https://polygonscan.com/tx/0x793d86a41b5f86c51428df0710653dda542735d5bc9294ec678ab9830c807443,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-2.34048
21/12/2023,18:31:15,linea,0x5538dfc404a3e37f29b46761ea749782043754ab2363c2c49d42873ea9b8a6c3,https://lineascan.build/tx/0x5538dfc404a3e37f29b46761ea749782043754ab2363c2c49d42873ea9b8a6c3,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0xf089390e239d7c6d27b94a34e5cdc1ff343077c0226efd02560cce24f76a7130,https://lineascan.build/tx/0xf089390e239d7c6d27b94a34e5cdc1ff343077c0226efd02560cce24f76a7130,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:51,nova,0xcc8d69233bda27ec71a1402e214d3a3154528506946dcc8f8e993619846ffa84,https://nova.arbiscan.io/tx/0xcc8d69233bda27ec71a1402e214d3a3154528506946dcc8f8e993619846ffa84,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003975858235837304
09/12/2023,13:00:49,linea,0x7d907c45c5a85a5a735cb178a8bbb0e86fdaaca7a5749b4e54c52780e2cee15e,https://lineascan.build/tx/0x7d907c45c5a85a5a735cb178a8bbb0e86fdaaca7a5749b4e54c52780e2cee15e,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.0113062558430122
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:20:01,matic,0x5cfcaee109f45a0b097d49897d1cce897cbb25cd9bb6de921939f25008fc11f5,https://polygonscan.com/tx/0x5cfcaee109f45a0b097d49897d1cce897cbb25cd9bb6de921939f25008fc11f5,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
27/07/2023,03:00:29,dfk,0x36521f7b5e3afd0b1c3cecba11ff9e65b664b5ea58c39313331ad334044b9054,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x36521f7b5e3afd0b1c3cecba11ff9e65b664b5ea58c39313331ad334044b9054,send,0x06c847682f6fe31d95048c1d556cac7e6b5ae5fd,JEWEL,-1
25/07/2023,22:51:45,dfk,0xcb517e0d2effbf4260ba444c50cb1c2b39dae5ef1d2cc3560f3e06efe37ec0f8,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xcb517e0d2effbf4260ba444c50cb1c2b39dae5ef1d2cc3560f3e06efe37ec0f8,send,0x06c847682f6fe31d95048c1d556cac7e6b5ae5fd,DFKGOLD,-10
21/08/2023,01:33:30,xdai,0xb10daef277b363374d4ed3df3cd556d97adbca340c653eeacd4c0243d85580dc,https://gnosisscan.io/tx/0xb10daef277b363374d4ed3df3cd556d97adbca340c653eeacd4c0243d85580dc,send,0x08887a1fc4b20e5c6393ea169e4f17ccc41e274a,xDai,-0.08
21/08/2023,00:59:58,celo,0x9cb1765df9f8b509eb82af3deb6cdef84bd40934a1e45a089ea568464e8605d3,https://celoscan.io/tx/0x9cb1765df9f8b509eb82af3deb6cdef84bd40934a1e45a089ea568464e8605d3,send,0x08887a1fc4b20e5c6393ea169e4f17ccc41e274a,CELO,-0.15
22/11/2023,05:26:09,op,0x91eff91647564b514cc34c85403124f3c57cf7d228307ede84f92e5a681bf7a3,https://optimistic.etherscan.io/tx/0x91eff91647564b514cc34c85403124f3c57cf7d228307ede84f92e5a681bf7a3,receive,0x0cb94a586e0fcfc244d6eaff2b2bea375e868a96,ETH,0.5543
21/08/2023,03:44:53,celo,0xad53bd5be1063a159859ff9c049c801a981bfa9ed48c05ce9f53ada8f8d0b363,https://celoscan.io/tx/0xad53bd5be1063a159859ff9c049c801a981bfa9ed48c05ce9f53ada8f8d0b363,send,0x11b8da24c5a5f92491be9c68194b3aed2a5f0cdd,CELO,-0.15
21/08/2023,02:05:35,xdai,0x0daa8df6f0e3d0e90f81a47ff6330c94c5bddfeaf252377b660e1dfb3bec984a,https://gnosisscan.io/tx/0x0daa8df6f0e3d0e90f81a47ff6330c94c5bddfeaf252377b660e1dfb3bec984a,send,0x11b8da24c5a5f92491be9c68194b3aed2a5f0cdd,xDai,-0.08
27/07/2023,02:57:08,dfk,0x4b0fa09a601456bd54d2bc53df2c743f0b1cd00fb0c6c37830a55b04fc1428c2,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x4b0fa09a601456bd54d2bc53df2c743f0b1cd00fb0c6c37830a55b04fc1428c2,send,0x15dfa4c2e597ac7e441a9403a2cce3a66c7a7d18,JEWEL,-1
25/07/2023,22:53:19,dfk,0xdf0a0882b77be8740dce2536cb909c401dae6656d643a3fd16c54fdfc51c96d3,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xdf0a0882b77be8740dce2536cb909c401dae6656d643a3fd16c54fdfc51c96d3,send,0x15dfa4c2e597ac7e441a9403a2cce3a66c7a7d18,DFKGOLD,-10
27/07/2023,02:57:50,dfk,0x446af0028fc6917a7ab156d9f7af69d64573a224b8bb1d2cb193bef6df6da323,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x446af0028fc6917a7ab156d9f7af69d64573a224b8bb1d2cb193bef6df6da323,send,0x23ed4a88cf187b90095844e7574f7ff10aa3231a,JEWEL,-1
25/07/2023,22:54:52,dfk,0x1aaeecdf4e37757055515652f3086bdfaf23a6c2f563e10fef2da153c44f29d7,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x1aaeecdf4e37757055515652f3086bdfaf23a6c2f563e10fef2da153c44f29d7,send,0x23ed4a88cf187b90095844e7574f7ff10aa3231a,DFKGOLD,-10
03/12/2023,13:06:44,linea,0x9abe16317e1d7eed11053819e518c5c6b3f63fd1eac82fb8a3772dc60fbb57d1,https://lineascan.build/tx/0x9abe16317e1d7eed11053819e518c5c6b3f63fd1eac82fb8a3772dc60fbb57d1,send,0x2764fd2b4cd0d9a551aee78e8ea6fcbcbf1c50df,lETH,-0.02180980338944345
27/07/2023,02:52:47,dfk,0x42e4974364b9c3a9b05dbff5776ee461964049e373bdcb089b959d542ef4d25f,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x42e4974364b9c3a9b05dbff5776ee461964049e373bdcb089b959d542ef4d25f,send,0x2764fd2b4cd0d9a551aee78e8ea6fcbcbf1c50df,JEWEL,-1
25/07/2023,20:47:55,dfk,0x7c2092361ea1ffb1a8cb884c13bd72e03db9b14c503d4f403dc1332ce675c3d6,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x7c2092361ea1ffb1a8cb884c13bd72e03db9b14c503d4f403dc1332ce675c3d6,send,0x2764fd2b4cd0d9a551aee78e8ea6fcbcbf1c50df,DFKGOLD,-10
16/06/2023,14:46:53,bsc,0xf148a6b9c23103bb474a6e73104021618b982845fb651ff2d4978f187433468c,https://bscscan.com/tx/0xf148a6b9c23103bb474a6e73104021618b982845fb651ff2d4978f187433468c,receive,0x2764fd2b4cd0d9a551aee78e8ea6fcbcbf1c50df,BNB,0.3
16/06/2023,14:42:56,bsc,0x4652bbb644f6a21e8db19a0de94583a87991cc8851844d5fde421918fd93744e,https://bscscan.com/tx/0x4652bbb644f6a21e8db19a0de94583a87991cc8851844d5fde421918fd93744e,send,0x2764fd2b4cd0d9a551aee78e8ea6fcbcbf1c50df,BNB,-0.3
