Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
23/03/2023,22:45:14,arb,0xb2b6e52cdebed0da911ee6c145c70c0395ff241306eb2f8ba050b3d3bc87f5d3,https://arbiscan.io/tx/0xb2b6e52cdebed0da911ee6c145c70c0395ff241306eb2f8ba050b3d3bc87f5d3,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-625
28/02/2023,22:09:35,op,0x76d6ec65f63f2eb81c4f05eafcde0215c5d8cc25b7e0944606c3c96e0cceeccd,https://optimistic.etherscan.io/tx/0x76d6ec65f63f2eb81c4f05eafcde0215c5d8cc25b7e0944606c3c96e0cceeccd,send,0x0ea67df8006be15ac59b5bca21ae206eb925fc6c,ETH,-0.001
01/12/2022,16:08:08,op,0x08c6dac4dd9d5e225eb4ea08ff0e6fc19d975121ca4860d9fee5b690247b2c3d,https://optimistic.etherscan.io/tx/0x08c6dac4dd9d5e225eb4ea08ff0e6fc19d975121ca4860d9fee5b690247b2c3d,send,0x183bffe026d50515516a8f873162396068143425,ETH,-0.003
28/02/2023,22:34:22,op,0x6715d0639302fb29d8052d9c8f7ffc9baf9343fe9ec6ffa00a92beed7006fc2d,https://optimistic.etherscan.io/tx/0x6715d0639302fb29d8052d9c8f7ffc9baf9343fe9ec6ffa00a92beed7006fc2d,send,0x1f61d6ce5d2afe65303587523dc05c4ba164d14b,ETH,-0.00104
03/12/2022,23:32:46,arb,0xeedfe962cdc3a60d5e1ac1d65854e67c757185f9ae82b2db271eadc252fe153b,https://arbiscan.io/tx/0xeedfe962cdc3a60d5e1ac1d65854e67c757185f9ae82b2db271eadc252fe153b,receive,0x2271eb7bc6c70dd533379758b70aadff075d72b7,ETH,33.09818619868012
13/10/2022,20:14:09,arb,0x19aa19f750f64b572e9183929c8959f3c290b449679142ac05cdd7b492dd328b,https://arbiscan.io/tx/0x19aa19f750f64b572e9183929c8959f3c290b449679142ac05cdd7b492dd328b,send,0x2271eb7bc6c70dd533379758b70aadff075d72b7,ETH,-0.10401313239469952
31/01/2021,15:45:56,eth,0x56af3d0d58df585454856c3a30ec74f7546e3a84b06808b252500b44749b8b7b,https://etherscan.io/tx/0x56af3d0d58df585454856c3a30ec74f7546e3a84b06808b252500b44749b8b7b,receive,0x2271eb7bc6c70dd533379758b70aadff075d72b7,ETH,0.2747804543074955
31/01/2021,15:41:27,eth,0xe1d71b9e8a7afead9eec1c2587c898e40557939e868e540916e51c1ff86e2df3,https://etherscan.io/tx/0xe1d71b9e8a7afead9eec1c2587c898e40557939e868e540916e51c1ff86e2df3,receive,0x2271eb7bc6c70dd533379758b70aadff075d72b7,DAI,2105.2971206942193
22/03/2023,21:19:15,bsc,0x3849fd008b7c431a8b23af30358d36495f699658af6add26dbf776c953966def,https://bscscan.com/tx/0x3849fd008b7c431a8b23af30358d36495f699658af6add26dbf776c953966def,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-83.46199999999999
16/05/2023,22:40:40,arb,0xfc37f48253404987c2e7543737605b8140e555b620329c7c7164c2d3e88539c0,https://arbiscan.io/tx/0xfc37f48253404987c2e7543737605b8140e555b620329c7c7164c2d3e88539c0,send,0x430cff5356fdbad334e8c992e5be56bed769b0ce,ETH,-0.12860669566727653
01/12/2022,16:07:23,op,0x7119adbcb6e8dac40514230c6e141cb1490eb7fa42eae3a1a85a45c1c5a84519,https://optimistic.etherscan.io/tx/0x7119adbcb6e8dac40514230c6e141cb1490eb7fa42eae3a1a85a45c1c5a84519,send,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,-0.0305
12/05/2023,14:55:12,op,0xf3475e510865bfc0364e00d892772a56e20bbbae3c08444d0227745998101aae,https://optimistic.etherscan.io/tx/0xf3475e510865bfc0364e00d892772a56e20bbbae3c08444d0227745998101aae,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,S*USDC,-1022.707728
10/05/2023,21:38:54,avax,0x0d038ef2b20b1b70a379822f89076b510843465d561028f2af6908ce990f9a54,https://snowscan.xyz/tx/0x0d038ef2b20b1b70a379822f89076b510843465d561028f2af6908ce990f9a54,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,USDC,-1066.051166
12/07/2023,18:44:19,arb,0xed4ac79ca27c82385f688884d884b826da123e21351e2cee09e82a01095415a4,https://arbiscan.io/tx/0xed4ac79ca27c82385f688884d884b826da123e21351e2cee09e82a01095415a4,send,0x657927a7956af4aba0b7407c5af964360c592e46,USDC,-944.656111
28/02/2023,22:17:24,op,0x8898dc2bff056cfef4adf5ac313e6a356741ca3b5f84a232af109a4e91a913ef,https://optimistic.etherscan.io/tx/0x8898dc2bff056cfef4adf5ac313e6a356741ca3b5f84a232af109a4e91a913ef,send,0x657927a7956af4aba0b7407c5af964360c592e46,ETH,-0.0005
20/11/2022,23:56:01,arb,0xdd5454107e04255db8474b767f5dfd6b4682fbaa405f098842372f97f9e3fc04,https://arbiscan.io/tx/0xdd5454107e04255db8474b767f5dfd6b4682fbaa405f098842372f97f9e3fc04,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,USDT,-102
01/03/2023,02:02:27,arb,0xe004c0b7c0f1a71925422eff506bcccdd476cbd5e4e984d7ee29bbdfd29818d2,https://arbiscan.io/tx/0xe004c0b7c0f1a71925422eff506bcccdd476cbd5e4e984d7ee29bbdfd29818d2,send,0x7be5549740bad29e58410683fb222a8331b71cfb,ETH,-0.1005418
01/12/2022,16:07:08,op,0xec9e33044a0023aedfe08676b9768e7d1354fc28779266a93c15bc24af79c5a5,https://optimistic.etherscan.io/tx/0xec9e33044a0023aedfe08676b9768e7d1354fc28779266a93c15bc24af79c5a5,send,0x7bf97810d8cfac70d9b80d35b8e0aba85a003ac0,SNX,-12.3
01/12/2022,16:06:38,op,0x98a037349a1ec9bc6d683ec9cf8b7eb7fb7f4eeb5972f19c6ecd8aa035dbd56a,https://optimistic.etherscan.io/tx/0x98a037349a1ec9bc6d683ec9cf8b7eb7fb7f4eeb5972f19c6ecd8aa035dbd56a,send,0x7bf97810d8cfac70d9b80d35b8e0aba85a003ac0,USDC,-270.85
28/02/2023,22:35:07,op,0x12fd48682b4fb1ce38a44c6b1d56bd531a9fe3ae076f511bade008a237e37985,https://optimistic.etherscan.io/tx/0x12fd48682b4fb1ce38a44c6b1d56bd531a9fe3ae076f511bade008a237e37985,send,0x818182bb833556961a22d463d427db595c81e046,ETH,-0.001
02/11/2022,21:48:57,op,0xb4c14fb59b7fb796384e917233fdfd4939cf30ef63f8bb2bf6e22bf4b8c5225f,https://optimistic.etherscan.io/tx/0xb4c14fb59b7fb796384e917233fdfd4939cf30ef63f8bb2bf6e22bf4b8c5225f,send,0xca6681620716414bbd33c05b6ca48d8827891774,WETH,-1.023187
