Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
23/01/2023,00:57:53,bsc,0x99fd951f8ed326def14afec42d3927beb8d7f64c62573068de7f3de7bd51babd,https://bscscan.com/tx/0x99fd951f8ed326def14afec42d3927beb8d7f64c62573068de7f3de7bd51babd,send,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,BUSD,-5
28/07/2022,20:19:22,bsc,0x1b07848cb1c0593cfa227670a24dccf7e685ab2523d60d00e88fad8de5970af6,https://bscscan.com/tx/0x1b07848cb1c0593cfa227670a24dccf7e685ab2523d60d00e88fad8de5970af6,send,0x218cdc2e95b83ea011136847fc5956e36fc1f474,AURA,-769
10/07/2022,03:00:04,arb,0x02480fdb0fe1679b291455d628ac06ef247501326083ac4df30ad4380531f8ab,https://arbiscan.io/tx/0x02480fdb0fe1679b291455d628ac06ef247501326083ac4df30ad4380531f8ab,send,0x26a9bd296785e7b2a5a2c7d2d4c9dbf99e27f340,ETH,-0.001
15/02/2023,06:24:36,matic,0x58d41767552ac3df0e27c5cf1cb6fc6ec5d6d821401e4d33c49982a71c8b2d78,https://polygonscan.com/tx/0x58d41767552ac3df0e27c5cf1cb6fc6ec5d6d821401e4d33c49982a71c8b2d78,receive,0x2756e6ebdbebc3419f355a7c1301d42ae674b4a5,WMATIC,0.01
13/08/2023,22:25:24,era,0xaec7b13f00b91743e82ccbdda4008d2744ca4d901b2ed10c841a8b23937fd270,https://era.zksync.network/tx/0xaec7b13f00b91743e82ccbdda4008d2744ca4d901b2ed10c841a8b23937fd270,send,0x2c32341c24492e5e97a6a346d03f1cb5d1ac100d,USDC,-20
12/12/2022,06:36:18,op,0x3463a76665e6553cea8efcfbccc4c3a7f4caa74b7611de186e512eb2dbdedad2,https://optimistic.etherscan.io/tx/0x3463a76665e6553cea8efcfbccc4c3a7f4caa74b7611de186e512eb2dbdedad2,receive,0x2c32341c24492e5e97a6a346d03f1cb5d1ac100d,ETH,0.0038
30/05/2022,03:44:02,eth,0x036ecd9c90e768ff686d29336264d8832a27b48efc061f404a03985c78f4bcb4,https://etherscan.io/tx/0x036ecd9c90e768ff686d29336264d8832a27b48efc061f404a03985c78f4bcb4,send,0x2c32341c24492e5e97a6a346d03f1cb5d1ac100d,ETH,-0.008
14/09/2022,01:20:40,op,0x16a1e22a684a07e2db12976e4a2378651bde67d2b80ce145a00ebb5b6e99b3bd,https://optimistic.etherscan.io/tx/0x16a1e22a684a07e2db12976e4a2378651bde67d2b80ce145a00ebb5b6e99b3bd,send,0x3338280ef4a8f623344937f4d56df5c1b1105dd7,ETH,-0.0005
24/02/2024,05:17:53,op,0x9691c7002d2e136cdf483913e1e5a34fdcf8b6502b2d28177016601a4c70163e,https://optimistic.etherscan.io/tx/0x9691c7002d2e136cdf483913e1e5a34fdcf8b6502b2d28177016601a4c70163e,receive,0x359544157fdddbad775093d3bd66c7993996188b,ETH,0.000057419438596679
24/02/2024,05:17:43,op,0x643b3a974bf1a5ee5dbf89da8460a60904b306a68018a80bea310cdc232f7ec1,https://optimistic.etherscan.io/tx/0x643b3a974bf1a5ee5dbf89da8460a60904b306a68018a80bea310cdc232f7ec1,receive,0x359544157fdddbad775093d3bd66c7993996188b,ETH,0.000133168383336059
