Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
19/02/2024,20:51:28,arb,0xab2d6627c17e7aa0f304e82084a8eaa56d5d43675f70205fc2b4ddc91469adfe,https://arbiscan.io/tx/0xab2d6627c17e7aa0f304e82084a8eaa56d5d43675f70205fc2b4ddc91469adfe,receive,0x2a07b08287770032cf24c9d2ac0a140e15323d49,ETH,0.0015
19/11/2023,20:33:47,eth,0x5f23d7d5af43dcdad530c8f4e73eca2468902b8a1fcc65fd89aba54b05ccb4ab,https://etherscan.io/tx/0x5f23d7d5af43dcdad530c8f4e73eca2468902b8a1fcc65fd89aba54b05ccb4ab,receive,0x2a07b08287770032cf24c9d2ac0a140e15323d49,ETH,1.49
06/06/2023,22:29:09,celo,0xbfdb2d612bcd5e2b62f969f3a4217d95385fa45dbae7b665b6acde118a52cb78,https://celoscan.io/tx/0xbfdb2d612bcd5e2b62f969f3a4217d95385fa45dbae7b665b6acde118a52cb78,receive,0x2a07b08287770032cf24c9d2ac0a140e15323d49,CELO,0.8
13/05/2023,21:32:06,arb,0x58af39fcf26b8758c921030e529d3db1e6b66670f74b5cb9d83e5dd83890973c,https://arbiscan.io/tx/0x58af39fcf26b8758c921030e529d3db1e6b66670f74b5cb9d83e5dd83890973c,receive,0x2a07b08287770032cf24c9d2ac0a140e15323d49,ETH,0.2
28/04/2023,21:51:04,era,0x49a4a6ad3216c7e75eeaba9e5454f77cc7622742ff32c083e766bdedf6fcd85f,https://era.zksync.network/tx/0x49a4a6ad3216c7e75eeaba9e5454f77cc7622742ff32c083e766bdedf6fcd85f,receive,0x2a07b08287770032cf24c9d2ac0a140e15323d49,ETH,1.64
31/03/2023,11:06:33,era,0xe9f6f881d51bacbeb1659f88caddb91b48fa705ac92f2eda7bae794a768fc581,https://era.zksync.network/tx/0xe9f6f881d51bacbeb1659f88caddb91b48fa705ac92f2eda7bae794a768fc581,send,0x2e49feb94e105dfe9779d6c1660a2d3c516b5d37,APE,-1
27/03/2023,00:28:41,era,0x1a3038f81918e28b196a521f6b41443471de293a0d0f7a4cda3412fd0d0d0f93,https://era.zksync.network/tx/0x1a3038f81918e28b196a521f6b41443471de293a0d0f7a4cda3412fd0d0d0f93,send,0x30a9c005409935107f058a2635c2543994c42a37,APE,-1
08/05/2023,05:34:16,era,0x278de95070edc7de9d915fe88c2f8ff219d3a1dd9e6dc2c194e1976a8b2783e1,https://era.zksync.network/tx/0x278de95070edc7de9d915fe88c2f8ff219d3a1dd9e6dc2c194e1976a8b2783e1,send,0x34d372684f5a00dba6a025adfbc56c1e209725ed,APE,-1
01/04/2023,22:23:05,era,0xd37173b7e1c3bae678652109eb495ebfa1f9777daa3f9db73ba9d553ec787cf2,https://era.zksync.network/tx/0xd37173b7e1c3bae678652109eb495ebfa1f9777daa3f9db73ba9d553ec787cf2,send,0x5c281bc5d0f5c84d18ef2f52fe181217ba09ac85,APE,-1
31/03/2023,19:23:18,era,0x7605d01fb1106fc0ab9225a4247663cd71636ef013d043c97cb6c58ec2e51462,https://era.zksync.network/tx/0x7605d01fb1106fc0ab9225a4247663cd71636ef013d043c97cb6c58ec2e51462,send,0x61068abfb8349f90bd0bab12347ec10e0c55c20f,APE,-1
27/03/2023,05:31:23,era,0x9621c96a6772e3498d6d8b19ceadb37ef99314d90ccdbe8de39b2aa6f7a36227,https://era.zksync.network/tx/0x9621c96a6772e3498d6d8b19ceadb37ef99314d90ccdbe8de39b2aa6f7a36227,send,0x6fedb09babb57bf252588ae17c0a0400e5fbc9d3,APE,-1
27/03/2023,16:21:39,era,0xb9920ae60716ebaa329b004e1747c5cfb28ee3e5039d87cd3293dd20fe0d35f8,https://era.zksync.network/tx/0xb9920ae60716ebaa329b004e1747c5cfb28ee3e5039d87cd3293dd20fe0d35f8,send,0x76e0438d8da85c5e3d06bd98b22fba4222e80e79,APE,-1
29/03/2023,20:50:06,era,0x8600f813559a21626432f90bf6eabee13ca3139b04a4bc7d0bf70faebeaecba8,https://era.zksync.network/tx/0x8600f813559a21626432f90bf6eabee13ca3139b04a4bc7d0bf70faebeaecba8,send,0x8998d044068b31e2e3371e5cbe21a6de9125569f,APE,-1
