Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
17/01/2023,03:28:59,op,0x159a779995ea68f03c7edbecc732ccbc3d6f6d1fc2e7a77daa17baea4127c136,https://optimistic.etherscan.io/tx/0x159a779995ea68f03c7edbecc732ccbc3d6f6d1fc2e7a77daa17baea4127c136,receive,0x00d7be72669c06d68c5d7f5f4483a5e6b84eb70b,USDC,50.00348
28/11/2022,21:28:33,op,0xafbb8575f7b3daf21f96e8994ce42c71ee6621c4ce419aa45d0c17937c4d0f98,https://optimistic.etherscan.io/tx/0xafbb8575f7b3daf21f96e8994ce42c71ee6621c4ce419aa45d0c17937c4d0f98,receive,0x00d7be72669c06d68c5d7f5f4483a5e6b84eb70b,USDC,52.05477
17/01/2023,03:22:59,op,0x727b41b4f7562c1f8e8612e812b6c40b05b134023a98ac6ac3d1847bd44c7dc2,https://optimistic.etherscan.io/tx/0x727b41b4f7562c1f8e8612e812b6c40b05b134023a98ac6ac3d1847bd44c7dc2,receive,0x043deaaaf0cf4547895e8161094975e371dccfcb,USDC,50.010713
28/11/2022,21:23:48,op,0x834b865f1fc00ce425024ee3e353987cb72a7a86f796fb2d639689daf0ed2bd1,https://optimistic.etherscan.io/tx/0x834b865f1fc00ce425024ee3e353987cb72a7a86f796fb2d639689daf0ed2bd1,receive,0x043deaaaf0cf4547895e8161094975e371dccfcb,USDC,51.943621
17/01/2023,03:22:14,op,0x3989b0a7716259abd73853f108fce5b20bde01ae0e6134a101c65777f3cdaf1e,https://optimistic.etherscan.io/tx/0x3989b0a7716259abd73853f108fce5b20bde01ae0e6134a101c65777f3cdaf1e,receive,0x10dc6f79ab3eac848822dc73506be1a7ae32b79d,USDC,50.00522
28/11/2022,21:21:18,op,0x12d902bf205f81b403976279aea91211c30cd345e8848eacd854e5f085d1dc09,https://optimistic.etherscan.io/tx/0x12d902bf205f81b403976279aea91211c30cd345e8848eacd854e5f085d1dc09,receive,0x10dc6f79ab3eac848822dc73506be1a7ae32b79d,USDC,52.032444
14/09/2022,19:28:30,eth,0x09f61d6a0c2f7a0406e8d1205027a3ddede5160eab642c0155d0c2a539f2e825,https://etherscan.io/tx/0x09f61d6a0c2f7a0406e8d1205027a3ddede5160eab642c0155d0c2a539f2e825,send,0x10dc6f79ab3eac848822dc73506be1a7ae32b79d,ETH,-0.002
17/01/2023,03:29:14,op,0x85e98b9df197577dd81058f22ad9abb52c6fb91bddc90abf69c6c2d3974638ed,https://optimistic.etherscan.io/tx/0x85e98b9df197577dd81058f22ad9abb52c6fb91bddc90abf69c6c2d3974638ed,receive,0x13947e418e613d43fa55849ddc8626e7105f957f,USDC,50.002524
17/01/2023,03:20:44,op,0x7f52f376fde630f66295fb2e50dcf237ac10620c95aa75e80f14296d7bdace31,https://optimistic.etherscan.io/tx/0x7f52f376fde630f66295fb2e50dcf237ac10620c95aa75e80f14296d7bdace31,receive,0x141d220615135ccf90d1d742d0b43334a12b79e9,USDC,50.004736
28/11/2022,21:16:33,op,0xe2a1d66a1fe590447240642457c9accac11053d77da15485b62468d77de95adf,https://optimistic.etherscan.io/tx/0xe2a1d66a1fe590447240642457c9accac11053d77da15485b62468d77de95adf,receive,0x141d220615135ccf90d1d742d0b43334a12b79e9,USDC,52.021025
