Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
06/07/2023,17:18:18,bsc,0x08c0945e9ebb6cfd2b351866c33d23ecbc83ce4f7a16484663be25bde86db1c3,https://bscscan.com/tx/0x08c0945e9ebb6cfd2b351866c33d23ecbc83ce4f7a16484663be25bde86db1c3,receive,0x00a1d2dd69ae3b7cd0ee1573793ddfa14175a375,BNB,0.025
26/09/2023,21:43:21,base,0xe46c097951098e01a860c8ea930c4ee6daef2f0b4bb81efff2b1cf89442f5c7d,https://www.basescan.org/tx/0xe46c097951098e01a860c8ea930c4ee6daef2f0b4bb81efff2b1cf89442f5c7d,send,0x0a0ac65bcb9dc67b2db8865cf4ee1ba3bf1fbe9d,ETH,-0.000025179878758884
23/09/2023,19:24:14,matic,0x2dcce9efb9b9edf4d617a45190be57b0d7832cb6c7c0c7fad49b3f3e177192e8,https://polygonscan.com/tx/0x2dcce9efb9b9edf4d617a45190be57b0d7832cb6c7c0c7fad49b3f3e177192e8,receive,0x308d23adfa8d8ca5e324d3256b300bc232740a6d,MATIC,0.3
29/11/2022,21:22:59,eth,0x4605be311a20da20fb47f03231eb43169f659275f29725ee44a4ccbfe9b8e073,https://etherscan.io/tx/0x4605be311a20da20fb47f03231eb43169f659275f29725ee44a4ccbfe9b8e073,receive,0x30e9b1b02bcfa1b96dccb939c3620fa6931c8a70,ETH,0.0004
20/09/2023,10:50:43,op,0x1f1fc6ff89481cfa18d618f06a757cb05ee1015f85e9244ab6239f7c4134eee6,https://optimistic.etherscan.io/tx/0x1f1fc6ff89481cfa18d618f06a757cb05ee1015f85e9244ab6239f7c4134eee6,send,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,-0.000006090801671316
11/08/2023,16:53:07,matic,0xd3ada147fd57578b7a884b86ecf1bfcfd8f1b386def00f7f28feace2f5063923,https://polygonscan.com/tx/0xd3ada147fd57578b7a884b86ecf1bfcfd8f1b386def00f7f28feace2f5063923,receive,0x4a938f60864c11b8c8755a0d5c1afeceb75cea80,MATIC,14.641288433382138
30/10/2023,09:53:08,arb,0xc9c517f90b25e3d3cb57373fb76032abbce4d8a00fc15a2e67ff8d8d44e3a4b5,https://arbiscan.io/tx/0xc9c517f90b25e3d3cb57373fb76032abbce4d8a00fc15a2e67ff8d8d44e3a4b5,send,0x54af2c90cfdbfac2e09cc4c7d7bc6184cf1e344c,ETH,-0.000033462722527105
26/10/2023,15:31:48,linea,0x2f6093b08b9eecf5005b76c7595a35899e4d71263f599b3538502cffa8db734c,https://lineascan.build/tx/0x2f6093b08b9eecf5005b76c7595a35899e4d71263f599b3538502cffa8db734c,receive,0x65c0bc04db793e29c31b26359c5b478f21f23206,ETH,0.001324401413054076
23/03/2023,02:24:30,matic,0xa97834a15bbe74834c319630ffed61af8df12b3f61078826966a3f9c7369864b,https://polygonscan.com/tx/0xa97834a15bbe74834c319630ffed61af8df12b3f61078826966a3f9c7369864b,receive,0x717dc9ee482ba58c12f7111fbbb32716a9df6d7c,MATIC,0.30093323927885257
23/03/2023,02:19:04,bsc,0xd1a4d6e52ed94bd976496bd98a991520258ce5b2e1f91a92ed339b7025ac42cf,https://bscscan.com/tx/0xd1a4d6e52ed94bd976496bd98a991520258ce5b2e1f91a92ed339b7025ac42cf,send,0x717dc9ee482ba58c12f7111fbbb32716a9df6d7c,BNB,-0.0005
29/03/2023,20:34:53,matic,0x591f13026b82829ce7913745659a385e9d255077827c1b219c6960d8f9471a44,https://polygonscan.com/tx/0x591f13026b82829ce7913745659a385e9d255077827c1b219c6960d8f9471a44,send,0x79ed7f0724208dc999f744b2dab4a88c6d84f65c,MATIC,-0.30862145391255214
29/07/2023,19:48:12,celo,0xec2b067baf95b1d1f117360deba911451d684c95df363e3334db6de50e592d0c,https://celoscan.io/tx/0xec2b067baf95b1d1f117360deba911451d684c95df363e3334db6de50e592d0c,send,0x7cb769209e0e52ec6f45b53c694f89806a31f45d,CELO,-3.027839869945133
14/08/2023,06:22:18,matic,0x52fa5d30f4dbb7cfdf48c59375d96bd88bfa0b351a285b37ff287838ac722cd5,https://polygonscan.com/tx/0x52fa5d30f4dbb7cfdf48c59375d96bd88bfa0b351a285b37ff287838ac722cd5,receive,0x808c46ff33220725196949a5ebbc86be5cb95f29,MATIC,0.03
14/08/2023,06:22:10,matic,0x45a1768794ff86f29b9ff853c7c9624af4d786960b61fd80238c07517d7b09c5,https://polygonscan.com/tx/0x45a1768794ff86f29b9ff853c7c9624af4d786960b61fd80238c07517d7b09c5,receive,0x808c46ff33220725196949a5ebbc86be5cb95f29,MATIC,0.05
06/01/2024,03:02:45,zkfair,0x935faacc45f4d81348cd085a0b50aec3c96db7d6d8959f9c924d24c8023415aa,https://scan.zkfair.io/tx/0x935faacc45f4d81348cd085a0b50aec3c96db7d6d8959f9c924d24c8023415aa,receive,0x838bf58321f4b12001a7567aaabbbf51c8ba2621,USDC,0.841144
01/05/2023,18:24:34,matic,0x992b53b84c6192a2fd90276a5d717d9603fc59e89dfa4ce38ae2c507dc0527d5,https://polygonscan.com/tx/0x992b53b84c6192a2fd90276a5d717d9603fc59e89dfa4ce38ae2c507dc0527d5,receive,0x86f1b7cf52f088fc2bb5e0efd54355892063b2d7,MATIC,0.4
07/06/2023,23:21:45,bsc,0xd29459d4a70090867f8252541e095fbc51e0bac4d817e8a815e4bfb26769a2d1,https://bscscan.com/tx/0xd29459d4a70090867f8252541e095fbc51e0bac4d817e8a815e4bfb26769a2d1,send,0x8dc6168e7fba836e3b50e45cf555067da3aa73f3,BNB,-0.000384364069646769
03/11/2023,05:28:18,bsc,0xdeba9484d6fd5c96cf2e603787ae7fdc2f489b96372a5b4f36367e2218549c10,https://bscscan.com/tx/0xdeba9484d6fd5c96cf2e603787ae7fdc2f489b96372a5b4f36367e2218549c10,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,NABOX NFT,-1
03/11/2023,05:27:57,bsc,0x7682c4ca6969a63855846f8b85fb9c64c1b0830c952cd35e74d8539eed4cb403,https://bscscan.com/tx/0x7682c4ca6969a63855846f8b85fb9c64c1b0830c952cd35e74d8539eed4cb403,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,0.000262253
30/10/2023,05:53:59,bsc,0x749921086eb875c77cdece4c9e5d3f06832cc99517e6f4e7b2000d2e56bfff60,https://bscscan.com/tx/0x749921086eb875c77cdece4c9e5d3f06832cc99517e6f4e7b2000d2e56bfff60,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,0.002972604400920365
29/10/2023,23:31:56,opbnb,0x3c852702449af611f453a08148a103723a5f83f5a3075e9856c2832335a17432,https://mainnet.opbnbscan.com/tx/0x3c852702449af611f453a08148a103723a5f83f5a3075e9856c2832335a17432,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,0.001322926313004366
26/10/2023,15:32:48,linea,0x14e47141b0d273fdf004b41fed8e25b0dedb8f053bdf712b95a01e962cb559d9,https://lineascan.build/tx/0x14e47141b0d273fdf004b41fed8e25b0dedb8f053bdf712b95a01e962cb559d9,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.008219177865831024
26/10/2023,15:18:21,bsc,0x3fd64827bcd7a50d86cacd8d4e3af3ad6c5b15380dd12b862e7de095d07128e4,https://bscscan.com/tx/0x3fd64827bcd7a50d86cacd8d4e3af3ad6c5b15380dd12b862e7de095d07128e4,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,-0.10229846141137837
26/10/2023,15:17:42,bsc,0x02512b6236a03168507aa66796da795dd006837151bc4ac2094cfb8f172d9ffe,https://bscscan.com/tx/0x02512b6236a03168507aa66796da795dd006837151bc4ac2094cfb8f172d9ffe,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,0.001775095411378362
26/10/2023,12:35:30,opbnb,0xcae156bc27c31a617d64719a5669fcb01e194cb0e36d5da1103ef9a1312e2b0c,https://mainnet.opbnbscan.com/tx/0xcae156bc27c31a617d64719a5669fcb01e194cb0e36d5da1103ef9a1312e2b0c,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,-0.012327894449026372
10/10/2023,12:23:07,mnt,0xa36a837755563ba01077938257a34249b7e796834d77d28582eb24bd570202d9,https://mantlescan.xyz/tx/0xa36a837755563ba01077938257a34249b7e796834d77d28582eb24bd570202d9,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,MNT,-0.2
27/09/2023,01:26:52,hmy,0xefe6bb8806525b1281447d28ce0ad195cef8d3efa7e83f1e6356ab73756b704f,https://explorer.harmony.one/tx/0xefe6bb8806525b1281447d28ce0ad195cef8d3efa7e83f1e6356ab73756b704f,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ONE,-1.8189689866835348
