Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
23/03/2023,22:22:24,arb,0x3f47144c4398ee18ab846a0185428b22fe7163055904f763f26ce5f8086ee8d7,https://arbiscan.io/tx/0x3f47144c4398ee18ab846a0185428b22fe7163055904f763f26ce5f8086ee8d7,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-875
07/12/2023,16:42:37,linea,0xae5a764695900378c8f9da8674772962c3605b8c683da3d7f5da8e82b6a7b815,https://lineascan.build/tx/0xae5a764695900378c8f9da8674772962c3605b8c683da3d7f5da8e82b6a7b815,receive,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,ETH,0.0005
09/11/2023,20:14:40,pze,0x279e3afe4f17dabf7f7850f851233418f9ad5b0beaea74aab50d257a3be9cf69,https://zkevm.polygonscan.com/tx/0x279e3afe4f17dabf7f7850f851233418f9ad5b0beaea74aab50d257a3be9cf69,send,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,ETH,-0.003953370335275933
10/12/2022,11:49:35,op,0xbf5548ae6d725bb6d08ab378390431c81124e5aeb7fb4df0c9420eb7f6d01f6b,https://optimistic.etherscan.io/tx/0xbf5548ae6d725bb6d08ab378390431c81124e5aeb7fb4df0c9420eb7f6d01f6b,send,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,USDC,-54
23/06/2023,03:34:47,eth,0x0109f97460e7175060b02bfcb0235ef0d8c7af0f6d26a3837ecec9a8cd5130bc,https://etherscan.io/tx/0x0109f97460e7175060b02bfcb0235ef0d8c7af0f6d26a3837ecec9a8cd5130bc,receive,0x147a981713013ac3dd664bc0c8bca15ad007475f,ETH,0.01
23/06/2023,03:33:59,eth,0x31c636c3afd20f4cc4d354c9bffa724d1e3e41dbb10810e955abb139b1195a08,https://etherscan.io/tx/0x31c636c3afd20f4cc4d354c9bffa724d1e3e41dbb10810e955abb139b1195a08,receive,0x147a981713013ac3dd664bc0c8bca15ad007475f,ETH,0.01
23/06/2023,03:33:23,eth,0x3d6f6bb0b7f45a5e5d00937cfc6a2e36f7e1ce31d1ebefdfebac3897de85a23f,https://etherscan.io/tx/0x3d6f6bb0b7f45a5e5d00937cfc6a2e36f7e1ce31d1ebefdfebac3897de85a23f,send,0x147a981713013ac3dd664bc0c8bca15ad007475f,ETH,-0.01
23/06/2023,03:32:23,eth,0x110e12e3a0acd2ac9afce1a76eabe7101ea74e01d15581079293c57526d40f2b,https://etherscan.io/tx/0x110e12e3a0acd2ac9afce1a76eabe7101ea74e01d15581079293c57526d40f2b,receive,0x147a981713013ac3dd664bc0c8bca15ad007475f,ETH,0.01
23/06/2023,03:31:47,eth,0xdc762d2ec673cb32074820f733875c3375e1d81241dcd828d9976635abd6dc8e,https://etherscan.io/tx/0xdc762d2ec673cb32074820f733875c3375e1d81241dcd828d9976635abd6dc8e,send,0x147a981713013ac3dd664bc0c8bca15ad007475f,ETH,-0.01
16/06/2023,02:48:57,bsc,0x691e638e7877e8a53a45c61e75275653f4e56af42780b0f541449d572073566f,https://bscscan.com/tx/0x691e638e7877e8a53a45c61e75275653f4e56af42780b0f541449d572073566f,send,0x147a981713013ac3dd664bc0c8bca15ad007475f,BNB,-0.026
