Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
02/01/2024,00:38:28,ftm,0x800a83cfb7824c26fe7067f040eab208f3d0b29ebb000f72026b0a6df5d4aefb,https://ftmscan.com/tx/0x800a83cfb7824c26fe7067f040eab208f3d0b29ebb000f72026b0a6df5d4aefb,receive,0x0916f9172d3d376be908463d4fddecd214df6e2b,FTM,0.000182004663267
18/09/2023,05:55:17,arb,0xd8214f108389df0d1eb19eedd998f2e81841d501aae3e68bbffd9eca8649e61c,https://arbiscan.io/tx/0xd8214f108389df0d1eb19eedd998f2e81841d501aae3e68bbffd9eca8649e61c,receive,0x1c3b9b0606e56f09e9350e1b318f02bd433b72e3,ETH,0.000062929934542265
02/01/2024,00:38:07,ftm,0xc4f7deeb890408f56451ccad6ef0c5d53e4d3f23fd4775681e5fde5ea9438c43,https://ftmscan.com/tx/0xc4f7deeb890408f56451ccad6ef0c5d53e4d3f23fd4775681e5fde5ea9438c43,receive,0x1c51fd4a1da1adeed17f77e36fb03b5ee82f45ff,FTM,0.000102673388590813
10/10/2023,05:53:03,arb,0x36d67a7454579086b6a558c61aa1c3cd4f0c86896edf63c0faf2e7df4233899f,https://arbiscan.io/tx/0x36d67a7454579086b6a558c61aa1c3cd4f0c86896edf63c0faf2e7df4233899f,send,0x32287caf3773d05813b1572268a576560a553af7,ETH,-0.000002884934724439
20/09/2023,10:50:29,op,0x848a4abb274f0cb41cec708bb347fcc38dd04b0072baf92166607364b564dc58,https://optimistic.etherscan.io/tx/0x848a4abb274f0cb41cec708bb347fcc38dd04b0072baf92166607364b564dc58,send,0x349f0de12cb0faf1d4e3a5d3e0ba23db80f7910e,ETH,-0.000012181603342632
25/04/2024,19:30:27,era,0xdfa664d0238b29f1ede36ca0b5685cd1af480362cf47141005e66bc6c298ebb1,https://era.zksync.network/tx/0xdfa664d0238b29f1ede36ca0b5685cd1af480362cf47141005e66bc6c298ebb1,send,0x3e5555ac01800aa95e45471f56700b5a347ed8c9,ETH,-0.000004187424774279
02/01/2024,00:35:01,ftm,0x7c10bbd37136d9fddebddedcf3494406423dd21aacf6c7817664fb18cffc65ba,https://ftmscan.com/tx/0x7c10bbd37136d9fddebddedcf3494406423dd21aacf6c7817664fb18cffc65ba,receive,0x4882656754ff50f5b125ad9a83d57dc236c9dff1,FTM,0.000154790597892
20/03/2024,05:49:46,arb,0xea9da00927a5bad44db079d4df3eeaf00fd81c86a795d23edf7710408663d9c6,https://arbiscan.io/tx/0xea9da00927a5bad44db079d4df3eeaf00fd81c86a795d23edf7710408663d9c6,send,0x4ec11eaf315fc2eb0df7f37f07b8c12bab485e3a,ETH,-0.000014329903726719
02/01/2024,00:39:41,ftm,0x6d44659ec9d9f9bc4f7916a88652e3a2793763f616a42f72a42e4323fea9915e,https://ftmscan.com/tx/0x6d44659ec9d9f9bc4f7916a88652e3a2793763f616a42f72a42e4323fea9915e,receive,0x6cb3b075dbccb94b7a27ddad998a0a0a7c42d4c3,FTM,0.00011014067211
28/11/2023,17:25:49,era,0xfd96d64416c1bbc9efba8f33838c9d0f925656d59cc4ee0f514421796ae2f28c,https://era.zksync.network/tx/0xfd96d64416c1bbc9efba8f33838c9d0f925656d59cc4ee0f514421796ae2f28c,send,0x70c1326700755513b96e94168c408c71f46602a7,ETH,-0.000104359752915861
17/03/2024,12:40:51,base,0x3d1be9622cacb15c99eeb2e54e7255074842c7fc6d835b471529898bf8277309,https://www.basescan.org/tx/0x3d1be9622cacb15c99eeb2e54e7255074842c7fc6d835b471529898bf8277309,send,0x7f5f51af71d3fdbcbbd7e9fcbd81260c3aa50e0c,ETH,-0.000028054661702862
07/03/2024,20:50:50,ftm,0x45ea03e87a468155c37a46fd6e0f5b3994650ffe03d0f4bde17635bb67ddf9b2,https://ftmscan.com/tx/0x45ea03e87a468155c37a46fd6e0f5b3994650ffe03d0f4bde17635bb67ddf9b2,send,0x7f5f51af71d3fdbcbbd7e9fcbd81260c3aa50e0c,FTM,-0.08571984327191709
