Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/07/2021,23:12:02,eth,0xefb50fa42b24293558e508edb47b59f25d71bebb0709f54cb8157539d98e743e,https://etherscan.io/tx/0xefb50fa42b24293558e508edb47b59f25d71bebb0709f54cb8157539d98e743e,send,0x08588f1bdabb6c7dba7c0bea2e4b2c9689ffd631,ETH,-0.01
15/01/2021,13:24:22,eth,0xe313ed7347cfaf4d721cf68095fcf29055a89c6ff34726f373ec79bfb5e89ca4,https://etherscan.io/tx/0xe313ed7347cfaf4d721cf68095fcf29055a89c6ff34726f373ec79bfb5e89ca4,send,0x08588f1bdabb6c7dba7c0bea2e4b2c9689ffd631,SNX,-8.284994995576122
15/01/2021,13:23:34,eth,0x7b7e175457471a366cb5e006185adf8bb280a9bf79e338ebb4771d66b690e9e0,https://etherscan.io/tx/0x7b7e175457471a366cb5e006185adf8bb280a9bf79e338ebb4771d66b690e9e0,send,0x08588f1bdabb6c7dba7c0bea2e4b2c9689ffd631,USDC,-114.845107
28/03/2021,15:08:42,eth,0xf1223b2d3f8fd79e5caae78e19f7479333353f824cb44ff81a6d8c0c5897e240,https://etherscan.io/tx/0xf1223b2d3f8fd79e5caae78e19f7479333353f824cb44ff81a6d8c0c5897e240,send,0x1257b6871bfca1da593ff5586e73eb1731b494fc,USDT,-2500
21/03/2021,17:11:35,eth,0xcb1faa932ae0676f636479d6abf36adfc2d7ddb8e296fbdf83e4a38dde42dc3b,https://etherscan.io/tx/0xcb1faa932ae0676f636479d6abf36adfc2d7ddb8e296fbdf83e4a38dde42dc3b,send,0x1257b6871bfca1da593ff5586e73eb1731b494fc,USDT,-2000
09/12/2020,17:57:08,eth,0xce14f4d9fd82f95920add1c3216a59d86b49895e8baf59a76a09a73d7daa74d7,https://etherscan.io/tx/0xce14f4d9fd82f95920add1c3216a59d86b49895e8baf59a76a09a73d7daa74d7,receive,0x17fd220302ad3fef86d391727013b9a366b0699d,ETH,0.008244
09/12/2020,17:01:55,eth,0x7b27150c7c21320c1cf69d71da802f60ca0f269d398237fb0d38702fe6d5d4b7,https://etherscan.io/tx/0x7b27150c7c21320c1cf69d71da802f60ca0f269d398237fb0d38702fe6d5d4b7,send,0x17fd220302ad3fef86d391727013b9a366b0699d,ETH,-0.005
09/12/2020,15:44:39,eth,0xfddc7fab267a4d5d6c9e7999f0c7b0bdde3cf6de0f78dc56d563d3adeb4f8982,https://etherscan.io/tx/0xfddc7fab267a4d5d6c9e7999f0c7b0bdde3cf6de0f78dc56d563d3adeb4f8982,send,0x17fd220302ad3fef86d391727013b9a366b0699d,ETH,-0.009
04/04/2024,21:19:11,zora,0x403bb41d05abea434c6d63d3501244c5bce871ddf67e2c596c9518dd302f334c,https://explorer.zora.energy/tx/0x403bb41d05abea434c6d63d3501244c5bce871ddf67e2c596c9518dd302f334c,receive,0x180bb137e8c9615ffd42bbdf97c09942e82e6444,ENJOY,60000
04/04/2024,13:49:39,zora,0x3ae5defba45faf84e3bde217cb6bb9cb19ff8f8da60317c9e120c9e60b025f1a,https://explorer.zora.energy/tx/0x3ae5defba45faf84e3bde217cb6bb9cb19ff8f8da60317c9e120c9e60b025f1a,receive,0x18d795b80237c8f310b1539511323621cfdc6963,ENJOY,99000
11/03/2021,14:48:39,eth,0x0246201547a046f2eccfb59d1777529ddda58bb4ee946cf242d23113e6649774,https://etherscan.io/tx/0x0246201547a046f2eccfb59d1777529ddda58bb4ee946cf242d23113e6649774,receive,0x2da41fa53c21d77d0f882439b22cf7a7dcc8e493,UNI,123.88981469387033
21/11/2021,20:53:06,eth,0x9782811793ff3d5f0c6e8316fc5eecfc4b4de8cee7f951f5adf8d6c9eb843f59,https://etherscan.io/tx/0x9782811793ff3d5f0c6e8316fc5eecfc4b4de8cee7f951f5adf8d6c9eb843f59,receive,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,USDC,20553.887023
30/10/2021,15:12:58,eth,0x211b8c731a07a3e32cdea1de72270d83db4f2c98c35772a59a03b4d6cad09506,https://etherscan.io/tx/0x211b8c731a07a3e32cdea1de72270d83db4f2c98c35772a59a03b4d6cad09506,send,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,ALCX,-7.780349672950585
19/08/2021,01:51:43,eth,0x052a2d40f07015d1bb39c11670590cefbe4d4527136d0fd7376f879039921f4d,https://etherscan.io/tx/0x052a2d40f07015d1bb39c11670590cefbe4d4527136d0fd7376f879039921f4d,receive,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,USDC,11818.149308
30/07/2021,23:10:41,eth,0xb798451805113bb480e1b7c7021bc8cd9f021f9be4e0c62bfcd3a65611c76bf1,https://etherscan.io/tx/0xb798451805113bb480e1b7c7021bc8cd9f021f9be4e0c62bfcd3a65611c76bf1,receive,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,1INCH,250
28/07/2021,14:42:40,eth,0x22741b78598b0d83035c996bb246de8ca74c03deb70a2ff23a4a677aa66c9502,https://etherscan.io/tx/0x22741b78598b0d83035c996bb246de8ca74c03deb70a2ff23a4a677aa66c9502,send,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,USDT,-2893.646075
30/04/2021,21:35:10,eth,0xc2a10f24c2e471f62b8a2e1924760512e442b8a16a5ac83daf5b79d7af30513a,https://etherscan.io/tx/0xc2a10f24c2e471f62b8a2e1924760512e442b8a16a5ac83daf5b79d7af30513a,send,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,SUSHI,-621.0464703116716
10/04/2021,14:22:14,eth,0x0b3e93ab77f41d0ed4f6482d5e600b1c370b562eed37a6d0fe74f5112239f1f9,https://etherscan.io/tx/0x0b3e93ab77f41d0ed4f6482d5e600b1c370b562eed37a6d0fe74f5112239f1f9,send,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,USDT,-1209.027633
19/03/2021,22:56:22,eth,0x241fda84bb41d53c3f743d8b054d43fa27c1f5ed762197134707ae1bc82170e7,https://etherscan.io/tx/0x241fda84bb41d53c3f743d8b054d43fa27c1f5ed762197134707ae1bc82170e7,send,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,DJ15,-37.815465676
