Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
29/11/2023,16:06:13,arb,0x7e4332f441f29ddcb07ac7ff39066d70bbb649dfa88393738e362e5bccf6e6c2,https://arbiscan.io/tx/0x7e4332f441f29ddcb07ac7ff39066d70bbb649dfa88393738e362e5bccf6e6c2,send,0x017e1f81b2e17bd02c4cd337fcbeabe01a0b4bf0,USDC,-106
28/11/2023,23:46:47,arb,0xf9226ec672555b424490c4c6629d41a8d643d174b332d3741edd5ef77b092cd3,https://arbiscan.io/tx/0xf9226ec672555b424490c4c6629d41a8d643d174b332d3741edd5ef77b092cd3,send,0x017e1f81b2e17bd02c4cd337fcbeabe01a0b4bf0,USDC,-1596
18/01/2022,03:57:35,bsc,0xeef1e04cec658ecd9c108891a97ac697314199f527875165aaff1f8e819eab14,https://bscscan.com/tx/0xeef1e04cec658ecd9c108891a97ac697314199f527875165aaff1f8e819eab14,send,0x1b4b60daff677bee93772c43eae5afaa6b20b046,BUSD,-10
18/06/2022,03:04:05,eth,0xf06962eebcd8e844d65612d411e8300ff2322cd47f9ba8812a79041ea63f090b,https://etherscan.io/tx/0xf06962eebcd8e844d65612d411e8300ff2322cd47f9ba8812a79041ea63f090b,send,0x24bbff32367f805289f43c9b33a94c7eb7098653,ETH,-0.1385
04/03/2022,22:14:10,ftm,0xcfc758fef718537b0e7c2aa1a938c29c9cbf87167f6752aee37dd4f05095ca10,https://ftmscan.com/tx/0xcfc758fef718537b0e7c2aa1a938c29c9cbf87167f6752aee37dd4f05095ca10,send,0x24bbff32367f805289f43c9b33a94c7eb7098653,FTM,-0.3
06/01/2022,20:05:56,bsc,0xba5270f4311ea2ae605781d6abe47d4de814644c7b3e5687ce40c67ea7afea7c,https://bscscan.com/tx/0xba5270f4311ea2ae605781d6abe47d4de814644c7b3e5687ce40c67ea7afea7c,receive,0x24bbff32367f805289f43c9b33a94c7eb7098653,BUSD,134.5
04/01/2022,21:32:37,bsc,0x72a7e92bee973cb125f3829b06edb0dfeb21ef16caddbdee574e4e5a644f911a,https://bscscan.com/tx/0x72a7e92bee973cb125f3829b06edb0dfeb21ef16caddbdee574e4e5a644f911a,send,0x24bbff32367f805289f43c9b33a94c7eb7098653,BUSD,-100
22/10/2023,19:11:10,era,0x623933709b157e1f89928df747ab95157b2a6cdb32ff4ca2fd167aaede3d3dd4,https://era.zksync.network/tx/0x623933709b157e1f89928df747ab95157b2a6cdb32ff4ca2fd167aaede3d3dd4,send,0x2c5273015b688cc8903d694e65984ebd7628b09b,ETH,-0.002
03/06/2022,01:06:49,eth,0xe7869083185cc4c37e4ee8fa2fa3a7dbe9642af99f332e91763496ac9d996b81,https://etherscan.io/tx/0xe7869083185cc4c37e4ee8fa2fa3a7dbe9642af99f332e91763496ac9d996b81,receive,0x313629f6f265214926e2761fabeae5d383c576b4,ETH,0.25174423711886906
11/05/2022,01:57:44,eth,0xbbbf1623021c426c6608faa4bb53b213a78b57590677eddae597afcaf7362786,https://etherscan.io/tx/0xbbbf1623021c426c6608faa4bb53b213a78b57590677eddae597afcaf7362786,send,0x313629f6f265214926e2761fabeae5d383c576b4,ETH,-0.005
