Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/04/2023,02:35:53,op,0x1c5377898f6d31ecd43909519be7f335d09ecabb38448169783fa4b506892784,https://optimistic.etherscan.io/tx/0x1c5377898f6d31ecd43909519be7f335d09ecabb38448169783fa4b506892784,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,0.003
10/03/2023,15:49:54,matic,0x9f55053e4e4fe540d7c51e7221e0f48663e19825fdaaeff6907ca5429a4659f4,https://polygonscan.com/tx/0x9f55053e4e4fe540d7c51e7221e0f48663e19825fdaaeff6907ca5429a4659f4,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,MATIC,293
10/04/2023,17:12:14,era,0x4f84b285bbc02bc64f72adee75a3a8e3f00bf967817a855645b89cb4baee4105,https://era.zksync.network/tx/0x4f84b285bbc02bc64f72adee75a3a8e3f00bf967817a855645b89cb4baee4105,send,0x10b23916f76becde774c41e3aee837ce5ce49867,ZKP,-1
05/06/2023,02:20:34,matic,0xcf2fd10d10b7d79dc6aedf3e17ef00ff941c4d73295574f5cb64f33b51ac6578,https://polygonscan.com/tx/0xcf2fd10d10b7d79dc6aedf3e17ef00ff941c4d73295574f5cb64f33b51ac6578,send,0x143c7679008720ad952f600d84a024a6f4695c97,MATIC,-194
05/06/2023,01:17:23,eth,0x9a4fbda49d5a177d19b4b70e5ae63106b1a6b7da70a1e31c5665d051353daa26,https://etherscan.io/tx/0x9a4fbda49d5a177d19b4b70e5ae63106b1a6b7da70a1e31c5665d051353daa26,send,0x143c7679008720ad952f600d84a024a6f4695c97,ETH,-0.010768133475247984
04/06/2023,23:43:07,matic,0x5a1d1c0f63e0409a8408fd268a707a52bef7e296c6d0f182167d62052614d34b,https://polygonscan.com/tx/0x5a1d1c0f63e0409a8408fd268a707a52bef7e296c6d0f182167d62052614d34b,send,0x143c7679008720ad952f600d84a024a6f4695c97,MATIC,-21.6
04/06/2023,17:24:53,matic,0xd703bfc0be28127b4d6934c172c91c6d757f81c89eea35cd0f3b064f250b224b,https://polygonscan.com/tx/0xd703bfc0be28127b4d6934c172c91c6d757f81c89eea35cd0f3b064f250b224b,send,0x143c7679008720ad952f600d84a024a6f4695c97,MATIC,-49
24/04/2023,10:42:23,eth,0x5928eeb7accdfbd3a11192f5b15d798f5ca2506721a48c59fb309c379579538b,https://etherscan.io/tx/0x5928eeb7accdfbd3a11192f5b15d798f5ca2506721a48c59fb309c379579538b,send,0x143c7679008720ad952f600d84a024a6f4695c97,ETH,-1
17/12/2022,04:15:50,nova,0x13bcb24e5f10f8e18dbc74871af2155c0ac3bf49e57cc331969dca717b0b3452,https://nova.arbiscan.io/tx/0x13bcb24e5f10f8e18dbc74871af2155c0ac3bf49e57cc331969dca717b0b3452,receive,0x146dc2e7d242300e4f1f321cc6fa32a3e1e32927,ETH,0.092
04/06/2023,14:45:55,era,0xe5841e369a4161ee08785cb40f6fe03c1949e90fa32f1970dc0a848ec68c73a8,https://era.zksync.network/tx/0xe5841e369a4161ee08785cb40f6fe03c1949e90fa32f1970dc0a848ec68c73a8,send,0x166ac1d09c42c4950e03adf0e41e4bb18536b29d,Zka,-1
