Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
01/02/2024,15:25:57,zeta,0x0a4de0231cdb80fcb1f0599e9b27d3e9b4fa1396317417f9c7add46c13e6d839,https://zetachain.blockscout.com/tx/0x0a4de0231cdb80fcb1f0599e9b27d3e9b4fa1396317417f9c7add46c13e6d839,send,0x0e3299d8e9c76c2ec8c8d6559bac78c38fe07f29,ZETA,-0.1
28/09/2023,05:02:57,bsc,0xf31edaf97a59a1db7fa75f375c7d36291c9c77748194df6accee98560df7abc1,https://bscscan.com/tx/0xf31edaf97a59a1db7fa75f375c7d36291c9c77748194df6accee98560df7abc1,receive,0x43be5b8783a5651c1ab7cc090a870e3320d9942a,BNB,0.0014
28/09/2023,04:58:57,arb,0xa427b63e2bbd851efac30d41fbf936f26aba5d5cb0ad1454981007b82b761503,https://arbiscan.io/tx/0xa427b63e2bbd851efac30d41fbf936f26aba5d5cb0ad1454981007b82b761503,send,0x43be5b8783a5651c1ab7cc090a870e3320d9942a,ETH,-0.0001
30/01/2023,18:48:21,bsc,0x494b0ed5659e8d4639a68c84e81c0ff4b963b4ebd454099544bf54955378db1f,https://bscscan.com/tx/0x494b0ed5659e8d4639a68c84e81c0ff4b963b4ebd454099544bf54955378db1f,receive,0x44444444145b711fbbdbc2f7bc82952d587b2f17,BNB,0.00099
15/07/2023,20:36:58,bsc,0xedc566b722dfc4c27f139809b3d731e4ee691250c0418a2a87f541d6bd8638b5,https://bscscan.com/tx/0xedc566b722dfc4c27f139809b3d731e4ee691250c0418a2a87f541d6bd8638b5,receive,0x50e0b59e465fd80faa093eb76efb5a873b2f3900,BNB,0.00065
05/02/2023,00:56:37,bsc,0xd75c08e557472c91e2373d94a3eb684d799f88826578a0d62ed1399e5ec31923,https://bscscan.com/tx/0xd75c08e557472c91e2373d94a3eb684d799f88826578a0d62ed1399e5ec31923,send,0x5566e027a3ca27fa851c0958a3b7fcab13472a7a,BNB,-0.005
26/12/2023,18:38:36,bsc,0x4fe293d168a83d5b473c03d247b2855f08bd4f836548ef1f94335f96ce098386,https://bscscan.com/tx/0x4fe293d168a83d5b473c03d247b2855f08bd4f836548ef1f94335f96ce098386,receive,0x65c3d0f9438644945df5bf321c9f0fcf333302b8,CMCBP,1
22/09/2023,21:48:34,bsc,0x191f8765c9b320e7a8e190e65d83609a481d928449d77ae7b45f93de64f5116b,https://bscscan.com/tx/0x191f8765c9b320e7a8e190e65d83609a481d928449d77ae7b45f93de64f5116b,receive,0x65c3d0f9438644945df5bf321c9f0fcf333302b8,CGBP,1
26/11/2022,11:10:26,bsc,0x75e2ea8f4765face253205e579fcf3c94a3a920f5d9673c4d724c620b2b70502,https://bscscan.com/tx/0x75e2ea8f4765face253205e579fcf3c94a3a920f5d9673c4d724c620b2b70502,receive,0x66e885ec0798a9eac5471d2ae687e4220cc73d01,FB,4
24/05/2023,03:41:11,arb,0xaed8cee4d8bb527f159edbaf77e462f0be24e23aecda294f421f4f14d7cb977b,https://arbiscan.io/tx/0xaed8cee4d8bb527f159edbaf77e462f0be24e23aecda294f421f4f14d7cb977b,send,0x869b665586362e9fe07c872f8090ed21962f1196,ETH,-0.002160293799956794
24/12/2022,20:46:42,matic,0x8d303988dc9b83e560996243077ad5a35573d51252978b77ae9e8b9ce8829c39,https://polygonscan.com/tx/0x8d303988dc9b83e560996243077ad5a35573d51252978b77ae9e8b9ce8829c39,receive,0x9a7ec27199076736e32f394baabc9de5eb0ee75f,MATIC,0.06282985674792661
06/02/2024,17:41:31,bsc,0xa3d6bd2d01847292f0b4dd92aa8d5074a02e7e732ec93a03427c4a30a818258f,https://bscscan.com/tx/0xa3d6bd2d01847292f0b4dd92aa8d5074a02e7e732ec93a03427c4a30a818258f,send,0x9fa75d8bfad532858515d75126ed596762e6498c,BNB,-0.01
04/12/2023,00:43:29,bsc,0x0b3155eba6e8ea6b409f73ae2c06c94aac6ddcc408e57257c6f6471f6ffdcb57,https://bscscan.com/tx/0x0b3155eba6e8ea6b409f73ae2c06c94aac6ddcc408e57257c6f6471f6ffdcb57,send,0x9fa75d8bfad532858515d75126ed596762e6498c,BNB,-0.0001
23/10/2023,23:46:47,mnt,0xca5efdf2302ba8f7f29014aa3c6a80327e4746314859c08d66f88b6f523d4966,https://mantlescan.xyz/tx/0xca5efdf2302ba8f7f29014aa3c6a80327e4746314859c08d66f88b6f523d4966,send,0xa93bbd4a62dd069f6e22d73ac2561cd201ef0218,MNT,-0.2
12/10/2023,00:51:05,mnt,0x900523b0bee6f8213fb0a0a1d846ad72bc76c01e9f612c18601c8f69a77a3de5,https://mantlescan.xyz/tx/0x900523b0bee6f8213fb0a0a1d846ad72bc76c01e9f612c18601c8f69a77a3de5,send,0xae181bdd22c7f71f88e6c291628c8a81500aac85,MNT,-0.001
24/02/2023,18:02:41,matic,0x140ab7aed1b5565c6420d0dbd6592a7591bd708765ca3754b8476a6420b47d8c,https://polygonscan.com/tx/0x140ab7aed1b5565c6420d0dbd6592a7591bd708765ca3754b8476a6420b47d8c,receive,0xbb9a92f7b7f0f3789936766de467add118606f06,MATIC,0.597548074
24/11/2022,19:14:53,matic,0x4b4ba753fda269485627b7e544e5bbc9b9935fac2345771c35e4f52341f01f65,https://polygonscan.com/tx/0x4b4ba753fda269485627b7e544e5bbc9b9935fac2345771c35e4f52341f01f65,send,0xbb9a92f7b7f0f3789936766de467add118606f06,MATIC,-0.1
17/01/2023,15:55:22,bsc,0x8e14648f33ea7c0049ca7328f9d086fe67c6096eeb563e5322cddcdac6a21b0d,https://bscscan.com/tx/0x8e14648f33ea7c0049ca7328f9d086fe67c6096eeb563e5322cddcdac6a21b0d,send,0xc48f0a509f8d7ef050022a78df5fefa0fc3a2feb,BNB,-0.04335501083875271
02/02/2024,15:14:29,zeta,0x0bcf58824143f6769fbcd13613ae38e5477b77d443df13d6605b67205f857e47,https://zetachain.blockscout.com/tx/0x0bcf58824143f6769fbcd13613ae38e5477b77d443df13d6605b67205f857e47,send,0xc8c760645ba26803a7ce10f9c009596479fb4b22,ZETA,-0.01
02/02/2024,04:23:52,zeta,0x6ab02e21d30b344a51a4aff691c23ad45901c26cd489fae90697d939fa77c9c2,https://zetachain.blockscout.com/tx/0x6ab02e21d30b344a51a4aff691c23ad45901c26cd489fae90697d939fa77c9c2,send,0xc8c760645ba26803a7ce10f9c009596479fb4b22,ZETA,-0.1
29/04/2023,22:27:32,op,0xcc4fcf120f7768e5c83215367ceb144fdea5abea1af09f5fae813fd8ea034feb,https://optimistic.etherscan.io/tx/0xcc4fcf120f7768e5c83215367ceb144fdea5abea1af09f5fae813fd8ea034feb,receive,0xcb389764a2f5cba2b0a2da429715d422fb1ff598,TCKLE,1
01/02/2024,16:41:27,zeta,0x8bce2ee7556276d41e73a7a08f856634ce6312692ef1b3fe5522c09048c1ca29,https://zetachain.blockscout.com/tx/0x8bce2ee7556276d41e73a7a08f856634ce6312692ef1b3fe5522c09048c1ca29,receive,0xcced1052fd0923449bdf77a005919434ed5f2e7a,ZETA,0.2
02/01/2024,03:08:36,mnt,0x9b50312ffed29da1e9f2b49b04fe29c478862b7cd0b99278b04da4ac4bbcee7e,https://mantlescan.xyz/tx/0x9b50312ffed29da1e9f2b49b04fe29c478862b7cd0b99278b04da4ac4bbcee7e,send,0xcced1052fd0923449bdf77a005919434ed5f2e7a,MNT,-1
31/08/2023,18:50:38,era,0xdaa42321522073f78e4b942bb09935b52d7fb9bd479bd7a0fdab73cd98c45d22,https://era.zksync.network/tx/0xdaa42321522073f78e4b942bb09935b52d7fb9bd479bd7a0fdab73cd98c45d22,receive,0xcced1052fd0923449bdf77a005919434ed5f2e7a,ETH,0.000293299858042869
22/09/2023,01:14:33,bsc,0x70593cb4bdaf183df92538c226347f1c5705bd8e179fa0c20c5bc3998c9f34b2,https://bscscan.com/tx/0x70593cb4bdaf183df92538c226347f1c5705bd8e179fa0c20c5bc3998c9f34b2,receive,0xd52ee88acbaf936c2a755bf05c4a94821414afc5,BNB,0.00024
