Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
04/03/2023,16:42:20,op,0x616f4abdcf96351f3f8c40085e42906f813e0733a9f639a42df4c08779e3dec9,https://optimistic.etherscan.io/tx/0x616f4abdcf96351f3f8c40085e42906f813e0733a9f639a42df4c08779e3dec9,send,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,OP,-3.251
16/02/2023,18:30:06,op,0xab1e691efb8692c612d35be9cc67b993e9be6a11e8bd6bc14b594709ce87b1de,https://optimistic.etherscan.io/tx/0xab1e691efb8692c612d35be9cc67b993e9be6a11e8bd6bc14b594709ce87b1de,send,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,ETH,-0.005997
04/03/2023,05:39:34,arb,0x258df802b33187db19ca6e51b6770306113cc836eb84528f2401217ea11f2f69,https://arbiscan.io/tx/0x258df802b33187db19ca6e51b6770306113cc836eb84528f2401217ea11f2f69,receive,0x19c2241587fc070d911017a6ae23a73eca2036b7,ETH,0.000625704809202731
04/03/2023,05:35:10,arb,0xc212b22b2c9a7ec301ea80338c73abb12b6ebf4fff35eff518e268bebf7018d9,https://arbiscan.io/tx/0xc212b22b2c9a7ec301ea80338c73abb12b6ebf4fff35eff518e268bebf7018d9,receive,0x21c1ca88fda24e02c5705c4e51a38e94add36b26,ETH,0.000911436346804236
22/03/2023,20:14:56,bsc,0xbe2385ce29984ba497867dd77cc94d452f39b87a83cccf6ee7e3ad13b8020091,https://bscscan.com/tx/0xbe2385ce29984ba497867dd77cc94d452f39b87a83cccf6ee7e3ad13b8020091,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-42.05000000000001
04/03/2023,05:37:38,arb,0x224440d396c9b46f55c3804f6f0528bb5b3b88ce2dec6e89a2ad119cb7c751ff,https://arbiscan.io/tx/0x224440d396c9b46f55c3804f6f0528bb5b3b88ce2dec6e89a2ad119cb7c751ff,receive,0x44d3e9efc8a771c3073e79225cddaa3e495a7720,ETH,0.00103704908038344
03/03/2023,22:58:43,arb,0x7dcd9117dd43b229851b975de8e34c5adbc50df47e578004c739782d21e1274b,https://arbiscan.io/tx/0x7dcd9117dd43b229851b975de8e34c5adbc50df47e578004c739782d21e1274b,send,0x44d3e9efc8a771c3073e79225cddaa3e495a7720,ETH,-0.001
04/03/2023,05:36:36,arb,0x1f00cc564051b322a49040b4b64940fdf9d21a59ec7c1c750835ec619d86fc2a,https://arbiscan.io/tx/0x1f00cc564051b322a49040b4b64940fdf9d21a59ec7c1c750835ec619d86fc2a,receive,0x4fd0f7f90f01edcfd083420bf45acc3b62a28756,ETH,0.00196622759346761
03/03/2023,23:00:02,arb,0x78443fd3aa6b83a98432b15ce65cf044905f91c8e581194418408be58e9ed9d0,https://arbiscan.io/tx/0x78443fd3aa6b83a98432b15ce65cf044905f91c8e581194418408be58e9ed9d0,send,0x4fd0f7f90f01edcfd083420bf45acc3b62a28756,ETH,-0.001
23/03/2023,22:28:32,arb,0x29f4e802d7bab3a3c845638a581b0edc16c28a635a4a10458cb8a015474b7975,https://arbiscan.io/tx/0x29f4e802d7bab3a3c845638a581b0edc16c28a635a4a10458cb8a015474b7975,send,0x564910544054f69f28cacdd78734b57a5f7c2482,ARB,-875
04/01/2023,22:42:18,op,0xd94476de8e08e58810b93b512feeba235bbd164d77a8210c93f32a62343cbbb0,https://optimistic.etherscan.io/tx/0xd94476de8e08e58810b93b512feeba235bbd164d77a8210c93f32a62343cbbb0,send,0x564910544054f69f28cacdd78734b57a5f7c2482,USDC,-104.422055
04/03/2023,05:37:51,arb,0x0e76b9b7bb8d713fac968b42789a566e3a8339a829d44e96f35800e7050f1ffe,https://arbiscan.io/tx/0x0e76b9b7bb8d713fac968b42789a566e3a8339a829d44e96f35800e7050f1ffe,receive,0x57ea6db2f5521671571d4e25cc2310461f11bdf8,ETH,0.001126058895639642
03/03/2023,22:58:26,arb,0x7726c5e026488f9e05a8d925c6261465f7b1278ee622d80d6c360dcc28a2f93d,https://arbiscan.io/tx/0x7726c5e026488f9e05a8d925c6261465f7b1278ee622d80d6c360dcc28a2f93d,send,0x57ea6db2f5521671571d4e25cc2310461f11bdf8,ETH,-0.001
04/03/2023,05:38:15,arb,0x3995ca322191481e9859d824db4fc8b146a72492dc286be313d53f27d7d40011,https://arbiscan.io/tx/0x3995ca322191481e9859d824db4fc8b146a72492dc286be313d53f27d7d40011,receive,0x5a6fc437a00b3ce7daed55f3516beddc2fe45218,ETH,0.001548537261133515
03/03/2023,22:57:56,arb,0xfee42bb9a40a94285bfe96858160f8d683fd538988cc8d2fb776ea501bfdf5fd,https://arbiscan.io/tx/0xfee42bb9a40a94285bfe96858160f8d683fd538988cc8d2fb776ea501bfdf5fd,send,0x5a6fc437a00b3ce7daed55f3516beddc2fe45218,ETH,-0.001
04/03/2023,05:39:46,arb,0x9d325947428dd2f7d45f2011178c044d4490e1ad19572eaf632cfaff461c81cc,https://arbiscan.io/tx/0x9d325947428dd2f7d45f2011178c044d4490e1ad19572eaf632cfaff461c81cc,receive,0x6239bb1e4b0e8329aa803fe966e2ac9a85c68788,ETH,0.001052197120341312
04/03/2023,05:38:35,arb,0xf5f3a4274daa3e2d0dd0953571250f7fda31b43e0b8766ac9462b27daf5bd588,https://arbiscan.io/tx/0xf5f3a4274daa3e2d0dd0953571250f7fda31b43e0b8766ac9462b27daf5bd588,receive,0x628bd049c3131e0b57d8f26092c9172f9fde9b89,ETH,0.001433227580817078
03/03/2023,22:57:20,arb,0x20bf03c6d954cf6c6d995439bdaad6c5efe2cf6d8d7a4a38a5d3512923eef5a8,https://arbiscan.io/tx/0x20bf03c6d954cf6c6d995439bdaad6c5efe2cf6d8d7a4a38a5d3512923eef5a8,send,0x628bd049c3131e0b57d8f26092c9172f9fde9b89,ETH,-0.001
11/03/2023,00:27:07,arb,0x82158e244f38faa54d401aaffeea63cce71fc31bf67497f96696ef7a9313d188,https://arbiscan.io/tx/0x82158e244f38faa54d401aaffeea63cce71fc31bf67497f96696ef7a9313d188,receive,0x6eff9fb6c5d52098b953a904a4d805b0b96da884,ETH,0.002687828725952358
04/03/2023,05:39:57,arb,0x70108536785d453eafdaa1fc2b56d7212787915b6a3f6ed5a4800273681404fc,https://arbiscan.io/tx/0x70108536785d453eafdaa1fc2b56d7212787915b6a3f6ed5a4800273681404fc,receive,0x7f6ae8f21ba553f92e6fc8e55b10d4fc5eca3435,ETH,0.001813921459999603
04/03/2023,05:40:12,arb,0x0b5a442b4c07868161cd73ddccedf0590681cb4c485e42681884ad931d57f361,https://arbiscan.io/tx/0x0b5a442b4c07868161cd73ddccedf0590681cb4c485e42681884ad931d57f361,receive,0x81bb0fa525cb7e850c56efad45fd5163649319df,ETH,0.000786270273671692
04/03/2023,05:38:49,arb,0x422a007d3d51e6d142d58ce09e41c2ef5cd8f069eff659c9724cd3a62e9b7468,https://arbiscan.io/tx/0x422a007d3d51e6d142d58ce09e41c2ef5cd8f069eff659c9724cd3a62e9b7468,receive,0x9164ad0da971caa950531e202e870c7b99f834a3,ETH,0.00238350392795539
03/03/2023,22:56:59,arb,0xda3dd04c2566b4f5758c1d47d94d83108dbf42c1f9ba2603715d6f890a78b624,https://arbiscan.io/tx/0xda3dd04c2566b4f5758c1d47d94d83108dbf42c1f9ba2603715d6f890a78b624,send,0x9164ad0da971caa950531e202e870c7b99f834a3,ETH,-0.001
04/03/2023,05:40:33,arb,0x5c98e8b7864412a5e07ecf4599e182197803e1384d6cc3e49633a547590ad74a,https://arbiscan.io/tx/0x5c98e8b7864412a5e07ecf4599e182197803e1384d6cc3e49633a547590ad74a,receive,0x94d207cc3537b6bdb9674abdeb3894edd5787dea,ETH,0.000945702547736667
18/10/2022,21:03:02,op,0x6bd2933009222ac0c53b9973e9fc7d5895d456fa25abd2d4f99fc73005f62e45,https://optimistic.etherscan.io/tx/0x6bd2933009222ac0c53b9973e9fc7d5895d456fa25abd2d4f99fc73005f62e45,send,0x9b7c29e0addb5adf31931b1d7f9b150bcea03375,ETH,-0.07797339810619094
03/03/2023,22:50:53,arb,0x5f62d8f180859402e98fe010d33bc9b8d177c9664967e1c759ff2978bf8e7550,https://arbiscan.io/tx/0x5f62d8f180859402e98fe010d33bc9b8d177c9664967e1c759ff2978bf8e7550,receive,0x9dec6d49df02d1e965384e1502760a1a8d9d490d,ETH,0.06290140614128067
02/12/2022,07:51:27,op,0xbe9db96f251c21b04478201c4cc7eb1fc498ff09066a3b7d57a97a46de810022,https://optimistic.etherscan.io/tx/0xbe9db96f251c21b04478201c4cc7eb1fc498ff09066a3b7d57a97a46de810022,send,0x9dec6d49df02d1e965384e1502760a1a8d9d490d,USDC,-51.987584
27/11/2022,19:58:53,op,0x6f11610534368c1b08be61f2f6898949b1e7933317d1bcba014a176de3c7def6,https://optimistic.etherscan.io/tx/0x6f11610534368c1b08be61f2f6898949b1e7933317d1bcba014a176de3c7def6,send,0x9dec6d49df02d1e965384e1502760a1a8d9d490d,ETH,-0.02
08/11/2022,17:40:59,arb,0x6d65f639c4b550c8cad20f6493f7e5807c38b6979f24457f4f151ca7235821d0,https://arbiscan.io/tx/0x6d65f639c4b550c8cad20f6493f7e5807c38b6979f24457f4f151ca7235821d0,send,0x9dec6d49df02d1e965384e1502760a1a8d9d490d,ETH,-0.08754056711346339
16/09/2022,04:16:59,eth,0x5cbe79347951f5a1b9ede53a13813093d9bea8a98a848c9354f02dcc2628b259,https://etherscan.io/tx/0x5cbe79347951f5a1b9ede53a13813093d9bea8a98a848c9354f02dcc2628b259,send,0x9dec6d49df02d1e965384e1502760a1a8d9d490d,USDC,-10
04/03/2023,05:35:58,arb,0x11e491f6f26b377d351075f41b20d46c6645ee58c72a28f9060eeeca9a3fada7,https://arbiscan.io/tx/0x11e491f6f26b377d351075f41b20d46c6645ee58c72a28f9060eeeca9a3fada7,receive,0xa96ebd7eb17d7dfaa7fe502ab45601ebf9b85c47,ETH,0.001471827418308961
03/03/2023,23:00:48,arb,0x04a2114f21b2f574f0360b5b6166f01efc6438117fa551a35d7a1d26ca19fbdf,https://arbiscan.io/tx/0x04a2114f21b2f574f0360b5b6166f01efc6438117fa551a35d7a1d26ca19fbdf,send,0xa96ebd7eb17d7dfaa7fe502ab45601ebf9b85c47,ETH,-0.001
04/03/2023,05:37:25,arb,0x3812d742e237604200548fe60033e681ad72f6db8e500d75b3570193583d38ce,https://arbiscan.io/tx/0x3812d742e237604200548fe60033e681ad72f6db8e500d75b3570193583d38ce,receive,0xaba8d19b1c17230136406848d2e42ba2ed2ddc74,ETH,0.001926788678449692
03/03/2023,22:59:05,arb,0x04ba9e9813b61dda2b75109673ba7c178c479083c01aaec9f7c4c376bd0616b8,https://arbiscan.io/tx/0x04ba9e9813b61dda2b75109673ba7c178c479083c01aaec9f7c4c376bd0616b8,send,0xaba8d19b1c17230136406848d2e42ba2ed2ddc74,ETH,-0.001
04/03/2023,05:38:25,arb,0x3db5281ea97f491c3d328b66bc5c61546acc89c37b8eb6146735de258b44b359,https://arbiscan.io/tx/0x3db5281ea97f491c3d328b66bc5c61546acc89c37b8eb6146735de258b44b359,receive,0xf0106aee12d96fdd3b6ae047cebe7ed476300e63,ETH,0.001455842476428613
03/03/2023,22:57:36,arb,0x2d952088e2443513a7b0372b602dc9885cf2f2d434db6735496865fee27030c4,https://arbiscan.io/tx/0x2d952088e2443513a7b0372b602dc9885cf2f2d434db6735496865fee27030c4,send,0xf0106aee12d96fdd3b6ae047cebe7ed476300e63,ETH,-0.001
