Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
17/06/2023,18:53:25,arb,0x3717a47aa2e9d3a67c6893a23a559a172d725669c3c964d854eb45f6a2cb04e5,https://arbiscan.io/tx/0x3717a47aa2e9d3a67c6893a23a559a172d725669c3c964d854eb45f6a2cb04e5,send,0x1655fb3ccda574824773998f917da6f5f0386aae,USDC,-2100
25/04/2023,23:30:47,eth,0x1816bc614bd8df03f5e505c8828a81959bbcf8c9de86dc19244636fa00b6f31e,https://etherscan.io/tx/0x1816bc614bd8df03f5e505c8828a81959bbcf8c9de86dc19244636fa00b6f31e,send,0x1655fb3ccda574824773998f917da6f5f0386aae,USDC,-1575
07/04/2023,21:49:11,eth,0x839a461d229dd05ca1fd62fc78d5d334ac908cf6b2de4211343e64eea124abb0,https://etherscan.io/tx/0x839a461d229dd05ca1fd62fc78d5d334ac908cf6b2de4211343e64eea124abb0,receive,0x179cb2a263a4878c73a88f0d090fce33dba1f2fd,USDT,1134.29
05/04/2023,19:37:59,eth,0x9809397c0a3d26ecdf63c4b08e6d774a2c2fb71d50e59416b08e13fb6a4bba72,https://etherscan.io/tx/0x9809397c0a3d26ecdf63c4b08e6d774a2c2fb71d50e59416b08e13fb6a4bba72,send,0x179cb2a263a4878c73a88f0d090fce33dba1f2fd,USDT,-1000
11/04/2023,04:11:59,eth,0x3c67ac3d5a32599b86e9453c74687ee38d07583e97486ae35d1a361df5a8ce01,https://etherscan.io/tx/0x3c67ac3d5a32599b86e9453c74687ee38d07583e97486ae35d1a361df5a8ce01,receive,0x2a3e6e2e6dfc0e6a958cd0027030def31b7c1656,USDT,9996.19
10/04/2023,17:01:11,eth,0x43bad48f7623270e517a631ad9114ede152da4c0682f6bad876ff9cdfa8641b2,https://etherscan.io/tx/0x43bad48f7623270e517a631ad9114ede152da4c0682f6bad876ff9cdfa8641b2,receive,0x2a3e6e2e6dfc0e6a958cd0027030def31b7c1656,USDT,209.08
07/04/2023,21:50:47,eth,0x05b815654fe4623315106f8856fd854c445e1eaa59a3f0e09304802915f0bcdc,https://etherscan.io/tx/0x05b815654fe4623315106f8856fd854c445e1eaa59a3f0e09304802915f0bcdc,receive,0x3925010977f345a848076b36447a9a89af9caf97,USDT,1644.9
04/04/2023,16:54:22,arb,0xd28506a964b8f9da12efea7bf616c878e1a36a0dbe3ff9b909b213ecde93a0ea,https://arbiscan.io/tx/0xd28506a964b8f9da12efea7bf616c878e1a36a0dbe3ff9b909b213ecde93a0ea,receive,0x3925010977f345a848076b36447a9a89af9caf97,ETH,0.88
01/04/2023,00:59:08,arb,0x0c0a32aa2f9c0be65bd1e978b276ef6316c50b4a563d5f1d84671ad10404c84f,https://arbiscan.io/tx/0x0c0a32aa2f9c0be65bd1e978b276ef6316c50b4a563d5f1d84671ad10404c84f,send,0x3925010977f345a848076b36447a9a89af9caf97,USDC,-1500
30/03/2023,06:11:00,arb,0xbcce12ed44da1d9ce9f241161e1b098ffa3261b2fba10a85f825e257daa7ac86,https://arbiscan.io/tx/0xbcce12ed44da1d9ce9f241161e1b098ffa3261b2fba10a85f825e257daa7ac86,receive,0x3925010977f345a848076b36447a9a89af9caf97,ETH,1
30/03/2023,05:36:28,arb,0x1d44f841f57d51752125695ff9fc32e913a50ba9309be9aa401490e27564b395,https://arbiscan.io/tx/0x1d44f841f57d51752125695ff9fc32e913a50ba9309be9aa401490e27564b395,send,0x3925010977f345a848076b36447a9a89af9caf97,ETH,-1
16/04/2024,00:52:25,ftm,0x5d73d997b3bf5b1071765436950b932550c2bae5cadd22dcee209cc4580d8528,https://ftmscan.com/tx/0x5d73d997b3bf5b1071765436950b932550c2bae5cadd22dcee209cc4580d8528,receive,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,sGOAT,4465.391704895995
09/04/2024,06:05:59,eth,0xe3942c7941faeb13e4d7bfe66c11778038551fa6566e186a9f64ce9026ea5278,https://etherscan.io/tx/0xe3942c7941faeb13e4d7bfe66c11778038551fa6566e186a9f64ce9026ea5278,send,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,USDC,-83387.031665
05/04/2024,18:52:11,eth,0xe52ac54940522569cb5feb65b88ead6481efb19935a6f561b84d025a87ed0c08,https://etherscan.io/tx/0xe52ac54940522569cb5feb65b88ead6481efb19935a6f561b84d025a87ed0c08,send,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,ETH,-0.3
04/04/2024,19:28:59,eth,0xbbaad9642b0d3e6ed15ea179e6e6b0719e4b611d5481e372015a0e08ea688104,https://etherscan.io/tx/0xbbaad9642b0d3e6ed15ea179e6e6b0719e4b611d5481e372015a0e08ea688104,send,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,ETH,-0.15
02/04/2024,23:38:11,eth,0x78675ba587bafe581a754476846860f1348e1d9eadc64de5658025b6b472017a,https://etherscan.io/tx/0x78675ba587bafe581a754476846860f1348e1d9eadc64de5658025b6b472017a,receive,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,USDC,30739.769559
02/04/2024,23:36:47,eth,0x6c17979a4405effb3340f7ccf5cdf5c39bf0645ee7b9385ac4eb597533f6839e,https://etherscan.io/tx/0x6c17979a4405effb3340f7ccf5cdf5c39bf0645ee7b9385ac4eb597533f6839e,send,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,ETH,-0.1
30/03/2024,01:52:59,eth,0x657288a8bf9d68199e1b91675751b2468ccd3cb8e6cdca4c5cf0cd0550a53f26,https://etherscan.io/tx/0x657288a8bf9d68199e1b91675751b2468ccd3cb8e6cdca4c5cf0cd0550a53f26,send,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,USDC,-4250
12/03/2024,20:04:12,matic,0xb499a3f48a0e943490d7c036975104af43860fd7d030112d12baebf2db4fb539,https://polygonscan.com/tx/0xb499a3f48a0e943490d7c036975104af43860fd7d030112d12baebf2db4fb539,receive,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,USDC,10705.500154
