Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
19/12/2022,13:39:10,op,0xf9294606a498f5455ba255a7e8432d1b82c264b32c36422f99ff97e7a6b3894f,https://optimistic.etherscan.io/tx/0xf9294606a498f5455ba255a7e8432d1b82c264b32c36422f99ff97e7a6b3894f,receive,0x011a57dfa7d8b655ea616a115180e0b2bcdb1c45,USDC,101.7218
10/12/2022,11:50:50,op,0xadd47efdae52ab57259966a051bfaa466e6df08180d2e937ffdc8c2ab297e495,https://optimistic.etherscan.io/tx/0xadd47efdae52ab57259966a051bfaa466e6df08180d2e937ffdc8c2ab297e495,receive,0x011a57dfa7d8b655ea616a115180e0b2bcdb1c45,USDC,54
23/03/2023,22:22:19,arb,0x6b9cbab3679878ff9717be0576edae80d69addf25aa5067843fc5e6950fccdc7,https://arbiscan.io/tx/0x6b9cbab3679878ff9717be0576edae80d69addf25aa5067843fc5e6950fccdc7,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-875
19/12/2022,14:01:40,op,0x5ca6a6c9e59fe9104a5574959a0c2fe6a00ae12bedcd81925c3d48efd39aa78f,https://optimistic.etherscan.io/tx/0x5ca6a6c9e59fe9104a5574959a0c2fe6a00ae12bedcd81925c3d48efd39aa78f,receive,0x0546de24d4bd912e9eeea08ac3add808fe5faba7,USDC,101.82094
10/12/2022,12:03:05,op,0x752d48e7ae5b0eb74901c8c616102bd60cd08337c38aa5d4d32f6a31806be832,https://optimistic.etherscan.io/tx/0x752d48e7ae5b0eb74901c8c616102bd60cd08337c38aa5d4d32f6a31806be832,receive,0x0546de24d4bd912e9eeea08ac3add808fe5faba7,USDC,54
15/09/2022,00:00:26,arb,0x3f913223d540ecb6290154c2c991dbaba143b3e6f388f922186b34e6c88fcbb5,https://arbiscan.io/tx/0x3f913223d540ecb6290154c2c991dbaba143b3e6f388f922186b34e6c88fcbb5,receive,0x0582ca62c4b807f3788142dab35c15e7199e3b6d,ETH,0.04290038760875107
14/09/2022,23:52:25,arb,0xc0398dc1c99e2fac60ab69d9fe5d50c1f572a99bab79921e9fc24b0707727148,https://arbiscan.io/tx/0xc0398dc1c99e2fac60ab69d9fe5d50c1f572a99bab79921e9fc24b0707727148,receive,0x05d0d7b7d2d9b27743b1f995a337b7936853350e,ETH,0.04716800040816796
01/01/2024,22:23:58,zkfair,0xa4d89dccef0d4e900954c0ff220efe4aa904155d31a66e7f6c683b2c20c1dc2c,https://scan.zkfair.io/tx/0xa4d89dccef0d4e900954c0ff220efe4aa904155d31a66e7f6c683b2c20c1dc2c,receive,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,USDC,0.8600245408471096
07/12/2023,16:15:07,linea,0x9814ebff4e6b24589ea3aa80b19fe323b0f1ffd8497e5b7fe756eab5b55d3ee0,https://lineascan.build/tx/0x9814ebff4e6b24589ea3aa80b19fe323b0f1ffd8497e5b7fe756eab5b55d3ee0,receive,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,ETH,0.0005
09/11/2023,20:15:21,pze,0x0878f88df3d1b95ce7890c114a53ec04bd1bbfc42eb299815010c3846f2a83f6,https://zkevm.polygonscan.com/tx/0x0878f88df3d1b95ce7890c114a53ec04bd1bbfc42eb299815010c3846f2a83f6,send,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,ETH,-0.004347257575344976
