Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
07/12/2022,02:14:47,eth,0xa8cf24843d5fedae23a05aa903f986efd9c3eb93a909a8bbac032cb1dd52de2d,https://etherscan.io/tx/0xa8cf24843d5fedae23a05aa903f986efd9c3eb93a909a8bbac032cb1dd52de2d,receive,0x07cab0b18dc4e5e50c713a7e4d4e54c14468251c,ETH,0.349424192853344
07/12/2022,01:58:35,eth,0xce28b43972a14fd4236a9622ea37ce61cc82f2721e15636ce45509979b261d89,https://etherscan.io/tx/0xce28b43972a14fd4236a9622ea37ce61cc82f2721e15636ce45509979b261d89,send,0x07cab0b18dc4e5e50c713a7e4d4e54c14468251c,ETH,-0.35
27/04/2022,10:59:02,eth,0x5b522590d67662aeca54a945d19ef24f5e762fdcbc85ce912f385c4de05a939e,https://etherscan.io/tx/0x5b522590d67662aeca54a945d19ef24f5e762fdcbc85ce912f385c4de05a939e,receive,0x08fead70d948ff0b7f65a8c4d3422425ea27736d,ETH,0.284152901929897
06/07/2022,09:46:54,bsc,0x28139c869c69af507ebbd9c89c2df067babcf3a100d90c4c757ed84f09e80e96,https://bscscan.com/tx/0x28139c869c69af507ebbd9c89c2df067babcf3a100d90c4c757ed84f09e80e96,send,0x0d3c2e5cc5caa7a9f7eb6c8f314093daf46e0136,BUSD,-5
17/07/2022,19:32:25,bsc,0x4177d2ba33ddbfb7f4a7472978877ff2b5c059a56683bc277d2dcf8f1eeae062,https://bscscan.com/tx/0x4177d2ba33ddbfb7f4a7472978877ff2b5c059a56683bc277d2dcf8f1eeae062,send,0x0f632180e0a1859148bbe0a6ee817305d094a4b5,USDT,-5
26/04/2022,05:49:12,bsc,0x36f9e52abd96b2bbf2a605bf393f3ef537350509753e6db8242468d8294c438e,https://bscscan.com/tx/0x36f9e52abd96b2bbf2a605bf393f3ef537350509753e6db8242468d8294c438e,send,0x0f632180e0a1859148bbe0a6ee817305d094a4b5,USDT,-25
02/01/2022,19:02:41,bsc,0xd98995a3175dd98694b33463a0edd50734961219a61c731e7d6fea07c19a0e38,https://bscscan.com/tx/0xd98995a3175dd98694b33463a0edd50734961219a61c731e7d6fea07c19a0e38,receive,0x0f632180e0a1859148bbe0a6ee817305d094a4b5,BNB,0.002
16/12/2021,02:45:17,bsc,0x06118a1bacc9207b503ee60d369e842860e0f6f0abb9b2e27f7f6ab4b25d2718,https://bscscan.com/tx/0x06118a1bacc9207b503ee60d369e842860e0f6f0abb9b2e27f7f6ab4b25d2718,send,0x0f632180e0a1859148bbe0a6ee817305d094a4b5,BNB,-0.011895
14/12/2021,22:24:38,bsc,0xbe441201cecdfb63ea6584c6e482ffa67261dbb2a0179d2293ffa26e666b7445,https://bscscan.com/tx/0xbe441201cecdfb63ea6584c6e482ffa67261dbb2a0179d2293ffa26e666b7445,receive,0x0f632180e0a1859148bbe0a6ee817305d094a4b5,BNB,0.012
18/11/2021,03:49:07,bsc,0x8c3ebb69aa791b5a8c2d8e95b2277b2954394c58df4c69d811a786b17953eb07,https://bscscan.com/tx/0x8c3ebb69aa791b5a8c2d8e95b2277b2954394c58df4c69d811a786b17953eb07,send,0x0f632180e0a1859148bbe0a6ee817305d094a4b5,BNB,-0.01344314536905
18/11/2021,03:36:12,bsc,0xd70922a9e77ead7a3162f7363711b6d6eb3d758acf3f54c4cb76c544789f942d,https://bscscan.com/tx/0xd70922a9e77ead7a3162f7363711b6d6eb3d758acf3f54c4cb76c544789f942d,receive,0x0f632180e0a1859148bbe0a6ee817305d094a4b5,BNB,0.01432557536905
15/11/2021,03:11:33,bsc,0x35393ac2af4f2c6eff94eeb02c0a28b5443f34822c7071b3b651172cf14be0db,https://bscscan.com/tx/0x35393ac2af4f2c6eff94eeb02c0a28b5443f34822c7071b3b651172cf14be0db,send,0x0f632180e0a1859148bbe0a6ee817305d094a4b5,BNB,-0.008
