Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
28/11/2021,01:55:10,matic,0x1ac4da5529276a4977bd818c45936160c2630e296cf28b392b4ebd201850b128,https://polygonscan.com/tx/0x1ac4da5529276a4977bd818c45936160c2630e296cf28b392b4ebd201850b128,receive,0x2214541b2bbce7b3e2d7b6a48bcdbda914e09105,USDC,200
03/02/2023,09:29:11,eth,0x97e2f5401c9bd01b89423554ccab3c4b7f1b7ff84419ae59e39d9c93ceef68f9,https://etherscan.io/tx/0x97e2f5401c9bd01b89423554ccab3c4b7f1b7ff84419ae59e39d9c93ceef68f9,send,0x36d56bafb2f0c7383c641faa4854f281dfcf8352,ETH,-0.002392260382533688
08/12/2022,11:09:20,bsc,0xef52bd8f035e93b3870e7eaeef502787ccc4f7fccf1b5d0c87d800e0332360e1,https://bscscan.com/tx/0xef52bd8f035e93b3870e7eaeef502787ccc4f7fccf1b5d0c87d800e0332360e1,send,0x4c5f793083b2c9e8c50e942712f0a1afe13d59de,BNB,-0.01
16/03/2023,07:00:16,arb,0x18717856f6289fe3bdc57e043214e69d1fd439771b2e450ef1ad9e5171ca2342,https://arbiscan.io/tx/0x18717856f6289fe3bdc57e043214e69d1fd439771b2e450ef1ad9e5171ca2342,send,0x5effe252b6af9f9a57fc2ddac5dc632c64e68393,ETH,-0.007
04/03/2023,22:56:24,bsc,0xf98e09c21203546cd51325e3acda3a0971cec05c0ee80d43738b75052d0a4ba4,https://bscscan.com/tx/0xf98e09c21203546cd51325e3acda3a0971cec05c0ee80d43738b75052d0a4ba4,send,0x5effe252b6af9f9a57fc2ddac5dc632c64e68393,BNB,-0.001
30/10/2022,19:11:04,bsc,0x9ce257c04eede4280501184afd18ba6428d7cc1480ad38e702a4a276040ae6b0,https://bscscan.com/tx/0x9ce257c04eede4280501184afd18ba6428d7cc1480ad38e702a4a276040ae6b0,send,0x5effe252b6af9f9a57fc2ddac5dc632c64e68393,BNB,-0.003921546889294477
30/10/2022,19:08:04,bsc,0x27394e47f795bc357e27a439ce53b0543cac610659038d9bfa22f239ec262add,https://bscscan.com/tx/0x27394e47f795bc357e27a439ce53b0543cac610659038d9bfa22f239ec262add,receive,0x5effe252b6af9f9a57fc2ddac5dc632c64e68393,BNB,0.004433841889294477
01/09/2022,05:41:38,matic,0x3c2d91bab3677e54ea99dbfd4aff4cc52417e4e157be89412dc0f6b1dea0ac70,https://polygonscan.com/tx/0x3c2d91bab3677e54ea99dbfd4aff4cc52417e4e157be89412dc0f6b1dea0ac70,send,0x5effe252b6af9f9a57fc2ddac5dc632c64e68393,DAI,-0.1
16/11/2021,19:29:11,bsc,0x81d7459c7ec65c5e752de5bbc76b8099627691c0b3626cda47bffc3f178b6e68,https://bscscan.com/tx/0x81d7459c7ec65c5e752de5bbc76b8099627691c0b3626cda47bffc3f178b6e68,send,0x5effe252b6af9f9a57fc2ddac5dc632c64e68393,BNB,-1.1
18/04/2023,23:53:38,matic,0x3ff91ec18db834845526d8214b9db6be9e7ebf6c7432fff15dcddf6b1b6666c7,https://polygonscan.com/tx/0x3ff91ec18db834845526d8214b9db6be9e7ebf6c7432fff15dcddf6b1b6666c7,receive,0x5f399aaf88796f51207aaae3f4c4ec9546c95517,MATIC,0.3
