Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
02/11/2023,21:14:43,arb,0x662fb7c9215689ce2fc3f4e53e4d9eed04ec9a4509cc5849c8569700e2a39d70,https://arbiscan.io/tx/0x662fb7c9215689ce2fc3f4e53e4d9eed04ec9a4509cc5849c8569700e2a39d70,receive,0x003d89eaf0c1390a59e5266a74f6b2257dd7b948,USDT,150
28/02/2024,14:28:19,bsc,0x287e9e56479d4c62a43182d14d73568847955dd81ff5bfbe0703885ce74b4234,https://bscscan.com/tx/0x287e9e56479d4c62a43182d14d73568847955dd81ff5bfbe0703885ce74b4234,receive,0x01c78e7d4c424b8a8a9f6599f66c6b852b134ee9,USDT,50.041
06/04/2023,17:45:10,bsc,0x56028510948f9743410e7926b853b1e7ecaaf63f4241d4716d15e046dd26725e,https://bscscan.com/tx/0x56028510948f9743410e7926b853b1e7ecaaf63f4241d4716d15e046dd26725e,receive,0x01f71f2a59d19030bf79961e3e57c82922feecca,USDT,16
12/10/2022,00:29:48,bsc,0x25a9f3f078fc492e47a1c321d77c6bdee6e91d5c62cee6fa899171db39a2779f,https://bscscan.com/tx/0x25a9f3f078fc492e47a1c321d77c6bdee6e91d5c62cee6fa899171db39a2779f,send,0x01f71f2a59d19030bf79961e3e57c82922feecca,USDT,-195
31/07/2023,20:24:59,op,0xe936fc3996db11f45feee756c3665d2a07da450f601190103dc5ff0a8baad877,https://optimistic.etherscan.io/tx/0xe936fc3996db11f45feee756c3665d2a07da450f601190103dc5ff0a8baad877,receive,0x04917386ef5c4b6aa02151cd348f817f19868a14,USDT,50
28/08/2023,02:39:09,bsc,0x2a2b530876164654ea0f171436474fa8ca6e263529bac5845fa78fccf6c6cea3,https://bscscan.com/tx/0x2a2b530876164654ea0f171436474fa8ca6e263529bac5845fa78fccf6c6cea3,receive,0x07d282321ac0b07ef181f9c4245c96583d1a6549,BUSD,77
07/05/2023,15:02:06,op,0x8688832085ae83caa7431e3d4f4f472dd28f0985e26c2a22c0691c6db50be652,https://optimistic.etherscan.io/tx/0x8688832085ae83caa7431e3d4f4f472dd28f0985e26c2a22c0691c6db50be652,send,0x0cb584c5cda6c048a4eb76bd114d6b8a128b0dde,ETH,-0.054
24/02/2023,00:32:20,arb,0x7bc8a0a67f2bab689dcead774862b9670860ca6234ab625b99ba3ba4dfd01805,https://arbiscan.io/tx/0x7bc8a0a67f2bab689dcead774862b9670860ca6234ab625b99ba3ba4dfd01805,receive,0x0cb584c5cda6c048a4eb76bd114d6b8a128b0dde,USDC,35
31/03/2023,19:01:23,bsc,0xcd01f140af95344876234bd8fbcae24d5295a546b85bb6ff8a3708ac0e1dd228,https://bscscan.com/tx/0xcd01f140af95344876234bd8fbcae24d5295a546b85bb6ff8a3708ac0e1dd228,receive,0x1132152d34a1bb0544be16048ac7e939bad15b11,USDT,50
23/02/2023,21:06:30,bsc,0xd8ea1c536332f5f90bfcc7535b1c0d41d6c921677c169477b795036db7b52fd8,https://bscscan.com/tx/0xd8ea1c536332f5f90bfcc7535b1c0d41d6c921677c169477b795036db7b52fd8,receive,0x1132152d34a1bb0544be16048ac7e939bad15b11,USDT,35
12/02/2023,22:07:00,bsc,0xe2e35e9a260002e2664128ef4f1421e4d0dedb55417b7f7e5f889909250ac43d,https://bscscan.com/tx/0xe2e35e9a260002e2664128ef4f1421e4d0dedb55417b7f7e5f889909250ac43d,receive,0x1132152d34a1bb0544be16048ac7e939bad15b11,BUSD,13
18/04/2023,02:26:59,arb,0x90fce300b323f55939dbad47b0eee350d98f74dedc04e53206ffe1c95b867896,https://arbiscan.io/tx/0x90fce300b323f55939dbad47b0eee350d98f74dedc04e53206ffe1c95b867896,receive,0x141132699b1e4df0afcba1e60450138a47756e9c,ETH,0.0195
15/11/2022,03:40:02,bsc,0xc0ea6b0925af08b5fb039f0a898629c1540ef57f9bbb90ba05c6d2f958a81676,https://bscscan.com/tx/0xc0ea6b0925af08b5fb039f0a898629c1540ef57f9bbb90ba05c6d2f958a81676,receive,0x167aa452184e770aa27ac2a1711c53578064c102,BUSD,4
30/09/2023,06:38:01,bsc,0x875448b2bc0c4bbe72f19844deed9e64b0afcc06a0803ef3c8e1cfbd0a403ab1,https://bscscan.com/tx/0x875448b2bc0c4bbe72f19844deed9e64b0afcc06a0803ef3c8e1cfbd0a403ab1,receive,0x16aea9952f9d308b1a1def3684b0f18111a0aabf,USDT,67.726217
20/06/2023,01:06:34,arb,0x26ac6fd18a796c0d2627a61908c4a641177e3cc42c2dd90c7fb47515385cbe1c,https://arbiscan.io/tx/0x26ac6fd18a796c0d2627a61908c4a641177e3cc42c2dd90c7fb47515385cbe1c,receive,0x1826c4666f3546ee2d1473eed4de15105bb8a942,USDT,300
27/04/2023,14:42:39,bsc,0x33fcecac0685680eaa8789a2698d5ed6af4befde0be11f603a418c578b7f34da,https://bscscan.com/tx/0x33fcecac0685680eaa8789a2698d5ed6af4befde0be11f603a418c578b7f34da,receive,0x18d74df1d89acde85cc66f588cfc180cbdb35ccd,USDT,50
