Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/12/2023,18:24:21,linea,0xc252b12469528b2958751b70e61406c019dafd80df064819d30b53ea2bfefecf,https://lineascan.build/tx/0xc252b12469528b2958751b70e61406c019dafd80df064819d30b53ea2bfefecf,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x2e8ce1d6b5de54d7e2d5d68b4f7546ecfbfa027f3d79a0fe44706f3b043fd19b,https://lineascan.build/tx/0x2e8ce1d6b5de54d7e2d5d68b4f7546ecfbfa027f3d79a0fe44706f3b043fd19b,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:52,nova,0xd0ec019fc4b8a65cfbd7ea7d7e085e7fe277e114f107fe8d3fedea97f18f6e15,https://nova.arbiscan.io/tx/0xd0ec019fc4b8a65cfbd7ea7d7e085e7fe277e114f107fe8d3fedea97f18f6e15,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003973046357224369
09/12/2023,13:00:49,linea,0x1c0687d520f71602df830b067121095e312c024adffb1fa5fbcad3295ea51a53,https://lineascan.build/tx/0x1c0687d520f71602df830b067121095e312c024adffb1fa5fbcad3295ea51a53,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.011305125330479152
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0xe126a7042c69a763817a67ba72ccc1604ec26e7361825b9dc324fff738ef0722,https://polygonscan.com/tx/0xe126a7042c69a763817a67ba72ccc1604ec26e7361825b9dc324fff738ef0722,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
05/01/2023,02:18:55,op,0xc82e4f9b39af71ff879e57940f87e5a3ca7560bcfb3c80f6342d94b02c983f4e,https://optimistic.etherscan.io/tx/0xc82e4f9b39af71ff879e57940f87e5a3ca7560bcfb3c80f6342d94b02c983f4e,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.001
30/12/2022,07:00:11,eth,0x9481ce46e38a98e00eae9a411c48f80684ec5fbef201dbf6cc68263563a6f4cb,https://etherscan.io/tx/0x9481ce46e38a98e00eae9a411c48f80684ec5fbef201dbf6cc68263563a6f4cb,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.08
06/01/2023,18:30:49,matic,0xf35cf2a3005174dd597d5a0a8bfbb2ccb4366a9589d47aa3030d38fef9d9eaa3,https://polygonscan.com/tx/0xf35cf2a3005174dd597d5a0a8bfbb2ccb4366a9589d47aa3030d38fef9d9eaa3,receive,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,GALHOL,1
27/07/2023,02:58:35,dfk,0xdf3b7053e329923971944310fdd5b8ce34e7fbc188f9f2a8358ad79d42d349b6,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xdf3b7053e329923971944310fdd5b8ce34e7fbc188f9f2a8358ad79d42d349b6,send,0x13b1a41ec08c0e39cb7d094e63b5f07ac44ac071,JEWEL,-1
25/07/2023,22:55:56,dfk,0x944de85726ea59ffd91d6bfe97ab7ad6cb1851a3dac5f022bd9c7c1d164a1793,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x944de85726ea59ffd91d6bfe97ab7ad6cb1851a3dac5f022bd9c7c1d164a1793,send,0x13b1a41ec08c0e39cb7d094e63b5f07ac44ac071,DFKGOLD,-10
01/01/2023,23:21:22,bsc,0x797edd14b2ed6eb4ed5dc95484c316ed91e3051904aebc064fab7c0d2bb7fd70,https://bscscan.com/tx/0x797edd14b2ed6eb4ed5dc95484c316ed91e3051904aebc064fab7c0d2bb7fd70,send,0x188a0dce53e7eeb8306e9c3c1497f7bf3be5b078,BNB,-1.39979
18/12/2022,19:51:59,eth,0xd3a3468eaa915dc90857d2371297bb1309d20c66111fd0279153249186451c2d,https://etherscan.io/tx/0xd3a3468eaa915dc90857d2371297bb1309d20c66111fd0279153249186451c2d,receive,0x188a0dce53e7eeb8306e9c3c1497f7bf3be5b078,ETH,0.01021
18/12/2022,14:53:46,matic,0x890e82a4653d29deb3167d6b183c20dcf1fedf171317d9e9a4a8926b3d981015,https://polygonscan.com/tx/0x890e82a4653d29deb3167d6b183c20dcf1fedf171317d9e9a4a8926b3d981015,receive,0x188a0dce53e7eeb8306e9c3c1497f7bf3be5b078,MATIC,10.25839571
21/08/2023,03:44:53,celo,0x3230eeb683c88aa296a799b1a41a9d57def21dacaaddc9b1aa28df0b14bc0150,https://celoscan.io/tx/0x3230eeb683c88aa296a799b1a41a9d57def21dacaaddc9b1aa28df0b14bc0150,send,0x228a14eeafe17de01cb41015333c1ef60287e597,CELO,-0.15
