Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
27/12/2023,21:08:35,linea,0xd1dfd25b79fa5fd904158aa7744e438ef016a5ba8cfacaf2883022dfab3fb0f3,https://lineascan.build/tx/0xd1dfd25b79fa5fd904158aa7744e438ef016a5ba8cfacaf2883022dfab3fb0f3,receive,0x259fc459155ca4b0af8f38bb1a9431991e5c9793,ETH,0.051457086536729
16/05/2023,05:07:09,matic,0x2256af6cfef65c8667ac50776425aa5fad178d2da4e3addab8240c4a8f1e3c4d,https://polygonscan.com/tx/0x2256af6cfef65c8667ac50776425aa5fad178d2da4e3addab8240c4a8f1e3c4d,send,0x389e027f24b88e338d7db091ad488241773ca536,MATIC,-3.30981534
16/05/2023,05:06:11,matic,0x79adc9a3ab92525c7f08de4a0bd52a94f25fbc64d788c3c2c4b47f9c0a67a551,https://polygonscan.com/tx/0x79adc9a3ab92525c7f08de4a0bd52a94f25fbc64d788c3c2c4b47f9c0a67a551,send,0x389e027f24b88e338d7db091ad488241773ca536,MATIC,-3.34143963
04/06/2018,00:59:35,eth,0x81bc0667244a3d1102c73638d2b15e3da9a87dfbc1df4f3cd052e97441c21797,https://etherscan.io/tx/0x81bc0667244a3d1102c73638d2b15e3da9a87dfbc1df4f3cd052e97441c21797,send,0x424d93d324a161a7c2d9b42c682e9e4909bdef5a,KNDC,-115200
13/07/2023,14:29:35,eth,0x142121299c18d5940e706267c65f88d8e7cdfa23639a5c0574a6af9d1c1ff1db,https://etherscan.io/tx/0x142121299c18d5940e706267c65f88d8e7cdfa23639a5c0574a6af9d1c1ff1db,receive,0x708366c85737734d48d3701fedc5e91427de45a1,swETH,0.1475538398710013
13/07/2023,14:29:11,eth,0x428d79e5e677d5028f66577cbe0ad04f1111ec1628582d63267a5d1d7a94f2b6,https://etherscan.io/tx/0x428d79e5e677d5028f66577cbe0ad04f1111ec1628582d63267a5d1d7a94f2b6,receive,0x708366c85737734d48d3701fedc5e91427de45a1,stETH,0.22107080434392845
13/07/2023,18:11:23,eth,0x0842ff87956e3512b63ed7f2ca80304d04c23d0e5893fbae3792b01a4f963165,https://etherscan.io/tx/0x0842ff87956e3512b63ed7f2ca80304d04c23d0e5893fbae3792b01a4f963165,receive,0x811972642ad4dc0445aa76b74b755fb261c02138,swETH,0.1456123419779618
13/07/2023,18:10:59,eth,0xfce618911565eaea997c3e38ff8b425b73082c6a79fa860ba2fead28c585f5e4,https://etherscan.io/tx/0xfce618911565eaea997c3e38ff8b425b73082c6a79fa860ba2fead28c585f5e4,receive,0x811972642ad4dc0445aa76b74b755fb261c02138,stETH,0.22307144510722193
29/07/2018,22:33:53,eth,0x18593569390d2b47de283913780eeb04353fde3d7acecfa9afed81854c3a549d,https://etherscan.io/tx/0x18593569390d2b47de283913780eeb04353fde3d7acecfa9afed81854c3a549d,send,0x811972642ad4dc0445aa76b74b755fb261c02138,ETH,-0.001
17/12/2023,22:54:21,era,0xa9d997947a781ac64c243981674df6572040eed56a7f4a1f4e02f939e3c9e7de,https://era.zksync.network/tx/0xa9d997947a781ac64c243981674df6572040eed56a7f4a1f4e02f939e3c9e7de,send,0x89168286c8072878c42f7f79d626f0b5b61193ea,ETH,-0.005
13/07/2023,18:04:11,eth,0xdfe96753194c097b02092fdec673c13eb435ee6847396340cfe6cf5795c21a88,https://etherscan.io/tx/0xdfe96753194c097b02092fdec673c13eb435ee6847396340cfe6cf5795c21a88,receive,0x94b39c54e5ecb75100c0b4ca924fa006a84822dd,stETH,0.2300736877787491
13/07/2023,18:03:35,eth,0x83acb0c8c68cedef25c2f059f725a31a7c8f5ff3ad2594deb06ec7ebdb5a4e5a,https://etherscan.io/tx/0x83acb0c8c68cedef25c2f059f725a31a7c8f5ff3ad2594deb06ec7ebdb5a4e5a,receive,0x94b39c54e5ecb75100c0b4ca924fa006a84822dd,swETH,0.15046608671056053
09/02/2024,06:10:09,base,0x477a4b7462719abe71cfe7e13cc0d82e3e8dcf73112c85edaf37c9bac76c51c4,https://www.basescan.org/tx/0x477a4b7462719abe71cfe7e13cc0d82e3e8dcf73112c85edaf37c9bac76c51c4,send,0x9a593a0e3372e16b19521c176889472919c3c78c,ETH,-0.001
04/01/2024,00:33:26,zkfair,0x74d57eeba20152e1364606bde2971cba01995db553cc197855b9376e34907b5b,https://scan.zkfair.io/tx/0x74d57eeba20152e1364606bde2971cba01995db553cc197855b9376e34907b5b,send,0x9a593a0e3372e16b19521c176889472919c3c78c,USDC,-2.2
27/12/2023,20:06:15,arb,0x4b411357216ba88cf640e76eca82ef73770c3f02ef50fee17373166450788ea1,https://arbiscan.io/tx/0x4b411357216ba88cf640e76eca82ef73770c3f02ef50fee17373166450788ea1,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,SIDOCT,1
10/12/2023,08:26:23,eth,0x146cddcda2582b596be48ebd93bffd598737237fe2029cc235d8780daa7b356b,https://etherscan.io/tx/0x146cddcda2582b596be48ebd93bffd598737237fe2029cc235d8780daa7b356b,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,ETH,0.03
12/06/2023,21:33:47,matic,0xf360b44dfa5e576c2d34629492e68d68046889d3a6d9bac0f56a22a515f201e0,https://polygonscan.com/tx/0xf360b44dfa5e576c2d34629492e68d68046889d3a6d9bac0f56a22a515f201e0,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,MATIC,0.001
18/05/2023,14:11:11,eth,0x0771c7ce60a67c9d6404044670916d19887ba236cdf53e566dfc1d8cf68f260d,https://etherscan.io/tx/0x0771c7ce60a67c9d6404044670916d19887ba236cdf53e566dfc1d8cf68f260d,send,0x9a593a0e3372e16b19521c176889472919c3c78c,USDC,-81.47
28/04/2023,14:43:23,eth,0x923ed7c903217764e0dd7440f4f4b681ff04185f0c1b25eca3b7ff1d2bdd99d8,https://etherscan.io/tx/0x923ed7c903217764e0dd7440f4f4b681ff04185f0c1b25eca3b7ff1d2bdd99d8,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,DAI,25
19/03/2023,22:32:04,arb,0xa83de78ee91fe9db05b9d55898118523a682f7f7ba425df313707e774d33f65c,https://arbiscan.io/tx/0xa83de78ee91fe9db05b9d55898118523a682f7f7ba425df313707e774d33f65c,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,ETH,0.003
19/03/2023,22:24:35,arb,0x6ec54f365aa9c1a2edbe83e974467a1750278306434861dcd1aedf04506119d6,https://arbiscan.io/tx/0x6ec54f365aa9c1a2edbe83e974467a1750278306434861dcd1aedf04506119d6,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,ETH,0.0033
12/03/2023,14:55:35,eth,0x2bb135997928222a9dfc2cc362192f9e66a363ad2336b3c8d2f0996b7ebd2d60,https://etherscan.io/tx/0x2bb135997928222a9dfc2cc362192f9e66a363ad2336b3c8d2f0996b7ebd2d60,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,ETH,0.005
04/03/2023,23:25:35,eth,0xf165d4031b7deeca89bd2770b0a26aebfee7ecfc2b5069986e49a1c50c1965c7,https://etherscan.io/tx/0xf165d4031b7deeca89bd2770b0a26aebfee7ecfc2b5069986e49a1c50c1965c7,send,0x9a593a0e3372e16b19521c176889472919c3c78c,ETH,-1.2965522254688466
25/11/2022,01:55:18,matic,0x0039646e64e46a1959d99f1bd48df2bf037d8ddb4044226bef89828f0a379260,https://polygonscan.com/tx/0x0039646e64e46a1959d99f1bd48df2bf037d8ddb4044226bef89828f0a379260,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,USDC,0.6
06/11/2022,18:11:23,eth,0x258b7e557897158646f0595c1d0994c62a7f3ef44bcbcf3b88f8aa5bb62159bc,https://etherscan.io/tx/0x258b7e557897158646f0595c1d0994c62a7f3ef44bcbcf3b88f8aa5bb62159bc,receive,0x9a593a0e3372e16b19521c176889472919c3c78c,ETH,0.01
