Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/10/2022,19:10:20,arb,0x381114e52d69b369aacce3577e27fec8268c55ed410d5ad016b76c285192eeb8,https://arbiscan.io/tx/0x381114e52d69b369aacce3577e27fec8268c55ed410d5ad016b76c285192eeb8,send,0x124774b47d55cbf86f252dd86a8dd70a292abbb3,ETH,-0.008
29/04/2022,21:48:17,eth,0x3575509fba4b9c3f738ef8398cfffd8c8585f09519cdd15d39e9c92c70715341,https://etherscan.io/tx/0x3575509fba4b9c3f738ef8398cfffd8c8585f09519cdd15d39e9c92c70715341,send,0x124774b47d55cbf86f252dd86a8dd70a292abbb3,ETH,-0.1
06/11/2022,22:14:51,arb,0xded21d0a15ae6f8f891b9327411c4dd7a9d6e44a65126e47a597b7ad5b77b82f,https://arbiscan.io/tx/0xded21d0a15ae6f8f891b9327411c4dd7a9d6e44a65126e47a597b7ad5b77b82f,send,0x2002bb8846df5d21e167878b7cd5a1ca102f87b9,ETH,-0.0045
30/10/2022,19:52:50,arb,0x3c4bd895deb64298911dd0af787d8287365022594b235824351dcddfe2ee464f,https://arbiscan.io/tx/0x3c4bd895deb64298911dd0af787d8287365022594b235824351dcddfe2ee464f,send,0x2002bb8846df5d21e167878b7cd5a1ca102f87b9,ETH,-0.0076
30/10/2022,20:46:21,arb,0x53a4d4ceed63d9a7cf9da7309481864e0f394bef576b81b135ce9125623cd06e,https://arbiscan.io/tx/0x53a4d4ceed63d9a7cf9da7309481864e0f394bef576b81b135ce9125623cd06e,send,0x24b839c37e2cb5b377d92e693240ed3c3029bfdc,ETH,-0.0003
30/10/2022,19:49:32,arb,0xe9301d5b285c5b5f0a7f550de7e1d691012e34c4d0c0e2e7f705a22b373dcac0,https://arbiscan.io/tx/0xe9301d5b285c5b5f0a7f550de7e1d691012e34c4d0c0e2e7f705a22b373dcac0,send,0x24b839c37e2cb5b377d92e693240ed3c3029bfdc,ETH,-0.0076
30/10/2022,19:53:23,arb,0xb0e5512009fc915feb3cbe82640d957db8deedb68b4653374efe7bbd25df6d37,https://arbiscan.io/tx/0xb0e5512009fc915feb3cbe82640d957db8deedb68b4653374efe7bbd25df6d37,send,0x3241c726e98339b14989102e573f07731fde9823,ETH,-0.0076
07/05/2023,03:19:15,era,0x484e5a5671c8d06d24bb2ae5f31157db1e0725ea72a24380f5fe9b88a0bf3565,https://era.zksync.network/tx/0x484e5a5671c8d06d24bb2ae5f31157db1e0725ea72a24380f5fe9b88a0bf3565,send,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,ETH,-0.09
24/04/2023,19:59:35,ftm,0x9b514f8905d4e7b0ec6f977bad29c479ed11a99e28a005de7f0b07c0f9fdd9a1,https://ftmscan.com/tx/0x9b514f8905d4e7b0ec6f977bad29c479ed11a99e28a005de7f0b07c0f9fdd9a1,send,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,FTM,-1
24/04/2023,18:18:27,matic,0x52f216fc94cdee74d882ffa7b3f3edc6ee3870746c71f61c6dc941286ffeff22,https://polygonscan.com/tx/0x52f216fc94cdee74d882ffa7b3f3edc6ee3870746c71f61c6dc941286ffeff22,send,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,MATIC,-1
24/04/2023,18:09:56,avax,0xd5a89ac1c8de78155a1c3a4b2cf49c2f32ddbb594bd0fbff71d71251dc45aeca,https://snowscan.xyz/tx/0xd5a89ac1c8de78155a1c3a4b2cf49c2f32ddbb594bd0fbff71d71251dc45aeca,send,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,AVAX,-0.3
24/04/2023,17:53:03,bsc,0x801a714292dea14572c67466387a345a3ed67799d008d1f1106909f38d788924,https://bscscan.com/tx/0x801a714292dea14572c67466387a345a3ed67799d008d1f1106909f38d788924,send,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,BNB,-0.003
14/04/2023,01:55:27,arb,0xbce02e20f86f4c177b2473d5c11e77a371c11c211ad0612339cec9fc3771c0ee,https://arbiscan.io/tx/0xbce02e20f86f4c177b2473d5c11e77a371c11c211ad0612339cec9fc3771c0ee,receive,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,USDT,1012
28/03/2023,20:30:19,arb,0xa40a9c8c892f1fef56e12bbb194f4ea97c70887c7f3d477108ce7ab09005e42a,https://arbiscan.io/tx/0xa40a9c8c892f1fef56e12bbb194f4ea97c70887c7f3d477108ce7ab09005e42a,receive,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,USDC,1001.609296
24/06/2022,20:35:02,eth,0x7506dbb1440b4f32f62023a1ce3f3af1c2cc4bd2b6ef33a301605eb5544a3159,https://etherscan.io/tx/0x7506dbb1440b4f32f62023a1ce3f3af1c2cc4bd2b6ef33a301605eb5544a3159,receive,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,EUL,26.945406244799372
15/05/2022,16:58:32,eth,0x17c676b7b1753cee6381d2de209de4e818312fd45e8f3b0c206d63e5474773a4,https://etherscan.io/tx/0x17c676b7b1753cee6381d2de209de4e818312fd45e8f3b0c206d63e5474773a4,receive,0x3fccd89dc433b17a0a736288af3f0bdc4fea38ff,USDC,1006.138776
