Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
04/03/2023,06:02:35,eth,0x5972c13845efc0362d14b239209f1ff28b65559b6aaf43cf8e02c7bac47096a5,https://etherscan.io/tx/0x5972c13845efc0362d14b239209f1ff28b65559b6aaf43cf8e02c7bac47096a5,receive,0x03817d6ab2a4604c8f1d6b3413dec27b772024dd,ETH,0.13
03/03/2023,18:32:59,eth,0x141613d3d9c62dbdae2d9831f3ee7ad536eb48075527a2be39107ba979d38ed2,https://etherscan.io/tx/0x141613d3d9c62dbdae2d9831f3ee7ad536eb48075527a2be39107ba979d38ed2,send,0x03817d6ab2a4604c8f1d6b3413dec27b772024dd,ETH,-0.16
03/03/2023,18:28:59,op,0x21451f604bd675f18a3de1376c00d4ed5545e97fd8fce6ad620930e9cfe17f1c,https://optimistic.etherscan.io/tx/0x21451f604bd675f18a3de1376c00d4ed5545e97fd8fce6ad620930e9cfe17f1c,send,0x03817d6ab2a4604c8f1d6b3413dec27b772024dd,ETH,-0.16
30/08/2022,15:49:15,eth,0x07dbf0dd2c8bb7acc299be17f5ef41f6ce8cd4d93095294b9bfd90e12e477c41,https://etherscan.io/tx/0x07dbf0dd2c8bb7acc299be17f5ef41f6ce8cd4d93095294b9bfd90e12e477c41,send,0x0f06871fd2090dcae3652e744bc19892821714ec,ETH,-0.05
26/08/2022,02:22:53,eth,0x35732488530ad2f0afb76bd997cd3fb529852a95fe6bfa2e70873c40e9dfe66e,https://etherscan.io/tx/0x35732488530ad2f0afb76bd997cd3fb529852a95fe6bfa2e70873c40e9dfe66e,receive,0x0f06871fd2090dcae3652e744bc19892821714ec,ETH,0.015
06/08/2022,03:39:05,matic,0x5d3c9c65a86db54c6239dc608f3eb94048246da07dec0ec46b7e8014811e6aad,https://polygonscan.com/tx/0x5d3c9c65a86db54c6239dc608f3eb94048246da07dec0ec46b7e8014811e6aad,send,0x0f06871fd2090dcae3652e744bc19892821714ec,DAI,-8371.039962875822
06/08/2022,03:05:51,matic,0x0d37bf1358e4815c6db850f33a1e2af2d6b594306b0567471138d2db84459c6a,https://polygonscan.com/tx/0x0d37bf1358e4815c6db850f33a1e2af2d6b594306b0567471138d2db84459c6a,send,0x0f06871fd2090dcae3652e744bc19892821714ec,USDC,-7403.56862
10/07/2022,07:27:48,eth,0xebe35561d39ff514279e6c4a020e85e34b02e613bcdc83e1c3545965218b7028,https://etherscan.io/tx/0xebe35561d39ff514279e6c4a020e85e34b02e613bcdc83e1c3545965218b7028,receive,0x0f06871fd2090dcae3652e744bc19892821714ec,WETH,2.079
21/04/2022,07:38:04,eth,0x32878b8df314f15fa3958944c00987862a41d264da1bb328024c06218826970b,https://etherscan.io/tx/0x32878b8df314f15fa3958944c00987862a41d264da1bb328024c06218826970b,send,0x0f06871fd2090dcae3652e744bc19892821714ec,ETH,-0.2
21/03/2022,05:32:04,eth,0xbcb046e3ecf264447b09b23817aa478b4f3b5427cf0ef1b35bb6e5c860ab887f,https://etherscan.io/tx/0xbcb046e3ecf264447b09b23817aa478b4f3b5427cf0ef1b35bb6e5c860ab887f,send,0x0f06871fd2090dcae3652e744bc19892821714ec,ETH,-0.03
21/03/2022,05:32:04,eth,0x1a04f694d4e80edb5b492be130e18d14414533c0b5fcd07920848a0de57731eb,https://etherscan.io/tx/0x1a04f694d4e80edb5b492be130e18d14414533c0b5fcd07920848a0de57731eb,send,0x0f06871fd2090dcae3652e744bc19892821714ec,LSD,-1
