Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
11/11/2022,00:00:34,arb,0x5b57383b89305d969cb2300b0f72d917b31803bc0796efcc9fac459286786b82,https://arbiscan.io/tx/0x5b57383b89305d969cb2300b0f72d917b31803bc0796efcc9fac459286786b82,receive,0x00d7be72669c06d68c5d7f5f4483a5e6b84eb70b,ETH,0.07283352680512606
14/09/2022,18:26:13,eth,0x1037e6418bd4ff505c6b643194b7eb53fb3cdbd4736055ba5021072489e24b3b,https://etherscan.io/tx/0x1037e6418bd4ff505c6b643194b7eb53fb3cdbd4736055ba5021072489e24b3b,receive,0x00d7be72669c06d68c5d7f5f4483a5e6b84eb70b,USDC,10
11/11/2022,01:23:45,op,0x0e4fbc94547948e9240f3e59f647c57be147f219bbb565542013b3d20be222e1,https://optimistic.etherscan.io/tx/0x0e4fbc94547948e9240f3e59f647c57be147f219bbb565542013b3d20be222e1,send,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,ETH,-5.89170204048273
10/11/2022,23:59:08,arb,0xa0c5b299bdb6a17972968f30492cf81075d239c86117d0e61647205796b33635,https://arbiscan.io/tx/0xa0c5b299bdb6a17972968f30492cf81075d239c86117d0e61647205796b33635,receive,0x043deaaaf0cf4547895e8161094975e371dccfcb,ETH,0.07330027068882292
14/09/2022,18:24:56,eth,0xf11c01eaac1ffad9d0ccf03d66a6a8e586a95c246789426c2dc4408202e96641,https://etherscan.io/tx/0xf11c01eaac1ffad9d0ccf03d66a6a8e586a95c246789426c2dc4408202e96641,receive,0x043deaaaf0cf4547895e8161094975e371dccfcb,USDC,10
10/11/2022,23:58:07,arb,0xfae81d4b923572fc0d99f71bf26ec55a710c00f581945bf05e1f7174c3814d02,https://arbiscan.io/tx/0xfae81d4b923572fc0d99f71bf26ec55a710c00f581945bf05e1f7174c3814d02,receive,0x10dc6f79ab3eac848822dc73506be1a7ae32b79d,ETH,0.07328657379220475
29/11/2022,03:33:36,op,0x22f625eeee5ce652773898ba6ec9d4da15279d9ba6feba76711070b8f672209d,https://optimistic.etherscan.io/tx/0x22f625eeee5ce652773898ba6ec9d4da15279d9ba6feba76711070b8f672209d,receive,0x11daf469380d8d251b1f11e12d770aa71148e808,USDC,52.003717
11/11/2022,00:06:52,arb,0xab9c6f7708679f937d9554fd74c7fe9f0dec4d0d5372d5bab2429e875e56ef59,https://arbiscan.io/tx/0xab9c6f7708679f937d9554fd74c7fe9f0dec4d0d5372d5bab2429e875e56ef59,receive,0x11daf469380d8d251b1f11e12d770aa71148e808,ETH,0.07368681394165279
14/09/2022,18:35:18,eth,0x4346de4dc7b28160bcf517c65c385e2dd67bd198286b5a8b8539b40f68ad4870,https://etherscan.io/tx/0x4346de4dc7b28160bcf517c65c385e2dd67bd198286b5a8b8539b40f68ad4870,receive,0x11daf469380d8d251b1f11e12d770aa71148e808,USDC,10
29/11/2022,02:55:55,op,0x369f8585c2713ad1595573349150a145cdeb40de2db21725e3a6a953379ddd6d,https://optimistic.etherscan.io/tx/0x369f8585c2713ad1595573349150a145cdeb40de2db21725e3a6a953379ddd6d,receive,0x13947e418e613d43fa55849ddc8626e7105f957f,USDC,31.024969
29/11/2022,02:51:53,op,0x8163220c7e34ab6427d4a1bc2b1edc84b135e2420f62b34f97e111a6c4414900,https://optimistic.etherscan.io/tx/0x8163220c7e34ab6427d4a1bc2b1edc84b135e2420f62b34f97e111a6c4414900,receive,0x13947e418e613d43fa55849ddc8626e7105f957f,USDC,21.008822
11/11/2022,00:01:01,arb,0x52e7a2495113259d456718ef7a0c8e80d554bbd43d9fc80805520097177918f5,https://arbiscan.io/tx/0x52e7a2495113259d456718ef7a0c8e80d554bbd43d9fc80805520097177918f5,receive,0x13947e418e613d43fa55849ddc8626e7105f957f,ETH,0.07282664022329782
14/09/2022,18:26:13,eth,0xe24af009371cd8a44cacf16080b0411747d58c5486b4a8a089cee2cd47bb3f69,https://etherscan.io/tx/0xe24af009371cd8a44cacf16080b0411747d58c5486b4a8a089cee2cd47bb3f69,receive,0x13947e418e613d43fa55849ddc8626e7105f957f,USDC,10
10/11/2022,23:56:13,arb,0xc6e525a5721b49a204e51bd13775ffea485a14b477edda1be41b2cd751ff3466,https://arbiscan.io/tx/0xc6e525a5721b49a204e51bd13775ffea485a14b477edda1be41b2cd751ff3466,receive,0x141d220615135ccf90d1d742d0b43334a12b79e9,ETH,0.07339206513639547
14/09/2022,18:22:19,eth,0xfefb5d48f1c5d05b07a9c0c781519ae87f8579eb1dc64c1a1eeca34ab85ab5a2,https://etherscan.io/tx/0xfefb5d48f1c5d05b07a9c0c781519ae87f8579eb1dc64c1a1eeca34ab85ab5a2,receive,0x141d220615135ccf90d1d742d0b43334a12b79e9,USDC,10
