Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
26/05/2023,06:15:55,era,0x4d288c3acdfd3dce751d4d502dc011b8ffe04c5aebbc34fbb63eecf4c3579cf4,https://era.zksync.network/tx/0x4d288c3acdfd3dce751d4d502dc011b8ffe04c5aebbc34fbb63eecf4c3579cf4,send,0x108e34963def98605e5106c80b2408fea465307b,ETH,-0.012
19/05/2023,16:09:46,arb,0x7b616f867b77dd990b09ce7062d14857c64cc9849718156c0ba232c7f87d3587,https://arbiscan.io/tx/0x7b616f867b77dd990b09ce7062d14857c64cc9849718156c0ba232c7f87d3587,send,0x108e34963def98605e5106c80b2408fea465307b,ETH,-0.002
19/05/2023,16:07:36,bsc,0x76994021f108c28979c9445514f0d154c89951d4997bf002f4b746ab9bde7c9a,https://bscscan.com/tx/0x76994021f108c28979c9445514f0d154c89951d4997bf002f4b746ab9bde7c9a,send,0x108e34963def98605e5106c80b2408fea465307b,USDT,-484.314373
04/05/2023,21:39:33,ftm,0x45a81ca9d3577cab0fa899fee3bc07a90d85b5358ba38893c43025744ce0da15,https://ftmscan.com/tx/0x45a81ca9d3577cab0fa899fee3bc07a90d85b5358ba38893c43025744ce0da15,send,0x108e34963def98605e5106c80b2408fea465307b,FTM,-5
04/05/2023,20:21:16,avax,0x422c313540c18492abc4a4f751266db085ed25b2c55a0fb1b36c1df08965144a,https://snowscan.xyz/tx/0x422c313540c18492abc4a4f751266db085ed25b2c55a0fb1b36c1df08965144a,send,0x108e34963def98605e5106c80b2408fea465307b,AVAX,-0.15
04/05/2023,18:44:08,ftm,0xf9e966895aaca0a891ef1f752d7dca5af29e9daa046c3c2053803551aa6ce4d0,https://ftmscan.com/tx/0xf9e966895aaca0a891ef1f752d7dca5af29e9daa046c3c2053803551aa6ce4d0,send,0x108e34963def98605e5106c80b2408fea465307b,FTM,-4
28/04/2023,03:09:23,matic,0xc8fdfe07f8a63509c2d84b9b664c07d318b4c151fcc951737f00a93c3466e502,https://polygonscan.com/tx/0xc8fdfe07f8a63509c2d84b9b664c07d318b4c151fcc951737f00a93c3466e502,send,0x108e34963def98605e5106c80b2408fea465307b,MATIC,-0.15
28/04/2023,03:05:33,matic,0xdc2ad8bec7d4cd3c6b6b1da68f56ec5b300c02a0ea06d02681511cd4c9dc08a8,https://polygonscan.com/tx/0xdc2ad8bec7d4cd3c6b6b1da68f56ec5b300c02a0ea06d02681511cd4c9dc08a8,send,0x108e34963def98605e5106c80b2408fea465307b,MATIC,-0.4
01/03/2023,15:09:13,bsc,0x9fcccbb29c70bb783fc18b407d310e77f9205e35102bfd9b8da46fe3e127d0e6,https://bscscan.com/tx/0x9fcccbb29c70bb783fc18b407d310e77f9205e35102bfd9b8da46fe3e127d0e6,send,0x108e34963def98605e5106c80b2408fea465307b,BNB,-0.001
20/02/2023,23:09:26,matic,0xadcd5bb18850c88cc85c7195107e02a7c6f98a7a60ff740e1f32c85626253bef,https://polygonscan.com/tx/0xadcd5bb18850c88cc85c7195107e02a7c6f98a7a60ff740e1f32c85626253bef,send,0x108e34963def98605e5106c80b2408fea465307b,MATIC,-0.1
20/02/2023,22:42:57,bsc,0x910f944df283d38138b676ce626d96b00fcc0d1dd8497daabd6b0d2bf5c3fe17,https://bscscan.com/tx/0x910f944df283d38138b676ce626d96b00fcc0d1dd8497daabd6b0d2bf5c3fe17,send,0x108e34963def98605e5106c80b2408fea465307b,BNB,-0.002
16/12/2022,00:31:10,bsc,0x71d629e033ad315c302da4484d5f5aebb8cc82b423361cef1dbdf2a9bbe87989,https://bscscan.com/tx/0x71d629e033ad315c302da4484d5f5aebb8cc82b423361cef1dbdf2a9bbe87989,send,0x108e34963def98605e5106c80b2408fea465307b,BNB,-0.003
