Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
29/05/2023,22:01:11,eth,0x65ea97abfc80453df803f31f7bff1e8c20857f87b80f64100367431ad24709cd,https://etherscan.io/tx/0x65ea97abfc80453df803f31f7bff1e8c20857f87b80f64100367431ad24709cd,send,0x012b38ccb3ae97a32cd24088bf9426d4ee5442d3,ETH,-0.0183
03/07/2023,02:45:56,bsc,0x9afaef968f0b273ad51df4662dd98b1e7f706e580dd0a81842a9bd6a68b47cf3,https://bscscan.com/tx/0x9afaef968f0b273ad51df4662dd98b1e7f706e580dd0a81842a9bd6a68b47cf3,send,0x0da157cbea3f40fdb7d8c1f813fa9dc3f3078e48,BUSD,-15
12/05/2023,17:51:47,eth,0x1cf5a205bf8646bf19b0715d4ea30596bb052fee9bd7e0e3a31c7306b8a9b6b4,https://etherscan.io/tx/0x1cf5a205bf8646bf19b0715d4ea30596bb052fee9bd7e0e3a31c7306b8a9b6b4,receive,0x0ed5468f0a9278637a2ef59c765349001f0d4632,ETH,0.445
12/05/2023,06:23:35,eth,0xe99bcf0bcfb349a49d6bc4543c13bdc601d7f7598c94db41fbf140a3c7078e36,https://etherscan.io/tx/0xe99bcf0bcfb349a49d6bc4543c13bdc601d7f7598c94db41fbf140a3c7078e36,send,0x0ed5468f0a9278637a2ef59c765349001f0d4632,ETH,-0.4
01/05/2024,23:30:36,bsc,0x1ee925c8240471c513d742b641d71b42e76ac7b8ebe725817cad39d62f1cdfd5,https://bscscan.com/tx/0x1ee925c8240471c513d742b641d71b42e76ac7b8ebe725817cad39d62f1cdfd5,receive,0x16a3ff34c0224a819241f184affb20e16de161ae,USDT,1000
07/03/2024,18:23:26,bsc,0xdaf22fe08d8623b17a8c8492a2ca3107f800c9703dd4df08b2263a2156ee63b5,https://bscscan.com/tx/0xdaf22fe08d8623b17a8c8492a2ca3107f800c9703dd4df08b2263a2156ee63b5,send,0x16a3ff34c0224a819241f184affb20e16de161ae,BNB,-0.01414021
28/01/2024,07:05:24,bsc,0x41ef6ad162d3c3032f69920e5487fd59bf497b9b1e3efd5992ba4c50f5f3bf04,https://bscscan.com/tx/0x41ef6ad162d3c3032f69920e5487fd59bf497b9b1e3efd5992ba4c50f5f3bf04,send,0x16a3ff34c0224a819241f184affb20e16de161ae,BNB,-0.01
18/01/2024,22:28:59,eth,0x2d9944cff07e594dd5a170adf87765355359b7d8440e70e107ad00aea91c9d94,https://etherscan.io/tx/0x2d9944cff07e594dd5a170adf87765355359b7d8440e70e107ad00aea91c9d94,receive,0x16a3ff34c0224a819241f184affb20e16de161ae,ETH,0.15653492
18/01/2024,19:28:35,eth,0xcdfbd10d10b180161f89c61f6f62baf1022e07cf5dbedcc7dcd2e7abd264e987,https://etherscan.io/tx/0xcdfbd10d10b180161f89c61f6f62baf1022e07cf5dbedcc7dcd2e7abd264e987,send,0x16a3ff34c0224a819241f184affb20e16de161ae,ETH,-0.1
08/07/2023,00:57:47,arb,0x0b80a1fffb5e0660c7dd007418f98d38c297949b56b79a73f4cc6e126b7abe30,https://arbiscan.io/tx/0x0b80a1fffb5e0660c7dd007418f98d38c297949b56b79a73f4cc6e126b7abe30,receive,0x16a3ff34c0224a819241f184affb20e16de161ae,ETH,0.34
